期間,進口合計_原始值,進口合計_年增率(%),進口合計_原始值,進口合計_年增率(%),進口-資本設備_原始值,進口-資本設備_年增率(%),進口-資本設備_原始值,進口-資本設備_年增率(%),進口-農工原料_原始值,進口-農工原料_年增率(%),進口-農工原料_原始值,進口-農工原料_年增率(%),進口-消費品_原始值,進口-消費品_年增率(%),進口-消費品_原始值,進口-消費品_年增率(%),出口合計_原始值,出口合計_年增率(%),出口合計_原始值,出口合計_年增率(%),出口-農產品_原始值,出口-農產品_年增率(%),出口-農產品_原始值,出口-農產品_年增率(%),出口-農產加工品_原始值,出口-農產加工品_年增率(%),出口-農產加工品_原始值,出口-農產加工品_年增率(%),出口-工業產品-小計_原始值,出口-工業產品-小計_年增率(%),出口-工業產品-小計_原始值,出口-工業產品-小計_年增率(%),出口-工業產品-重化工業產品_原始值,出口-工業產品-重化工業產品_年增率(%),出口-工業產品-重化工業產品_原始值,出口-工業產品-重化工業產品_年增率(%),出口-工業產品-非重化工業產品_原始值,出口-工業產品-非重化工業產品_年增率(%),出口-工業產品-非重化工業產品_原始值,出口-工業產品-非重化工業產品_年增率(%)
2000M01,"342,385",14.30,"11,019.8",18.68,"87,157",32.87,"2,805.2",37.96,"216,826",10.20,"6,978.7",14.43,"34,848",23.17,"1,121.6",27.91,"377,753",19.88,"12,197.4",24.49,970,28.48,31.3,33.19,"4,833",8.88,156.0,13.04,"371,950",20.02,"12,010.0",24.63,"264,230",27.13,"8,531.8",32.02,"107,720",5.52,"3,478.2",9.58
2000M02,"280,342",32.94,"9,102.0",39.59,"76,242",43.19,"2,475.4",50.36,"178,322",31.13,"5,789.6",37.68,"21,812",17.44,708.2,23.29,"282,410",15.69,"9,199.0",21.50,741,-24.85,24.1,-21.24,"3,349",8.45,109.1,13.88,"278,319",15.95,"9,065.8",21.77,"200,224",20.61,"6,522.0",26.67,"78,095",5.50,"2,543.8",10.79
2000M03,"356,549",15.39,"11,580.1",24.27,"90,006",20.68,"2,923.2",29.97,"231,004",16.94,"7,502.6",25.94,"31,026",5.16,"1,007.7",13.26,"375,185",9.19,"12,225.0",17.62,"1,078",-27.84,35.1,-22.35,"3,823",12.44,124.6,21.21,"370,284",9.32,"12,065.3",17.76,"267,778",15.32,"8,725.3",24.22,"102,506",-3.76,"3,340.1",3.67
2000M04,"373,106",37.79,"12,201.0",49.01,"96,720",50.25,"3,162.8",62.48,"240,356",38.95,"7,859.9",50.27,"32,297",33.02,"1,056.2",43.86,"382,810",26.96,"12,559.4",37.33,"1,251",-18.45,41.1,-11.61,"4,232",2.82,138.8,11.13,"377,327",27.53,"12,379.5",37.95,"269,166",37.28,"8,830.9",48.50,"108,160",8.37,"3,548.6",17.23
2000M05,"392,928",35.93,"12,790.7",45.09,"104,053",46.68,"3,387.1",56.56,"256,096",35.20,"8,336.5",44.31,"29,794",20.53,969.9,28.63,"411,610",18.49,"13,442.5",26.50,"1,489",1.92,48.6,8.72,"5,424",38.54,177.1,47.95,"404,697",18.33,"13,216.8",26.33,"283,094",24.67,"9,245.4",33.09,"121,602",5.80,"3,971.3",12.95
2000M06,"359,273",21.44,"11,638.3",28.48,"90,927",17.56,"2,945.5",24.38,"234,870",24.03,"7,608.4",31.23,"30,096",15.81,975.0,22.52,"391,043",21.99,"12,708.6",29.08,"1,159",-10.50,37.7,-5.28,"5,241",16.49,170.3,23.23,"384,643",22.20,"12,500.6",29.31,"277,485",31.58,"9,018.0",39.23,"107,158",3.16,"3,482.5",9.16
2000M07,"417,599",35.95,"13,527.7",42.47,"123,648",44.38,"4,005.5",51.31,"257,615",34.29,"8,345.2",40.73,"31,711",23.01,"1,027.3",28.90,"428,407",33.34,"13,922.9",39.75,"1,369",13.70,44.5,19.30,"4,752",4.26,154.4,9.19,"422,287",33.83,"13,723.9",40.27,"308,090",46.29,"10,012.7",53.32,"114,197",8.84,"3,711.3",14.07
2000M08,"378,666",18.94,"12,164.0",23.03,"102,618",20.15,"3,296.4",24.28,"240,383",18.65,"7,722.0",22.73,"30,000",10.22,963.7,13.99,"405,171",17.92,"13,057.4",21.98,725,-24.40,23.4,-21.74,"4,243",-14.99,136.7,-12.09,"400,202",18.52,"12,897.3",22.61,"292,222",26.75,"9,417.4",31.13,"107,980",0.81,"3,479.9",4.28
2000M09,"368,741",37.92,"11,837.6",41.07,"103,853",63.82,"3,334.0",67.55,"229,538",28.89,"7,368.8",31.83,"32,465",39.57,"1,042.2",42.75,"412,654",36.10,"13,290.0",39.21,678,43.34,21.8,46.31,"4,819",15.51,155.2,18.20,"407,156",36.38,"13,112.9",39.49,"302,874",46.59,"9,754.4",49.94,"104,282",13.43,"3,358.5",16.03
2000M10,"388,717",7.86,"12,395.3",9.47,"115,083",14.79,"3,669.8",16.51,"238,519",5.69,"7,605.8",7.28,"31,069",1.69,990.7,3.21,"436,313",20.21,"13,957.6",22.02,613,-11.93,19.6,-10.50,"4,692",1.36,150.1,2.88,"431,007",20.52,"13,787.9",22.33,"322,943",27.14,"10,330.9",29.05,"108,064",4.29,"3,457.0",5.86
