期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),商業本票_原始值,商業本票_年增率(%),商業本票_原始值,商業本票_年增率(%),可轉讓定期存單_原始值,可轉讓定期存單_年增率(%),可轉讓定期存單_原始值,可轉讓定期存單_年增率(%),銀行承兌匯票_原始值,銀行承兌匯票_年增率(%),銀行承兌匯票_原始值,銀行承兌匯票_年增率(%),國庫券_原始值,國庫券_年增率(%),國庫券_原始值,國庫券_年增率(%)
1999M07,"3,054,172",-9.47,"2,487,113",-12.60,"2,794,551",-11.35,"2,322,945",-12.23,"196,650",123.10,"117,512",41.64,"11,197",-91.59,"12,717",-89.05,"51,774",-,"33,939",-
1999M08,"2,769,252",-13.78,"2,304,732",-10.22,"2,580,899",-14.36,"2,159,397",-9.90,"157,014",118.95,"108,526",65.21,"9,383",-92.58,"11,011",-89.50,"21,956",-,"25,798",-
1999M09,"2,920,362",-15.90,"2,350,670",-13.19,"2,665,905",-18.75,"2,174,442",-14.31,"201,986",114.65,"134,522",58.95,"9,000",-90.77,"10,420",-87.84,"43,471",-,"31,286",-
1999M10,"2,861,108",-18.08,"2,282,659",-17.99,"2,582,173",-21.74,"2,117,695",-19.05,"250,847",91.60,"135,049",24.81,"7,884",-87.34,"10,377",-82.45,"20,204",-,"19,538",-
1999M11,"2,721,263",-8.09,"2,192,283",-9.71,"2,479,797",-9.99,"1,982,898",-12.98,"187,339",16.11,"158,279",40.22,"6,877",-84.59,"9,516",-73.95,"47,250",-,"41,590",-
1999M12,"3,152,351",-1.51,"2,466,250",-5.21,"2,716,117",-9.44,"2,200,799",-9.55,"354,061",154.59,"192,014",67.98,"6,835",-78.25,"8,965",-69.94,"75,338",141.88,"64,472",162.82
2000M01,"3,058,735",12.44,"2,422,655",11.23,"2,662,209",4.51,"2,166,018",5.62,"335,884",175.83,"194,509",105.17,"7,179",-70.72,"10,052",-50.75,"53,463",100.41,"52,076",326.78
2000M02,"2,202,147",13.67,"1,801,464",11.55,"1,915,813",7.78,"1,624,806",13.01,"240,905",99.62,"129,116",-9.47,"4,738",-62.51,"8,185",-31.22,"40,691",53.24,"39,357",73.56
2000M03,"3,084,317",1.19,"2,495,708",1.84,"2,793,624",-0.44,"2,283,459",-0.85,"247,525",23.60,"160,101",33.72,"7,807",-41.13,"10,547",-27.38,"35,361",23.88,"41,601",211.08
2000M04,"2,905,018",29.70,"2,265,038",18.04,"2,516,359",19.30,"2,082,734",14.48,"323,974",199.45,"121,916",47.79,"6,931",-26.39,"8,193",-22.75,"57,754",350.39,"52,195",706.72
