期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),台鐵_原始值,台鐵_年增率(%),台鐵_原始值,台鐵_年增率(%),台鐵_原始值,台鐵_年增率(%),台鐵_原始值,台鐵_年增率(%),高鐵_原始值,高鐵_年增率(%),高鐵_原始值,高鐵_年增率(%),高鐵_原始值,高鐵_年增率(%),高鐵_原始值,高鐵_年增率(%),捷運_原始值,捷運_年增率(%),捷運_原始值,捷運_年增率(%),捷運_原始值,捷運_年增率(%),捷運_原始值,捷運_年增率(%),捷運-台北_原始值,捷運-台北_年增率(%),捷運-台北_原始值,捷運-台北_年增率(%),捷運-台北_原始值,捷運-台北_年增率(%),捷運-台北_原始值,捷運-台北_年增率(%),捷運-高雄_原始值,捷運-高雄_年增率(%),捷運-高雄_原始值,捷運-高雄_年增率(%),捷運-高雄_原始值,捷運-高雄_年增率(%),捷運-高雄_原始值,捷運-高雄_年增率(%)
2001M01,"41,447",...,"1,115,707",...,26.9,...,...,--,"17,024",...,"928,677",...,54.6,...,"1,520,969",...,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"24,368",...,"186,240",...,7.6,...,"562,504",...,...,--,...,--,...,--,...,--
2001M02,"43,636",...,"1,075,700",...,24.7,...,...,--,"16,904",...,"869,962",...,51.5,...,"1,420,510",...,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"26,674",...,"204,727",...,7.7,...,"610,544",...,...,--,...,--,...,--,...,--
2001M03,"44,298",...,"1,095,731",...,24.7,...,...,--,"16,500",...,"881,338",...,53.4,...,"1,430,973",...,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"27,687",...,"212,572",...,7.7,...,"629,474",...,...,--,...,--,...,--,...,--
2001M04,"42,690",...,"1,100,283",...,25.8,...,...,--,"16,415",...,"896,452",...,54.6,...,"1,452,923",...,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"26,165",...,"202,039",...,7.7,...,"585,733",...,...,--,...,--,...,--,...,--
2001M05,"43,218",...,"1,051,482",...,24.3,...,...,--,"16,116",...,"843,352",...,52.3,...,"1,370,442",...,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"27,070",...,"207,440",...,7.7,...,"598,400",...,...,--,...,--,...,--,...,--
2001M06,"40,600",...,"1,031,029",...,25.4,...,...,--,"14,682",...,"833,063",...,56.7,...,"1,386,680",...,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"25,897",...,"197,506",...,7.6,...,"580,283",...,...,--,...,--,...,--,...,--
2001M07,"42,980",...,"1,094,820",...,25.5,...,...,--,"15,352",...,"884,304",...,57.6,...,"1,432,562",...,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"27,572",...,"209,399",...,7.6,...,"629,507",...,...,--,...,--,...,--,...,--
2001M08,"44,809",...,"1,161,662",...,25.9,...,...,--,"15,918",...,"939,788",...,59.0,...,"1,533,563",...,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"28,878",...,"221,614",...,7.7,...,"657,424",...,...,--,...,--,...,--,...,--
2001M09,"28,905",...,"723,534",...,25.0,...,...,--,"12,624",...,"603,831",...,47.8,...,"983,621",...,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"16,276",...,"119,555",...,7.3,...,"352,196",...,...,--,...,--,...,--,...,--
2001M10,"29,653",...,"880,240",...,29.7,...,...,--,"14,540",...,"759,435",...,52.2,...,"1,230,166",...,...,--,...,--,...,--,-,--,...,--,...,--,...,--,...,--,"15,111",...,"120,785",...,8.0,...,"339,651",...,...,--,...,--,...,--,...,--
