期間,廣義貨幣總計數M2增( + )  減( - ),國外資產淨額,對政府債權,對公營事業債權,對民間部門債權,政府存款,其他項目(淨額)
1997M01,"155,090","41,701","80,380","29,256","4,531","-31,299","30,521"
1997M02,"118,140","31,519","16,636","-2,589","-31,244","26,876","76,942"
1997M03,"16,039","6,356","85,376","-3,567","109,000","-5,573","-175,553"
1997M04,"-49,358","-26,923","-3,037",943,"-5,739",-762,"-13,840"
1997M05,"33,466","-1,835","-8,198","-3,156","77,346","-39,789","9,098"
1997M06,"173,549","-13,822","83,798","8,652","40,455",-988,"55,454"
1997M07,"57,559","-15,392","-5,762","-22,252","92,435","-9,036","17,566"
1997M08,"42,270","-19,211","27,985",-433,"14,794","-15,177","34,312"
1997M09,919,"-36,057","-4,397","18,587","103,261","13,439","-93,914"
1997M10,"180,244","-36,749","-16,193","-22,086","164,669","57,282","33,321"
1997M11,"123,827","14,056","15,832","3,564","108,772","-17,662",-735
1997M12,"268,738","28,493","69,007","6,701","266,939","-29,061","-73,341"
1998M01,"416,801","7,673","109,516","29,676","108,213","20,984","140,739"
1998M02,"-12,318","33,513","-27,302","-25,949","49,721","-54,444","12,143"
1998M03,"-49,618","-10,128","11,380",-432,"67,120","3,825","-121,383"
1998M04,"-29,612","-28,467","-50,986","1,635","-13,789","26,131","35,864"
1998M05,"4,905","12,088","-1,732","-8,577","42,169","-50,080","11,037"
1998M06,"165,395","-13,801","36,158","1,229","176,719","26,323","-61,233"
1998M07,"58,856","15,412","-29,393","-7,456","27,145","17,429","35,719"
1998M08,"89,755",229,"15,081","-8,947","82,732","3,618","-2,958"
1998M09,"178,337","61,552","48,262","12,256","199,521","-12,952","-130,302"
1998M10,"136,182","53,527","-9,376","-9,109","80,398","39,067","-18,325"
1998M11,"201,908","67,000","60,894","5,770","155,548","-7,445","-79,859"
1998M12,"131,772","46,859",-281,"7,644","-15,862",918,"92,494"
1999M01,"125,515","55,537","62,705",73,"-6,938","-15,927","30,065"
1999M02,"259,576","74,330","54,569","15,622","13,481","74,908","26,666"
1999M03,"10,510","63,307","16,241","-4,031","29,223","-9,075","-85,155"
1999M04,"83,272","95,176","22,068","-20,863","11,148","-46,525","22,268"
1999M05,"-40,579","36,571","-1,182","-15,311","25,741","-66,930","-19,468"
1999M06,"277,505","97,122","86,843","2,244","71,201","-7,070","27,165"
1999M07,"-6,862","55,372","22,329","-2,515","-132,973","-5,169","56,094"
1999M08,"32,534","52,497","-37,150","-12,342","-12,715","42,230",14
1999M09,"44,774","77,831","-5,815","16,557","70,136","-62,662","-51,273"
1999M10,"44,842","57,534","-29,549","-17,710","-88,585","58,884","64,268"
1999M11,"106,120","75,490","72,684","2,744","79,287","-27,632","-96,453"
1999M12,"421,084","75,312","90,570","12,632","162,882","-41,450","121,138"
2000M01,"284,974","94,509","29,028","23,511","115,292","56,126","-33,492"
2000M02,"24,359","120,359","-12,431","-2,356","14,114","-30,525","-64,802"
2000M03,"153,495","-8,124","46,361",-776,"72,223","28,847","14,964"
2000M04,"-73,046","-61,332","-25,951","-5,939","-23,780","-36,652","80,608"
2000M05,"-149,176","-14,691","-32,262","-7,057","69,917","-35,486","-129,597"
2000M06,"178,084","73,939","29,743","9,351","-11,388","-1,698","78,137"
2000M07,"-39,125","-9,379",-839,"15,077","17,610","-21,488","-40,106"
2000M08,"89,271","54,278","-23,709","-22,399","26,271","35,949","18,881"
2000M09,"13,493","63,185","22,062",957,"-9,393","-33,804","-29,514"
2000M10,"91,827","42,120","81,546","-6,351","-71,828","56,091","-9,751"
2000M11,"179,448","77,499","83,175",-104,"-5,835","-6,107","30,820"
2000M12,"399,180","36,607","133,304","19,276","50,631","-19,551","178,913"
2001M01,"227,159","118,129","114,760","22,382","-105,625","55,763","21,750"
2001M02,"21,742","65,609","-13,795","-17,011","-34,667","-14,093","35,699"
2001M03,"16,128","64,936","-22,422","-5,752","21,650","13,231","-55,515"
2001M04,"-147,263","27,285","-1,720","-14,995","-98,134","-13,739","-45,960"
