期間,件數總計(件)_原始值,件數總計(件)_年增率(%),金額總計(新台幣千元)_原始值,金額總計(新台幣千元)_年增率(%),違反金融件數(件)_原始值,違反金融件數(件)_年增率(%),違反金融金額(新台幣千元)_原始值,違反金融金額(新台幣千元)_年增率(%),違法販賣汽柴油件數(件)_原始值,違法販賣汽柴油件數(件)_年增率(%),違法販賣汽柴油金額(新台幣千元)_原始值,違法販賣汽柴油金額(新台幣千元)_年增率(%),走私件數(件)_原始值,走私件數(件)_年增率(%),走私金額(新台幣千元)_原始值,走私金額(新台幣千元)_年增率(%),私造菸酒件數(件)_原始值,私造菸酒件數(件)_年增率(%),私造菸酒金額(新台幣千元)_原始值,私造菸酒金額(新台幣千元)_年增率(%),侵害智慧財產權件數(件)_原始值,侵害智慧財產權件數(件)_年增率(%),侵害智慧財產權金額(新台幣千元)_原始值,侵害智慧財產權金額(新台幣千元)_年增率(%),盜採砂(土)石件數(件)_原始值,盜採砂(土)石件數(件)_年增率(%),濫盜(伐)林木件數 (件)_原始值,濫盜(伐)林木件數 (件)_年增率(%),濫墾林地、山坡地件數(件)_原始值,濫墾林地、山坡地件數(件)_年增率(%),違反公平交易法件數(件)_原始值,違反公平交易法件數(件)_年增率(%),違反公平交易法金額(新台幣千元)_原始值,違反公平交易法金額(新台幣千元)_年增率(%),其他件數(件)_原始值,其他件數(件)_年增率(%),其他金額(新台幣千元)_原始值,其他金額(新台幣千元)_年增率(%)
2005M02,534,-8.72,"804,237",-66.73,50,-35.06,"30,544",-21.28,46,109.09,"6,669",275.72,38,-25.49,"22,619",-77.71,16,-36.00,"8,472",-77.58,365,-2.67,"734,351",-67.02,8,-50.00,3,-25.00,8,-42.86,0,--,0,--,0,-100.00,"1,583",-85.73
2005M03,604,16.60,"1,352,621",31.88,63,-25.00,"79,346",-31.09,101,320.83,"16,699",578.82,33,-42.11,"100,616",47.76,25,31.58,"1,886",-88.04,324,10.96,"1,142,146",42.45,19,-13.64,14,366.67,25,56.25,0,--,0,--,0,-100.00,"11,927",-46.80
2005M04,624,23.32,"1,139,060",35.37,153,66.30,"419,277",89.35,33,10.00,999,-78.77,35,-12.50,"48,057",166.07,12,-29.41,721,-78.06,352,25.27,"659,058",27.23,19,-5.00,10,0.00,10,-37.50,0,--,0,--,0,--,"10,946",-85.59
2005M05,770,42.86,"1,449,459",172.19,62,-28.74,"173,345",958.40,45,50.00,"2,170",-58.20,51,30.77,"83,284",-48.66,15,-25.00,838,-84.52,557,72.45,"1,158,606",261.40,25,47.06,4,33.33,11,-45.00,0,--,0,--,0,--,"31,216",37.38
2005M06,649,24.57,"1,012,461",50.09,120,25.00,"84,426",10.37,37,94.74,"6,238",763.99,27,-46.00,"48,452",-29.45,15,-55.88,"12,580",59.28,407,53.01,"846,389",94.73,22,-26.67,10,100.00,11,-45.00,0,--,0,--,0,-100.00,"14,375",-83.31
2005M07,546,-10.93,"695,099",12.16,78,0.00,"136,338",192.73,28,-22.22,"4,389",28.11,12,-67.57,"7,666",-91.09,7,-22.22,144,-98.86,378,-11.27,"536,713",14.78,14,100.00,7,75.00,22,37.50,0,--,0,--,0,--,"9,850",184.52
2005M08,715,26.10,"1,391,748",149.53,124,69.86,"250,768",690.29,24,-4.00,"1,885",-29.82,47,30.56,"101,158",24.48,9,125.00,"16,673","2,457.21",475,20.25,"1,017,910",166.53,13,30.00,6,-14.29,17,6.25,0,--,0,--,0,-100.00,"3,354",-94.36
2005M09,549,7.44,"775,563",98.77,62,-54.41,"74,823",-7.65,52,73.33,"1,745",-16.35,28,-6.67,"27,939",-27.76,26,271.43,"4,573","11,934.21",365,35.19,"657,388",193.49,6,-62.50,5,-44.44,5,-61.54,0,--,0,--,0,--,"9,095",-79.51
2005M10,658,-3.94,"707,907",21.39,82,13.89,"157,444",-39.50,72,56.52,"2,408",-10.55,30,-25.00,"41,571",100.34,31,72.22,"11,669",10.22,293,-37.26,"456,627",63.62,53,194.44,21,133.33,75,400.00,1,--,0,--,0,--,"38,188",289.08
2005M11,673,17.66,"2,257,222",85.50,67,-36.79,"35,946",-41.76,47,4.44,"3,256",-14.38,42,40.00,"27,534",-86.37,8,-52.94,79,-95.02,478,43.54,"1,962,454",109.29,14,16.67,7,133.33,8,-69.23,2,--,"200,000",--,0,--,"27,951",178.67
2005M12,692,8.29,"1,610,048",64.50,161,64.29,"100,390",-53.83,41,-16.33,"1,113",-60.67,43,-14.00,"71,135",50.37,29,123.08,"17,400","1,040.98",391,1.03,"1,417,618",103.06,9,-47.06,6,-45.45,12,200.00,0,--,0,--,0,-100.00,"2,392",-79.23
2006M01,734,48.28,"1,976,699",394.63,65,4.84,"60,361",59.81,24,-68.00,"1,510",-59.26,52,40.54,"70,364",83.13,74,252.38,"15,499",121.54,485,84.41,"1,745,833",487.52,23,4.55,5,-28.57,6,-25.00,0,--,0,--,0,--,"83,132",433.51
2006M02,555,3.93,"3,638,458",352.41,76,52.00,"89,786",193.96,30,-34.78,"1,411",-78.84,19,-50.00,"11,246",-50.28,3,-81.25,28,-99.67,272,-25.48,"3,064,264",317.28,59,637.50,25,733.33,70,775.00,1,--,"150,000",--,0,--,"321,723","20,223.63"
2006M03,653,8.11,"1,497,454",10.71,218,246.03,"311,378",292.43,20,-80.20,"1,695",-89.85,30,-9.09,"28,064",-72.11,10,-60.00,"3,012",59.70,344,6.17,"1,139,385",-0.24,14,-26.32,8,-42.86,9,-64.00,0,--,0,--,0,--,"13,920",16.71
2006M04,632,1.28,"1,716,926",50.73,87,-43.14,"50,215",-88.02,34,3.03,"32,385","3,141.74",39,11.43,"46,767",-2.68,5,-58.33,"4,075",465.19,425,20.74,"1,566,600",137.70,14,-26.32,14,40.00,14,40.00,0,--,0,--,0,--,"16,884",54.25
2006M05,896,16.36,"3,372,395",132.67,199,220.97,"272,636",57.28,45,0.00,"3,756",73.09,87,70.59,"47,027",-43.53,77,413.33,"43,106","5,043.91",410,-26.39,"2,978,963",157.12,32,28.00,16,300.00,30,172.73,0,--,0,--,0,--,"26,907",-13.80
2006M06,766,18.03,"1,925,643",90.19,212,76.67,"452,902",436.45,25,-32.43,"2,208",-64.60,35,29.63,"18,586",-61.64,12,-20.00,"1,410",-88.79,439,7.86,"1,265,625",49.53,16,-27.27,6,-40.00,20,81.82,1,--,"180,000",--,0,--,"4,912",-65.83
2006M07,737,34.98,"2,858,649",311.26,291,273.08,"175,188",28.50,16,-42.86,"2,275",-48.17,30,150.00,"62,995",721.75,4,-42.86,"3,012","1,991.67",368,-2.65,"2,611,915",386.65,11,-21.43,7,0.00,10,-54.55,0,--,0,--,0,--,"3,265",-66.85
2006M08,"1,036",44.90,"3,066,812",120.36,345,178.23,"365,822",45.88,29,20.83,"2,925",55.17,37,-21.28,"55,676",-44.96,17,88.89,998,-94.01,578,21.68,"2,538,882",149.42,12,-7.69,10,66.67,7,-58.82,1,--,"54,000",--,0,--,"48,510","1,346.33"
2006M09,844,53.73,"2,829,633",264.85,218,251.61,"277,964",271.50,28,-46.15,"1,569",-10.09,80,185.71,"35,554",27.26,89,242.31,"11,078",142.25,397,8.77,"2,495,946",279.68,13,116.67,6,20.00,13,160.00,0,--,0,--,0,--,"7,521",-17.31
2006M10,697,5.93,"3,868,819",446.52,169,106.10,"143,757",-8.69,13,-81.94,873,-63.75,34,13.33,"144,694",248.06,6,-80.65,232,-98.01,384,31.06,"3,550,484",677.55,32,-39.62,23,9.52,36,-52.00,0,-100.00,0,--,0,--,"28,779",-24.64
2006M11,"1,009",49.93,"4,298,690",90.44,198,195.52,"158,188",340.07,11,-76.60,643,-80.25,252,500.00,"121,130",339.93,58,625.00,"18,947","23,883.54",450,-5.86,"3,991,003",103.37,14,0.00,8,14.29,18,125.00,0,-100.00,0,-100.00,0,--,"8,780",-68.59
2006M12,"1,267",83.09,"4,099,180",154.60,170,5.59,"101,059",0.67,11,-73.17,807,-27.49,271,530.23,"61,092",-14.12,109,275.86,"57,303",229.33,606,54.99,"3,661,094",158.26,40,344.44,17,183.33,42,250.00,1,--,"175,502",--,0,--,"42,324","1,669.40"
2007M01,927,26.29,"4,737,094",139.65,269,313.85,"122,519",102.98,20,-16.67,470,-68.87,180,246.15,"62,757",-10.81,33,-55.41,"5,024",-67.59,404,-16.70,"4,546,324",160.41,9,-60.87,3,-40.00,9,50.00,0,--,0,--,0,--,0,-100.00
2007M02,850,53.15,"3,117,106",-14.33,272,257.89,"194,022",116.09,15,-50.00,989,-29.91,143,652.63,"89,126",692.51,70,"2,233.33","17,490","62,364.29",327,20.22,"2,815,478",-8.12,13,-77.97,5,-80.00,5,-92.86,0,-100.00,0,-100.00,0,--,0,-100.00
2007M03,932,42.73,"6,455,956",331.13,230,5.50,"142,140",-54.35,17,-15.00,"1,236",-27.08,73,143.33,"120,791",330.41,24,140.00,"3,405",13.05,485,40.99,"6,188,385",443.13,37,164.29,18,125.00,48,433.33,0,--,0,--,0,--,0,-100.00
2007M04,"1,150",81.96,"7,795,051",354.01,245,181.61,"223,091",344.27,24,-29.41,"3,029",-90.65,93,138.46,"104,564",123.59,21,320.00,"9,680",137.55,748,76.00,"7,454,686",375.85,6,-57.14,5,-64.29,7,-50.00,1,--,0,--,0,--,0,-100.00
2007M05,837,-6.58,"4,476,494",32.74,216,8.54,"68,545",-74.86,16,-64.44,"1,327",-64.67,88,1.15,"86,375",83.67,51,-33.77,"2,006",-95.35,385,-6.10,"4,318,241",44.96,35,9.38,12,-25.00,34,13.33,0,--,0,--,0,--,0,-100.00
2007M06,"1,008",31.59,"2,887,395",49.94,188,-11.32,"255,360",-43.62,28,12.00,"2,884",30.62,72,105.71,"51,150",175.21,75,525.00,"6,518",362.27,620,41.23,"2,571,307",103.16,10,-37.50,8,33.33,4,-80.00,0,-100.00,0,-100.00,3,--,177,-96.40
2007M07,848,15.06,"3,163,904",10.68,192,-34.02,"154,714",-11.69,35,118.75,"2,956",29.93,90,200.00,"33,415",-46.96,42,950.00,"4,536",50.60,422,14.67,"1,968,284",-24.64,24,118.18,10,42.86,32,220.00,1,--,"1,000,000",--,0,--,0,-100.00
2007M08,"1,002",-3.28,"1,598,561",-47.88,212,-38.55,"176,140",-51.85,22,-24.14,"1,311",-55.18,77,108.11,"25,479",-54.24,20,17.65,"1,732",73.55,658,13.84,"1,393,900",-45.10,7,-41.67,2,-80.00,4,-42.86,0,-100.00,0,-100.00,0,--,0,-100.00
2007M09,912,8.06,"1,187,708",-58.03,231,5.96,"159,611",-42.58,18,-35.71,"1,142",-27.21,67,-16.25,"36,993",4.05,55,-38.20,"16,479",48.75,458,15.37,"973,484",-61.00,36,176.92,11,83.33,36,176.92,0,--,0,--,0,--,0,-100.00
2007M10,"1,168",67.58,"1,572,830",-59.35,232,37.28,"121,914",-15.19,23,76.92,"17,546","1,909.85",83,144.12,"40,557",-71.97,33,450.00,"17,000","7,227.59",783,103.91,"1,375,813",-61.25,6,-81.25,3,-86.96,5,-86.11,0,--,0,--,0,--,0,-100.00
2007M11,942,-6.64,"1,870,652",-56.48,225,13.64,"179,549",13.50,22,100.00,610,-5.13,69,-72.62,"50,269",-58.50,27,-53.45,"20,752",9.53,519,15.33,"1,619,460",-59.42,42,200.00,8,0.00,29,61.11,1,--,12,--,0,--,0,-100.00
2007M12,871,-31.25,"3,328,505",-18.80,197,15.88,"125,438",24.12,16,45.45,"1,293",60.22,86,-68.27,"32,767",-46.36,84,-22.94,"21,437",-62.59,462,-23.76,"3,108,180",-15.10,15,-62.50,4,-76.47,5,-88.10,2,100.00,"39,390",-77.56,0,--,0,-100.00
2008M01,929,0.22,"1,576,494",-66.72,202,-24.91,"90,327",-26.28,19,-5.00,"1,731",268.30,78,-56.67,"169,165",169.56,34,3.03,"17,530",248.93,573,41.83,"1,297,742",-71.46,6,-33.33,14,366.67,3,-66.67,0,--,0,--,0,--,0,--
2008M02,699,-17.76,"1,439,523",-53.82,236,-13.24,"535,581",176.04,19,26.67,"1,478",49.44,30,-79.02,"58,038",-34.88,12,-82.86,566,-96.76,285,-12.84,"843,861",-70.03,44,238.46,32,540.00,41,720.00,0,--,0,--,0,--,0,--
