期間,資產淨額=負債淨值淨額_原始值,資產淨額=負債淨值淨額_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款-計_原始值,資產--放款-計_年增率(%),資產--放款-政府機關_原始值,資產--放款-政府機關_年增率(%),資產--放款-公營事業_原始值,資產--放款-公營事業_年增率(%),資產--放款-民間部門_原始值,資產--放款-民間部門_年增率(%),資產--對非金融機構證券投資-計_原始值,資產--對非金融機構證券投資-計_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他金融機構_原始值,資產--對金融機構債權-其他金融機構_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-計_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-計_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-支票存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-支票存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-活期存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-活期存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-活期儲蓄存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-活期儲蓄存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-定期存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-定期存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-可轉讓定期存單_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-可轉讓定期存單_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-定期儲蓄存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-定期儲蓄存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-外匯存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-外匯存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-郵政儲金_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-郵政儲金_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-貨幣市場共同基金_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-貨幣市場共同基金_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--對金融機構負債-中央銀行_原始值,負債與淨值--對金融機構負債-中央銀行_年增率(%),負債與淨值--對金融機構負債-人壽保險公司等_原始值,負債與淨值--對金融機構負債-人壽保險公司等_年增率(%),負債與淨值--金融債券_原始值,負債與淨值--金融債券_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%),負債與淨值--其他項目(淨額)_原始值,負債與淨值--其他項目(淨額)_年增率(%)
1997M01,"16,279,950",6.70,"534,853",12.57,"11,297,925",4.71,"1,218,734",24.30,"394,436",1.28,"9,684,755",2.82,"1,806,346",35.74,"503,035",23.80,"62,311",12.25,"1,241,000",42.83,"197,978",-28.77,"2,073,198",-5.52,"24,554",16.03,"46,185",302.24,"298,911",88.97,"481,222",-11.36,"13,398,040",10.03,"310,056",1.83,"798,042",11.64,"1,896,223",21.09,"2,238,962",0.82,"226,161",-22.50,"5,331,079",10.43,"326,811",43.68,"2,270,706",12.24,-,-,"651,838",-7.20,"269,870",18.36,"315,444",19.62,"92,810",-5.87,"1,179,092",15.62,"-108,366",--
1997M02,"16,329,366",7.08,"539,927",18.63,"11,330,560",4.07,"1,250,793",26.16,"392,491",-1.02,"9,687,276",1.98,"1,784,830",38.16,"515,928",34.26,"61,667",18.73,"1,207,235",41.10,"192,988",-17.14,"2,230,026",4.19,"23,507",10.88,"46,185",302.24,"181,343",-13.45,"479,637",-9.05,"13,522,815",10.37,"284,865",5.07,"782,699",14.70,"1,937,057",19.88,"2,249,264",1.76,"229,435",-22.03,"5,377,955",10.14,"335,882",40.02,"2,325,658",13.15,-,-,"630,019",1.57,"277,181",22.23,"315,499",17.78,"83,516",-14.45,"1,185,344",15.48,"-164,645",--
1997M03,"16,534,217",8.47,"552,073",14.12,"11,346,481",3.72,"1,261,573",24.34,"398,231",0.84,"9,686,677",1.64,"1,990,718",53.84,"621,524",69.12,"52,360",-0.07,"1,316,834",50.64,"178,134",-19.62,"2,220,063",5.50,"20,706",-7.22,"46,184",302.23,"179,858",8.88,"496,333",-8.53,"13,552,816",10.40,"288,391",-0.58,"807,324",20.47,"1,949,003",20.57,"2,251,826",3.04,"221,875",-23.04,"5,386,133",9.81,"333,960",41.69,"2,314,304",11.01,-,-,"641,118",-0.54,"262,047",4.71,"343,592",29.66,"71,572",-29.62,"1,195,043",15.32,"-28,304",--
1997M04,"16,523,528",7.41,"537,009",18.44,"11,418,732",4.24,"1,267,788",21.92,"396,329",1.87,"9,754,615",2.40,"1,910,634",31.93,"612,272",47.62,"55,205",-4.33,"1,243,157",27.41,"157,048",-31.11,"2,262,330",7.80,"17,477",-15.81,"46,184",302.23,"174,114",2.87,"535,601",0.45,"13,494,841",9.30,"282,690",4.27,"796,985",12.93,"1,958,624",21.10,"2,228,692",2.94,"216,393",-26.57,"5,385,671",8.32,"327,576",39.09,"2,298,210",10.23,-,-,"649,362",-1.38,"266,111",9.97,"327,357",18.44,"58,965",-45.25,"1,207,364",15.36,"-16,073",--
1997M05,"16,586,049",6.70,"544,258",13.67,"11,468,073",4.81,"1,262,957",19.30,"393,215",3.27,"9,811,901",3.25,"1,927,285",21.34,"608,905",49.09,"55,163",-15.40,"1,263,217",13.32,"160,299",-32.68,"2,253,727",7.11,"19,839",0.91,"46,167",302.08,"166,401",2.88,"544,490",3.24,"13,536,598",8.63,"271,601",1.90,"815,016",16.67,"1,936,647",21.65,"2,258,455",0.98,"215,162",-25.04,"5,403,750",7.35,"343,211",33.92,"2,292,756",9.66,-,-,"682,117",-2.33,"268,157",13.08,"329,328",14.07,"62,554",-42.71,"1,207,965",15.34,"-45,160",--
1997M06,"16,738,154",5.84,"540,134",9.20,"11,787,920",6.70,"1,342,575",19.86,"395,780",6.96,"10,049,565",5.15,"1,733,664",5.70,"606,406",42.74,"61,250",-16.79,"1,066,008",-6.63,"149,762",-52.38,"2,285,965",9.43,"22,073",-3.85,"46,185",-1.20,"172,451",8.52,"555,819",11.72,"13,692,929",7.16,"324,594",-8.78,"871,267",15.52,"2,013,056",18.69,"2,209,732",-2.05,"234,513",-9.49,"5,397,989",6.40,"349,962",28.30,"2,291,816",8.60,-,-,"708,800",1.72,"287,932",17.82,"320,520",3.65,"64,968",-40.76,"1,224,559",10.15,"-117,373",--
1997M07,"16,806,948",6.14,"551,539",10.58,"11,845,214",7.88,"1,366,448",20.42,"388,712",7.23,"10,090,054",6.40,"1,747,470",1.42,"583,450",31.47,"46,066",-33.21,"1,117,954",-7.62,"146,563",-52.92,"2,272,839",8.66,"20,717",-0.31,"46,185",-1.20,"176,421",8.66,"591,518",22.25,"13,734,346",6.64,"293,103",-9.32,"882,429",18.77,"2,046,370",23.47,"2,198,890",-4.65,"235,339",-10.19,"5,386,649",4.94,"367,180",32.50,"2,324,386",6.76,-,-,"702,097",3.40,"288,915",18.14,"325,430",11.89,"65,407",-40.10,"1,242,647",10.43,"-143,412",--
1997M08,"16,702,676",5.59,"533,883",2.47,"12,027,249",9.03,"1,353,690",18.77,"385,258",5.78,"10,288,301",7.98,"1,522,187",-8.70,"538,599",21.00,"49,087",-28.36,"934,501",-18.99,"149,348",-43.66,"2,235,057",6.22,"23,040",8.63,"46,186",-1.20,"165,726",3.00,"556,071",12.83,"13,789,282",7.01,"325,415",24.43,"902,949",24.08,"2,007,147",22.96,"2,207,347",-5.84,"269,393",4.39,"5,378,479",3.75,"399,206",37.58,"2,299,346",5.12,-,-,"684,451",5.27,"298,774",18.93,"325,667",12.92,"65,356",-36.49,"1,264,684",10.58,"-281,609",--
1997M09,"16,797,417",5.39,"534,530",2.27,"12,143,342",9.83,"1,368,763",18.68,"408,148",9.80,"10,366,431",8.76,"1,600,330",-10.68,"595,914",17.50,"44,784",-36.01,"959,632",-20.99,"160,583",-40.11,"2,103,062",2.24,"29,513",17.00,"46,159",-1.25,"179,898",5.62,"529,928",9.06,"13,765,917",6.09,"324,641",9.53,"836,089",14.42,"1,945,774",19.22,"2,267,510",-3.52,"294,437",13.26,"5,376,477",3.09,"424,642",43.98,"2,296,347",4.58,-,-,"696,257",5.65,"313,697",25.03,"323,303",9.67,"67,159",-35.03,"1,277,916",10.75,"-176,760",--
1997M10,"16,850,217",5.74,"578,859",8.95,"12,122,630",9.99,"1,362,700",17.90,"388,719",5.32,"10,371,211",9.21,"1,756,241",-2.24,"594,593",21.16,"42,127",-41.46,"1,119,521",-9.26,"161,993",-40.58,"1,995,249",-4.03,"24,904",0.26,"46,159",-1.16,"164,182",0.78,"491,427",2.04,"13,941,799",6.63,"306,842",-1.12,"800,020",12.58,"1,967,294",18.26,"2,408,601",1.40,"349,681",41.42,"5,324,073",1.15,"505,669",72.06,"2,279,619",3.13,-,-,"648,944",1.50,"334,440",34.33,"319,850",8.81,"62,267",-39.54,"1,294,837",11.71,"-243,347",--
1997M11,"17,038,352",6.16,"595,841",13.78,"12,313,219",11.05,"1,362,985",15.27,"389,656",8.69,"10,560,578",10.62,"1,693,820",-7.83,"610,140",22.20,"44,754",-40.81,"1,038,926",-17.73,"159,568",-44.98,"2,043,389",-1.72,"26,781",8.28,"46,159",-1.16,"159,575",-0.56,"497,807",8.23,"14,047,519",6.86,"304,454",14.92,"833,864",10.68,"1,984,083",15.69,"2,463,139",5.00,"367,738",53.17,"5,279,064",-0.03,"552,955",70.83,"2,262,222",1.80,-,-,"653,545",0.58,"372,863",50.60,"308,752",1.97,"65,588",-35.07,"1,305,708",12.08,"-213,430",--
