期間,總計,公共集會類(A類),商業類(B類),工業、倉儲類(C類),休閒、文教類(D類),宗教、殯葬類(E類),衛生、福利、更生類(F類),辦公、服務類(G類),住宿類(H類)-宿舍安養(H1),住宿類(H類)-住宅(H2),危險物品類(I類),其他
2001M01,"2,537,628",...,"525,051","510,076","100,784",...,"5,789","167,301",...,"839,088",...,"389,539"
2001M02,"2,382,817",...,"180,743","817,175","137,387",...,"55,467","295,943",...,"585,506",...,"310,596"
2001M03,"2,919,415",...,"584,407","582,213","136,473",...,"110,003","263,277",...,"894,412",...,"348,630"
2001M04,"2,370,825",...,"334,698","443,491","148,831",...,0,"191,515",...,"859,640",...,"392,650"
2001M05,"2,880,840",...,"350,567","698,350","281,893",...,"6,621","149,145",...,"849,490",...,"544,774"
2001M06,"2,790,545",...,"350,125","669,620","171,327",...,"15,358","118,266",...,"782,655",...,"683,194"
2001M07,"2,574,711",...,"423,872","463,140","173,740",...,5,"161,208",...,"684,191",...,"668,555"
2001M08,"2,750,122",...,"280,418","562,303","320,006",...,"36,031","162,427",...,"736,989",...,"651,948"
2001M09,"2,129,147",...,"285,164","358,974","180,236",...,"46,983","87,918",...,"669,617",...,"500,255"
2001M10,"2,724,092",...,"451,784","433,595","324,330",...,"16,747","236,881",...,"840,513",...,"420,242"
2001M11,"2,858,464",...,"578,803","493,516","205,409",...,"3,085","262,925",...,"818,788",...,"495,938"
2001M12,"2,249,309",...,"285,514","360,247","177,117",...,"84,202","328,559",...,"566,829",...,"446,841"
2002M01,"2,272,196",...,"250,533","395,985","195,332",...,"71,543","119,229",...,"803,488",...,"436,086"
2002M02,"1,781,975",...,"343,444","202,512","171,250",...,"42,312","113,505",...,"550,843",...,"358,109"
2002M03,"2,001,137",...,"235,217","372,081","232,227",...,"3,434","146,546",...,"661,363",...,"350,269"
2002M04,"1,852,991",...,"168,770","228,605","173,453",...,0,"99,893",...,"820,501",...,"361,769"
2002M05,"2,564,145",...,"425,953","511,080","196,659",...,"22,718","129,369",...,"709,229",...,"569,137"
2002M06,"1,973,795",...,"184,740","352,280","99,119",...,"43,362","224,729",...,"766,879",...,"302,686"
2002M07,"1,865,541",...,"358,234","324,996","149,347",...,0,"109,374",...,"630,677",...,"292,913"
2002M08,"2,312,443",...,"247,232","196,704","684,718",...,"4,117","219,378",...,"664,867",...,"295,427"
2002M09,"1,508,872",...,"149,292","192,815","164,940",...,"3,530","166,756",...,"639,722",...,"191,817"
2002M10,"1,804,310",...,"207,112","307,054","181,208",...,"43,289","170,042",...,"650,349",...,"245,256"
2002M11,"2,044,107",...,"487,924","170,838","198,757",...,"53,073","142,593",...,"709,352",...,"281,570"
2002M12,"2,404,758",...,"439,941","220,073","186,428",...,"116,163","127,894",...,"925,561",...,"388,698"
2003M01,"2,732,786",...,"616,011","301,833","78,464",...,"26,885","296,588",...,"1,072,958",...,"340,047"
2003M02,"1,073,052",...,"169,689","100,777","96,642",...,"7,723","185,621",...,"321,318",...,"191,282"
2003M03,"2,029,201",...,"273,424","162,580","85,679",...,457,"335,221",...,"896,674",...,"275,166"
2003M04,"1,616,012",...,"252,689","230,461","105,440",...,"32,140","223,267",...,"595,713",...,"176,302"
2003M05,"2,154,017",...,"182,090","343,736","224,686",...,"108,924","416,261",...,"664,866",...,"213,454"
2003M06,"2,274,233",...,"543,684","322,277","60,509",...,"9,384","104,135",...,"999,972",...,"234,272"
2003M07,"2,506,289",...,"265,557","239,827","205,684",...,"6,167","271,482",...,"1,230,433",...,"287,139"
2003M08,"2,242,242",...,"330,266","232,375","289,452",...,"7,738","198,701",...,"919,784",...,"263,926"
2003M09,"2,534,875",...,"651,985","294,371","305,997",...,0,"137,959",...,"725,582",...,"418,981"
2003M10,"2,280,468",...,"272,240","406,929","275,435",...,"47,998","187,210",...,"899,500",...,"191,156"
2003M11,"2,433,255",...,"475,862","205,083","194,734",...,"2,741","179,488",...,"912,179",...,"463,168"
2003M12,"2,620,833",...,"501,016","194,539","134,286",...,"1,213","120,090",...,"1,420,103",...,"249,586"
2004M01,"1,841,446",...,"472,416","159,745","47,088",...,"13,497","74,489",...,"780,487",...,"293,724"
2004M02,"1,589,961",...,"167,228","154,286","277,383",...,327,"123,037",...,"685,438",...,"182,262"
2004M03,"2,188,999",...,"213,642","223,929","258,476",...,"150,427","110,134",...,"815,947",...,"416,444"
2004M04,"1,611,775",...,"200,534","177,740","121,795",...,"96,577","59,762",...,"707,236",...,"248,131"
