期間,資產淨額=負債淨值淨額_原始值,資產淨額=負債淨值淨額_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款-計_原始值,資產--放款-計_年增率(%),資產--放款-政府機關_原始值,資產--放款-政府機關_年增率(%),資產--放款-公營事業_原始值,資產--放款-公營事業_年增率(%),資產--放款-民間部門_原始值,資產--放款-民間部門_年增率(%),資產--對非金融機構證券投資-計_原始值,資產--對非金融機構證券投資-計_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他金融機構_原始值,資產--對金融機構債權-其他金融機構_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-計_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-計_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-支票存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-支票存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-活期存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-活期存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-活期儲蓄存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-活期儲蓄存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-定期存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-定期存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-可轉讓定期存單_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-可轉讓定期存單_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-定期儲蓄存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-定期儲蓄存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-外匯存款_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-外匯存款_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-郵政儲金_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-郵政儲金_年增率(%),負債與淨值--企業及個人之存款與貨幣市場共同基金-貨幣市場共同基金_原始值,負債與淨值--企業及個人之存款與貨幣市場共同基金-貨幣市場共同基金_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--對金融機構負債-中央銀行_原始值,負債與淨值--對金融機構負債-中央銀行_年增率(%),負債與淨值--對金融機構負債-人壽保險公司等_原始值,負債與淨值--對金融機構負債-人壽保險公司等_年增率(%),負債與淨值--金融債券_原始值,負債與淨值--金融債券_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%),負債與淨值--其他項目(淨額)_原始值,負債與淨值--其他項目(淨額)_年增率(%)
2010M01,"34,486,502",5.82,"3,432,953",-1.78,"18,658,127",1.69,"1,663,094",22.32,"730,125",-4.24,"16,264,908",0.24,"2,959,087",-1.06,"1,945,816",1.64,"202,861",-15.17,"810,410",-3.18,"118,842",-12.18,"9,051,353",23.65,2,-99.58,1,0.00,"266,137",-11.07,"1,717,236",-20.53,"28,003,347",6.03,"357,310",13.55,"2,643,479",36.42,"6,599,659",28.38,"4,022,549",-5.90,"139,670",-3.68,"7,461,307",-6.42,"2,316,301",3.00,"4,461,284",2.01,"1,788",-34.98,"778,218",10.30,"181,034",219.02,"823,122",40.53,"786,889",-9.60,"2,189,870",8.97,"6,786",--
2010M02,"34,517,615",4.48,"3,331,238",-11.53,"18,657,514",2.90,"1,661,093",19.23,"701,228",-3.08,"16,295,193",1.75,"3,014,977",-1.15,"1,970,680",0.88,"219,799",-17.07,"824,498",-0.85,"110,314",-13.86,"9,153,906",17.99,2,-99.77,1,0.00,"249,663",22.22,"1,782,270",-15.25,"28,014,121",4.58,"338,349",7.69,"2,568,138",25.84,"6,632,570",25.87,"4,051,136",-4.93,"149,310",3.08,"7,451,257",-6.28,"2,290,119",-5.23,"4,531,394",3.29,"1,848",-29.81,"736,608",0.49,"197,295",325.70,"874,378",36.60,"763,907",-10.56,"2,190,728",8.42,"-41,692",--
2010M03,"34,733,884",4.45,"3,411,309",-9.57,"18,606,632",2.82,"1,590,884",15.01,"681,621",-5.92,"16,334,127",2.16,"2,969,507",-4.92,"1,956,552",-2.91,"227,816",-11.90,"785,139",-7.56,"112,196",-4.51,"9,429,865",18.72,2,-99.77,1,0.00,"204,372",2.45,"1,755,510",-10.70,"28,088,802",4.00,"311,338",9.76,"2,607,256",19.76,"6,631,657",20.65,"4,089,723",-3.35,"155,441",23.04,"7,453,741",-5.86,"2,322,002",-3.02,"4,515,731",3.13,"1,913",-31.53,"749,086",2.30,"141,317",142.58,"925,008",38.80,"750,096",-6.39,"2,201,611",7.89,"122,454",--
2010M04,"34,993,087",4.70,"3,378,486",-10.16,"18,719,384",3.52,"1,541,028",8.32,"731,024",-0.92,"16,447,332",3.30,"2,995,957",-5.17,"1,976,578",-2.25,"216,764",-10.99,"802,615",-10.19,"111,454",-3.28,"9,585,697",18.38,2,-99.75,1,0.00,"202,106",-2.33,"1,779,026",-6.03,"28,169,343",3.96,"312,366",11.00,"2,649,222",18.36,"6,709,518",18.41,"4,113,459",-2.13,"150,139",23.59,"7,448,411",-5.41,"2,279,532",-2.42,"4,504,537",3.03,"2,159",-20.97,"782,212",6.04,"197,391",291.14,"907,428",25.50,"750,962",-6.86,"2,208,149",8.70,"198,576",132.26
2010M05,"35,024,266",3.87,"3,215,495",-15.63,"18,937,150",4.85,"1,519,251",9.73,"755,702",1.70,"16,662,197",4.57,"2,943,038",-7.23,"1,949,664",-4.34,"203,843",-12.66,"789,531",-12.38,"109,446",-5.15,"9,616,490",15.23,2,-99.82,1,0.00,"202,644",-4.37,"1,971,654",7.69,"28,087,636",3.29,"326,461",5.35,"2,665,796",20.30,"6,573,759",11.39,"4,134,591",0.36,"179,716",52.16,"7,446,217",-4.90,"2,267,566",-2.05,"4,491,782",2.51,"1,748",-14.98,"818,313",11.62,"239,188",45.89,"919,669",22.19,"746,225",-7.02,"2,219,775",8.62,"21,806",-88.97
2010M06,"34,939,650",3.93,"3,088,967",-16.70,"19,028,853",5.16,"1,437,753",8.62,"761,382",2.60,"16,829,718",4.99,"2,890,519",-5.06,"1,924,290",-3.37,"205,295",-3.56,"760,934",-9.45,"111,649",4.58,"9,618,893",13.58,2,0.00,1,0.00,"200,766",3.12,"1,847,783",9.45,"28,199,308",3.65,"334,761",9.96,"2,754,467",15.42,"6,589,738",12.20,"4,149,436",1.27,"196,694",61.31,"7,461,145",-4.14,"2,227,332",-1.92,"4,483,951",2.70,"1,784",-10.84,"799,900",6.54,"127,174",-16.93,"1,005,811",34.73,"754,582",-6.02,"2,210,742",7.64,"-5,650",--
2010M07,"35,087,215",3.86,"3,037,675",-17.21,"19,178,157",5.77,"1,464,784",3.94,"773,009",-0.41,"16,940,364",6.23,"2,868,065",-2.98,"1,888,821",-1.19,"202,714",9.87,"776,530",-9.71,"112,228",8.36,"9,689,134",11.00,2,-99.75,1,0.00,"201,953",4.08,"1,927,333",17.06,"28,401,544",3.87,"369,810",27.92,"2,699,402",14.33,"6,750,669",11.02,"4,114,590",0.99,"193,719",56.20,"7,481,388",-3.43,"2,256,129",0.42,"4,534,155",2.63,"1,682",-12.12,"772,499",1.97,"139,617",-28.88,"963,700",29.72,"751,480",-5.16,"2,237,379",7.72,"-106,337",--
2010M08,"35,415,483",4.51,"3,053,850",-18.50,"19,358,084",6.21,"1,478,750",-1.21,"776,579",1.56,"17,102,755",7.12,"2,895,382",2.02,"1,885,272",2.12,"200,797",10.62,"809,313",-0.13,"107,437",1.35,"9,801,432",11.71,2,0.00,1,0.00,"199,295",1.95,"2,136,794",18.16,"28,491,504",4.43,"336,640",9.81,"2,838,832",15.00,"6,796,179",11.65,"4,079,105",3.27,"188,605",75.09,"7,483,568",-2.85,"2,255,425",0.55,"4,511,584",2.18,"1,566",-19.49,"785,853",3.13,"123,002",-32.05,"936,977",24.96,"759,515",-4.27,"2,254,925",8.97,"-73,087",--
2010M09,"35,511,288",4.55,"3,109,144",-15.97,"19,375,967",5.95,"1,441,940",-1.46,"788,410",6.52,"17,145,617",6.60,"2,874,086",-0.01,"1,907,978",1.30,"182,279",1.02,"783,829",-3.28,"105,405",2.92,"9,846,474",11.75,2,-98.96,1,0.00,"200,209",4.31,"2,099,276",14.30,"28,632,537",4.69,"321,247",7.14,"2,728,374",13.65,"6,974,135",11.53,"4,043,288",3.23,"171,353",49.80,"7,492,368",-2.29,"2,384,986",4.92,"4,515,387",2.15,"1,399",-39.01,"812,376",5.97,"153,945",-20.33,"890,805",27.71,"764,862",-3.42,"2,289,650",8.70,"-132,163",--
2010M10,"35,768,674",5.08,"3,141,432",-12.14,"19,468,816",6.92,"1,428,167",4.12,"793,862",10.64,"17,246,787",7.00,"2,938,998",-0.39,"1,975,887",1.08,"173,854",-9.54,"789,257",-1.76,"106,139",2.61,"9,911,288",10.03,102,142.86,1,0.00,"201,898",4.10,"1,968,666",11.09,"28,900,222",4.84,"359,949",9.64,"2,733,391",7.21,"6,984,407",9.31,"4,135,464",5.70,"178,598",49.94,"7,483,590",-1.51,"2,505,382",11.83,"4,517,742",2.08,"1,699",-30.74,"809,381",7.45,"122,536",-32.43,"890,868",29.40,"762,297",-4.67,"2,300,730",8.20,"13,974",-90.82
2010M11,"35,880,631",5.16,"3,051,822",-14.28,"19,550,603",6.65,"1,398,325",-2.68,"766,036",6.16,"17,386,242",7.50,"3,051,006",3.96,"2,050,429",5.65,"188,906",1.21,"811,671",0.54,"105,971",7.03,"9,916,961",10.24,2,0.00,1,0.00,"204,265",3.06,"1,847,536",-0.17,"29,015,569",4.98,"335,949",7.00,"2,835,429",7.85,"7,011,055",9.27,"4,150,040",5.60,"189,830",37.86,"7,487,867",-0.66,"2,500,263",11.31,"4,503,378",1.78,"1,758",-21.76,"847,610",12.06,"102,805",-49.50,"891,943",34.08,"766,826",-3.06,"2,305,573",7.63,"102,769",39.62
2010M12,"36,407,936",5.49,"3,168,000",-8.75,"19,852,506",6.74,"1,525,105",0.97,"791,888",7.91,"17,535,513",7.22,"3,044,992",2.26,"2,067,752",4.80,"186,699",1.18,"790,541",-3.60,"110,064",16.65,"10,023,596",9.42,2,0.00,1,0.00,"208,775",-0.53,"1,918,491",10.80,"29,391,589",5.06,"352,769",4.60,"2,935,099",9.74,"7,173,405",8.90,"4,191,313",5.50,"192,569",28.01,"7,471,306",-0.22,"2,575,206",10.00,"4,498,514",1.74,"1,408",-27.94,"834,484",8.11,"58,126",-69.53,"910,642",11.69,"800,783",0.35,"2,320,305",6.27,"173,516",260.25
2011M01,"36,596,425",6.12,"3,120,711",-9.10,"20,200,869",8.27,"1,760,402",5.85,"761,892",4.35,"17,678,575",8.69,"3,081,319",4.13,"2,016,996",3.66,"210,377",3.71,"853,946",5.37,"109,575",-7.80,"9,763,847",7.87,2,0.00,1,0.00,"320,101",20.28,"1,954,229",13.80,"29,494,746",5.33,"369,306",3.36,"2,766,319",4.65,"7,290,170",10.46,"4,258,505",5.87,"197,608",41.48,"7,527,046",0.88,"2,478,887",7.02,"4,605,369",3.23,"1,536",-14.09,"702,959",-9.67,"146,538",-19.05,"921,272",11.92,"793,550",0.85,"2,347,688",7.21,"235,443","3,369.54"
2011M02,"36,822,410",6.68,"3,122,219",-6.27,"20,228,337",8.42,"1,774,899",6.85,"749,676",6.91,"17,703,762",8.64,"3,100,211",2.83,"2,039,146",3.47,"210,808",-4.09,"850,257",3.12,"110,243",-0.06,"10,029,774",9.57,2,0.00,1,0.00,"231,623",-7.23,"2,052,107",15.14,"29,660,641",5.88,"374,103",10.57,"2,832,177",10.28,"7,245,823",9.25,"4,368,551",7.84,"199,271",33.46,"7,556,310",1.41,"2,459,276",7.39,"4,623,702",2.04,"1,428",-22.73,"723,964",-1.72,"148,974",-24.49,"883,213",1.01,"791,216",3.57,"2,346,877",7.13,"215,418",--
2011M03,"36,666,800",5.56,"2,953,488",-13.42,"20,254,795",8.86,"1,713,756",7.72,"776,575",13.93,"17,764,464",8.76,"3,086,292",3.93,"2,035,651",4.04,"214,675",-5.77,"835,966",6.47,"116,376",3.73,"10,042,769",6.50,401,"19,950.00",1,0.00,"212,678",4.06,"1,974,304",12.46,"29,689,528",5.70,"328,395",5.48,"2,902,428",11.32,"7,184,298",8.33,"4,402,945",7.66,"208,447",34.10,"7,560,478",1.43,"2,491,298",7.29,"4,609,774",2.08,"1,465",-23.42,"725,408",-3.16,"103,717",-26.61,"870,445",-5.90,"816,309",8.83,"2,351,642",6.81,"135,447",10.61
