期間,定期存款--合計_原始值,定期存款--合計_年增率(%),定期存款--合計_原始值,定期存款--合計_年增率(%),定期存款--未滿3個月_原始值,定期存款--未滿3個月_年增率(%),定期存款--未滿3個月_原始值,定期存款--未滿3個月_年增率(%),定期存款--滿3個月~未滿6個月_原始值,定期存款--滿3個月~未滿6個月_年增率(%),定期存款--滿3個月~未滿6個月_原始值,定期存款--滿3個月~未滿6個月_年增率(%),定期存款--滿6個月~未滿9個月_原始值,定期存款--滿6個月~未滿9個月_年增率(%),定期存款--滿6個月~未滿9個月_原始值,定期存款--滿6個月~未滿9個月_年增率(%),定期存款--滿9個月~未滿12個月_原始值,定期存款--滿9個月~未滿12個月_年增率(%),定期存款--滿9個月~未滿12個月_原始值,定期存款--滿9個月~未滿12個月_年增率(%),定期存款--1年期以上_原始值,定期存款--1年期以上_年增率(%),定期存款--1年期以上_原始值,定期存款--1年期以上_年增率(%),定期儲蓄存款--合計_原始值,定期儲蓄存款--合計_年增率(%),定期儲蓄存款--合計_原始值,定期儲蓄存款--合計_年增率(%),定期儲存存款--未滿2年_原始值,定期儲存存款--未滿2年_年增率(%),定期儲存存款--未滿2年_原始值,定期儲存存款--未滿2年_年增率(%),定期儲蓄存款--滿2年~未滿3年_原始值,定期儲蓄存款--滿2年~未滿3年_年增率(%),定期儲蓄存款--滿2年~未滿3年_原始值,定期儲蓄存款--滿2年~未滿3年_年增率(%),定期儲蓄存款--3年以上_原始值,定期儲蓄存款--3年以上_年增率(%),定期儲蓄存款--3年以上_原始值,定期儲蓄存款--3年以上_年增率(%)
1997M01,"1,025,760",-19.17,"2,349,221",-5.65,"74,688",-19.88,"116,064",-29.26,"198,185",-23.11,"228,845",-21.99,"491,203",-11.65,"500,764",0.62,"76,699",7.77,"109,850",33.31,"184,985",-36.42,"1,393,699",-4.04,"4,933,985",1.91,"3,664,898",2.95,"4,236,130",1.66,"3,081,111",3.57,"578,155",4.74,"448,154",-1.97,"119,700",-2.20,"135,633",6.16
1997M02,"1,040,411",-19.33,"2,363,736",-4.92,"79,193",-19.19,"123,848",-14.86,"202,058",-22.16,"226,506",-23.00,"493,566",-13.09,"503,281",-0.93,"80,465",9.80,"113,947",37.10,"185,129",-36.38,"1,396,155",-4.06,"4,990,044",0.90,"3,698,092",2.85,"4,283,304",0.49,"3,110,018",3.39,"584,386",4.36,"450,277",-2.45,"122,354",-0.82,"137,797",9.25
1997M03,"1,035,270",-19.08,"2,366,380",-3.64,"77,221",-16.39,"122,673",-13.05,"202,269",-20.27,"217,406",-17.28,"487,029",-14.56,"495,538",-4.26,"83,520",12.30,"119,170",44.64,"185,231",-35.88,"1,411,593",-2.77,"4,986,929",0.19,"3,708,991",2.67,"4,278,007",-0.34,"3,122,356",3.05,"585,963",4.25,"448,729",-2.35,"122,959",0.10,"137,906",12.04
1997M04,"1,025,766",-19.43,"2,345,038",-5.11,"76,337",-12.47,"125,886",-17.50,"198,920",-19.82,"208,721",-16.32,"481,051",-16.17,"480,617",-7.97,"84,519",13.84,"114,535",44.72,"184,939",-36.17,"1,415,278",-3.58,"4,977,127",-1.16,"3,713,654",1.61,"4,266,870",-1.90,"3,123,408",1.71,"586,959",4.19,"449,937",-1.43,"123,298",0.47,"140,308",10.00
1997M05,"1,015,129",-20.98,"2,372,418",-7.13,"78,872",-8.75,"140,367",-10.50,"193,682",-20.74,"210,538",-21.12,"476,844",-18.43,"481,450",-13.20,"83,706",14.05,"113,098",43.49,"182,025",-38.48,"1,426,966",-4.70,"4,924,346",-3.50,"3,731,109",0.62,"4,217,313",-4.43,"3,140,444",0.62,"584,124",2.99,"449,806",-1.47,"122,909",0.14,"140,859",7.97
1997M06,"1,005,170",-24.94,"2,335,692",-10.64,"76,261",-12.91,"139,334",-13.76,"187,389",-24.21,"203,696",-24.86,"476,380",-23.62,"471,209",-20.57,"83,564",8.87,"109,187",29.85,"181,576",-40.25,"1,412,267",-6.09,"4,921,500",-8.85,"3,739,048",-2.61,"4,214,602",-8.69,"3,149,923",-2.13,"583,296",-11.41,"448,487",-8.25,"123,602",-0.90,"140,637",6.63
1997M07,"1,009,276",-25.39,"2,344,795",-12.19,"80,806",-14.35,"165,556",14.10,"189,026",-28.75,"209,138",-30.37,"472,351",-21.95,"462,909",-23.07,"82,793",4.18,"109,810",8.61,"184,300",-39.67,"1,397,380",-7.98,"4,945,605",-9.33,"3,739,939",-3.80,"4,234,264",-7.59,"3,145,178",-3.03,"585,661",1.85,"452,567",0.43,"125,680",1.28,"142,193",9.00
1997M08,"1,007,610",-26.28,"2,381,647",-11.99,"94,838",-0.50,"230,653",50.94,"190,599",-22.25,"224,712",-22.21,"458,748",-27.17,"435,595",-29.04,"80,403",-2.48,"108,308",5.48,"183,022",-41.70,"1,382,380",-10.69,"4,922,216",-10.68,"3,736,272",-4.77,"4,209,768",-10.70,"3,134,405",-5.02,"586,249",-12.56,"458,076",-6.67,"126,199",0.03,"143,792",8.64
1997M09,"1,112,037",-18.48,"2,507,240",-8.49,"121,100",43.77,"329,386",129.73,"233,392",-6.37,"258,658",-12.12,"467,819",-25.32,"449,105",-27.20,"89,657",6.31,"109,151",0.73,"200,069",-37.47,"1,360,939",-13.70,"5,132,374",-7.59,"3,836,794",-2.64,"4,393,971",-7.61,"3,227,790",-2.66,"604,528",-9.99,"463,817",-5.45,"133,875",5.92,"145,186",8.20
1997M10,"1,216,350",-12.07,"2,623,714",-5.28,"173,127",95.13,"431,822",188.31,"276,303",7.94,"311,861",6.83,"503,235",-19.74,"472,623",-24.43,"78,126",-9.82,"95,584",-15.84,"185,559",-42.88,"1,311,824",-17.46,"5,123,586",-9.47,"3,807,825",-4.72,"4,396,796",-8.61,"3,197,806",-4.79,"594,555",-12.23,"464,450",-7.35,"132,235",-22.65,"145,568",6.77
