期間,總計,關稅,礦區稅,所得稅,所得稅-營利事業所得稅,所得稅-綜合所得稅,遺產稅,贈與稅,貨物稅,證券交易稅,期貨交易稅,營業稅,印花稅,使用牌照稅,土地稅,土地稅-田賦,土地稅-地價稅,土地稅-土地增值稅,房屋稅,娛樂稅,契稅,教育臨時捐,公賣利益(應繳庫數),菸酒稅,金融保險業營業稅,健康福利捐,特種貨物稅及勞務稅
1961M01,34.251,...,...,...,...,...,...,...,...,...,-,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-
1961M02,31.845,...,...,...,...,...,...,...,...,...,-,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-
1961M03,45.277,...,...,...,...,...,...,...,...,...,-,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-
1961M04,38.972,...,...,...,...,...,...,...,...,...,-,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-
1961M05,38.585,...,...,...,...,...,...,...,...,...,-,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-
1961M06,52.772,...,...,...,...,...,...,...,...,...,-,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-
1961M07,43.518,...,...,...,...,...,...,...,...,...,-,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-
1961M08,40.707,...,...,...,...,...,...,...,...,...,-,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-
1961M09,36.303,...,...,...,...,...,...,...,...,...,-,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-
1961M10,37.089,...,...,...,...,...,...,...,...,...,-,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-
1961M11,45.100,...,...,...,...,...,...,...,...,...,-,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-
1961M12,46.078,...,...,...,...,...,...,...,...,...,-,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-
1962M01,48.878,...,...,...,...,...,...,...,...,...,-,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-
