期間,金融機構準備金-應提準備之存款合計(新台幣百萬元)_原始值,金融機構準備金-應提準備之存款合計(新台幣百萬元)_年增率(%),金融機構準備金-應提準備(新台幣百萬元)_原始值,金融機構準備金-應提準備(新台幣百萬元)_年增率(%),金融機構準備金-實際準備-合計(新台幣百萬元)_原始值,金融機構準備金-實際準備-合計(新台幣百萬元)_年增率(%),金融機構準備金-實際準備-存放央行(新台幣百萬元)_原始值,金融機構準備金-實際準備-存放央行(新台幣百萬元)_年增率(%),金融機構準備金-實際準備-存放其他行庫及跨行專戶(新台幣百萬元)_原始值,金融機構準備金-實際準備-存放其他行庫及跨行專戶(新台幣百萬元)_年增率(%),金融機構準備金-實際準備-庫存現金(新台幣百萬元)_原始值,金融機構準備金-實際準備-庫存現金(新台幣百萬元)_年增率(%),金融機構準備金-超額準備(新台幣百萬元)_原始值,金融機構準備金-超額準備(新台幣百萬元)_年增率(%),金融機構準備金-由央行融通(新台幣百萬元)_原始值,金融機構準備金-由央行融通(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-應提流動準備基礎(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-應提流動準備基礎(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-法定比率(%)_原始值,其他貨幣機構流動比率與流動準備-法定比率(%)_年增率(%),其他貨幣機構流動比率與流動準備-法定流動準備(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-法定流動準備(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-合計(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-合計(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-超額準備(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-超額準備(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-銀行互拆借差(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-銀行互拆借差(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-國庫券(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-國庫券(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-央行定期存單(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-央行定期存單(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-可轉讓定期存單淨額(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-可轉讓定期存單淨額(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-銀行承兌匯票(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-銀行承兌匯票(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-商業本票(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-商業本票(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-公債(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-公債(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-公司債(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-公司債(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-金融債券及其他(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-金融債券及其他(新台幣百萬元)_年增率(%),其他貨幣機構流動比率與流動準備-實際流動準備-轉存指定行庫一年期以下存款(新台幣百萬元)_原始值,其他貨幣機構流動比率與流動準備-實際流動準備-轉存指定行庫一年期以下存款(新台幣百萬元)_年增率(%)
1997M01,"12,892,100",9.12,"1,200,359",0.54,"1,225,878",2.15,"971,817",2.14,"71,616",-28.65,"182,445",23.09,"25,519",317.93,"1,097",51.31,"12,504,250",7.19,7,0.00,"875,299",7.19,"2,633,254",20.79,"28,188",224.97,"102,808",58.02,"11,264",-8.96,"58,508",-1.79,"31,932",5.43,"160,529",-15.59,"802,572",45.85,"370,552",16.71,"79,521",154.06,"59,040",-8.30,"928,340",9.16
1997M02,"12,977,260",9.59,"1,205,524",1.82,"1,210,175",1.70,"961,441",7.07,"71,202",-7.33,"177,533",-17.52,"4,651",-23.01,"1,875",158.62,"12,514,640",7.77,7,0.00,"876,028",7.77,"2,528,356",25.12,"8,080",-12.89,"109,407",25.89,"10,835",-23.48,"14,850",37.26,"21,244",-9.82,"152,977",-3.84,"784,822",61.80,"344,125",18.73,"79,741",153.96,"57,251",-9.44,"945,024",11.52
1997M03,"13,087,640",10.69,"1,219,874",7.08,"1,222,401",6.62,"988,214",9.00,"74,875",-5.86,"159,312",-0.64,"2,527",-65.08,43,-92.35,"12,666,820",8.93,7,0.00,"886,674",8.93,"2,569,142",23.95,"5,964",-37.82,"88,559",5.37,"12,065",-33.89,"37,285",--,"23,640",36.06,"149,322",-7.73,"808,975",52.16,"355,607",21.08,"79,765",147.23,"48,354",-26.37,"959,606",11.79
1997M04,"13,061,130",9.55,"1,217,211",7.93,"1,223,658",6.70,"990,022",8.48,"72,005",-8.69,"161,631",4.06,"6,447",-66.22,"2,820",417.43,"12,640,950",8.16,7,0.00,"884,866",8.16,"2,526,805",17.69,"11,802",-45.62,"87,828",-23.12,"6,509",-51.98,"49,226",--,"19,081",-3.91,"144,456",-12.66,"771,629",37.33,"339,465",20.30,"80,314",138.78,"38,172",-42.59,"978,323",12.70
1997M05,"13,047,610",8.43,"1,215,794",7.09,"1,214,230",5.01,"987,384",6.52,"71,725",-9.95,"155,121",3.63,"-1,564",--,"3,360",516.51,"12,649,590",6.95,7,0.00,"885,472",6.95,"2,518,814",9.13,"3,971",-82.16,"77,844",-20.65,0,-100.00,"69,463",--,"16,316",-30.15,"126,286",-37.07,"787,455",19.61,"336,798",7.69,"81,738",119.74,"33,605",-52.45,"985,338",12.61
1997M06,"13,121,330",7.32,"1,226,378",5.94,"1,235,843",5.19,"1,006,684",6.82,"73,257",-11.33,"155,902",4.10,"9,465",-44.80,"7,521","1,280.00","12,752,290",6.31,7,0.00,"892,663",6.31,"2,535,485",6.01,"10,920",-42.84,"98,580",29.86,"2,981",-76.48,"64,231",878.09,"17,926",-35.85,"114,499",-47.71,"776,487",6.89,"339,971",10.49,"83,592",95.56,"37,174",-47.76,"989,124",12.07
1997M07,"13,212,990",6.33,"1,244,388",5.53,"1,245,492",5.18,"1,011,624",6.41,"75,378",-9.21,"158,490",5.29,"1,104",-78.08,"9,420","1,628.44","12,813,750",5.65,7,0.00,"896,965",5.65,"2,339,805",-5.83,"6,983",-13.56,"99,401",29.02,"15,498",-48.66,"75,903",67.20,"13,697",-61.32,"81,251",-61.55,"616,362",-18.20,"325,110",4.17,"84,056",67.23,"37,377",-46.82,"984,167",10.44
1997M08,"13,188,070",5.79,"1,242,797",6.31,"1,248,498",6.62,"1,019,796",8.09,"71,704",-7.93,"156,998",4.91,"5,701",199.11,"12,708",286.61,"12,802,440",5.39,7,0.00,"896,171",5.39,"2,171,071",-14.19,"7,760",60.36,"92,571",3.66,"19,155",-46.80,"45,339",-7.86,"9,616",-69.88,"66,065",-70.00,"541,460",-29.10,"283,518",-9.00,"84,326",51.59,"38,283",-43.04,"982,978",9.18
1997M09,"13,193,990",5.29,"1,229,251",6.66,"1,238,740",6.60,"1,009,748",7.49,"69,126",-8.03,"159,866",8.39,"9,489",-0.05,"11,771","2,059.82","12,779,100",4.72,7,0.00,"894,540",4.72,"2,059,275",-19.06,"15,423",33.37,"91,866",-9.82,"14,659",-61.32,"13,445",-70.29,"9,260",-71.34,"52,810",-74.29,"506,410",-31.89,"276,657",-17.41,"84,057",47.87,"38,645",-42.57,"956,043",5.38
1997M10,"13,186,990",4.58,"1,134,909",-2.05,"1,145,524",-1.50,"929,355",-0.69,"57,792",-24.14,"158,377",4.91,"10,615",146.98,"11,200","1,955.05","12,698,550",3.55,7,0.00,"888,897",3.55,"2,067,007",-20.00,"14,390",122.41,"81,219",-9.25,"11,693",-61.34,"1,962",-95.82,"12,746",-69.59,"53,232",-73.71,"547,234",-29.49,"289,540",-15.91,"85,411",35.72,"37,450",-44.49,"932,130",1.83
