期間,合計_原始值,合計_年增率(%),公、民營企業-小計_原始值,公、民營企業-小計_年增率(%),公、民營企業-農林漁牧業_原始值,公、民營企業-農林漁牧業_年增率(%),公、民營企業-礦業及土石採取業_原始值,公、民營企業-礦業及土石採取業_年增率(%),公、民營企業-製造業_原始值,公、民營企業-製造業_年增率(%),公、民營企業-水電燃氣及污染整治業_原始值,公、民營企業-水電燃氣及污染整治業_年增率(%),公、民營企業-營造業_原始值,公、民營企業-營造業_年增率(%),公、民營企業-批發、零售、住宿及餐飲業_原始值,公、民營企業-批發、零售、住宿及餐飲業_年增率(%),公、民營企業-運輸及倉儲業_原始值,公、民營企業-運輸及倉儲業_年增率(%),公、民營企業-資訊及通訊傳播業_原始值,公、民營企業-資訊及通訊傳播業_年增率(%),公、民營企業-金融、保險及不動產業_原始值,公、民營企業-金融、保險及不動產業_年增率(%),公、民營企業-服務業_原始值,公、民營企業-服務業_年增率(%),政府機關_原始值,政府機關_年增率(%),非營利團體_原始值,非營利團體_年增率(%),非營利團體-社會保險及退休基金_原始值,非營利團體-社會保險及退休基金_年增率(%),個人_原始值,個人_年增率(%)
1997M01,"8,930,191",35.79,"1,971,812",37.60,"19,096",138.05,"4,268",42.89,"661,048",41.40,"18,502",49.89,"121,493",38.74,"548,173",40.91,"53,556",-12.98,-,-,"424,979",32.39,"120,697",45.50,"582,555",-6.92,"956,899",25.63,-,-,"5,418,925",44.28
1997M02,"8,970,638",37.60,"1,892,882",36.73,"18,641",166.26,"4,119",33.34,"638,155",42.66,"14,040",17.28,"113,421",32.86,"523,017",37.80,"54,589",34.12,-,-,"416,542",26.51,"110,358",37.67,"562,868",2.77,"1,003,371",28.32,-,-,"5,511,517",44.85
1997M03,"9,038,021",38.30,"1,907,482",39.30,"18,764",147.68,"4,066",42.27,"628,553",45.98,"13,923",11.61,"114,799",26.27,"527,611",39.98,"51,557",21.57,-,-,"435,310",32.55,"112,899",46.21,"572,655",0.94,"1,002,079",28.01,-,-,"5,555,805",45.61
1997M04,"9,017,166",36.67,"1,881,739",35.47,"18,598",146.43,"4,471",60.19,"613,305",42.22,"12,977",11.29,"114,721",29.86,"524,117",35.11,"50,591",15.64,-,-,"428,486",27.53,"114,473",43.38,"577,655",0.01,"995,639",27.26,-,-,"5,562,133",44.52
1997M05,"9,100,323",34.81,"1,931,924",31.83,"18,518",128.98,"3,972",22.71,"623,037",35.66,"13,345",20.11,"111,874",21.55,"534,553",32.45,"52,812",13.60,-,-,"452,581",26.18,"121,232",46.03,"609,948",-0.54,"998,831",24.73,-,-,"5,559,620",43.63
1997M06,"9,301,409",32.86,"2,003,217",25.19,"19,451",179.63,"5,749",81.36,"660,744",34.74,"14,106",7.86,"122,216",20.14,"562,512",26.18,"66,279",-6.42,-,-,"428,332",13.62,"123,828",35.67,"635,308",1.89,"1,002,610",24.24,-,-,"5,660,274",42.56
1997M07,"9,307,957",32.95,"1,989,853",25.56,"18,721",101.52,"3,536",1.06,"649,956",31.73,"14,011",16.65,"115,229",18.89,"554,569",23.42,"59,939",40.09,-,-,"439,607",14.21,"134,285",45.03,"621,553",3.77,"1,001,933",20.56,-,-,"5,694,618",42.85
1997M08,"9,398,044",34.30,"2,073,979",31.94,"18,883",91.65,"3,515",5.18,"685,528",39.74,"15,786",43.27,"120,294",25.53,"581,769",29.38,"55,557",32.76,-,-,"453,590",19.85,"139,057",52.30,"608,042",6.74,"1,042,624",21.23,-,-,"5,673,399",41.97
1997M09,"9,595,683",35.47,"2,094,342",31.01,"20,150",99.60,"3,870",10.57,"692,048",38.78,"44,338",97.76,"120,357",24.90,"573,020",29.95,"60,791",39.96,-,-,"441,859",12.25,"137,909",54.04,"623,054",7.57,"1,059,494",21.25,-,-,"5,818,793",44.34
1997M10,"9,760,184",37.16,"2,136,281",32.22,"19,582",66.19,"4,994",36.45,"718,458",41.81,"18,342",59.16,"123,912",26.32,"607,555",32.71,"64,246",37.50,-,-,"451,256",17.11,"127,936",35.86,"577,999",3.42,"1,058,973",21.27,-,-,"5,986,931",47.17
