期間,資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--對政府放款及墊款_原始值,資產--對政府放款及墊款_年增率(%),資產--公開市場操作買入有價證券-計_原始值,資產--公開市場操作買入有價證券-計_年增率(%),資產--公開市場操作買入有價證券-政府機構_原始值,資產--公開市場操作買入有價證券-政府機構_年增率(%),資產--公開市場操作買入有價證券-公營事業_原始值,資產--公開市場操作買入有價證券-公營事業_年增率(%),資產--公開市場操作買入有價證券-民營企業_原始值,資產--公開市場操作買入有價證券-民營企業_年增率(%),資產--公開市場操作買入有價證券-金融機構_原始值,資產--公開市場操作買入有價證券-金融機構_年增率(%),資產--對金融機構債權-計_原始值,資產--對金融機構債權-計_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-其他貨幣機構-本國銀行_原始值,資產--對金融機構債權-其他貨幣機構-本國銀行_年增率(%),資產--對金融機構債權-人壽保險公司等_原始值,資產--對金融機構債權-人壽保險公司等_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--通貨發行額_原始值,負債與淨值--通貨發行額_年增率(%),負債與淨值--政府存款-計_原始值,負債與淨值--政府存款-計_年增率(%),負債與淨值--政府存款-經理國庫存款_原始值,負債與淨值--政府存款-經理國庫存款_年增率(%),負債與淨值--政府存款-機關存款_原始值,負債與淨值--政府存款-機關存款_年增率(%),負債與淨值--金融機構存款-準備性存款-計_原始值,負債與淨值--金融機構存款-準備性存款-計_年增率(%),負債與淨值--金融機構存款-其他存款-國庫存款轉存款_原始值,負債與淨值--金融機構存款-其他存款-國庫存款轉存款_年增率(%),負債與淨值--金融機構存款-其他存款-定期存款轉存款_原始值,負債與淨值--金融機構存款-其他存款-定期存款轉存款_年增率(%),負債與淨值--金融機構存款-其他存款-郵政儲金轉存款_原始值,負債與淨值--金融機構存款-其他存款-郵政儲金轉存款_年增率(%),負債與淨值--金融機構存款-其他存款-其他_原始值,負債與淨值--金融機構存款-其他存款-其他_年增率(%),負債與淨值--央行發行單券-國庫券_原始值,負債與淨值--央行發行單券-國庫券_年增率(%),負債與淨值--央行發行單券-定期存單_原始值,負債與淨值--央行發行單券-定期存單_年增率(%),負債與淨值--央行發行單券-儲蓄券_原始值,負債與淨值--央行發行單券-儲蓄券_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
2005M01,"8,537,751",1.80,"7,884,119",7.57,-,-,-,-,-,-,-,-,-,-,-,-,"404,487",-49.23,"404,487",-49.23,"402,448",-48.84,-,-,392,71.93,"248,753",-3.23,"108,401",-,"1,067,707",6.71,"178,267",-22.42,"59,389",-41.91,"118,878",-6.80,"792,911",4.64,"21,326",-24.71,"527,550",-23.19,"1,353,378",-1.65,119,4.39,-,-,"3,558,570",12.94,-,-,"150,670",50.37,"778,852",-26.26
2005M02,"8,543,792",-1.82,"7,843,062",2.59,-,-,-,-,-,-,-,-,-,-,-,-,"419,284",-48.88,"419,284",-48.88,"416,976",-48.01,-,-,343,2.08,"281,103",27.18,"38,642",-,"998,973",17.80,"185,939",-0.69,"62,197",-15.81,"123,742",9.16,"840,428",4.74,"20,403",-18.90,"527,550",-23.19,"1,355,155",-1.62,124,5.08,-,-,"3,731,920",2.81,-,-,"207,701",157.67,"636,957",-40.17
2005M03,"8,775,169",0.84,"8,092,568",5.78,-,-,-,-,-,-,-,-,-,-,-,-,"402,370",-49.61,"402,370",-49.61,"401,737",-48.32,-,-,287,9.54,"279,944",15.38,"50,289",-,"918,831",11.00,"193,114",10.97,"73,080",30.81,"120,034",1.60,"865,086",-1.13,"19,539",-17.04,"577,550",-15.91,"1,356,276",-1.63,126,12.50,-,-,"3,877,225",6.74,-,-,"185,900",68.13,"731,233",-26.37
2005M04,"8,826,127",-0.54,"8,087,363",4.54,-,-,-,-,-,-,-,-,-,-,-,-,"442,792",-49.10,"442,792",-49.10,"441,849",-48.67,-,-,266,51.14,"295,706",12.42,"202,021",-,"914,469",11.17,"149,119",-4.69,"28,894",-34.22,"120,225",6.83,"878,671",7.62,"19,991",-12.90,"577,550",-15.53,"1,358,700",-1.65,124,16.98,-,-,"3,839,305",-0.37,-,-,"195,480",66.70,"690,697",-32.22
2005M05,"8,724,681",-2.78,"8,094,890",3.76,-,-,-,-,-,-,-,-,-,-,-,-,"392,718",-53.54,"392,718",-53.54,"391,777",-53.34,-,-,201,-33.88,"236,872",-27.56,"217,091",-,"900,594",9.99,"170,046",-8.59,"49,562",-27.14,"120,484",2.10,"918,131",7.44,"18,453",-13.97,"577,550",-15.53,"1,359,316",-1.61,129,24.04,-,-,"3,794,880",0.75,-,-,"156,397",-3.54,"612,094",-44.32
2005M06,"8,792,491",-2.08,"8,177,813",3.28,-,-,-,-,-,-,-,-,-,-,-,-,"334,986",-47.33,"334,986",-47.33,"331,821",-47.35,-,-,371,18.91,"279,321",-34.27,"265,219",-,"898,644",9.64,"238,220",19.95,"111,464",47.43,"126,756",3.06,"971,104",20.26,"20,736",-9.41,"577,550",-15.53,"1,362,802",-1.43,117,0.00,-,-,"3,621,955",-0.25,-,-,"179,823",-24.14,"656,321",-45.13
2005M07,"8,959,773",0.19,"8,249,420",2.76,-,-,-,-,-,-,-,-,-,-,-,-,"411,991",-24.09,"411,991",-24.09,"411,033",-24.26,-,-,212,-22.63,"298,150",-19.85,"313,449",-,"904,431",10.18,"208,410",-0.04,"75,789",-15.03,"132,621",11.17,"921,746",6.25,"25,890",0.89,"577,550",-15.53,"1,363,009",-0.37,118,0.00,-,-,"3,724,300",7.77,-,-,"170,232",-13.02,"750,638",-43.00
2005M08,"9,282,179",5.74,"8,470,707",5.36,-,-,-,-,-,-,-,-,-,-,-,-,"489,388",8.98,"489,388",8.98,"488,406",8.76,-,-,303,-5.90,"321,781",11.57,"381,155",270.69,"898,703",8.95,"245,167",32.10,"86,416",48.94,"158,751",24.44,"944,462",15.54,"21,551",8.61,"587,550",-14.06,"1,363,478",-0.34,122,3.39,-,-,"3,635,735",8.52,-,-,"197,511",78.95,"1,006,745",-23.43
2005M09,"9,291,639",5.66,"8,564,889",6.11,-,-,-,-,-,-,-,-,-,-,-,-,"392,831",-9.31,"392,831",-9.31,"390,713",-9.80,-,-,300,-20.00,"333,619",15.76,"398,592",102.04,"902,519",8.50,"271,884",65.93,"131,455",153.82,"140,429",25.32,"999,864",14.83,"20,659",2.86,"594,050",-13.11,"1,363,392",-0.35,2,-98.32,-,-,"3,424,350",6.99,-,-,"212,241",104.96,"1,104,086",-18.45
2005M10,"9,363,094",6.78,"8,626,126",7.40,-,-,-,-,-,-,-,-,-,-,-,-,"412,172",-3.67,"412,172",-3.67,"411,032",-3.79,-,-,244,-16.15,"324,552",4.98,"365,288",45.60,"904,878",8.54,"239,708",40.38,"106,329",94.64,"133,379",14.86,"879,321",2.30,"22,177",6.43,"593,250",11.38,"1,363,352",1.16,3,-97.54,-,-,"3,542,060",7.03,-,-,"195,023",61.31,"1,258,034",-4.88
2005M11,"9,262,664",6.87,"8,595,228",9.41,-,-,-,-,-,-,-,-,-,-,-,-,"370,144",-28.89,"370,144",-28.89,"365,212",-29.69,-,-,365,0.83,"296,927",2.23,"327,834",5.75,"910,571",8.04,"220,277",16.90,"87,875",19.86,"132,402",15.02,"844,200",6.86,"26,577",12.35,"592,050",12.23,"1,363,585",1.18,5,-95.73,-,-,"3,592,195",4.90,-,-,"189,811",25.59,"1,195,559",12.61
2005M12,"9,094,433",6.78,"8,476,318",8.22,-,-,-,-,-,-,-,-,-,-,-,-,"425,611",-13.19,"425,611",-13.19,"422,958",-13.73,-,-,301,43.33,"192,203",-0.84,"451,074",217.21,"922,910",7.70,"202,802",14.17,"73,154",43.38,"129,648",2.39,"837,637",-2.90,"20,817",-6.28,"587,050",11.28,"1,417,246",4.90,7,-94.21,-,-,"3,520,820",-1.18,-,-,"251,568",35.06,"882,502",6.66
2006M01,"8,956,442",4.90,"8,399,342",6.53,-,-,-,-,-,-,-,-,-,-,-,-,"374,862",-7.32,"374,862",-7.32,"371,238",-7.76,-,-,380,-3.06,"181,858",-26.89,"289,975",167.50,"1,319,028",23.54,"170,023",-4.62,"39,986",-32.67,"130,037",9.39,"799,555",0.84,"21,374",0.23,"587,050",11.28,"1,469,820",8.60,11,-90.76,-,-,"3,354,855",-5.72,-,-,"209,512",39.05,"735,239",-5.60
2006M02,"9,069,605",6.15,"8,497,316",8.34,-,-,-,-,-,-,-,-,-,-,-,-,"424,939",1.35,"424,939",1.35,"415,254",-0.41,-,-,269,-21.57,"147,081",-47.68,"381,108",886.25,"1,007,411",0.84,"173,475",-6.70,"42,997",-30.87,"130,478",5.44,"873,163",3.90,"21,073",3.28,"587,050",11.28,"1,472,235",8.64,6,-95.16,-,-,"3,558,695",-4.64,-,-,"187,154",-9.89,"808,235",26.89
2006M03,"9,022,060",2.81,"8,497,597",5.00,-,-,-,-,-,-,-,-,-,-,-,-,"345,271",-14.19,"345,271",-14.19,"339,532",-15.48,-,-,280,-2.44,"178,912",-36.09,"329,592",555.40,"960,058",4.49,"186,557",-3.40,"59,798",-18.17,"126,759",5.60,"860,970",-0.48,"21,284",8.93,"542,350",-6.09,"1,473,325",8.63,10,-92.06,-,-,"3,563,930",-8.08,-,-,"218,175",17.36,"865,809",18.40
2006M04,"9,036,632",2.39,"8,415,374",4.06,-,-,-,-,-,-,-,-,-,-,-,-,"382,063",-13.72,"382,063",-13.72,"363,657",-17.70,-,-,252,-5.26,"238,943",-19.20,"301,323",49.15,"959,806",4.96,"190,024",27.43,"54,684",89.26,"135,340",12.57,"864,637",-1.60,"18,977",-5.07,"503,500",-12.82,"1,476,260",8.65,9,-92.74,-,-,"3,690,390",-3.88,-,-,"246,088",25.89,"785,618",13.74
2006M05,"9,011,866",3.29,"8,513,692",5.17,-,-,-,-,-,-,-,-,-,-,-,-,"301,297",-23.28,"301,297",-23.28,"283,922",-27.53,-,-,260,29.35,"196,617",-16.99,"218,370",0.59,"951,898",5.70,"208,962",22.89,"74,228",49.77,"134,734",11.83,"955,400",4.06,"18,714",1.41,"491,900",-14.83,"1,477,094",8.66,4,-96.90,-,-,"3,588,560",-5.44,-,-,"215,024",37.49,"885,940",44.74
