期間,利率有關契約_原始值,利率有關契約_年增率(%),利率有關契約-店頭市場_原始值,利率有關契約-店頭市場_年增率(%),利率有關契約-店頭市場-遠期利率協議_原始值,利率有關契約-店頭市場-遠期利率協議_年增率(%),利率有關契約-店頭市場-換利_原始值,利率有關契約-店頭市場-換利_年增率(%),利率有關契約-店頭市場-買入選擇權_原始值,利率有關契約-店頭市場-買入選擇權_年增率(%),利率有關契約-店頭市場-賣出選擇權_原始值,利率有關契約-店頭市場-賣出選擇權_年增率(%),利率有關契約-交易所_原始值,利率有關契約-交易所_年增率(%),利率有關契約-交易所-期貨-長部位_原始值,利率有關契約-交易所-期貨-長部位_年增率(%),利率有關契約-交易所-期貨-短部位_原始值,利率有關契約-交易所-期貨-短部位_年增率(%),利率有關契約-交易所-買入選擇權_原始值,利率有關契約-交易所-買入選擇權_年增率(%),利率有關契約-交易所-賣出選擇權_原始值,利率有關契約-交易所-賣出選擇權_年增率(%),匯率有關契約_原始值,匯率有關契約_年增率(%),匯率有關契約-店頭市場_原始值,匯率有關契約-店頭市場_年增率(%),匯率有關契約-店頭市場-遠期契約_原始值,匯率有關契約-店頭市場-遠期契約_年增率(%),匯率有關契約-店頭市場-換匯_原始值,匯率有關契約-店頭市場-換匯_年增率(%),匯率有關契約-店頭市場-換匯換利_原始值,匯率有關契約-店頭市場-換匯換利_年增率(%),匯率有關契約-店頭市場-買入選擇權_原始值,匯率有關契約-店頭市場-買入選擇權_年增率(%),匯率有關契約-店頭市場-賣出選擇權_原始值,匯率有關契約-店頭市場-賣出選擇權_年增率(%),匯率有關契約-交易所_原始值,匯率有關契約-交易所_年增率(%),匯率有關契約-交易所-期貨-長部位_原始值,匯率有關契約-交易所-期貨-長部位_年增率(%),匯率有關契約-交易所-期貨-期貨-短部位_原始值,匯率有關契約-交易所-期貨-期貨-短部位_年增率(%),匯率有關契約-交易所-期貨-買入選擇權_原始值,匯率有關契約-交易所-期貨-買入選擇權_年增率(%),匯率有關契約-交易所-期貨-賣出選擇權_原始值,匯率有關契約-交易所-期貨-賣出選擇權_年增率(%),權益證券有關契約_原始值,權益證券有關契約_年增率(%),權益證券有關契約-店頭市場_原始值,權益證券有關契約-店頭市場_年增率(%),權益證券有關契約-交易所_原始值,權益證券有關契約-交易所_年增率(%),商品有關契約_原始值,商品有關契約_年增率(%),商品有關契約-店頭市場_原始值,商品有關契約-店頭市場_年增率(%),商品有關契約-交易所_原始值,商品有關契約-交易所_年增率(%),小計(利率、匯率、權益證券與商品有關契約)_原始值,小計(利率、匯率、權益證券與商品有關契約)_年增率(%),信用有關契約_原始值,信用有關契約_年增率(%),信用有關契約-信用違約交換_原始值,信用有關契約-信用違約交換_年增率(%),信用有關契約-買入信用違約選擇權_原始值,信用有關契約-買入信用違約選擇權_年增率(%),信用有關契約-賣出信用違約選擇權_原始值,信用有關契約-賣出信用違約選擇權_年增率(%),信用有關契約-其他_原始值,信用有關契約-其他_年增率(%),其他有關契約_原始值,其他有關契約_年增率(%),其他有關契約-遠期契約_原始值,其他有關契約-遠期契約_年增率(%),其他有關契約-交換_原始值,其他有關契約-交換_年增率(%),其他有關契約-選擇權_原始值,其他有關契約-選擇權_年增率(%),總計_原始值,總計_年增率(%)
1998M01,"23,556",...,"8,776",...,510,...,"8,266",...,0,...,0,...,"14,780",...,584,...,584,...,"6,806",...,"6,806",...,"928,720",...,"928,720",...,"539,545",...,"290,110",...,"8,129",...,"63,011",...,"27,925",...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,600,...,600,...,0,...,"952,876",...,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"952,876",...
1998M02,"27,967",...,"12,318",...,321,...,"11,785",...,0,...,212,...,"15,649",...,858,...,"1,179",...,"6,806",...,"6,806",...,"1,117,446",...,"1,117,446",...,"595,895",...,"422,337",...,"3,410",...,"48,420",...,"47,384",...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,426,...,426,...,0,...,"1,145,839",...,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"1,145,839",...
1998M03,"10,996",...,"4,518",...,0,...,"4,411",...,0,...,107,...,"6,478",...,"2,583",...,"3,895",...,0,...,0,...,"1,004,001",...,"1,004,001",...,"463,778",...,"449,074",...,"10,404",...,"40,732",...,"40,013",...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,417,...,417,...,0,...,"1,015,414",...,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"1,015,414",...
1998M04,"18,991",...,"13,535",...,0,...,"13,425",...,0,...,110,...,"5,456",...,"3,388",...,"2,068",...,0,...,0,...,"952,749",...,"952,749",...,"383,870",...,"452,231",...,"8,493",...,"53,816",...,"54,339",...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,"971,740",...,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"971,740",...
1998M05,"18,285",...,"17,979",...,0,...,"17,843",...,0,...,136,...,306,...,92,...,214,...,0,...,0,...,"921,123",...,"921,123",...,"389,561",...,"383,059",...,"21,269",...,"62,653",...,"64,581",...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,"939,408",...,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"939,408",...
1998M06,"20,614",...,"19,456",...,0,...,"18,559",...,276,...,621,...,"1,158",...,"1,018",...,140,...,0,...,0,...,"964,653",...,"964,653",...,"323,219",...,"419,959",...,"19,736",...,"103,522",...,"98,217",...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,580,...,580,...,0,...,"985,847",...,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"985,847",...
1998M07,"29,452",...,"21,310",...,"7,804",...,"7,868",...,"2,819",...,"2,819",...,"8,142",...,"6,137",...,"2,005",...,0,...,0,...,"829,880",...,"829,880",...,"305,430",...,"371,170",...,"8,320",...,"73,492",...,"71,468",...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,"859,332",...,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"859,332",...
1998M08,"25,172",...,"16,286",...,627,...,"13,813",...,801,...,"1,045",...,"8,886",...,"1,516",...,"7,370",...,0,...,0,...,"887,287",...,"887,209",...,"251,317",...,"463,114",...,"2,237",...,"87,985",...,"82,556",...,78,...,0,...,78,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,"912,459",...,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"912,459",...
1998M09,"60,330",...,"55,927",...,0,...,"53,652",...,"1,103",...,"1,172",...,"4,403",...,"2,018",...,"2,385",...,0,...,0,...,"1,051,113",...,"1,051,113",...,"273,701",...,"580,993",...,344,...,"98,935",...,"97,140",...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,"1,111,443",...,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"1,111,443",...
1998M10,"22,828",...,"21,060",...,"3,734",...,"13,111",...,"2,075",...,"2,140",...,"1,768",...,954,...,814,...,0,...,0,...,"1,012,671",...,"1,012,671",...,"332,083",...,"503,248",...,"1,550",...,"89,528",...,"86,262",...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,"1,035,499",...,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,-,--,"1,035,499",...
