期間,總人口數_原始值,總人口數_年增率(%),0~4歲_原始值,0~4歲_年增率(%),5~9歲_原始值,5~9歲_年增率(%),10~14歲_原始值,10~14歲_年增率(%),15~19歲_原始值,15~19歲_年增率(%),20~24歲_原始值,20~24歲_年增率(%),25~29歲_原始值,25~29歲_年增率(%),30~34歲_原始值,30~34歲_年增率(%),35~39歲_原始值,35~39歲_年增率(%),40~44歲_原始值,40~44歲_年增率(%),45~49歲_原始值,45~49歲_年增率(%),50~54歲_原始值,50~54歲_年增率(%),55~59歲_原始值,55~59歲_年增率(%),60~64歲_原始值,60~64歲_年增率(%),65~69歲_原始值,65~69歲_年增率(%),70~74歲_原始值,70~74歲_年增率(%),75~79歲_原始值,75~79歲_年增率(%),80~84歲_原始值,80~84歲_年增率(%),85~89歲_原始值,85~89歲_年增率(%),90~94歲_原始值,90~94歲_年增率(%),95~99歲_原始值,95~99歲_年增率(%),100歲以上_原始值,100歲以上_年增率(%),平均年齡(歲)_原始值,平均年齡(歲)_年增率(%)
2001M01,"22,290,225",...,"1,484,883",...,"1,616,045",...,"1,598,206",...,"1,868,347",...,"2,004,926",...,"1,777,283",...,"1,878,967",...,"1,945,260",...,"1,843,463",...,"1,648,281",...,"1,112,783",...,"812,209",...,"771,544",...,"659,289",...,"584,278",...,"379,858",...,"191,024",...,"84,643",...,"23,379",...,"4,569",...,988,...,33.59,...
2001M02,"22,298,931",...,"1,483,017",...,"1,615,905",...,"1,598,516",...,"1,860,785",...,"2,005,952",...,"1,776,645",...,"1,875,626",...,"1,946,724",...,"1,845,187",...,"1,647,991",...,"1,129,592",...,"806,832",...,"774,650",...,"659,156",...,"584,680",...,"380,920",...,"192,654",...,"84,901",...,"23,602",...,"4,605",...,991,...,33.62,...
2001M03,"22,308,497",...,"1,478,613",...,"1,617,123",...,"1,599,103",...,"1,853,476",...,"2,005,462",...,"1,778,729",...,"1,872,412",...,"1,946,681",...,"1,843,813",...,"1,652,704",...,"1,146,368",...,"802,838",...,"776,516",...,"659,000",...,"585,369",...,"382,176",...,"193,674",...,"85,078",...,"23,739",...,"4,607",...,"1,016",...,33.65,...
2001M04,"22,318,234",...,"1,474,631",...,"1,617,827",...,"1,600,323",...,"1,845,960",...,"2,005,736",...,"1,781,842",...,"1,870,398",...,"1,945,637",...,"1,843,840",...,"1,657,088",...,"1,158,774",...,"800,860",...,"779,315",...,"658,156",...,"585,840",...,"382,841",...,"194,791",...,"84,907",...,"23,828",...,"4,619",...,"1,021",...,33.67,...
2001M05,"22,328,771",...,"1,470,722",...,"1,618,656",...,"1,601,392",...,"1,838,531",...,"2,005,503",...,"1,785,136",...,"1,868,906",...,"1,945,425",...,"1,844,580",...,"1,661,048",...,"1,169,220",...,"800,746",...,"780,465",...,"657,996",...,"585,235",...,"384,639",...,"196,016",...,"84,964",...,"23,931",...,"4,618",...,"1,042",...,33.70,...
2001M06,"22,339,536",...,"1,465,665",...,"1,618,765",...,"1,603,522",...,"1,829,723",...,"2,006,213",...,"1,789,286",...,"1,867,481",...,"1,945,538",...,"1,847,189",...,"1,662,782",...,"1,180,308",...,"800,132",...,"781,374",...,"657,490",...,"585,774",...,"386,457",...,"196,945",...,"85,110",...,"24,079",...,"4,659",...,"1,044",...,33.73,...
2001M07,"22,350,363",...,"1,459,934",...,"1,617,887",...,"1,605,552",...,"1,820,001",...,"2,007,251",...,"1,794,639",...,"1,866,775",...,"1,946,157",...,"1,849,153",...,"1,665,649",...,"1,190,347",...,"800,138",...,"781,962",...,"656,515",...,"586,701",...,"388,061",...,"198,408",...,"85,313",...,"24,165",...,"4,710",...,"1,045",...,33.76,...
2001M08,"22,361,298",...,"1,454,317",...,"1,617,875",...,"1,607,179",...,"1,809,575",...,"2,005,869",...,"1,799,959",...,"1,866,987",...,"1,944,433",...,"1,844,927",...,"1,676,723",...,"1,201,569",...,"800,132",...,"782,713",...,"656,108",...,"587,196",...,"389,922",...,"200,163",...,"85,589",...,"24,269",...,"4,740",...,"1,053",...,33.80,...
2001M09,"22,368,502",...,"1,444,928",...,"1,618,356",...,"1,607,764",...,"1,799,234",...,"2,003,922",...,"1,806,773",...,"1,867,463",...,"1,941,316",...,"1,843,015",...,"1,682,916",...,"1,213,396",...,"800,003",...,"783,735",...,"656,148",...,"588,419",...,"392,308",...,"202,220",...,"86,182",...,"24,545",...,"4,800",...,"1,059",...,33.84,...
2001M10,"22,381,970",...,"1,440,138",...,"1,618,743",...,"1,608,823",...,"1,788,438",...,"1,999,771",...,"1,814,339",...,"1,866,675",...,"1,942,050",...,"1,850,693",...,"1,678,838",...,"1,225,042",...,"800,402",...,"785,518",...,"656,708",...,"589,587",...,"393,740",...,"204,869",...,"86,903",...,"24,747",...,"4,854",...,"1,092",...,33.88,...
