期間,營造工程總指數_原始值,營造工程總指數_年增率(%),一.材料類_原始值,一.材料類_年增率(%),(一)水泥及其製品類_原始值,(一)水泥及其製品類_年增率(%),(二)砂石及級配類_原始值,(二)砂石及級配類_年增率(%),(三)磚瓦瓷類_原始值,(三)磚瓦瓷類_年增率(%),(四)金屬製品類_原始值,(四)金屬製品類_年增率(%),(五)木材及其製品類_原始值,(五)木材及其製品類_年增率(%),(六)塑膠製品類_原始值,(六)塑膠製品類_年增率(%),(七)油漆塗裝類_原始值,(七)油漆塗裝類_年增率(%),(八)機電設備類_原始值,(八)機電設備類_年增率(%),(九)瀝青及其製品類_原始值,(九)瀝青及其製品類_年增率(%),(十)雜項類_原始值,(十)雜項類_年增率(%),二.勞務類_原始值,二.勞務類_年增率(%),(一)工資類_原始值,(一)工資類_年增率(%),(二)機具設備租金類_原始值,(二)機具設備租金類_年增率(%),建築工程總指數_原始值,建築工程總指數_年增率(%),一.材料類_原始值,一.材料類_年增率(%),二.勞務類_原始值,二.勞務類_年增率(%),按構造別分－鋼筋混凝土工程總指數_原始值,按構造別分－鋼筋混凝土工程總指數_年增率(%),按構造別分－鋼骨鋼筋混凝土工程總指數_原始值,按構造別分－鋼骨鋼筋混凝土工程總指數_年增率(%),按構造別分－鋼骨構造工程總指數_原始值,按構造別分－鋼骨構造工程總指數_年增率(%),土木工程總指數_原始值,土木工程總指數_年增率(%),一.材料類_原始值,一.材料類_年增率(%),二.勞務類_原始值,二.勞務類_年增率(%),按工程別分－公路工程總指數_原始值,按工程別分－公路工程總指數_年增率(%),按工程別分－橋梁工程總指數_原始值,按工程別分－橋梁工程總指數_年增率(%),按工程別分－下水道工程總指數_原始值,按工程別分－下水道工程總指數_年增率(%),按工程別分－自來水工程總指數_原始值,按工程別分－自來水工程總指數_年增率(%),按工程別分－治水工程總指數_原始值,按工程別分－治水工程總指數_年增率(%),按工程別分－隧道工程總指數_原始值,按工程別分－隧道工程總指數_年增率(%),按工程別分－港灣工程總指數_原始值,按工程別分－港灣工程總指數_年增率(%)
2008M10,101.16,9.11,102.34,12.23,118.72,6.97,127.51,6.12,104.54,12.88,101.95,10.55,83.46,2.57,88.20,6.79,89.50,9.68,92.73,4.97,91.44,47.82,94.95,15.44,98.90,2.97,98.75,1.71,99.16,5.16,100.19,5.76,100.73,7.50,99.07,1.97,99.75,-,102.64,-,-,-,102.08,12.40,103.92,17.04,98.75,3.90,101.45,17.24,103.51,5.75,100.34,-,99.63,-,105.72,7.70,102.58,-,106.57,-
2008M11,97.09,4.45,96.18,5.22,118.23,6.85,125.42,3.63,103.46,9.76,86.71,-6.07,83.23,3.01,85.98,3.99,89.43,8.97,90.81,1.96,91.20,45.76,94.81,14.28,98.81,2.52,98.69,1.29,99.02,4.67,95.67,0.72,94.07,0.16,98.97,1.43,95.49,-,96.63,-,-,-,98.43,8.09,98.29,10.43,98.69,3.52,98.81,13.77,94.59,-3.50,98.80,-,96.02,-,103.60,5.57,101.15,-,104.71,-
2008M12,95.59,1.15,93.98,0.52,117.84,6.50,124.26,1.07,102.42,8.28,82.78,-14.77,81.44,2.36,83.88,1.33,89.31,8.61,88.49,0.39,89.28,39.59,94.45,12.57,98.70,2.35,98.62,1.18,98.82,4.39,94.08,-2.44,91.77,-4.25,98.85,1.20,94.16,-,93.65,-,-,-,97.02,4.71,96.16,5.47,98.56,3.38,97.27,10.21,92.88,-7.33,97.93,-,94.10,-,102.65,3.26,100.20,-,104.22,-
2009M01,94.93,-1.63,93.09,-3.51,117.20,5.65,121.47,-3.60,102.45,7.23,83.11,-20.28,79.01,-1.32,82.50,-1.65,89.08,7.88,85.62,-2.48,86.81,35.28,93.54,9.20,98.48,2.02,98.41,0.82,98.59,4.10,93.43,-5.15,90.93,-8.02,98.62,0.88,93.60,-5.29,92.52,-4.27,-,-,96.35,1.83,95.23,1.16,98.37,3.04,96.09,7.08,93.38,-10.96,97.66,3.18,93.01,3.25,101.78,0.79,99.44,3.65,103.87,0.71
2009M02,94.85,-3.81,93.07,-6.58,116.70,4.59,120.23,-4.67,101.43,6.16,83.62,-25.21,77.93,-2.89,82.85,-1.62,88.70,6.87,86.03,-2.70,86.53,33.82,93.32,8.32,98.29,1.69,98.27,0.59,98.32,3.57,93.47,-7.18,91.07,-10.79,98.41,0.57,93.59,-7.31,92.82,-6.40,-,-,96.16,-0.51,95.05,-2.21,98.19,2.68,95.86,5.02,93.53,-14.77,97.32,1.85,92.36,0.94,101.68,-0.60,99.13,2.52,103.68,-0.60
2009M03,93.44,-8.70,90.94,-13.57,115.94,2.01,119.41,-6.56,101.01,4.96,78.43,-35.04,78.18,-2.51,84.11,-1.24,88.68,5.15,86.23,-4.09,86.03,12.37,93.36,6.39,98.26,1.52,98.24,0.57,98.29,3.14,92.09,-11.10,89.06,-16.23,98.36,0.42,92.25,-11.08,91.28,-11.16,-,-,94.71,-6.38,92.80,-10.89,98.17,2.48,94.66,-2.19,90.17,-21.98,97.01,-0.11,91.05,-4.09,100.84,-3.53,98.62,0.29,102.82,-3.03
2009M04,93.17,-11.17,90.55,-16.92,114.82,-0.44,118.83,-7.70,99.83,1.08,77.93,-39.05,78.21,-1.09,83.93,-1.85,88.54,3.29,86.77,-4.36,85.69,7.54,94.01,3.36,98.23,1.32,98.23,0.37,98.22,2.95,92.02,-13.10,88.96,-18.89,98.34,0.27,92.25,-12.92,90.74,-14.10,-,-,94.26,-9.30,92.11,-14.96,98.13,2.24,94.09,-5.45,89.92,-25.14,96.70,-1.99,90.36,-7.39,100.61,-5.35,98.16,-1.48,102.54,-4.37
2009M05,93.05,-12.87,90.41,-19.13,114.01,-1.72,116.85,-9.07,99.80,0.84,77.90,-41.92,78.20,-1.80,84.41,-1.61,88.54,2.13,87.70,-4.44,85.69,5.95,94.08,2.91,98.11,1.03,98.14,0.15,98.05,2.51,92.06,-14.56,89.07,-20.74,98.24,0.02,92.32,-14.31,90.62,-16.00,-,-,93.98,-11.22,91.75,-17.51,98.00,1.92,93.74,-7.31,89.86,-27.62,96.51,-2.98,89.84,-10.01,100.29,-6.60,97.73,-2.78,102.23,-5.59
2009M06,93.05,-14.99,90.48,-21.72,111.59,-5.42,113.90,-11.28,99.38,-0.56,78.96,-44.04,78.05,-4.34,85.89,-0.41,88.54,1.71,88.16,-5.30,87.20,4.03,94.21,0.76,98.00,0.35,97.99,-0.41,97.99,1.63,92.07,-16.45,89.16,-23.03,98.07,-0.48,92.33,-16.08,90.68,-18.45,-,-,93.96,-13.61,91.77,-20.43,97.92,1.05,93.78,-9.74,90.02,-30.04,96.46,-5.07,90.14,-12.31,99.72,-8.74,97.35,-4.64,101.39,-7.76
2009M07,93.35,-14.83,90.96,-21.20,110.59,-7.48,112.77,-12.70,99.61,-3.24,80.75,-41.86,78.23,-5.44,88.31,-0.27,88.54,1.46,88.64,-5.61,86.87,3.06,94.28,0.08,97.96,-0.41,97.87,-0.74,98.11,0.16,92.44,-16.09,89.74,-22.40,98.01,-0.87,92.68,-15.60,91.11,-18.81,-,-,94.23,-13.59,92.19,-19.99,97.92,0.01,93.86,-10.17,90.92,-28.48,96.61,-5.85,91.11,-12.24,99.69,-9.37,97.26,-5.99,101.31,-8.49
2009M08,93.92,-13.19,91.72,-18.82,108.78,-9.18,112.63,-13.16,99.50,-4.72,83.41,-35.77,78.29,-6.59,89.08,-1.31,88.54,-1.56,89.54,-4.73,87.08,-3.09,94.48,-0.32,98.13,-0.80,98.01,-0.84,98.33,-0.70,93.07,-13.90,90.65,-19.34,98.08,-1.19,93.31,-13.30,91.77,-17.12,-,-,94.71,-12.52,92.79,-18.32,98.17,-0.45,94.17,-10.44,92.13,-24.06,96.93,-5.75,92.22,-11.13,99.62,-8.92,97.57,-6.09,100.97,-8.27
2009M09,94.40,-9.75,92.40,-14.05,107.91,-9.63,112.16,-12.91,99.08,-5.14,85.31,-25.80,78.48,-6.30,89.92,-0.72,88.54,-2.48,90.87,-2.64,87.11,-4.97,94.57,-0.36,98.23,-0.76,98.07,-0.73,98.49,-0.82,93.67,-9.94,91.51,-13.94,98.13,-1.10,93.84,-9.32,92.71,-13.34,-,-,95.08,-9.59,93.28,-14.17,98.33,-0.46,94.45,-8.73,92.84,-16.83,97.20,-4.56,93.38,-8.33,99.73,-7.29,97.78,-5.40,100.90,-6.84
2009M10,93.74,-7.33,91.43,-10.66,106.74,-10.09,111.86,-12.27,98.84,-5.45,83.28,-18.31,78.57,-5.86,89.89,1.92,88.51,-1.11,91.23,-1.62,87.11,-4.74,94.58,-0.39,98.21,-0.70,98.06,-0.70,98.47,-0.70,93.01,-7.17,90.57,-10.09,98.06,-1.02,93.15,-6.62,92.22,-10.15,-,-,94.44,-7.48,92.28,-11.20,98.33,-0.43,93.97,-7.37,91.28,-11.82,96.97,-3.36,93.17,-6.48,99.16,-6.21,97.57,-4.88,100.26,-5.92
2009M11,93.57,-3.63,91.10,-5.28,105.89,-10.44,111.02,-11.48,98.84,-4.47,82.15,-5.26,78.89,-5.21,89.77,4.41,88.51,-1.03,91.55,0.81,89.12,-2.28,94.62,-0.20,98.31,-0.51,98.23,-0.47,98.46,-0.57,92.73,-3.07,90.08,-4.24,98.20,-0.78,92.92,-2.69,91.69,-5.11,-,-,94.36,-4.13,92.11,-6.29,98.42,-0.27,94.21,-4.66,90.64,-4.18,96.83,-1.99,92.67,-3.49,98.86,-4.58,97.35,-3.76,99.90,-4.59
2009M12,93.98,-1.68,91.75,-2.37,105.21,-10.72,109.58,-11.81,98.84,-3.50,82.76,-0.02,79.54,-2.33,89.99,7.28,88.51,-0.90,92.38,4.40,93.00,4.17,94.71,0.28,98.30,-0.41,98.23,-0.40,98.40,-0.43,92.96,-1.19,90.44,-1.45,98.16,-0.70,93.16,-1.06,91.81,-1.96,-,-,94.95,-2.13,93.04,-3.24,98.41,-0.15,95.29,-2.04,91.01,-2.01,96.82,-1.13,92.68,-1.51,98.65,-3.90,97.23,-2.96,99.68,-4.36
2010M01,94.96,0.03,93.13,0.04,103.69,-11.53,109.21,-10.09,98.92,-3.45,86.87,4.52,80.64,2.06,91.63,11.07,88.56,-0.58,92.76,8.34,93.26,7.43,95.15,1.72,98.47,-0.01,98.37,-0.04,98.65,0.06,94.05,0.66,91.98,1.15,98.34,-0.28,94.27,0.72,92.85,0.36,-,-,95.81,-0.56,94.26,-1.02,98.59,0.22,95.81,-0.29,93.39,0.01,97.27,-0.40,93.79,0.84,98.82,-2.91,97.52,-1.93,99.76,-3.96
2010M02,95.35,0.53,93.67,0.64,102.52,-12.15,107.23,-10.81,98.92,-2.47,88.27,5.56,83.29,6.88,93.57,12.94,88.63,-0.08,93.25,8.39,94.38,9.07,95.21,2.03,98.56,0.27,98.37,0.10,98.87,0.56,94.43,1.03,92.54,1.61,98.36,-0.05,94.60,1.08,93.49,0.72,-,-,96.20,0.04,94.80,-0.26,98.73,0.55,96.23,0.39,93.87,0.36,97.76,0.45,94.80,2.64,98.70,-2.93,97.64,-1.50,99.41,-4.12
2010M03,96.40,3.17,95.23,4.72,101.63,-12.34,106.87,-10.50,98.86,-2.13,91.78,17.02,85.76,9.70,94.56,12.42,88.87,0.21,92.98,7.83,97.05,12.81,95.61,2.41,98.63,0.38,98.46,0.22,98.92,0.64,95.35,3.54,93.86,5.39,98.45,0.09,95.51,3.53,94.51,3.54,-,-,97.38,2.82,96.60,4.09,98.79,0.63,97.52,3.02,95.93,6.39,98.11,1.13,95.84,5.26,98.97,-1.85,97.98,-0.65,99.52,-3.21
2010M04,98.48,5.70,98.33,8.59,101.21,-11.85,105.96,-10.83,98.61,-1.22,99.38,27.52,88.63,13.32,94.98,13.17,90.67,2.41,94.44,8.84,97.34,13.60,96.30,2.44,98.76,0.54,98.51,0.29,99.16,0.96,97.69,6.16,97.30,9.38,98.49,0.15,97.82,6.04,96.97,6.87,-,-,99.23,5.27,99.36,7.87,98.98,0.87,98.84,5.05,100.53,11.80,98.90,2.28,97.90,8.34,99.90,-0.71,98.64,0.49,100.20,-2.28
2010M05,98.19,5.52,97.96,8.35,100.99,-11.42,104.92,-10.21,98.25,-1.55,98.06,25.88,91.15,16.56,95.49,13.13,91.00,2.78,94.94,8.26,97.34,13.60,96.66,2.74,98.64,0.54,98.58,0.45,98.74,0.70,97.55,5.96,97.09,9.00,98.53,0.30,97.62,5.74,97.21,7.27,-,-,98.79,5.12,98.82,7.71,98.74,0.76,98.56,5.14,99.06,10.24,99.03,2.61,98.35,9.47,99.44,-0.85,98.58,0.87,99.66,-2.51
2010M06,96.76,3.99,95.78,5.86,100.60,-9.85,102.13,-10.33,98.19,-1.20,93.15,17.97,92.51,18.53,93.36,8.70,91.16,2.96,93.21,5.73,97.31,11.59,96.43,2.36,98.65,0.66,98.58,0.60,98.75,0.78,95.92,4.18,94.66,6.17,98.53,0.47,95.92,3.89,95.93,5.79,-,-,97.56,3.83,96.90,5.59,98.75,0.85,97.77,4.25,95.70,6.31,98.60,2.22,97.30,7.94,98.52,-1.20,98.34,1.02,98.84,-2.52
