期間,資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),資產--放款_原始值,資產--放款_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-人壽保險公司等_原始值,資產--對金融機構債權-人壽保險公司等_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),負債與淨值--企業及個人存款-計_原始值,負債與淨值--企業及個人存款-計_年增率(%),負債與淨值--企業及個人存款-支票存款_原始值,負債與淨值--企業及個人存款-支票存款_年增率(%),負債與淨值--企業及個人存款-活期存款_原始值,負債與淨值--企業及個人存款-活期存款_年增率(%),負債與淨值--企業及個人存款-活期儲蓄存款_原始值,負債與淨值--企業及個人存款-活期儲蓄存款_年增率(%),負債與淨值--企業及個人存款-定期存款_原始值,負債與淨值--企業及個人存款-定期存款_年增率(%),負債與淨值--企業及個人存款-定期儲蓄存款_原始值,負債與淨值--企業及個人存款-定期儲蓄存款_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--對金融機構負債-其他貨幣機構_原始值,負債與淨值--對金融機構負債-其他貨幣機構_年增率(%),負債與淨值--對金融機構負債-人壽保險公司等_原始值,負債與淨值--對金融機構負債-人壽保險公司等_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
1997M01,"1,496,441",1.99,"800,209",-10.98,669,-19.11,33,-,"3,792","37,820.00",113,"2,725.00","49,265",-12.24,"438,290",15.41,-,-,"25,992",88.70,"178,078",51.16,"1,216,678",1.92,"7,552",-0.12,"116,236",-0.43,"205,004",6.12,"216,915",-10.16,"670,971",5.69,"64,828",8.09,"18,581",-7.80,-,-,"130,425",-1.65,"65,929",8.68
1997M02,"1,503,253",2.05,"785,125",-12.35,817,94.06,274,-,"7,361","29,344.00",239,"5,875.00","49,600",-12.05,"452,124",19.50,-,-,"16,587",-7.20,"191,126",53.75,"1,224,783",1.66,"7,377",2.25,"116,343",0.03,"204,297",3.70,"217,815",-11.78,"678,951",6.53,"62,976",14.72,"22,041",43.03,-,-,"127,324",-6.77,"66,129",7.61
1997M03,"1,497,564",0.95,"782,013",-12.46,"1,120",81.52,33,-,"8,365","7,574.31",412,"10,200.00","49,625",-11.87,"457,088",17.17,-,-,"17,061",12.56,"181,847",42.21,"1,218,702",0.52,"7,420",-5.41,"115,312",-0.40,"201,889",1.80,"215,715",-13.40,"678,366",5.77,"64,104",9.44,"18,897",32.22,-,-,"130,422",-6.46,"65,439",11.19
1997M04,"1,507,573",1.41,"776,552",-13.08,931,99.79,33,-,"8,226","9,142.70",351,"8,675.00","49,473",-12.65,"463,378",17.63,-,-,"17,075",1.41,"191,554",52.85,"1,219,876",0.36,"6,944",-8.70,"115,750",-0.57,"203,884",4.54,"215,391",-13.70,"677,907",4.80,"66,951",11.47,"17,820",60.93,-,-,"137,125",-2.06,"65,801",9.70
1997M05,"1,515,361",2.77,"769,489",-13.53,"1,308",228.64,33,-,"6,771","10,479.69",350,"6,900.00","49,141",-11.70,"483,713",24.47,-,-,"15,733",1.91,"188,823",51.84,"1,227,802",3.05,"6,619",-9.59,"116,546",4.07,"204,326",8.49,"217,351",-11.04,"682,960",6.80,"68,894",9.85,"17,410",-5.45,-,-,"134,437",-4.11,"66,818",8.25
1997M06,"1,543,129",4.48,"769,781",-13.01,"1,658",344.50,33,-,"11,346","20,160.71",590,"11,700.00","49,094",-9.92,"483,563",21.50,-,-,"15,617",7.05,"211,447",69.72,"1,239,524",3.41,"7,791",-14.92,"118,205",3.17,"209,620",7.26,"217,903",-8.91,"686,005",7.15,"70,287",11.00,"31,415",116.63,-,-,"133,967",-2.67,"67,936",8.02
1997M07,"1,544,281",5.08,"766,589",-12.91,"1,376",250.13,28,-,"19,776","27,366.67","1,230","30,650.00","49,174",-9.07,"487,794",22.87,-,-,"16,582",6.59,"201,732",64.98,"1,241,739",4.28,"6,793",-28.75,"119,562",5.99,"212,515",10.25,"216,684",-6.99,"686,185",6.76,"77,247",12.54,"18,912",81.17,-,-,"136,923",1.52,"69,460",7.09
1997M08,"1,537,338",5.12,"763,216",-12.83,"1,796",278.90,-,-,"23,158","16,681.16","2,050","34,066.67","49,777",-4.23,"481,128",20.38,-,-,"14,430",-3.25,"201,783",68.61,"1,235,098",3.99,"8,509",16.79,"115,402",3.16,"208,350",9.45,"215,268",-6.89,"687,569",6.27,"73,130",8.34,"23,289",118.49,-,-,"134,937",3.39,"70,884",7.30
1997M09,"1,529,024",4.22,"761,244",-12.77,"2,046",396.60,-,-,"23,038","115,090.00","2,277","3,632.79","49,394",-3.25,"471,959",17.38,-,-,"15,966",-2.12,"203,100",63.14,"1,230,880",3.51,"7,853",-5.51,"114,225",2.70,"205,326",7.91,"214,422",-6.72,"689,054",6.09,"69,705",7.18,"23,182",129.71,-,-,"133,609",-1.65,"71,648",7.00
1997M10,"1,527,393",4.17,"757,992",-12.58,"2,599",668.93,-,-,"24,846","2,484,500.00","3,282","54,600.00","48,588",-2.27,"475,111",14.37,-,-,"14,737",-3.92,"200,238",69.28,"1,235,389",3.26,"8,232",-7.21,"114,366",2.80,"207,994",7.84,"215,290",-4.94,"689,507",4.97,"67,370",5.84,"21,469",131.77,-,-,"130,105",1.14,"73,060",6.98
1997M11,"1,502,541",1.66,"755,685",-12.57,"2,717",553.13,-,-,"24,745",-,"3,900",-,"44,976",-9.06,"473,151",10.70,-,-,"14,470",-6.57,"182,897",51.34,"1,236,408",3.04,"7,369",-4.24,"115,369",2.58,"210,588",8.92,"214,829",-3.58,"688,253",3.71,"65,316",4.25,"20,430",40.55,-,-,"106,590",-19.00,"73,797",6.56
1997M12,"1,487,365",0.52,"760,036",-11.64,"2,972",553.19,-,-,"23,739",-,"5,325","88,650.00","42,952",-12.75,"470,145",7.03,-,-,"14,968",-0.21,"167,228",44.61,"1,235,013",2.08,"6,837",-7.63,"116,105",2.05,"212,054",5.97,"218,151",-0.73,"681,866",1.95,"67,239",3.05,"22,998",59.49,-,-,"91,477",-27.01,"70,638",8.87
1998M01,"1,485,458",-0.73,"758,723",-5.18,"2,861",327.65,-,-,"22,733",499.50,"6,169","5,359.29","43,107",-12.50,"458,736",4.66,-,-,"17,688",-31.95,"175,441",-1.48,"1,230,506",1.14,"8,195",8.51,"111,133",-4.39,"210,646",2.75,"220,137",1.49,"680,395",1.40,"61,700",-4.83,"27,406",47.49,-,-,"95,580",-26.72,"70,266",6.58
1998M02,"1,507,712",0.30,"750,502",-4.41,"2,970",263.53,-,-,"27,979",280.10,"8,196","3,329.29","44,031",-11.23,"479,572",6.07,-,-,"15,470",-6.73,"178,992",-6.35,"1,253,084",2.31,"7,770",5.33,"116,607",0.23,"217,092",6.26,"236,167",8.43,"675,448",-0.52,"65,114",3.39,"19,705",-10.60,-,-,"99,526",-21.83,"70,283",6.28
1998M03,"1,503,870",0.42,"746,391",-4.56,"2,255",101.34,-,-,"16,406",96.13,"4,022",876.21,"43,915",-11.51,"511,913",11.99,-,-,"16,726",-1.96,"162,242",-10.78,"1,249,176",2.50,"6,629",-10.66,"114,494",-0.71,"210,861",4.44,"253,792",17.65,"663,400",-2.21,"66,253",3.35,"20,136",6.56,-,-,"98,224",-24.69,"70,081",7.09
1998M04,"1,505,730",-0.12,"740,708",-4.62,670,-28.03,-,-,"1,920",-76.66,"1,340",281.77,"42,966",-13.15,"523,255",12.92,-,-,"17,467",2.30,"177,404",-7.39,"1,248,474",2.34,"6,621",-4.65,"112,958",-2.41,"206,241",1.16,"267,942",24.40,"654,712",-3.42,"68,506",2.32,"20,202",13.37,-,-,"97,763",-28.71,"70,785",7.57
1998M05,"1,521,187",0.38,"738,016",-4.09,705,-46.10,-,-,806,-88.10,775,121.43,"41,977",-14.58,"530,920",9.76,-,-,"15,686",-0.30,"192,302",1.84,"1,250,842",1.88,"7,604",14.88,"112,013",-3.89,"206,427",1.03,"273,798",25.97,"651,000",-4.68,"67,979",-1.33,"20,272",16.44,-,-,"110,514",-17.79,"71,580",7.13
1998M06,"1,523,955",-1.24,"737,079",-4.25,649,-60.86,-,-,"1,040",-90.83,716,21.36,"41,513",-15.44,"547,590",13.24,-,-,"15,759",0.91,"179,609",-15.06,"1,249,374",0.79,"7,115",-8.68,"112,847",-4.53,"207,477",-1.02,"271,912",24.79,"650,023",-5.25,"69,750",-0.76,"41,153",31.00,-,-,"90,800",-32.22,"72,878",7.27
1998M07,"1,512,087",-2.08,"732,354",-4.47,711,-48.33,-,-,932,-95.29,507,-58.78,"41,302",-16.01,"542,173",11.15,-,-,"16,056",-3.17,"178,052",-11.74,"1,252,536",0.87,"6,404",-5.73,"113,518",-5.06,"210,098",-1.14,"269,309",24.29,"653,207",-4.81,"75,879",-1.77,"20,031",5.92,-,-,"89,891",-34.35,"73,750",6.18
1998M08,"1,509,259",-1.83,"727,356",-4.70,657,-63.42,-,-,668,-97.12,497,-75.76,"41,540",-16.55,"538,498",11.92,-,-,"15,285",5.93,"184,758",-8.44,"1,250,344",1.23,"6,643",-21.93,"109,938",-4.73,"204,928",-1.64,"271,205",25.98,"657,630",-4.35,"69,810",-4.54,"21,323",-8.44,-,-,"92,735",-31.28,"75,047",5.87
1998M09,"1,508,301",-1.36,"723,805",-4.92,581,-71.60,-,-,419,-98.18,390,-82.87,"39,689",-19.65,"544,122",15.29,-,-,"15,526",-2.76,"183,769",-9.52,"1,252,504",1.76,"7,211",-8.18,"108,631",-4.90,"203,693",-0.80,"270,396",26.10,"662,573",-3.84,"67,956",-2.51,"21,384",-7.76,-,-,"90,513",-32.26,"75,944",6.00
1998M10,"1,520,053",-0.48,"719,710",-5.05,601,-76.88,-,-,792,-96.81,"2,993",-8.81,"39,141",-19.44,"552,643",16.32,-,-,"15,041",2.06,"189,132",-5.55,"1,261,555",2.12,"6,232",-24.30,"109,695",-4.08,"206,667",-0.64,"271,359",26.04,"667,602",-3.18,"66,971",-0.59,"19,924",-7.20,-,-,"95,058",-26.94,"76,545",4.77
1998M11,"1,538,773",2.41,"717,971",-4.99,421,-84.50,-,-,"1,669",-93.26,865,-77.82,"37,745",-16.08,"564,974",19.41,-,-,"16,198",11.94,"198,930",8.77,"1,275,257",3.14,"7,372",0.04,"111,460",-3.39,"210,401",-0.09,"269,572",25.48,"676,452",-1.71,"65,425",0.17,"19,668",-3.73,-,-,"101,085",-5.16,"77,338",4.80
1998M12,"1,535,446",3.23,"717,790",-5.56,429,-85.57,-,-,"2,078",-91.25,971,-81.77,"38,649",-10.02,"569,767",21.19,-,-,"15,323",2.37,"190,439",13.88,"1,281,607",3.77,"6,472",-5.34,"111,687",-3.81,"212,613",0.26,"265,486",21.70,"685,349",0.51,"67,498",0.39,"21,577",-6.18,-,-,"90,936",-0.59,"73,828",4.52
1999M01,"1,550,050",4.35,"713,009",-6.03,406,-85.81,-,-,"2,558",-88.75,833,-86.50,"38,813",-9.96,"578,266",26.06,-,-,"16,971",-4.05,"199,194",13.54,"1,288,299",4.70,"7,424",-9.41,"111,853",0.65,"215,990",2.54,"260,116",18.16,"692,916",1.84,"71,365",15.66,"20,017",-26.96,-,-,"95,881",0.31,"74,488",6.01
1999M02,"1,559,304",3.42,"706,341",-5.88,406,-86.33,-,-,"2,059",-92.64,"1,674",-79.58,"38,856",-11.75,"586,348",22.26,-,-,"16,901",9.25,"206,719",15.49,"1,301,158",3.84,"6,718",-13.54,"112,367",-3.64,"221,057",1.83,"258,093",9.28,"702,923",4.07,"66,498",2.13,"18,242",-7.42,-,-,"100,182",0.66,"73,224",4.18
1999M03,"1,563,566",3.97,"700,186",-6.19,323,-85.68,-,-,"3,934",-76.02,"5,255",30.66,"32,663",-25.62,"599,438",17.10,-,-,"15,799",-5.54,"205,968",26.95,"1,306,416",4.58,"6,307",-4.86,"112,767",-1.51,"219,899",4.29,"255,402",0.63,"712,041",7.33,"70,691",6.70,"17,859",-11.31,-,-,"95,801",-2.47,"72,799",3.88
1999M04,"1,584,081",5.20,"695,679",-6.08,266,-60.30,-,-,"4,386",128.44,"1,789",33.51,"30,400",-29.25,"609,356",16.45,-,-,"16,281",-6.79,"225,924",27.35,"1,308,803",4.83,"6,388",-3.52,"112,053",-0.80,"220,471",6.90,"252,623",-5.72,"717,268",9.55,"73,884",7.85,"18,405",-8.90,-,-,"109,285",11.79,"73,704",4.12
1999M05,"1,584,753",4.18,"692,399",-6.18,305,-56.74,-,-,"4,931",511.79,"1,910",146.45,"30,227",-27.99,"611,291",15.14,-,-,"16,380",4.42,"227,310",18.20,"1,308,917",4.64,"6,263",-17.64,"111,937",-0.07,"218,262",5.73,"251,333",-8.20,"721,122",10.77,"72,313",6.38,"18,061",-10.91,-,-,"110,684",0.15,"74,778",4.47
1999M06,"1,599,776",4.98,"687,626",-6.71,317,-51.16,-,-,"7,063",579.13,"2,322",224.30,"30,103",-27.49,"633,567",15.70,-,-,"15,021",-4.68,"223,757",24.58,"1,325,362",6.08,"6,701",-5.82,"115,688",2.52,"227,866",9.83,"250,139",-8.01,"724,968",11.53,"76,409",9.55,"24,295",-40.96,-,-,"98,185",8.13,"75,525",3.63
1999M07,"1,594,653",5.46,"684,046",-6.60,823,15.75,-,-,"7,228",675.54,"12,813","2,427.22","30,159",-26.98,"633,179",16.79,-,-,"15,391",-4.14,"211,014",18.51,"1,324,511",5.75,"6,240",-2.56,"114,847",1.17,"226,353",7.74,"249,271",-7.44,"727,800",11.42,"82,563",8.81,"17,845",-10.91,-,-,"93,743",4.29,"75,991",3.04
1999M08,"1,600,541",6.05,"680,965",-6.38,514,-21.77,-,-,"6,391",856.74,"15,869","3,092.96","30,238",-27.21,"632,282",17.42,-,-,"14,781",-3.30,"219,501",18.80,"1,326,373",6.08,"6,381",-3.94,"114,578",4.22,"227,710",11.12,"248,788",-8.27,"728,916",10.84,"75,629",8.34,"18,332",-14.03,-,-,"103,112",11.19,"77,095",2.73
1999M09,"1,593,234",5.63,"677,643",-6.38,"1,185",103.96,-,-,"6,728","1,505.73","15,340","3,833.33","30,063",-24.25,"632,003",16.15,-,-,"15,902",2.42,"214,370",16.65,"1,324,481",5.75,"6,719",-6.82,"114,632",5.52,"226,631",11.26,"246,426",-8.86,"730,073",10.19,"75,220",10.69,"19,839",-7.23,-,-,"95,969",6.03,"77,725",2.35
1999M10,"1,609,121",5.86,"673,340",-6.44,549,-8.65,-,-,"7,142",801.77,"18,115",505.25,"30,036",-23.26,"648,651",17.37,-,-,"14,468",-3.81,"216,820",14.64,"1,335,755",5.88,"7,380",18.42,"117,714",7.31,"231,652",12.09,"245,775",-9.43,"733,234",9.83,"81,066",21.05,"17,201",-13.67,-,-,"96,695",1.72,"78,404",2.43
1999M11,"1,610,543",4.66,"671,261",-6.51,438,4.04,-,-,"7,879",372.08,"16,439","1,800.46","30,182",-20.04,"648,243",14.74,-,-,"15,680",-3.20,"220,421",10.80,"1,338,299",4.94,"6,526",-11.48,"119,572",7.28,"233,389",10.93,"243,283",-9.75,"735,529",8.73,"75,494",15.39,"18,096",-7.99,-,-,"99,624",-1.45,"79,030",2.19
1999M12,"1,603,402",4.43,"670,106",-6.64,"1,132",163.87,-,-,"7,273",250.00,"18,182","1,772.50","30,485",-21.12,"651,183",14.29,-,-,"15,476",1.00,"209,565",10.04,"1,342,690",4.77,"7,554",16.72,"118,305",5.93,"236,215",11.10,"242,259",-8.75,"738,357",7.73,"73,929",9.53,"19,546",-9.41,-,-,"93,227",2.52,"74,010",0.25
2000M01,"1,614,823",4.18,"668,043",-6.31,716,76.35,-,-,"6,887",169.23,"15,913","1,810.32","30,581",-21.21,"648,013",12.06,-,-,"24,540",44.60,"220,130",10.51,"1,348,956",4.71,"7,006",-5.63,"120,479",7.71,"243,338",12.66,"238,076",-8.47,"740,057",6.80,"73,034",2.34,"16,623",-16.96,-,-,"101,857",6.23,"74,353",-0.18
