期間,當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",當期價格_金額(新台幣百萬元),"當期價格_對上季增率折成年率(saar,%)","當期價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)",按2006年價格_金額(新台幣百萬元),"按2006年價格_對上季增率折成年率(saar,%)","按2006年價格_對上季增率(saqr,%)"
1981Q1,"436,569",--,--,"461,124",--,--,"228,188",--,--,"69,489",--,--,"163,447",--,--,"-24,555",--,--,"212,177",--,--,"236,732",--,--,"675,768",--,--,"726,617",--,--,"377,485",--,--,"133,471",--,--,"215,661",--,--,"-50,849",--,--,"209,143",--,--,"259,992",--,--
1981Q2,"443,111",6.13,1.50,"435,289",-20.60,-5.60,"235,093",12.66,3.03,"72,620",19.28,4.51,"127,576",-62.88,-21.95,"7,822",--,--,"232,130",43.26,9.40,"224,308",-19.40,-5.25,"672,100",-2.15,-0.54,"694,190",-16.69,-4.46,"380,584",3.32,0.82,"133,941",1.42,0.35,"179,665",-51.83,-16.69,"-22,090",--,--,"227,928",41.06,8.98,"250,018",-14.48,-3.84
1981Q3,"459,304",15.44,3.65,"435,279",-0.01,0.00,"243,353",14.81,3.51,"73,221",3.35,0.83,"118,705",-25.05,-6.95,"24,025",--,--,"237,525",9.63,2.32,"213,500",-17.92,-4.82,"677,671",3.36,0.83,"688,832",-3.05,-0.77,"385,682",5.47,1.34,"135,807",5.69,1.39,"167,343",-24.74,-6.86,"-11,161",--,--,"228,511",1.03,0.26,"239,672",-15.55,-4.14
1981Q4,"471,845",11.38,2.73,"442,920",7.21,1.76,"245,401",3.41,0.84,"74,614",7.83,1.90,"122,905",14.92,3.54,"28,925",--,--,"239,088",2.66,0.66,"210,163",-6.11,-1.56,"688,816",6.74,1.64,"694,872",3.55,0.88,"388,261",2.70,0.67,"136,237",1.27,0.32,"170,374",7.44,1.81,"-6,056",--,--,"228,359",-0.27,-0.07,"234,415",-8.49,-2.19
1982Q1,"472,323",0.41,0.10,"450,258",6.79,1.66,"249,105",6.18,1.51,"79,219",27.07,6.17,"121,934",-3.12,-0.79,"22,065",--,--,"233,849",-8.48,-2.19,"211,784",3.12,0.77,"698,385",5.67,1.39,"707,788",7.64,1.86,"393,036",5.01,1.23,"142,475",19.61,4.58,"172,277",4.54,1.12,"-9,403",--,--,"227,453",-1.58,-0.40,"236,856",4.23,1.04
1982Q2,"479,190",5.94,1.45,"457,408",6.50,1.59,"254,294",8.60,2.08,"80,744",7.93,1.93,"122,370",1.44,0.36,"21,782",--,--,"233,760",-0.15,-0.04,"211,978",0.37,0.09,"699,404",0.58,0.15,"717,137",5.39,1.32,"398,520",5.70,1.40,"143,642",3.32,0.82,"174,975",6.41,1.57,"-17,733",--,--,"224,042",-5.87,-1.50,"241,775",8.57,2.08
1982Q3,"488,022",7.58,1.84,"461,804",3.90,0.96,"261,314",11.51,2.76,"81,728",4.96,1.22,"118,762",-11.28,-2.95,"26,218",--,--,"241,405",13.74,3.27,"215,187",6.19,1.51,"707,788",4.88,1.20,"718,927",1.00,0.25,"403,663",5.26,1.29,"143,235",-1.13,-0.28,"172,029",-6.57,-1.68,"-11,139",--,--,"229,115",9.37,2.26,"240,254",-2.49,-0.63
1982Q4,"501,634",11.63,2.79,"473,902",10.90,2.62,"264,657",5.22,1.28,"82,050",1.59,0.39,"127,195",31.57,7.10,"27,732",--,--,"243,457",3.44,0.85,"215,725",1.00,0.25,"716,652",5.10,1.25,"729,687",6.12,1.50,"409,699",6.12,1.50,"143,825",1.66,0.41,"176,163",9.96,2.40,"-13,035",--,--,"230,467",2.38,0.59,"243,502",5.52,1.35
1983Q1,"509,463",6.39,1.56,"473,177",-0.61,-0.15,"268,012",5.17,1.27,"83,827",8.95,2.17,"121,338",-17.19,-4.60,"36,286",--,--,"251,673",14.20,3.37,"215,387",-0.63,-0.16,"725,146",4.83,1.19,"728,643",-0.57,-0.14,"414,225",4.49,1.10,"148,379",13.28,3.17,"166,039",-21.08,-5.75,"-3,497",--,--,"239,246",16.13,3.81,"242,743",-1.24,-0.31
1983Q2,"537,073",23.50,5.42,"480,325",6.18,1.51,"275,706",11.99,2.87,"87,482",18.61,4.36,"117,137",-13.15,-3.46,"56,748",--,--,"274,065",40.63,8.90,"217,317",3.63,0.90,"753,054",16.31,3.85,"739,121",5.88,1.44,"421,195",6.90,1.68,"151,512",8.72,2.11,"166,414",0.91,0.23,"13,933",--,--,"260,345",40.22,8.82,"246,412",6.18,1.51
