期間,總指數(不含食物)_原始值,總指數(不含食物)_年增率(%),總指數(不含蔬菜水果)_原始值,總指數(不含蔬菜水果)_年增率(%),總指數(不含蔬果及能源)【即核心物價】_原始值,總指數(不含蔬果及能源)【即核心物價】_年增率(%),總指數(不含食物及能源)_原始值,總指數(不含食物及能源)_年增率(%),總指數(不含蔬果水產及能源)_原始值,總指數(不含蔬果水產及能源)_年增率(%),總指數(不含設算租金)_原始值,總指數(不含設算租金)_年增率(%)
1981M01,62.25,-,62.11,-,61.35,-,60.96,-,62.45,-,57.19,-
1981M02,62.84,-,63.15,-,62.28,-,61.32,-,63.29,-,58.31,-
1981M03,63.26,-,63.23,-,62.26,-,61.59,-,63.30,-,58.53,-
1981M04,63.38,-,63.17,-,62.19,-,61.72,-,63.25,-,58.78,-
1981M05,63.45,-,62.87,-,61.87,-,61.80,-,62.92,-,58.50,-
1981M06,63.49,-,62.80,-,61.80,-,61.84,-,62.88,-,59.12,-
1981M07,63.54,-,62.83,-,61.84,-,61.90,-,62.89,-,59.36,-
1981M08,63.70,-,63.13,-,62.15,-,62.08,-,63.22,-,59.96,-
1981M09,64.34,-,63.77,-,62.83,-,62.77,-,63.90,-,60.74,-
1981M10,64.39,-,63.77,-,62.83,-,62.83,-,63.87,-,60.32,-
1981M11,64.51,-,63.93,-,62.99,-,62.96,-,64.02,-,59.80,-
1981M12,64.50,-,64.03,-,63.10,-,62.95,-,64.15,-,59.72,-
1982M01,64.89,4.24,64.64,4.07,63.75,3.91,63.37,3.95,64.73,3.65,60.17,5.21
1982M02,64.70,2.96,64.47,2.09,63.56,2.06,63.16,3.00,64.51,1.93,59.94,2.80
1982M03,64.71,2.29,64.70,2.32,63.81,2.49,63.17,2.57,64.85,2.45,60.12,2.72
1982M04,64.74,2.15,64.85,2.66,63.97,2.86,63.21,2.41,65.01,2.78,60.28,2.55
1982M05,64.77,2.08,65.04,3.45,64.17,3.72,63.24,2.33,65.25,3.70,60.72,3.79
1982M06,64.79,2.05,65.00,3.50,64.13,3.77,63.26,2.30,65.27,3.80,60.86,2.94
1982M07,64.82,2.01,64.84,3.20,63.95,3.41,63.29,2.25,65.07,3.47,60.82,2.46
1982M08,64.89,1.87,65.34,3.50,64.48,3.75,63.37,2.08,65.56,3.70,62.90,4.90
1982M09,65.34,1.55,65.40,2.56,64.55,2.74,63.86,1.74,65.65,2.74,62.17,2.35
1982M10,65.43,1.62,65.42,2.59,64.57,2.77,63.95,1.78,65.63,2.76,61.58,2.09
1982M11,65.55,1.61,65.41,2.32,64.56,2.49,64.09,1.79,65.63,2.51,60.95,1.92
1982M12,65.64,1.77,65.56,2.39,64.71,2.55,64.19,1.97,65.71,2.43,61.18,2.44
1983M01,65.84,1.46,65.74,1.70,64.90,1.80,64.41,1.64,65.90,1.81,61.11,1.56
1983M02,66.06,2.10,65.88,2.19,65.05,2.34,64.64,2.34,65.92,2.19,61.75,3.02
1983M03,65.89,1.82,65.57,1.34,64.80,1.55,64.59,2.25,65.76,1.40,62.05,3.21
1983M04,65.70,1.48,65.55,1.08,64.91,1.47,64.58,2.17,65.92,1.40,62.37,3.47
