期間,市內電話-用戶數(萬戶)_原始值,市內電話-用戶數(萬戶)_年增率(%),市內電話-每百人用戶數(戶／百人)_原始值,市內電話-每百人用戶數(戶／百人)_年增率(%),國際電話去話分鐘數(萬分鐘)_原始值,國際電話去話分鐘數(萬分鐘)_年增率(%),整體服務數位網路(ISDN)用戶數(戶)_原始值,整體服務數位網路(ISDN)用戶數(戶)_年增率(%),數據通信出租電路數(路)_原始值,數據通信出租電路數(路)_年增率(%),分封交換數據通信-用戶數(戶)_原始值,分封交換數據通信-用戶數(戶)_年增率(%),分封交換數據通信-資訊量(百萬節)_原始值,分封交換數據通信-資訊量(百萬節)_年增率(%),無線電叫人用戶數(千戶)_原始值,無線電叫人用戶數(千戶)_年增率(%),行動電話-用戶數(千戶)_原始值,行動電話-用戶數(千戶)_年增率(%),行動電話-每百人用戶數(戶／百人)_原始值,行動電話-每百人用戶數(戶／百人)_年增率(%),行動電話-去話分鐘數(百萬分鐘)_原始值,行動電話-去話分鐘數(百萬分鐘)_年增率(%),網際網路帳號數(千戶)_原始值,網際網路帳號數(千戶)_年增率(%),寬頻(千戶)_原始值,寬頻(千戶)_年增率(%)
2006M01,"1,361",...,59.8,...,"30,679",...,"58,563",...,"166,509",...,"5,060",...,515,...,"1,093",...,"22,311",...,98.0,...,"2,523",...,"7,298",...,"4,382",...
2006M02,"1,360",...,59.7,...,"29,818",...,"59,802",...,"166,433",...,"5,054",...,637,...,"1,089",...,"22,444",...,98.5,...,"2,366",...,"7,116",...,"4,412",...
2006M03,"1,360",...,59.7,...,"29,280",...,"59,968",...,"165,821",...,"5,104",...,505,...,"1,084",...,"22,509",...,98.8,...,"2,476",...,"7,143",...,"4,463",...
2006M04,"1,358",...,59.6,...,"33,393",...,"59,664",...,"165,330",...,"5,125",...,554,...,"1,084",...,"22,594",...,99.1,...,"2,488",...,"7,145",...,"4,496",...
2006M05,"1,358",...,59.5,...,"32,156",...,"59,245",...,"165,509",...,"5,066",...,428,...,"1,082",...,"22,707",...,99.6,...,"2,545",...,"7,162",...,"4,521",...
2006M06,"1,356",...,59.4,...,"32,569",...,"59,419",...,"165,043",...,"5,029",...,433,...,"1,080",...,"22,799",...,100.0,...,"2,535",...,"6,943",...,"4,315",...
2006M07,"1,354",...,59.4,...,"32,161",...,"60,193",...,"164,542",...,"5,031",...,418,...,"1,076",...,"22,870",...,100.2,...,"2,551",...,"6,976",...,"4,353",...
2006M08,"1,352",...,59.2,...,"31,904",...,"60,437",...,"165,118",...,"5,041",...,414,...,"1,075",...,"22,903",...,100.3,...,"2,550",...,"7,025",...,"4,421",...
2006M09,"1,351",...,59.2,...,"32,348",...,"60,890",...,"166,113",...,"4,841",...,457,...,"1,083",...,"22,978",...,100.6,...,"2,469",...,"7,037",...,"4,461",...
2006M10,"1,351",...,59.1,...,"33,353",...,"61,225",...,"166,123",...,"4,813",...,311,...,"1,073",...,"23,012",...,100.7,...,"2,489",...,"7,020",...,"4,473",...
2006M11,"1,349",...,59.0,...,"32,419",...,"62,736",...,"166,417",...,"4,782",...,422,...,"1,071",...,"23,105",...,101.1,...,"2,454",...,"7,023",...,"4,481",...
2006M12,"1,347",...,58.9,...,"34,021",...,"63,449",...,"166,954",...,"4,662",...,505,...,"1,070",...,"23,249",...,101.7,...,"2,513",...,"7,037",...,"4,506",...
2007M01,"1,345",-1.16,58.8,-1.60,"33,842",10.31,"63,541",8.50,"160,812",-3.42,"4,609",-8.91,497,-3.48,"1,070",-2.11,"23,374",4.77,102.2,4.29,"2,574",2.00,"7,041",-3.52,"4,505",2.81
2007M02,"1,343",-1.25,58.7,-1.67,"33,095",10.99,"63,892",6.84,"160,252",-3.71,"4,588",-9.22,368,-42.19,"1,066",-2.05,"23,492",4.67,102.7,4.22,"2,405",1.62,"6,963",-2.15,"4,528",2.63
2007M03,"1,343",-1.20,58.7,-1.60,"31,380",7.17,"63,192",5.38,"160,666",-3.11,"4,785",-6.25,373,-26.15,"1,066",-1.70,"23,561",4.67,103.0,4.25,"2,474",-0.08,"6,956",-2.62,"4,555",2.06
2007M04,"1,343",-1.15,58.7,-1.54,"32,291",-3.30,"63,457",6.36,"160,223",-3.09,"3,964",-22.65,596,7.50,"1,065",-1.72,"23,585",4.39,103.1,3.98,"2,585",3.92,"6,896",-3.48,"4,564",1.51
2007M05,"1,341",-1.21,58.6,-1.60,"30,740",-4.41,"63,654",7.44,"159,526",-3.61,"3,740",-26.17,542,26.74,"1,063",-1.70,"23,526",3.61,102.8,3.20,"2,669",4.87,"6,458",-9.83,"4,565",0.97
2007M06,"1,339",-1.23,58.5,-1.61,"30,485",-6.40,"63,894",7.53,"159,465",-3.38,"3,603",-28.36,596,37.59,"1,053",-2.47,"23,642",3.70,103.2,3.30,"2,636",4.00,"6,433",-7.36,"4,573",5.98
2007M07,"1,338",-1.21,58.4,-1.58,"30,813",-4.19,"64,433",7.04,"158,830",-3.47,"3,153",-37.33,574,37.47,"1,053",-2.13,"23,786",4.01,103.8,3.61,"2,666",4.49,"6,233",-10.65,"4,579",5.19
