期間,經常帳,經常帳--商品--出口f.o.b,經常帳--商品--進口f.o.b,經常帳--商品貿易淨額,經常帳--服務--收入,經常帳--服務--支出,經常帳--商品與服務收支淨額,經常帳--所得--收入,經常帳--所得--支出,經常帳--商品、服務與所得收支淨額,經常帳--經常移轉--收入,經常帳--經常移轉--支出,資本帳,資本帳--收入,資本帳--支出,合計--經常帳+資本帳,金融帳,金融帳--對外直接投資,金融帳--來台直接投資,金融帳--證券投資(資產),金融帳--證券投資(資產)--股權證券,金融帳--證券投資(資產)--債權證券,金融帳--證券投資(負債),金融帳--證券投資(負債)--股權證券,金融帳--證券投資(負債)--債權證券,金融帳--衍生性金融商品,金融帳--衍生性金融商品(資產),金融帳--衍生性金融商品(負債),其他投資(資產),其他投資(資產)--貨幣當局,其他投資(資產)--政府,其他投資(資產)--銀行,其他投資(資產)--其他部門,其他投資(負債),其他投資(負債)--貨幣當局,其他投資(負債)--政府,其他投資(負債)--銀行,其他投資(負債)--其他部門,合計--經常帳+資本帳+金融帳,誤差與遺漏淨額,合計--經常帳+資本帳+金融帳+誤差與遺漏淨額,準備與相關項目,準備與相關項目--準備資產,準備與相關項目--基金信用的使用及自基金之借款,準備與相關項目--特殊融資
1981Q1,-851,"4,907","-5,481",-574,500,-741,-815,289,-306,-832,24,-43,-1,...,-1,-852,"1,092",-25,32,-,-,-,20,-,20,...,...,...,799,...,-,847,-48,266,...,-1,-114,381,240,199,439,-439,-439,-,-
1981Q2,37,"5,919","-5,523",396,570,-845,121,284,-337,68,21,-52,-1,...,-1,36,766,-12,42,-,-,-,25,-,25,...,...,...,-46,...,-12,14,-48,757,...,2,431,324,802,-138,664,-664,-664,-,-
1981Q3,729,"6,124","-4,977","1,147",578,-950,775,360,-380,755,20,-46,-1,...,-1,728,"1,316",-22,51,-,-,-,20,-,20,...,...,...,870,...,-4,900,-26,397,...,-,258,139,"2,044",-209,"1,835","-1,835","-1,835",-,-
1981Q4,607,"5,636","-4,734",902,582,-779,705,335,-416,624,19,-36,-,...,-,607,"1,382",-1,26,-,-,-,20,-,20,...,...,...,961,...,-117,"1,120",-42,376,...,-16,21,371,"1,989",-179,"1,810","-1,810","-1,810",-,-
1982Q1,302,"5,127","-4,573",554,499,-792,261,404,-336,329,17,-44,-,...,-,302,-175,-9,4,-,-,-,-,-,-,...,...,...,83,...,-5,139,-51,-253,...,-12,-248,7,127,52,179,-179,-179,-,-
1982Q2,585,"5,727","-4,675","1,052",540,-899,693,362,-427,628,19,-62,-1,...,-1,584,-577,-5,36,-,-,-,45,-,45,...,...,...,-748,...,-246,-512,10,95,...,20,-436,511,7,-78,-71,71,71,-,-
1982Q3,806,"5,794","-4,527","1,267",548,"-1,028",787,405,-343,849,17,-60,-1,...,-1,805,-222,-17,25,-,-,-,-,-,-,...,...,...,-173,...,22,-193,-2,-57,...,4,-160,99,583,-197,386,-386,-386,-,-
1982Q4,558,"5,383","-4,505",878,557,-851,584,352,-351,585,17,-44,-1,...,-1,557,334,-1,39,-,-,-,100,-,100,...,...,...,-394,...,12,-400,-6,590,...,49,383,158,891,-279,612,-612,-612,-,-
1983Q1,881,"5,194","-4,140","1,054",530,-844,740,360,-198,902,20,-41,-1,...,-1,880,153,-6,13,-,-,-,-,-,-,...,...,...,293,...,-3,278,18,-147,...,-12,-456,321,"1,033",-16,"1,017","-1,017","-1,017",-,-
1983Q2,"1,429","6,475","-4,469","2,006",572,"-1,033","1,545",332,-435,"1,442",37,-50,-1,...,-1,"1,428",-453,-4,45,-,-,-,-,-,-,...,...,...,-512,...,-2,-327,-183,18,...,-29,72,-25,975,-119,856,-856,-856,-,-
1983Q3,"1,402","6,889","-4,928","1,961",560,"-1,212","1,309",315,-213,"1,411",34,-43,-1,...,-1,"1,401",-179,-3,61,-,-,-,-,-,-,...,...,...,-510,...,14,-325,-199,273,...,80,75,118,"1,222",-220,"1,002","-1,002","-1,002",-,-
1983Q4,704,"6,787","-5,479","1,308",600,"-1,188",720,350,-351,719,29,-44,-1,...,-1,703,-241,-6,30,-,-,-,41,41,-,...,...,...,-481,...,-,-473,-8,175,...,-2,-209,386,462,4,466,-466,-466,-,-
1984Q1,"1,713","6,752","-4,722","2,030",601,"-1,112","1,519",407,-191,"1,735",27,-49,-1,...,-1,"1,712",-539,-15,53,-,-,-,-20,-,-20,...,...,...,-41,...,-,-23,-18,-516,...,-15,-352,-149,"1,173",-133,"1,040","-1,040","-1,040",-,-
1984Q2,"1,928","8,171","-5,526","2,645",628,"-1,328","1,945",394,-377,"1,962",30,-64,-1,...,-1,"1,927",-765,-11,70,-,-,-,-25,-,-25,...,...,...,-781,...,-1,-677,-103,-18,...,-8,59,-69,"1,162",-268,894,-894,-894,-,-
