期間,總成交值(十億元)_原始值,總成交值(十億元)_年增率(%),成交筆數(百萬)_原始值,成交筆數(百萬)_年增率(%),成交金額(十億元)-股票_原始值,成交金額(十億元)-股票_年增率(%),成交金額(十億元)-指數股票型基金_原始值,成交金額(十億元)-指數股票型基金_年增率(%),成交金額(十億元)-封閉式基金_原始值,成交金額(十億元)-封閉式基金_年增率(%),成交金額(十億元)-受益證券_原始值,成交金額(十億元)-受益證券_年增率(%),成交金額(十億元)-認購(售)權證_原始值,成交金額(十億元)-認購(售)權證_年增率(%),成交金額(十億元)-臺灣存託憑證_原始值,成交金額(十億元)-臺灣存託憑證_年增率(%),成交金額(十億元)-公債_原始值,成交金額(十億元)-公債_年增率(%),成交金額(十億元)-公司債-普通_原始值,成交金額(十億元)-公司債-普通_年增率(%),成交金額(十億元)-公司債-轉換_原始值,成交金額(十億元)-公司債-轉換_年增率(%)
1998M08,"1,800.48",...,9.69,...,"1,792.77",...,...,...,...,...,...,...,0.67,...,0.47,...,...,...,...,...,2.34,...
1998M09,"2,051.25",...,12.67,...,"2,043.77",...,...,...,...,...,...,...,0.58,...,0.94,...,...,...,...,...,2.18,...
1998M10,"1,896.97",...,11.67,...,"1,889.38",...,...,...,...,...,...,...,0.40,...,1.52,...,...,...,...,...,2.30,...
1998M11,"2,425.40",...,13.69,...,"2,411.96",...,...,...,...,...,...,...,0.78,...,2.37,...,...,...,...,...,6.72,...
1998M12,"1,578.79",...,9.94,...,"1,568.05",...,...,...,...,...,...,...,0.43,...,1.50,...,...,...,...,...,5.72,...
1999M01,"1,417.68",...,9.36,...,"1,408.88",...,...,...,...,...,...,...,0.80,...,2.10,...,...,...,...,...,3.41,...
1999M02,993.18,...,7.19,...,985.52,...,...,...,...,...,...,...,0.22,...,2.74,...,...,...,...,...,1.93,...
1999M03,"2,409.66",...,15.43,...,"2,390.32",...,...,...,...,...,...,...,0.37,...,6.79,...,...,...,...,...,7.42,...
1999M04,"2,939.34",...,17.11,...,"2,915.82",...,...,...,...,...,...,...,1.66,...,11.82,...,...,...,...,...,5.43,...
1999M05,"2,673.57",...,14.32,...,"2,661.04",...,...,...,...,...,...,...,1.61,...,3.16,...,...,...,...,...,2.60,...
1999M06,"3,769.68",...,16.61,...,"3,749.37",...,...,...,...,...,...,...,4.97,...,5.41,...,...,...,...,...,4.95,...
