期間,上市股票--公司家數_原始值,上市股票--公司家數_年增率(%),上市股票--總面值_原始值,上市股票--總面值_年增率(%),上市股票--總市值_原始值,上市股票--總市值_年增率(%),上市股票--總成交值_原始值,上市股票--總成交值_年增率(%),上市股票--日平均成交值_原始值,上市股票--日平均成交值_年增率(%),加權平均股價指數_原始值,加權平均股價指數_年增率(%)
1997M01,386,10.29,"1,648,240",23.39,"7,997,263",68.33,"1,865,920",186.96,"77,747",186.96,"7,135.16",44.35
1997M02,387,9.94,"1,659,191",23.98,"8,703,691",81.31,"2,305,608",676.15,"128,089",719.25,"7,642.26",59.54
1997M03,387,8.71,"1,666,145",22.63,"8,845,012",74.81,"3,555,460",438.09,"142,218",395.03,"8,166.46",66.76
1997M04,389,8.06,"1,673,019",23.77,"9,156,282",48.35,"3,599,059",81.85,"149,961",81.85,"8,505.78",45.49
1997M05,391,8.01,"1,710,100",26.04,"8,723,807",50.13,"2,408,399",90.99,"92,631",98.34,"8,146.61",36.09
1997M06,391,8.01,"1,726,192",25.00,"9,326,965",45.53,"3,756,763",179.91,"156,532",179.92,"8,604.60",37.36
1997M07,393,7.97,"1,782,041",24.97,"10,114,689",71.34,"5,127,168",440.06,"197,199",419.29,"9,553.26",53.95
1997M08,396,8.79,"1,817,874",25.08,"9,953,485",63.54,"3,900,531",315.52,"162,522",350.15,"9,890.34",58.63
1997M09,396,7.90,"1,899,126",25.89,"9,337,647",44.55,"2,559,676",169.19,"106,653",157.97,"9,111.67",41.73
1997M10,400,7.82,"1,941,853",24.95,"8,066,581",22.20,"2,432,660",146.41,"105,768",146.41,"7,983.28",22.34
1997M11,402,7.20,"1,997,339",25.19,"8,823,294",21.55,"2,443,978",50.09,"111,090",70.56,"7,731.90",15.56
1997M12,404,5.76,"2,066,324",26.82,"9,696,113",28.79,"3,285,926",160.22,"126,382",150.21,"8,147.84",18.40
1998M01,405,4.92,"2,103,402",27.62,"9,699,670",21.29,"1,453,174",-22.12,"90,823",16.82,"7,849.77",10.02
1998M02,405,4.65,"2,155,862",29.93,"11,097,464",27.50,"4,526,848",96.34,"205,766",60.64,"8,807.57",15.25
1998M03,408,5.43,"2,151,750",29.15,"11,037,215",24.78,"3,647,688",2.59,"151,987",6.87,"8,976.49",9.92
1998M04,411,5.66,"2,160,046",29.11,"10,067,556",9.95,"2,879,608",-19.99,"125,200",-16.51,"8,785.11",3.28
1998M05,412,5.37,"2,170,468",26.92,"9,441,001",8.22,"2,172,185",-9.81,"98,736",6.59,"8,226.35",0.98
1998M06,416,6.39,"2,238,725",29.69,"8,468,495",-9.20,"2,639,282",-29.75,"109,970",-29.75,"7,540.08",-12.37
1998M07,416,5.85,"2,311,297",29.70,"8,617,548",-14.80,"2,594,260",-49.40,"108,094",-45.19,"7,874.10",-17.58
1998M08,419,5.81,"2,439,057",34.17,"7,811,208",-21.52,"1,792,767",-54.04,"74,699",-54.04,"7,218.46",-27.02
1998M09,421,6.31,"2,535,074",33.49,"8,451,568",-9.49,"2,043,773",-20.16,"85,157",-20.16,"6,832.38",-25.02
1998M10,428,7.00,"2,651,145",36.53,"9,237,623",14.52,"1,889,376",-22.33,"82,147",-22.33,"6,886.22",-13.74
1998M11,431,7.21,"2,668,126",33.58,"9,255,870",4.90,"2,411,960",-1.31,"109,635",-1.31,"7,108.83",-8.06
