期間,新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%)
1987M01,759,...,27,...,1,...,55,...,26,...,17,...,32,...,...,...,...,...,40,...,3,...,13,...,-,...,10,...,70,...,15,...,13,...,120,...,98,...,116,...,32,...,16,...,55,...,319,...,22,...,-,...,16,...,19,...,4,...,30,...,...,...,...,...,22,...,6,...,10,...,-,...,6,...,27,...,31,...,8,...,27,...,15,...,34,...,8,...,6,...,28,...
1987M02,997,...,42,...,-,...,66,...,25,...,20,...,26,...,...,...,...,...,52,...,10,...,12,...,-,...,7,...,112,...,26,...,26,...,167,...,123,...,142,...,40,...,22,...,79,...,137,...,4,...,1,...,14,...,5,...,1,...,8,...,...,...,...,...,5,...,1,...,3,...,-,...,5,...,9,...,5,...,2,...,15,...,12,...,18,...,7,...,4,...,18,...
1987M03,755,...,26,...,-,...,55,...,15,...,8,...,22,...,...,...,...,...,34,...,7,...,16,...,-,...,11,...,95,...,22,...,18,...,114,...,81,...,111,...,32,...,22,...,66,...,166,...,6,...,1,...,14,...,8,...,4,...,5,...,...,...,...,...,10,...,1,...,3,...,-,...,3,...,18,...,3,...,4,...,14,...,12,...,24,...,11,...,3,...,22,...
1987M04,"1,075",...,23,...,-,...,60,...,40,...,20,...,31,...,...,...,...,...,43,...,5,...,18,...,-,...,25,...,121,...,27,...,26,...,187,...,147,...,155,...,36,...,23,...,88,...,166,...,9,...,-,...,17,...,6,...,4,...,9,...,...,...,...,...,5,...,4,...,4,...,-,...,1,...,18,...,4,...,-,...,20,...,14,...,17,...,9,...,11,...,14,...
1987M05,938,...,16,...,-,...,57,...,42,...,21,...,27,...,...,...,...,...,39,...,5,...,17,...,1,...,17,...,106,...,36,...,13,...,154,...,132,...,118,...,49,...,15,...,73,...,162,...,9,...,-,...,17,...,10,...,2,...,10,...,...,...,...,...,8,...,3,...,3,...,-,...,-,...,12,...,5,...,4,...,16,...,11,...,27,...,7,...,2,...,16,...
1987M06,"1,121",...,33,...,1,...,52,...,45,...,23,...,40,...,...,...,...,...,62,...,8,...,19,...,1,...,19,...,135,...,22,...,31,...,192,...,144,...,152,...,40,...,26,...,76,...,212,...,13,...,-,...,13,...,10,...,7,...,12,...,...,...,...,...,18,...,-,...,3,...,-,...,4,...,32,...,6,...,5,...,17,...,19,...,26,...,9,...,3,...,15,...
1987M07,"1,051",...,27,...,1,...,73,...,32,...,10,...,47,...,...,...,...,...,52,...,8,...,13,...,-,...,9,...,108,...,26,...,24,...,163,...,167,...,141,...,38,...,23,...,89,...,177,...,5,...,-,...,12,...,15,...,3,...,13,...,...,...,...,...,5,...,2,...,1,...,-,...,-,...,21,...,8,...,3,...,27,...,16,...,27,...,3,...,1,...,15,...
1987M08,908,...,28,...,1,...,43,...,28,...,9,...,38,...,...,...,...,...,65,...,5,...,17,...,-,...,13,...,90,...,31,...,14,...,155,...,126,...,136,...,28,...,19,...,62,...,172,...,7,...,-,...,7,...,13,...,6,...,9,...,...,...,...,...,6,...,2,...,7,...,-,...,2,...,18,...,2,...,1,...,24,...,13,...,22,...,6,...,5,...,22,...
1987M09,791,...,28,...,1,...,41,...,31,...,15,...,26,...,...,...,...,...,54,...,7,...,13,...,-,...,7,...,71,...,14,...,20,...,120,...,111,...,120,...,38,...,17,...,57,...,171,...,2,...,1,...,13,...,6,...,1,...,10,...,...,...,...,...,6,...,-,...,4,...,1,...,-,...,31,...,5,...,4,...,12,...,19,...,31,...,6,...,3,...,16,...
1987M10,606,...,30,...,-,...,31,...,9,...,7,...,26,...,...,...,...,...,34,...,3,...,20,...,-,...,3,...,55,...,18,...,11,...,102,...,82,...,72,...,25,...,21,...,57,...,150,...,6,...,2,...,13,...,11,...,2,...,7,...,...,...,...,...,8,...,-,...,8,...,-,...,1,...,19,...,6,...,2,...,17,...,12,...,18,...,3,...,5,...,10,...
