期間,總指數_原始值,總指數_年增率(%),總指數(不含土石採取業)_原始值,總指數(不含土石採取業)_年增率(%),總指數(不含建築工程業)_原始值,總指數(不含建築工程業)_年增率(%),總指數(不含土石採取及建築工程業)_原始值,總指數(不含土石採取及建築工程業)_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),製造業_原始值,製造業_年增率(%),金屬機電工業_原始值,金屬機電工業_年增率(%),資訊電子工業_原始值,資訊電子工業_年增率(%),化學工業_原始值,化學工業_年增率(%),民生工業_原始值,民生工業_年增率(%),電力及燃氣供應業_原始值,電力及燃氣供應業_年增率(%),用水供應業_原始值,用水供應業_年增率(%),建築工程業_原始值,建築工程業_年增率(%)
1971M01,...,...,6.39,11.71,...,...,...,...,...,...,5.51,6.99,4.27,2.15,0.30,0.00,7.15,11.89,39.77,2.39,6.79,10.23,11.69,6.18,17.35,-2.96
1971M02,...,...,5.99,25.58,...,...,...,...,...,...,5.50,26.73,3.86,5.46,0.30,11.11,6.69,18.62,37.76,25.41,6.55,24.52,11.09,6.63,16.98,8.15
1971M03,...,...,7.01,24.96,...,...,...,...,...,...,6.38,25.34,4.95,8.32,0.36,12.50,8.19,20.09,42.47,24.33,7.42,17.22,11.75,9.81,22.04,37.75
1971M04,...,...,7.06,23.64,...,...,...,...,...,...,6.46,24.95,5.10,14.09,0.41,10.81,8.28,15.48,42.65,35.01,7.35,15.20,12.47,13.88,19.27,50.43
1971M05,...,...,7.23,22.13,...,...,...,...,...,...,6.59,22.95,4.87,6.33,0.45,18.42,8.16,17.58,43.85,28.37,7.84,17.54,13.23,13.46,20.33,42.87
1971M06,...,...,7.14,19.80,...,...,...,...,...,...,6.51,21.00,5.08,10.20,0.46,17.95,8.47,17.97,41.75,25.83,7.97,18.78,13.68,15.25,23.31,21.34
1971M07,...,...,7.36,19.29,...,...,...,...,...,...,6.69,20.11,5.06,2.22,0.49,19.51,8.74,19.89,40.66,18.09,8.12,13.88,13.89,11.12,24.62,31.24
1971M08,...,...,7.65,30.77,...,...,...,...,...,...,6.76,28.76,5.26,16.37,0.47,30.56,9.48,29.33,42.46,27.05,8.39,15.56,14.52,16.16,25.93,48.85
1971M09,...,...,6.88,21.77,...,...,...,...,...,...,6.23,24.10,5.30,14.72,0.44,37.50,8.75,23.24,33.43,2.80,7.45,8.28,13.86,14.36,25.53,21.46
1971M10,...,...,7.35,23.32,...,...,...,...,...,...,6.69,26.70,4.87,3.62,0.46,43.75,9.39,31.33,33.81,1.50,7.96,11.48,14.59,23.75,26.21,8.26
1971M11,...,...,7.42,30.18,...,...,...,...,...,...,6.73,34.06,5.72,23.81,0.49,58.06,10.11,40.81,33.68,8.89,7.87,16.08,14.22,20.92,23.73,-9.53
1971M12,...,...,8.35,27.48,...,...,...,...,...,...,7.59,27.78,6.25,28.60,0.52,73.33,9.79,31.41,45.08,0.65,8.05,13.06,14.06,20.17,35.54,68.52
1972M01,...,...,8.27,29.42,...,...,...,...,...,...,7.64,38.66,6.03,41.22,0.48,60.00,10.15,41.96,52.57,32.19,8.22,21.06,14.10,20.62,27.52,58.62
1972M02,...,...,6.93,15.69,...,...,...,...,...,...,6.39,16.18,5.12,32.64,0.41,36.67,8.18,22.27,40.97,8.50,7.30,11.45,13.75,23.99,26.56,56.42
1972M03,...,...,8.32,18.69,...,...,...,...,...,...,7.69,20.53,6.21,25.45,0.59,63.89,9.83,20.02,46.50,9.49,8.56,15.36,13.55,15.32,29.03,31.72
1972M04,...,...,8.55,21.10,...,...,...,...,...,...,7.88,21.98,6.50,27.45,0.73,78.05,9.42,13.77,43.27,1.45,8.49,15.51,14.00,12.27,34.08,76.86
1972M05,...,...,8.79,21.58,...,...,...,...,...,...,8.16,23.82,6.51,33.68,0.73,62.22,10.23,25.37,46.57,6.20,8.86,13.01,14.93,12.85,31.46,54.75
1972M06,...,...,8.56,19.89,...,...,...,...,...,...,7.87,20.89,6.03,18.70,0.72,56.52,10.56,24.68,43.91,5.17,9.08,13.93,15.38,12.43,31.72,36.08
1972M07,...,...,8.79,19.43,...,...,...,...,...,...,8.09,20.93,6.19,22.33,0.73,48.98,10.33,18.19,44.44,9.30,9.51,17.12,16.15,16.27,30.52,23.96
1972M08,...,...,9.72,27.06,...,...,...,...,...,...,8.05,19.08,6.08,15.59,0.72,53.19,10.54,11.18,43.75,3.04,9.46,12.75,15.78,8.68,30.43,17.35
1972M09,...,...,8.76,27.33,...,...,...,...,...,...,8.11,30.18,6.04,13.96,0.74,68.18,10.40,18.86,40.56,21.33,9.44,26.71,16.06,15.87,28.64,12.18
1972M10,...,...,8.97,22.04,...,...,...,...,...,...,8.33,24.51,6.29,29.16,0.74,60.87,11.50,22.47,42.45,25.55,9.35,17.46,16.14,10.62,28.52,8.81
