期間,出生人數_原始值,出生人數_年增率(%),粗出生率(0/00)_原始值,粗出生率(0/00)_年增率(%),男性出生人數_原始值,男性出生人數_年增率(%),女性出生人數_原始值,女性出生人數_年增率(%),死亡人數_原始值,死亡人數_年增率(%),粗死亡率(0/00)_原始值,粗死亡率(0/00)_年增率(%),男性死亡人數_原始值,男性死亡人數_年增率(%),女性死亡人數_原始值,女性死亡人數_年增率(%),自然增加-人數_原始值,自然增加-人數_年增率(%),自然增加-增加率(0/00)_原始值,自然增加-增加率(0/00)_年增率(%),社會增加-增加人數_原始值,社會增加-增加人數_年增率(%),社會增加-增加率(0/00)_原始值,社會增加-增加率(0/00)_年增率(%),總增加-增加人數_原始值,總增加-增加人數_年增率(%),總增加-總增加率(0/00)_原始值,總增加-總增加率(0/00)_年增率(%),婚生-計_原始值,婚生-計_年增率(%),婚生-男性_原始值,婚生-男性_年增率(%),婚生-女性_原始值,婚生-女性_年增率(%),非婚生-已認領-計_原始值,非婚生-已認領-計_年增率(%),非婚生-已認領-男性_原始值,非婚生-已認領-男性_年增率(%),非婚生-已認領-女性_原始值,非婚生-已認領-女性_年增率(%),非婚生-未認領-計_原始值,非婚生-未認領-計_年增率(%),非婚生-未認領-男性_原始值,非婚生-未認領-男性_年增率(%),非婚生-未認領-女性_原始值,非婚生-未認領-女性_年增率(%),棄嬰或無依兒童-計_原始值,棄嬰或無依兒童-計_年增率(%),棄嬰或無依兒童-男性_原始值,棄嬰或無依兒童-男性_年增率(%),棄嬰或無依兒童-女性_原始值,棄嬰或無依兒童-女性_年增率(%),出生登記人數-遺腹子-計_原始值,出生登記人數-遺腹子-計_年增率(%),出生登記人數-遺腹子-男性_原始值,出生登記人數-遺腹子-男性_年增率(%),出生登記人數-遺腹子-女性_原始值,出生登記人數-遺腹子-女性_年增率(%),出生登記人數-雙生者-計_原始值,出生登記人數-雙生者-計_年增率(%),出生登記人數-雙生者-男性_原始值,出生登記人數-雙生者-男性_年增率(%),出生登記人數-雙生者-女性_原始值,出生登記人數-雙生者-女性_年增率(%),出生登記人數-三生以上者-計_原始值,出生登記人數-三生以上者-計_年增率(%),出生登記人數-三生以上者-男性_原始值,出生登記人數-三生以上者-男性_年增率(%),出生登記人數-三生以上者-女性_原始值,出生登記人數-三生以上者-女性_年增率(%)
2000M01,"24,042",...,1.09,-,"12,614",...,"11,428",...,"11,478",...,0.52,-,"7,019",...,"4,459",...,"12,564",-,0.57,-,"1,289",-,0.06,-,"13,853",-,0.63,-,"23,320",...,"12,243",...,"11,077",...,290,...,153,...,137,...,430,...,216,...,214,...,2,...,2,...,0,...,9,...,4,...,5,...,575,...,307,...,268,...,34,...,17,...,17,...
2000M02,"22,263",...,1.01,-,"11,676",...,"10,587",...,"10,636",...,0.48,-,"6,578",...,"4,058",...,"11,627",-,0.53,-,"2,076",-,0.09,-,"13,703",-,0.62,-,"21,545",...,"11,306",...,"10,239",...,279,...,132,...,147,...,436,...,236,...,200,...,3,...,2,...,1,...,9,...,4,...,5,...,533,...,302,...,231,...,36,...,19,...,17,...
2000M03,"26,259",...,1.19,-,"13,848",...,"12,411",...,"12,521",...,0.57,-,"7,699",...,"4,822",...,"13,738",-,0.62,-,"1,096",-,0.05,-,"14,834",-,0.67,-,"25,407",...,"13,409",...,"11,998",...,337,...,183,...,154,...,510,...,252,...,258,...,5,...,4,...,1,...,7,...,3,...,4,...,650,...,340,...,310,...,34,...,19,...,15,...
2000M04,"22,587",...,1.02,-,"11,848",...,"10,739",...,"10,424",...,0.47,-,"6,401",...,"4,023",...,"12,163",-,0.55,-,-207,-,-0.01,-,"11,956",-,0.54,-,"21,867",...,"11,504",...,"10,363",...,313,...,152,...,161,...,404,...,190,...,214,...,3,...,2,...,1,...,11,...,8,...,3,...,560,...,300,...,260,...,33,...,14,...,19,...
2000M05,"25,019",...,1.13,-,"13,187",...,"11,832",...,"11,054",...,0.50,-,"6,882",...,"4,172",...,"13,965",-,0.63,-,"-1,040",-,-0.05,-,"12,925",-,0.58,-,"24,243",...,"12,802",...,"11,441",...,294,...,154,...,140,...,476,...,229,...,247,...,6,...,2,...,4,...,12,...,6,...,6,...,627,...,326,...,301,...,42,...,21,...,21,...
2000M06,"22,937",...,1.03,-,"12,087",...,"10,850",...,"10,040",...,0.45,-,"6,216",...,"3,824",...,"12,897",-,0.58,-,-26,-,0.00,-,"12,871",-,0.58,-,"22,154",...,"11,688",...,"10,466",...,308,...,168,...,140,...,473,...,229,...,244,...,2,...,2,...,0,...,11,...,9,...,2,...,523,...,279,...,244,...,38,...,21,...,17,...
2000M07,"24,436",...,1.10,-,"12,741",...,"11,695",...,"10,031",...,0.45,-,"6,241",...,"3,790",...,"14,405",-,0.65,-,"1,242",-,0.06,-,"15,647",-,0.71,-,"23,631",...,"12,341",...,"11,290",...,303,...,153,...,150,...,495,...,244,...,251,...,7,...,3,...,4,...,8,...,3,...,5,...,560,...,296,...,264,...,35,...,16,...,19,...
2000M08,"25,771",...,1.16,-,"13,355",...,"12,416",...,"9,729",...,0.44,-,"6,076",...,"3,653",...,"16,042",-,0.72,-,"-1,184",-,-0.05,-,"14,858",-,0.67,-,"24,847",...,"12,887",...,"11,960",...,370,...,171,...,199,...,547,...,293,...,254,...,7,...,4,...,3,...,17,...,7,...,10,...,641,...,312,...,329,...,44,...,23,...,21,...
2000M09,"26,915",...,1.21,-,"14,014",...,"12,901",...,"9,706",...,0.44,-,"6,132",...,"3,574",...,"17,209",-,0.77,-,"-1,294",-,-0.06,-,"15,915",-,0.72,-,"25,926",...,"13,497",...,"12,429",...,381,...,187,...,194,...,599,...,323,...,276,...,9,...,7,...,2,...,16,...,9,...,7,...,665,...,343,...,322,...,32,...,20,...,12,...
2000M10,"28,710",...,1.29,-,"14,914",...,"13,796",...,"10,004",...,0.45,-,"6,291",...,"3,713",...,"18,706",-,0.84,-,191,-,0.01,-,"18,897",-,0.85,-,"27,782",...,"14,464",...,"13,318",...,369,...,180,...,189,...,550,...,265,...,285,...,9,...,5,...,4,...,2,...,2,...,0,...,625,...,298,...,327,...,45,...,25,...,20,...
