期間,資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款-計_原始值,資產--放款-計_年增率(%),資產--放款-政府機關_原始值,資產--放款-政府機關_年增率(%),資產--放款-公營事業_原始值,資產--放款-公營事業_年增率(%),資產--放款-民間部門_原始值,資產--放款-民間部門_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-人壽保險公司等_原始值,資產--對金融機構債權-人壽保險公司等_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--企業及個人存款-計_原始值,負債與淨值--企業及個人存款-計_年增率(%),負債與淨值--企業及個人存款-支票存款_原始值,負債與淨值--企業及個人存款-支票存款_年增率(%),負債與淨值--企業及個人存款-活期存款_原始值,負債與淨值--企業及個人存款-活期存款_年增率(%),負債與淨值--企業及個人存款-活期儲蓄存款_原始值,負債與淨值--企業及個人存款-活期儲蓄存款_年增率(%),負債與淨值--企業及個人存款-定期存款_原始值,負債與淨值--企業及個人存款-定期存款_年增率(%),負債與淨值--企業及個人存款-可轉讓定期存單_原始值,負債與淨值--企業及個人存款-可轉讓定期存單_年增率(%),負債與淨值--企業及個人存款-定期儲蓄存款_原始值,負債與淨值--企業及個人存款-定期儲蓄存款_年增率(%),負債與淨值--企業及個人存款-外匯存款_原始值,負債與淨值--企業及個人存款-外匯存款_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--對金融機構負債-中央銀行_原始值,負債與淨值--對金融機構負債-中央銀行_年增率(%),負債與淨值--對金融機構負債-其他貨幣機構_原始值,負債與淨值--對金融機構負債-其他貨幣機構_年增率(%),負債與淨值--對金融機構負債-其他金融機構-中華郵政公司_原始值,負債與淨值--對金融機構負債-其他金融機構-中華郵政公司_年增率(%),負債與淨值--對金融機構負債-人壽保險公司等_原始值,負債與淨值--對金融機構負債-人壽保險公司等_年增率(%),負債與淨值--金融債券_原始值,負債與淨值--金融債券_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
1997M01,"779,391",13.56,"156,694",33.69,"364,284",12.08,-,-,"20,756",581.19,"343,528",6.70,"2,761",27.76,60,-91.47,"59,761",83.40,"2,125",-32.63,"21,110",19.00,"10,467",48.87,"3,959",-17.85,"1,541",38.45,"156,629",-10.38,"237,164",13.83,"234,617",21.43,"7,471",-0.59,"28,594",14.88,2,--,"94,590",17.48,"14,825",7.33,1,-,"89,134",34.09,-,-,"1,065",40.13,"101,413",138.25,"30,173",47.94,"11,257",-65.15,-,-,"157,429",-11.25,"36,446",14.88
1997M02,"783,803",11.77,"165,963",50.28,"365,169",9.03,-,-,"20,708",527.71,"344,461",3.87,"3,322",-6.92,10,-98.18,"46,176",22.83,"1,837",-34.16,"26,274",16.96,"13,952",94.62,"3,621",-26.07,"1,019",-28.24,"156,460",-10.82,"240,248",17.32,"239,677",20.09,"6,657",-10.46,"29,879",12.14,2,--,"95,695",17.36,"14,844",12.17,1,-,"92,599",30.93,-,-,153,--,"95,188",80.58,"27,870",28.01,"11,200",-67.87,-,-,"160,933",-9.04,"36,404",12.36
1997M03,"793,764",12.61,"168,419",66.00,"363,649",3.67,-,-,"22,185",149.21,"341,464",-0.12,"3,544",115.70,-,-,"36,870",-9.37,"1,698",-45.35,"21,603",22.17,"13,223",8.70,"3,486",-22.33,975,4.95,"180,297",4.87,"246,372",13.35,"237,715",21.73,"7,102",-5.47,"28,782",10.91,2,--,"95,595",22.65,"15,775",6.00,1,-,"90,458",31.11,-,-,-,-,"75,143",36.83,"19,372",29.03,"14,695",-41.60,-,-,"182,745",2.13,"37,094",14.09
1997M04,"772,429",7.29,"166,413",71.25,"363,486",1.33,-,-,"20,095",59.43,"343,391",-0.78,"2,238",37.05,-,-,"31,926",-27.42,682,-69.69,"26,586",39.25,"15,359",85.74,"2,761",-39.25,964,8.56,"162,014",-11.59,"257,802",18.01,"238,382",23.09,"7,096",-9.24,"30,740",19.09,2,--,"96,461",19.84,"15,970",26.92,1,-,"88,112",31.59,-,-,-,-,"59,209",-2.66,"6,030",-41.13,"15,364",-30.09,-,-,"163,775",-14.70,"37,897",14.73
1997M05,"793,711",7.51,"165,665",42.57,"363,551",0.73,-,-,"13,693",-4.30,"349,858",0.93,"4,798",138.94,-,-,"41,002",48.57,978,-58.99,"25,361",34.79,"18,254",108.21,"3,001",-30.39,"1,059",4.85,"170,042",-13.36,"251,248",13.99,"247,856",19.73,"6,628",-14.49,"32,666",29.15,2,--,"100,609",18.55,"17,019",19.61,1,-,"90,931",21.44,-,-,-,-,"66,860",29.14,"8,036",-9.18,"15,001",-38.30,-,-,"175,668",-12.60,"37,078",9.83
1997M06,"788,814",8.05,"174,150",49.22,"361,257",2.28,-,-,"11,247",2.77,"350,010",2.27,"3,761",59.50,50,--,"43,587",52.21,830,-53.00,"25,939",23.99,"16,438",84.06,"2,923",-32.24,958,-11.95,"158,921",-17.29,"255,999",21.30,"256,549",22.62,"7,193",-7.31,"33,865",33.31,2,--,"100,670",15.74,"18,480",34.54,1,-,"96,338",27.87,-,-,100,--,"65,847",49.98,"8,607",-50.35,"9,342",-70.11,-,-,"163,600",-18.31,"37,377",8.80
1997M07,"836,427",12.33,"204,865",78.03,"371,521",1.65,-,-,"12,989",-18.21,"358,532",2.56,"3,080",68.86,-,-,"35,072",4.81,"1,010",-49.45,"22,431",9.25,"27,104",231.95,"1,522",-65.43,"1,078",0.75,"168,744",-12.40,"282,039",39.87,"267,494",17.80,"7,423",-2.84,"33,260",-18.32,3,--,"100,948",14.05,"19,843",51.21,1,-,"106,016",37.53,-,-,1,-99.88,"68,377",63.96,"6,303",-69.37,"6,726",-79.73,-,-,"173,757",-15.29,"38,033",8.29
1997M08,"841,323",10.07,"199,913",59.11,"379,025",3.21,-,-,"13,147",-20.38,"365,878",4.32,"1,986",20.07,300,12.36,"33,226",-16.02,"1,481",-33.94,"34,934",36.15,"23,923",112.10,"1,021",-78.40,962,-0.41,"164,552",-11.13,"263,562",22.89,"276,530",28.14,"7,565",12.54,"39,081",44.65,2,--,"100,566",12.21,"22,706",75.70,-,-,"106,610",34.07,-,-,35,--,"86,547",23.69,"9,700",-62.86,"8,454",-78.64,-,-,"167,441",-11.34,"38,754",8.55
1997M09,"835,144",10.70,"211,751",47.84,"380,083",4.92,-,-,"14,731",-3.64,"365,352",5.30,"3,393",-6.86,-,-,"31,377",15.17,"2,684",65.27,"24,333",9.63,"20,376",150.63,"1,508",-73.48,942,-2.79,"158,697",-11.56,"263,561",21.83,"282,063",25.28,"8,267",16.67,"31,976",15.54,2,--,"102,378",7.28,"26,260",93.56,-,-,"113,180",39.07,-,-,-,-,"75,303",24.33,"8,905",-64.46,"11,024",-70.49,-,-,"164,193",-8.82,"39,000",11.67
1997M10,"893,427",17.73,"210,728",41.20,"395,374",10.33,-,-,"14,746",-8.23,"380,628",11.21,"4,086",89.96,-,-,"38,010",19.80,"2,856",63.48,"23,845",17.79,"23,232",162.01,"1,375",-69.91,819,-13.70,"193,102",7.02,"235,694",7.36,"324,989",45.78,"8,529",14.81,"32,146",20.81,8,--,"116,710",20.90,"32,389",139.97,517,-,"134,690",70.80,-,-,-,-,"78,220",24.49,"19,689",-4.38,"16,984",-52.24,-,-,"196,886",7.81,"40,654",14.94
1997M11,"956,561",25.65,"238,395",59.03,"407,814",14.04,-,-,"14,665",0.16,"393,149",14.63,"2,083",-18.06,"7,006","1,306.83","27,682",-32.62,"1,328",-0.38,"33,566",42.86,"18,260",61.92,"1,377",-75.54,950,0.53,"218,100",30.61,"235,281",7.79,"349,253",47.31,"7,199",9.81,"33,977",30.49,76,--,"121,816",23.93,"31,083",125.03,664,-,"154,438",67.16,-,-,-,-,"76,216",21.06,"15,335",-37.00,"20,969",-48.58,-,-,"233,202",40.07,"41,640",16.61
1997M12,"975,328",31.66,"246,678",60.41,"408,297",16.81,-,-,"13,815",3.88,"394,482",17.32,"3,336",11.27,"1,756",340.10,"33,943",-11.74,"1,500",41.11,"28,331",5.47,"12,534",33.84,"1,574",-67.69,920,-4.96,"236,459",55.08,"235,307",2.81,"359,479",50.42,"8,566",6.71,"34,047",11.84,5,-,"127,859",31.69,"33,693",147.91,"1,022",-,"154,287",71.76,-,-,185,131.25,"58,964",5.45,"8,910",-46.03,"28,988",5.66,-,-,"249,804",62.41,"42,601",19.43
1998M01,"1,073,491",37.73,"262,655",67.62,"435,751",19.62,-,-,"17,255",-16.87,"418,496",21.82,"2,778",0.62,-,-,"39,979",-33.10,"1,402",-34.02,"22,318",5.72,"17,921",71.21,"1,896",-52.11,"1,300",-15.64,"287,491",83.55,"244,283",3.00,"377,584",60.94,"9,349",25.14,"32,532",13.77,17,750.00,"130,157",37.60,"32,564",119.66,"1,130","112,900.00","171,835",92.78,-,-,71,-93.33,"90,107",-11.15,"17,761",-41.14,"24,780",120.13,-,-,"292,872",86.03,"43,794",20.16
1998M02,"1,014,291",29.41,"250,608",51.00,"420,983",15.28,-,-,"13,943",-32.67,"407,040",18.17,"2,787",-16.10,-,-,"41,882",-9.30,"1,230",-33.04,"25,422",-3.24,"24,358",74.58,"2,059",-43.14,"1,106",8.54,"243,856",55.86,"258,756",7.70,"369,877",54.32,"7,321",9.97,"31,186",4.37,8,300.00,"128,449",34.23,"32,042",115.86,964,"96,300.00","169,907",83.49,-,-,98,-35.95,"66,596",-30.04,"7,625",-72.64,"26,679",138.21,-,-,"248,022",54.12,"44,263",21.59
1998M03,"1,007,829",26.97,"248,127",47.33,"420,938",15.75,-,-,"14,204",-35.97,"406,734",19.11,"2,825",-20.29,-,-,"41,427",12.36,952,-43.93,"27,217",25.99,"17,958",35.81,"2,259",-35.20,"1,091",11.90,"245,035",35.91,"284,007",15.28,"363,012",52.71,"7,507",5.70,"32,284",12.17,6,200.00,"124,802",30.55,"31,663",100.72,298,"29,700.00","166,452",84.01,-,-,-,-,"51,997",-30.80,"4,505",-76.74,"25,268",71.95,-,-,"240,034",31.35,"43,511",17.30
1998M04,"1,074,179",39.07,"241,178",44.93,"416,774",14.66,-,-,"15,028",-25.22,"401,746",16.99,"3,460",54.60,-,-,"47,821",49.79,940,37.83,"27,586",3.76,"17,019",10.81,"2,611",-5.43,"1,005",4.25,"315,785",94.91,"287,083",11.36,"355,618",49.18,"7,602",7.13,"33,235",8.12,5,150.00,"122,222",26.71,"31,701",98.50,212,"21,100.00","160,641",82.31,-,-,-,-,"56,400",-4.74,"5,644",-6.40,"25,011",62.79,-,-,"306,319",87.04,"43,748",15.44
1998M05,"1,094,840",37.94,"244,254",47.44,"412,265",13.40,-,-,"11,694",-14.60,"400,571",14.50,"2,659",-44.58,-,-,"51,280",25.07,761,-22.19,"23,734",-6.42,"22,747",24.61,"2,869",-4.40,"1,086",2.55,"333,185",95.94,"276,239",9.95,"360,325",45.38,"7,120",7.42,"33,718",3.22,3,50.00,"124,268",23.52,"30,387",78.55,144,"14,300.00","164,685",81.11,-,-,67,-,"68,217",2.03,"4,717",-41.30,"28,464",89.75,-,-,"316,103",79.94,"45,425",22.51
1998M06,"1,060,453",34.44,"240,757",38.25,"399,180",10.50,-,-,"8,075",-28.20,"391,105",11.74,"2,845",-24.36,-,-,"44,927",3.07,"1,671",101.33,"27,907",7.59,"20,423",24.24,"2,643",-9.58,"1,003",4.70,"319,097",100.79,"267,492",4.49,"360,519",40.53,"7,061",-1.84,"33,770",-0.28,7,250.00,"123,283",22.46,"29,152",57.75,167,"16,600.00","167,079",73.43,-,-,35,-65.00,"53,744",-18.38,"5,147",-40.20,"27,610",195.55,-,-,"304,054",85.85,"46,999",25.74
1998M07,"1,041,306",24.49,"238,612",16.47,"400,945",7.92,-,-,"7,391",-43.10,"393,554",9.77,"3,008",-2.34,-,-,"47,871",36.49,"1,216",20.40,"22,494",0.28,"18,834",-30.51,"3,335",119.12,"1,088",0.93,"303,903",80.10,"263,522",-6.57,"363,741",35.98,"7,246",-2.38,"33,313",0.16,3,0.00,"126,879",25.69,"29,406",48.19,144,"14,300.00","166,750",57.29,-,-,288,"28,700.00","50,776",-25.74,"5,066",-19.63,"24,497",264.21,-,-,"292,797",68.51,"45,685",20.12
1998M08,"1,074,777",27.75,"234,042",17.07,"397,027",4.75,-,-,"10,510",-20.06,"386,517",5.64,"4,030",102.92,-,-,"48,675",46.50,"1,509",1.89,"26,383",-24.48,"22,714",-5.05,"2,251",120.47,957,-0.52,"337,189",104.91,"258,554",-1.90,"360,296",30.29,"7,202",-4.80,"35,156",-10.04,15,650.00,"126,708",25.99,"28,807",26.87,122,-,"162,286",52.22,-,-,510,"1,357.14","58,815",-32.04,"7,223",-25.54,"24,820",193.59,-,-,"325,087",94.15,"46,695",20.49
1998M09,"998,059",19.51,"265,511",25.39,"401,493",5.63,-,-,"8,855",-39.89,"392,638",7.47,"4,857",43.15,-,-,"66,703",112.59,589,-78.06,"21,793",-10.44,"20,423",0.23,"2,368",57.03,"1,141",21.13,"213,181",34.33,"271,201",2.90,"372,273",31.98,"6,727",-18.63,"34,918",9.20,10,400.00,"134,570",31.44,"28,514",8.58,110,-,"167,424",47.93,-,-,226,-,"69,692",-7.45,"5,481",-38.45,"25,847",134.46,-,-,"212,428",29.38,"46,392",18.95
1998M10,"935,136",4.67,"249,955",18.61,"396,989",0.41,-,-,"7,366",-50.05,"389,623",2.36,"4,313",5.56,-,-,"67,354",77.20,"1,572",-44.96,"25,669",7.65,"20,407",-12.16,"3,341",142.98,"1,169",42.74,"164,367",-14.88,"283,449",20.26,"367,554",13.10,"6,613",-22.46,"36,582",13.80,46,475.00,"138,238",18.45,"27,775",-14.25,40,-92.26,"158,260",17.50,-,-,-,-,"45,943",-41.26,"2,889",-85.33,"24,690",45.37,-,-,"167,773",-14.79,"45,727",12.48
1998M11,"923,840",-3.42,"240,264",0.78,"396,511",-2.77,-,-,"6,461",-55.94,"390,050",-0.79,"4,313",107.06,-,-,"73,931",167.07,"1,462",10.09,"25,117",-25.17,"17,987",-1.50,"3,509",154.83,"1,081",13.79,"159,665",-26.79,"274,149",16.52,"366,156",4.84,"6,701",-6.92,"39,791",17.11,25,-67.11,"144,572",18.68,"26,919",-13.40,62,-90.66,"148,086",-4.11,-,-,40,-,"53,066",-30.37,"3,381",-77.95,"16,594",-20.86,-,-,"168,024",-27.95,"45,811",10.02
1998M12,"873,748",-10.41,"207,680",-15.81,"389,879",-4.51,-,-,"7,961",-42.37,"381,918",-3.18,"6,202",85.91,-,-,"72,903",114.78,796,-46.93,"27,282",-3.70,"17,373",38.61,"2,562",62.77,"1,128",22.61,"147,943",-37.43,"272,872",15.96,"359,634",0.04,"7,308",-14.69,"42,477",24.76,18,260.00,"143,115",11.93,"24,423",-27.51,201,-80.33,"142,092",-7.90,-,-,40,-78.38,"40,203",-31.82,"3,725",-58.19,"13,412",-53.73,-,-,"144,922",-41.99,"42,665",0.15
1999M01,"882,918",-17.75,"203,095",-22.68,"396,497",-9.01,-,-,"8,415",-51.23,"388,082",-7.27,"6,804",144.92,-,-,"78,456",96.24,"1,092",-22.11,"24,590",10.18,"23,301",30.02,"1,609",-15.14,"1,387",6.69,"146,087",-49.19,"293,596",20.19,"342,855",-9.20,"6,578",-29.64,"45,102",38.64,37,117.65,"139,678",7.32,"23,939",-26.49,193,-82.92,"127,328",-25.90,-,-,-,-,"49,205",-45.39,"2,244",-87.37,"10,867",-56.15,-,-,"143,343",-51.06,"43,052",-1.69
1999M02,"886,741",-12.58,"219,803",-12.29,"399,805",-5.03,-,-,"7,793",-44.11,"392,012",-3.69,"8,053",188.95,-,-,"61,984",48.00,"1,032",-16.10,"28,437",11.86,"22,051",-9.47,985,-52.16,"1,554",40.51,"143,037",-41.34,"262,574",1.48,"367,064",-0.76,"8,215",12.21,"48,366",55.09,48,500.00,"138,602",7.90,"25,000",-21.98,225,-76.66,"146,608",-13.71,-,-,-,-,"65,735",-1.29,"9,156",20.08,"13,870",-48.01,-,-,"133,071",-46.35,"44,427",0.37
1999M03,"852,013",-15.46,"208,142",-16.11,"389,309",-7.51,-,-,"4,614",-67.52,"384,695",-5.42,"8,481",200.21,-,-,"57,120",37.88,"1,908",100.42,"26,956",-0.96,"18,221",1.46,670,-70.34,"1,166",6.87,"140,040",-42.85,"249,940",-12.00,"366,016",0.83,"7,247",-3.46,"47,945",48.51,60,900.00,"138,059",10.62,"24,443",-22.80,1,-99.66,"148,261",-10.93,-,-,-,-,"50,581",-2.72,"1,897",-57.89,"11,969",-52.63,-,-,"130,738",-45.53,"42,769",-1.71
1999M04,"859,615",-19.97,"186,583",-22.64,"393,214",-5.65,-,-,"6,439",-57.15,"386,775",-3.73,"8,936",158.27,-,-,"63,105",31.96,982,4.47,"30,778",11.57,"20,675",21.48,229,-91.23,"1,053",4.78,"154,060",-51.21,"254,143",-11.47,"363,577",2.24,"6,929",-8.85,"45,921",38.17,59,"1,080.00","140,673",15.10,"24,394",-23.05,1,-99.53,"145,600",-9.36,-,-,-,-,"35,684",-36.73,"1,502",-73.39,"10,919",-56.34,-,-,"152,603",-50.18,"42,689",-2.42
1999M05,"849,563",-22.40,"186,571",-23.62,"390,980",-5.16,-,-,"5,605",-52.07,"385,375",-3.79,"9,845",270.25,-,-,"57,954",13.01,"1,001",31.54,"30,506",28.53,"25,194",10.76,229,-92.02,"1,066",-1.84,"146,217",-56.12,"247,378",-10.45,"361,881",0.43,"8,192",15.06,"45,299",34.35,77,"2,466.67","140,264",12.87,"24,161",-20.49,1,-99.31,"143,887",-12.63,-,-,164,144.78,"42,096",-38.29,"1,165",-75.30,"10,034",-64.75,-,-,"144,629",-54.25,"43,381",-4.50
