期間,臺灣加權指數_原始值,臺灣加權指數_年增率(%),美國道瓊工業指數_原始值,美國道瓊工業指數_年增率(%),美國NASDAQ指數_原始值,美國NASDAQ指數_年增率(%),日本日經225_原始值,日本日經225_年增率(%),倫敦金融時報_原始值,倫敦金融時報_年增率(%),香港恆生指數_原始值,香港恆生指數_年增率(%),韓國綜合指數_原始值,韓國綜合指數_年增率(%),新加坡海峽時報_原始值,新加坡海峽時報_年增率(%),上海綜合指數_原始值,上海綜合指數_年增率(%)
1998M08,"6,550.11",...,"7,539.07",...,...,...,"14,107.89",...,"5,249.40",...,"7,275.04",...,310.16,...,885.26,...,...,...
1998M09,"6,833.95",...,"7,842.62",...,...,...,"13,406.39",...,"5,064.40",...,"7,883.46",...,310.32,...,939.65,...,...,...
1998M10,"7,165.98",...,"8,592.10",...,...,...,"13,564.51",...,"5,438.40",...,"10,154.94",...,403.44,...,"1,204.62",...,...,...
1998M11,"7,177.22",...,"9,116.55",...,...,...,"14,883.70",...,"5,743.90",...,"10,402.32",...,451.88,...,"1,416.55",...,...,...
1998M12,"6,418.43",...,"9,181.43",...,...,...,"13,842.17",...,"5,882.60",...,"10,048.58",...,562.46,...,"1,392.73",...,...,...
1999M01,"5,998.32",...,"9,358.83",...,...,...,"14,499.25",...,"5,896.00",...,"9,506.90",...,571.43,...,"1,428.14",...,...,...
1999M02,"6,318.52",...,"9,306.58",...,...,...,"14,367.50",...,"6,175.10",...,"9,858.49",...,520.06,...,"1,411.91",...,...,...
1999M03,"6,881.72",...,"9,786.16",...,...,...,"15,836.59",...,"6,295.30",...,"10,942.20",...,618.98,...,"1,518.31",...,...,...
1999M04,"7,371.17",...,"10,789.04",...,...,...,"16,701.53",...,"6,552.20",...,"13,333.20",...,752.59,...,"1,886.19",...,...,...
1999M05,"7,316.57",...,"10,559.74",...,...,...,"16,111.65",...,"6,226.20",...,"12,147.12",...,736.02,...,"1,903.86",...,...,...
1999M06,"8,467.37",...,"10,970.80",...,...,...,"17,529.74",...,"6,318.50",...,"13,532.14",...,883.00,...,"2,167.70",...,...,...
1999M07,"7,326.75",...,"10,655.15",...,...,...,"17,861.86",...,"6,231.90",...,"13,186.86",...,969.72,...,"2,145.77",...,...,...
1999M08,"8,157.73",24.54,"10,829.28",43.64,...,...,"17,436.56",23.59,"6,246.40",18.99,"13,482.77",85.33,937.88,202.39,"2,117.17",139.16,...,...
1999M09,"7,598.79",11.19,"10,336.95",31.80,...,...,"17,605.46",31.32,"6,029.80",19.06,"12,733.24",61.52,836.18,169.46,"2,021.93",115.18,...,...
1999M10,"7,854.85",9.61,"10,729.86",24.88,...,...,"17,942.08",32.27,"6,255.70",15.03,"13,256.95",30.55,833.51,106.60,"2,047.15",69.94,...,...
1999M11,"7,720.87",7.57,"10,877.81",19.32,...,...,"18,558.23",24.69,"6,597.20",14.86,"15,377.19",47.82,996.66,120.56,"2,237.13",57.93,...,...
1999M12,"8,448.84",31.63,"11,497.12",25.22,...,...,"18,934.34",36.79,"6,930.20",17.81,"16,962.10",68.80,"1,028.07",82.78,"2,479.58",78.04,...,...
2000M01,"9,744.89",62.46,"10,940.53",16.90,...,...,"19,539.70",34.76,"6,268.50",6.32,"15,532.34",63.38,943.88,65.18,"2,230.28",56.17,...,...
2000M02,"9,435.94",49.34,"10,128.31",8.83,...,...,"19,959.52",38.92,"6,232.60",0.93,"17,169.44",74.16,828.38,59.29,"2,120.50",50.19,...,...
2000M03,"9,854.95",43.20,"10,921.92",11.61,...,...,"20,337.32",28.42,"6,540.20",3.89,"17,406.54",59.08,860.94,39.09,"2,132.59",40.46,...,...
2000M04,"8,777.35",19.08,"10,733.91",-0.51,...,...,"17,973.70",7.62,"6,327.40",-3.43,"15,519.30",16.40,725.39,-3.61,"2,164.11",14.73,...,...
2000M05,"8,939.52",22.18,"10,522.33",-0.35,...,...,"16,332.45",1.37,"6,359.30",2.14,"14,713.86",21.13,731.88,-0.56,"1,795.13",-5.71,...,...
2000M06,"8,265.09",-2.39,"10,447.89",-4.77,...,...,"17,411.05",-0.68,"6,312.70",-0.09,"16,155.78",19.39,821.22,-7.00,"2,037.97",-5.98,...,...
2000M07,"8,114.92",10.76,"10,521.98",-1.25,...,...,"15,727.49",-11.95,"6,365.30",2.14,"16,840.98",27.71,705.97,-27.20,"2,051.21",-4.41,...,...
2000M08,"7,616.98",-6.63,"11,215.10",3.56,...,...,"16,861.26",-3.30,"6,672.70",6.82,"17,097.51",26.81,688.62,-26.58,"2,147.77",1.45,...,...
2000M09,"6,185.14",-18.60,"10,650.93",3.04,...,...,"15,747.26",-10.55,"6,294.20",4.38,"15,648.98",22.90,613.22,-26.66,"1,997.03",-1.23,...,...
2000M10,"5,544.18",-29.42,"10,971.14",2.25,...,...,"14,539.60",-18.96,"6,438.40",2.92,"14,895.34",12.36,514.48,-38.28,"1,976.54",-3.45,...,...
2000M11,"5,256.93",-31.91,"10,414.49",-4.26,...,...,"14,648.51",-21.07,"6,142.20",-6.90,"13,984.39",-9.06,509.23,-48.91,"1,952.23",-12.74,...,...
2000M12,"4,739.09",-43.91,"10,786.85",-6.18,...,...,"13,785.69",-27.19,"6,222.50",-10.21,"15,095.53",-11.00,504.62,-50.92,"1,926.83",-22.29,...,...
2001M01,"5,936.20",-39.08,"10,887.36",-0.49,...,...,"13,843.55",-29.15,"6,297.50",0.46,"16,102.35",3.67,617.91,-34.54,"1,991.29",-10.72,...,...
2001M02,"5,674.69",-39.86,"10,495.28",3.62,...,...,"12,883.54",-35.45,"5,917.90",-5.05,"14,787.87",-13.87,578.10,-30.21,"1,947.40",-8.16,...,...
2001M03,"5,797.92",-41.17,"9,878.78",-9.55,...,...,"12,999.70",-36.08,"5,633.70",-13.86,"12,760.64",-26.69,523.22,-39.23,"1,674.19",-21.49,...,...
2001M04,"5,381.67",-38.69,"10,734.97",0.01,...,...,"13,934.32",-22.47,"5,966.90",-5.70,"13,386.04",-13.75,577.36,-20.41,"1,722.72",-20.40,...,...
2001M05,"5,048.86",-43.52,"10,911.94",3.70,...,...,"13,262.14",-18.80,"5,796.10",-8.86,"13,174.41",-10.46,612.16,-16.36,"1,657.05",-7.69,...,...
2001M06,"4,883.43",-40.91,"10,502.40",0.52,...,...,"12,969.05",-25.51,"5,642.50",-10.62,"13,042.43",-19.27,595.13,-27.53,"1,726.50",-15.28,...,...
2001M07,"4,352.98",-46.36,"10,522.81",0.01,...,...,"11,860.77",-24.59,"5,529.10",-13.14,"12,316.69",-26.86,541.55,-23.29,"1,666.03",-18.78,...,...
2001M08,"4,509.44",-40.80,"9,949.75",-11.28,...,...,"10,713.51",-36.46,"5,345.00",-19.90,"11,090.48",-35.13,545.11,-20.84,"1,619.12",-24.61,...,...
2001M09,"3,636.94",-41.20,"8,847.56",-16.93,...,...,"9,774.68",-37.93,"4,903.40",-22.10,"9,950.70",-36.41,479.68,-21.78,"1,319.53",-33.93,...,...
2001M10,"3,903.49",-29.59,"9,075.14",-17.28,"1,690.20",...,"10,366.34",-28.70,"5,039.70",-21.72,"10,073.97",-32.37,537.81,4.53,"1,367.84",-30.80,...,...
2001M11,"4,441.12",-15.52,"9,851.56",-5.41,"1,930.58",...,"10,697.44",-26.97,"5,203.60",-15.28,"11,279.25",-19.34,643.89,26.44,"1,478.54",-24.26,...,...
2001M12,"5,551.24",17.14,"10,021.50",-7.10,"1,950.40",...,"10,542.62",-23.52,"5,217.40",-16.15,"11,397.21",-24.50,693.70,37.47,"1,623.60",-15.74,...,...
2002M01,"5,872.14",-1.08,"9,920.00",-8.89,"1,934.03",...,"9,997.80",-27.78,"5,164.80",-17.99,"10,725.30",-33.39,748.07,21.06,"1,786.89",-10.26,...,...
2002M02,"5,696.11",0.38,"10,106.13",-3.71,"1,731.49",...,"10,587.83",-17.82,"5,101.00",-13.80,"10,482.55",-29.11,819.99,41.84,"1,715.58",-11.90,...,...
2002M03,"6,167.47",6.37,"10,403.94",5.32,"1,845.35",...,"11,024.94",-15.19,"5,271.80",-6.42,"11,032.92",-13.54,895.58,71.17,"1,803.22",7.71,...,...
2002M04,"6,065.73",12.71,"9,946.22",-7.35,"1,688.23",...,"11,492.54",-17.52,"5,165.60",-13.43,"11,497.58",-14.11,842.34,45.90,"1,725.37",0.15,...,...
2002M05,"5,675.65",12.41,"9,925.25",-9.04,"1,615.73",...,"11,763.70",-11.30,"5,085.10",-12.27,"11,301.94",-14.21,796.40,30.10,"1,671.84",0.89,...,...
2002M06,"5,153.71",5.53,"9,243.26",-11.99,"1,463.21",...,"10,621.84",-18.10,"4,656.40",-17.48,"10,598.55",-18.74,742.72,24.80,"1,552.98",-10.05,...,...
2002M07,"4,940.38",13.49,"8,736.59",-16.97,"1,328.26",...,"9,877.94",-16.72,"4,246.20",-23.20,"10,267.36",-16.64,717.99,32.58,"1,508.36",-9.46,...,...
