期間,期中人口(人)_原始值,期中人口(人)_年增率(%),平均匯率(元/美元)_原始值,平均匯率(元/美元)_年增率(%),經濟成長(%)_原始值,經濟成長(%)_年增率(%),國內生產毛額(名目值，百萬元)_原始值,國內生產毛額(名目值，百萬元)_年增率(%),國內生產毛額(名目值，百萬美元)_原始值,國內生產毛額(名目值，百萬美元)_年增率(%),平均每人GDP(名目值，元)_原始值,平均每人GDP(名目值，元)_年增率(%),平均每人GDP(名目值，美元)_原始值,平均每人GDP(名目值，美元)_年增率(%),國民生產毛額(名目值，百萬元)_原始值,國民生產毛額(名目值，百萬元)_年增率(%),國民生產毛額(名目值，百萬美元)_原始值,國民生產毛額(名目值，百萬美元)_年增率(%),平均每人GNP(名目值，元)_原始值,平均每人GNP(名目值，元)_年增率(%),平均每人GNP(名目值，美元)_原始值,平均每人GNP(名目值，美元)_年增率(%),國民所得(名目值，百萬元)_原始值,國民所得(名目值，百萬元)_年增率(%),國民所得(名目值，百萬美元)_原始值,國民所得(名目值，百萬美元)_年增率(%),平均每人所得(名目值，元)_原始值,平均每人所得(名目值，元)_年增率(%),平均每人所得(名目值，美元)_原始值,平均每人所得(名目值，美元)_年增率(%)
1961Q1,"10,895,610",...,40.00,...,0.00,-,"17,598",...,440,...,"1,615",...,40,...,"17,577",...,439,...,"1,614",...,40,...,"16,614",...,415,...,"1,525",...,38,...
1961Q2,"10,985,460",...,40.00,...,0.00,-,"17,335",...,433,...,"1,578",...,39,...,"17,314",...,433,...,"1,577",...,39,...,"16,353",...,409,...,"1,489",...,37,...
1961Q3,"11,075,310",...,40.00,...,0.00,-,"16,288",...,407,...,"1,471",...,37,...,"16,268",...,407,...,"1,470",...,37,...,"15,300",...,383,...,"1,381",...,35,...
1961Q4,"11,165,159",...,40.00,...,0.00,-,"20,168",...,505,...,"1,808",...,46,...,"20,147",...,504,...,"1,804",...,46,...,"19,052",...,476,...,"1,708",...,43,...
1962Q1,"11,255,692",3.30,40.00,0.00,8.12,-,"18,755",6.57,469,6.59,"1,667",3.22,42,5.00,"18,727",6.54,468,6.61,"1,664",3.10,42,5.00,"17,670",6.36,442,6.51,"1,570",2.95,39,2.63
1962Q2,"11,346,906",3.29,40.00,0.00,8.08,-,"19,167",10.57,479,10.62,"1,690",7.10,42,7.69,"19,140",10.55,479,10.62,"1,687",6.98,42,7.69,"18,048",10.37,451,10.27,"1,591",6.85,40,8.11
1962Q3,"11,438,121",3.28,40.00,0.00,11.42,-,"18,564",13.97,464,14.00,"1,624",10.40,41,10.81,"18,537",13.95,463,13.76,"1,621",10.27,41,10.81,"17,410",13.79,435,13.58,"1,522",10.21,38,8.57
1962Q4,"11,529,335",3.26,40.00,0.00,5.20,-,"22,053",9.35,551,9.11,"1,913",5.81,47,2.17,"22,025",9.32,551,9.33,"1,912",5.99,47,2.17,"20,799",9.17,520,9.24,"1,806",5.74,45,4.65
1963Q1,"11,621,732",3.25,40.00,0.00,13.43,-,"21,902",16.78,548,16.84,"1,886",13.14,47,11.90,"21,873",16.80,547,16.88,"1,882",13.10,47,11.90,"20,710",17.20,518,17.19,"1,783",13.57,45,15.38
1963Q2,"11,715,312",3.25,40.00,0.00,9.84,-,"21,561",12.49,539,12.53,"1,840",8.88,46,9.52,"21,532",12.50,538,12.32,"1,838",8.95,46,9.52,"20,374",12.89,509,12.86,"1,739",9.30,43,7.50
