期間,隔夜_加權平均,隔夜_最高,隔夜_最低,1週_加權平均,1週_最高,1週_最低,2週_加權平均,2週_最高,2週_最低,3週_加權平均,3週_最高,3週_最低,1個月_加權平均,1個月_最高,1個月_最低,2-6個月_加權平均,2-6個月_最高,2-6個月_最低,7個月-1年_加權平均,7個月-1年_最高,7個月-1年_最低,合計_加權平均,合計_最高,合計_最低
1997M01,5.653,6.750,5.000,-,6.500,5.125,-,7.000,5.250,-,6.750,5.200,-,6.500,5.300,-,5.700,5.300,-,5.700,5.300,-,7.000,5.000
1997M02,6.660,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1997M03,6.188,7.000,5.000,-,7.000,5.250,-,6.875,5.750,-,6.750,5.625,-,6.750,5.500,-,6.650,6.000,-,6.650,6.000,-,7.000,5.000
1997M04,6.562,7.750,5.000,-,7.650,5.750,-,7.650,6.000,-,7.500,6.125,-,7.500,6.200,-,6.650,6.300,-,6.650,6.300,-,7.750,5.000
1997M05,5.663,6.125,5.100,-,6.125,5.100,-,6.125,5.150,-,6.100,5.300,-,6.100,5.250,-,6.500,5.400,-,6.500,5.400,-,6.500,5.100
1997M06,7.208,13.000,5.500,-,13.000,5.500,-,12.000,5.600,-,11.000,5.875,-,10.000,5.500,-,5.850,5.650,-,5.850,5.650,-,13.000,5.500
1997M07,7.107,12.000,5.500,-,11.000,5.900,-,7.500,6.000,-,7.500,6.000,-,7.500,6.000,-,7.200,6.500,-,7.200,6.500,-,12.000,5.500
1997M08,8.112,10.750,6.000,-,10.500,6.000,-,9.500,6.250,-,9.700,6.800,-,9.700,6.700,-,8.375,7.050,-,8.375,7.050,-,10.750,6.000
1997M09,7.550,9.000,6.000,-,9.000,7.250,-,8.750,7.500,-,8.750,7.500,-,8.750,7.250,-,8.000,7.800,-,8.000,7.800,-,9.000,6.000
1997M10,7.816,19.750,5.000,-,16.000,5.950,-,8.750,6.500,-,9.250,6.750,-,8.750,6.700,-,8.200,7.200,-,8.200,7.200,-,19.750,5.000
1997M11,7.116,8.750,4.950,-,8.600,6.000,-,8.500,6.500,-,8.000,7.000,-,8.500,6.500,-,8.500,7.350,-,8.500,7.350,-,8.750,4.950
1997M12,6.666,8.000,3.000,-,7.750,5.000,-,7.650,6.250,-,7.600,6.500,-,8.700,6.850,-,8.750,7.500,-,8.750,7.500,-,8.750,3.000
1998M01,7.312,13.000,5.000,-,10.500,6.400,-,11.000,7.000,-,10.250,7.300,-,10.250,7.650,-,8.500,7.950,-,8.500,7.950,-,13.000,5.000
1998M02,7.222,9.300,6.000,-,9.000,6.750,-,8.500,6.950,-,8.300,7.100,-,8.375,7.250,-,8.400,7.750,-,8.400,7.750,-,9.300,6.000
1998M03,6.931,8.000,6.000,-,8.000,6.000,-,7.500,6.750,-,7.425,6.850,-,7.880,7.000,-,8.000,7.350,-,8.000,7.350,-,8.000,6.000
1998M04,6.800,7.750,6.250,-,7.500,6.250,-,7.500,6.500,-,7.375,6.800,-,7.450,7.000,-,7.700,7.150,-,7.700,7.150,-,7.750,6.250
1998M05,6.877,7.500,6.400,-,7.350,6.600,-,7.250,6.650,-,7.200,6.750,-,7.250,6.750,-,7.250,6.950,-,7.250,6.950,-,7.500,6.400
1998M06,6.837,8.850,6.000,-,8.750,6.500,-,8.750,6.700,-,8.500,6.900,-,8.550,6.750,-,8.220,7.000,-,8.220,7.000,-,8.850,6.000
1998M07,6.748,7.500,5.900,-,7.500,6.500,-,7.100,6.700,-,7.050,6.800,-,7.200,6.800,-,7.350,7.030,-,7.350,7.030,-,7.500,5.900
1998M08,6.673,7.650,5.300,-,7.500,6.000,-,7.350,6.265,-,7.350,6.270,-,7.300,6.500,-,7.125,6.650,-,7.125,6.650,-,7.650,5.300
1998M09,6.521,7.250,5.900,-,7.000,6.350,-,7.000,6.550,-,6.850,6.525,-,7.130,6.550,-,6.850,6.550,-,6.850,6.550,-,7.250,5.900
1998M10,6.061,7.250,4.900,-,7.150,5.000,-,7.000,5.500,-,7.000,5.600,-,7.130,5.600,-,6.900,5.950,-,6.900,5.950,-,7.250,4.900
1998M11,5.401,7.250,4.500,-,7.000,5.000,-,6.500,5.100,-,6.500,5.250,-,7.130,5.000,-,6.125,5.350,-,6.125,5.350,-,7.250,4.500
1998M12,4.954,6.000,3.500,-,6.500,4.500,-,6.000,4.650,-,5.500,4.800,-,7.130,4.600,-,5.125,5.100,-,5.125,5.100,-,7.130,3.500
1999M01,4.848,5.800,4.250,-,5.800,4.500,-,5.850,4.600,-,7.160,4.700,-,6.000,4.600,-,6.300,5.100,-,6.300,5.100,-,7.160,4.250
1999M02,4.747,5.800,4.050,-,5.800,4.500,-,5.700,4.500,-,5.850,4.700,-,7.160,4.500,-,-,-,-,-,-,-,7.160,4.050
1999M03,4.730,5.300,4.250,-,5.400,4.600,-,5.050,4.700,-,7.160,4.720,-,4.900,4.600,-,5.200,4.500,-,5.200,4.500,-,7.160,4.250
1999M04,4.723,5.000,4.000,-,5.000,4.250,-,4.950,4.400,-,4.950,4.600,-,4.900,4.600,-,5.000,4.750,-,5.000,4.750,-,5.000,4.000
1999M05,4.696,4.900,4.500,-,5.100,4.500,-,4.850,4.600,-,4.900,4.600,-,4.800,4.550,-,5.100,4.750,-,5.100,4.750,-,5.100,4.500
1999M06,4.737,5.100,4.250,-,5.050,4.500,-,4.950,4.550,-,4.925,4.630,-,4.950,4.550,-,5.300,4.700,-,5.300,4.700,-,5.300,4.250
1999M07,4.835,5.100,4.000,-,5.100,4.600,-,5.100,4.600,-,5.200,4.750,-,5.100,4.600,-,5.400,5.250,-,5.400,5.250,-,5.400,4.000
1999M08,4.841,5.000,4.700,-,5.050,4.650,-,5.000,4.700,-,4.950,4.750,-,4.950,4.750,-,5.200,4.850,-,5.200,4.850,-,5.200,4.650
1999M09,4.837,5.100,4.500,-,5.075,4.500,-,5.000,4.750,-,4.950,4.700,-,4.950,4.750,-,5.450,5.250,-,5.450,5.250,-,5.450,4.500
1999M10,4.817,4.900,4.500,-,4.925,4.750,-,4.900,4.775,-,4.850,4.800,-,4.875,4.800,-,5.250,4.825,-,5.250,4.825,-,5.250,4.500
1999M11,4.825,5.000,4.600,-,4.950,4.700,-,4.900,4.700,-,4.875,4.800,-,4.900,4.800,-,5.300,4.825,-,5.300,4.825,-,5.300,4.600
1999M12,4.730,5.000,4.500,-,5.050,4.600,-,4.950,4.700,-,4.880,4.750,-,5.150,4.750,-,5.600,4.825,-,5.600,4.825,-,5.600,4.500
2000M01,4.614,4.700,4.400,-,4.750,3.750,-,4.750,4.400,-,4.800,4.500,-,5.300,4.500,-,5.375,4.700,-,5.375,4.700,-,5.375,3.750
2000M02,4.611,4.800,4.400,-,4.750,4.450,-,4.750,4.500,-,4.730,4.640,-,5.500,4.550,-,5.500,4.625,-,5.500,4.625,-,5.500,4.400
2000M03,4.643,5.250,4.500,-,5.100,4.500,-,4.825,4.575,-,4.800,4.650,-,5.800,4.600,-,5.750,4.650,-,5.750,4.650,-,5.800,4.500
2000M04,4.645,4.800,4.500,-,4.850,4.550,-,4.775,4.600,-,4.750,4.625,-,5.950,4.650,-,6.000,4.675,-,6.000,4.675,-,6.000,4.500
2000M05,4.771,5.500,4.500,-,5.500,4.600,-,5.950,4.675,-,4.900,4.700,-,5.500,4.700,-,5.500,4.730,-,5.500,4.730,-,5.950,4.500
2000M06,4.797,5.500,4.600,-,5.500,4.650,-,5.500,4.675,-,4.950,4.650,-,5.500,4.675,-,4.875,4.875,-,4.875,4.875,-,5.500,4.600
2000M07,4.785,5.500,4.550,-,5.500,4.625,-,5.500,4.675,-,5.500,4.725,-,5.500,4.675,-,5.500,4.725,-,5.500,4.725,-,5.500,4.550
2000M08,4.754,5.500,4.625,-,5.500,4.650,-,5.500,4.635,-,4.900,4.750,-,5.500,4.625,-,5.500,4.825,-,5.500,4.825,-,5.500,4.625
2000M09,4.799,5.500,4.650,-,5.500,4.675,-,5.500,4.725,-,4.900,4.750,-,5.500,4.750,-,5.500,4.830,-,5.500,4.830,-,5.500,4.650
2000M10,4.758,6.050,4.650,-,6.250,4.685,-,6.000,4.725,-,5.650,4.725,-,5.750,4.700,-,5.400,5.100,-,5.400,5.100,-,6.250,4.650
