期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%)
2001M01,80,...,"19,928",...,53.12,-,0,...,56,...,"17,057",...,53.57,-,0,...,24,...,"2,871",...,49.89,-,0,...
2001M02,80,...,"19,962",...,69.16,-,0,...,56,...,"17,091",...,69.65,-,0,...,24,...,"2,871",...,65.62,-,0,...
2001M03,80,...,"19,957",...,68.04,-,0,...,56,...,"17,086",...,68.56,-,0,...,24,...,"2,871",...,64.25,-,0,...
2001M04,80,...,"19,957",...,66.15,-,0,...,56,...,"17,086",...,66.48,-,0,...,24,...,"2,871",...,63.75,-,0,...
2001M05,80,...,"19,941",...,62.05,-,0,...,56,...,"17,070",...,62.50,-,0,...,24,...,"2,871",...,58.74,-,0,...
2001M06,82,...,"20,343",...,64.24,-,0,...,57,...,"17,346",...,64.27,-,0,...,25,...,"2,997",...,63.99,-,0,...
2001M07,82,...,"20,320",...,63.44,-,0,...,57,...,"17,346",...,64.09,-,0,...,25,...,"2,974",...,59.15,-,0,...
2001M08,82,...,"20,320",...,62.66,-,0,...,57,...,"17,346",...,63.04,-,0,...,25,...,"2,974",...,60.21,-,0,...
2001M09,82,...,"20,320",...,54.92,-,0,...,57,...,"17,346",...,55.38,-,0,...,25,...,"2,974",...,51.91,-,0,...
2001M10,82,...,"20,537",...,57.82,-,0,...,57,...,"17,563",...,58.09,-,0,...,25,...,"2,974",...,56.05,-,0,...
2001M11,82,...,"20,537",...,60.85,-,0,...,57,...,"17,563",...,61.40,-,0,...,25,...,"2,974",...,57.23,-,0,...
2001M12,83,...,"20,789",...,57.86,-,0,...,58,...,"17,815",...,57.91,-,0,...,25,...,"2,974",...,57.50,-,0,...
2002M01,83,3.75,"20,392",2.33,52.63,-,0,-4.62,58,3.57,"17,678",3.64,53.40,-,0,-3.84,25,4.17,"2,714",-5.47,47.56,-,0,-9.44
2002M02,83,3.75,"20,479",2.59,58.05,-,0,12.34,58,3.57,"17,765",3.94,58.38,-,0,14.05,25,4.17,"2,714",-5.47,55.87,-,0,5.37
2002M03,84,5.00,"20,939",4.92,64.29,-,0,-3.64,59,5.36,"17,965",5.14,64.58,-,0,-2.19,25,4.17,"2,974",3.59,62.38,-,0,-9.10
