期間,對金融機構放款--居住民_原始值,對金融機構放款--居住民_年增率(%),對金融機構放款--非居住民_原始值,對金融機構放款--非居住民_年增率(%),證券投資_原始值,證券投資_年增率(%),對金融機構債權--小計_原始值,對金融機構債權--小計_年增率(%),對金融機構債權--外匯指定銀行_原始值,對金融機構債權--外匯指定銀行_年增率(%),對金融機構債權--OBU相互間_原始值,對金融機構債權--OBU相互間_年增率(%),對金融機構債權--國外金融機構_原始值,對金融機構債權--國外金融機構_年增率(%),其他資產_原始值,其他資產_年增率(%),資產合計=負債合計_原始值,資產合計=負債合計_年增率(%),非金融機構存款_原始值,非金融機構存款_年增率(%),對金融機構負債--小計_原始值,對金融機構負債--小計_年增率(%),對金融機構負債--國內金融機構_原始值,對金融機構負債--國內金融機構_年增率(%),對金融機構負債--OBU相互間_原始值,對金融機構負債--OBU相互間_年增率(%),對金融機構負債--國外金融機構_原始值,對金融機構負債--國外金融機構_年增率(%),證券發行_原始值,證券發行_年增率(%),其他負債_原始值,其他負債_年增率(%)
1997M01,"1,406",37.57,"7,177",17.54,"2,762",49.62,"23,167",3.70,"10,297",-24.47,"2,930",17.77,"9,940",59.81,"2,163",106.00,"36,675",13.32,"2,709",41.02,"30,785",7.55,"10,700",11.92,"2,846",14.80,"17,239",3.94,941,92.04,"2,240",68.42
1997M02,"1,410",37.56,"7,098",19.23,"2,795",45.12,"23,253",7.21,"10,044",-23.78,"2,848",14.52,"10,361",71.97,"2,544",108.01,"37,100",16.60,"2,840",45.34,"30,629",9.79,"11,281",18.34,"2,766",11.08,"16,582",4.45,961,74.73,"2,670",88.69
1997M03,"1,564",53.03,"7,196",15.77,"3,063",57.24,"24,356",6.56,"10,237",-21.70,"3,215",17.12,"10,904",54.93,"2,260",43.40,"38,439",14.34,"3,055",74.67,"31,933",8.20,"11,171",17.58,"3,146",15.15,"17,616",1.94,960,25.82,"2,491",56.27
1997M04,"1,577",48.35,"7,477",16.59,"3,255",77.19,"23,228",6.77,"10,796",-14.44,"3,178",19.70,"9,254",42.76,"2,449",31.45,"37,986",15.35,"3,106",66.54,"31,062",8.28,"10,660",22.08,"3,090",16.87,"17,312",0.00,"1,145",118.93,"2,673",44.10
1997M05,"1,604",52.76,"7,778",9.69,"3,440",85.25,"23,994",7.18,"10,874",-12.95,"3,795",44.08,"9,325",28.41,"2,780",55.48,"39,596",15.87,"3,230",67.44,"31,807",5.94,"10,378",3.26,"3,709",42.00,"17,720",2.06,"1,172",133.00,"3,387",97.26
1997M06,"1,664",50.18,"8,338",19.30,"3,771",85.40,"22,539",3.31,"10,464",-10.63,"3,385",26.97,"8,690",16.77,"3,090",81.87,"39,402",17.11,"3,367",56.24,"30,626",4.86,"10,192",-1.85,"3,258",23.27,"17,176",6.16,"1,267",152.39,"4,142",132.44
1997M07,"1,794",61.91,"8,442",15.45,"3,681",77.74,"22,969",5.06,"10,333",-11.16,"4,023",60.53,"8,613",11.50,"2,754",41.67,"39,640",15.58,"3,573",58.17,"31,541",6.65,"10,267",-6.49,"3,836",54.74,"17,438",8.21,"1,157",149.89,"3,369",68.37
1997M08,"1,976",75.64,"8,824",27.00,"3,783",73.45,"22,131",-4.63,"9,563",-19.77,"3,992",45.53,"8,576",0.39,"3,132",55.98,"39,846",12.35,"4,032",69.34,"30,852",1.40,"9,247",-20.12,"3,821",41.00,"17,784",10.18,"1,177",83.05,"3,785",87.75
1997M09,"2,036",66.34,"9,016",31.51,"3,869",70.52,"22,029",-3.84,"8,899",-18.92,"3,993",42.66,"9,137",0.03,"2,707",39.39,"39,657",12.67,"4,243",72.90,"30,867",2.21,"9,341",-16.84,"3,814",38.84,"17,712",9.21,"1,142",77.88,"3,405",78.83
1997M10,"2,138",75.53,"9,092",30.50,"3,854",64.14,"21,206",-6.28,"8,262",-25.14,"3,682",33.94,"9,262",4.75,"2,711",14.92,"39,001",9.80,"4,299",64.33,"30,183",1.31,"10,046",-14.21,"3,526",31.37,"16,611",7.87,"1,212",53.22,"3,307",42.60
1997M11,"2,215",65.55,"9,241",34.51,"3,951",59.70,"21,086",-6.13,"8,238",-20.77,"3,260",18.12,"9,588",3.02,"2,707",14.41,"39,200",10.39,"4,384",60.70,"30,233",2.21,"9,945",-9.61,"3,057",13.26,"17,231",8.52,"1,222",54.49,"3,361",39.23
1997M12,"1,847",31.65,"9,889",38.52,"3,885",50.87,"19,943",-14.85,"7,751",-26.03,"3,228",15.41,"8,964",-11.64,"3,562",73.50,"39,126",6.93,"4,551",73.90,"29,239",-5.77,"9,846",-11.04,"3,030",11.97,"16,363",-5.16,"1,177",21.22,"4,159",110.69
1998M01,"1,871",33.07,"10,105",40.80,"3,850",39.39,"20,451",-11.72,"7,656",-25.65,"3,513",19.90,"9,282",-6.62,"2,196",1.53,"38,473",4.90,"4,526",67.07,"30,148",-2.07,"10,903",1.90,"3,311",16.34,"15,934",-7.57,"1,147",21.89,"2,652",18.39
