期間,新臺幣_原始值,新臺幣_年增率(%),日圓_原始值,日圓_年增率(%),馬克_原始值,馬克_年增率(%),英鎊_原始值,英鎊_年增率(%),法國法郎_原始值,法國法郎_年增率(%),港幣_原始值,港幣_年增率(%),韓元_原始值,韓元_年增率(%),加拿大幣_原始值,加拿大幣_年增率(%),新加坡元_原始值,新加坡元_年增率(%),人民幣_原始值,人民幣_年增率(%),澳幣_原始值,澳幣_年增率(%),印尼盾_原始值,印尼盾_年增率(%),荷蘭幣_原始值,荷蘭幣_年增率(%),泰銖_原始值,泰銖_年增率(%),馬來西亞幣_原始值,馬來西亞幣_年增率(%),菲律賓披索_原始值,菲律賓披索_年增率(%),歐元_原始值,歐元_年增率(%)
1960M01,40.0000,...,360.0000,...,4.2000,...,0.3571,...,4.9371,...,5.7143,...,50.0000,...,0.9531,...,3.0612,...,2.4618,...,0.8929,...,...,...,3.8000,...,21.1901,...,3.0612,...,2.0000,...,-,--
1960M02,40.0000,...,360.0000,...,4.2000,...,0.3571,...,4.9371,...,5.7143,...,57.5000,...,0.9517,...,3.0612,...,2.4618,...,0.8929,...,...,...,3.8000,...,21.1901,...,3.0612,...,2.0000,...,-,--
1960M03,40.0000,...,360.0000,...,4.2000,...,0.3571,...,4.9371,...,5.7143,...,65.0000,...,0.9509,...,3.0612,...,2.4618,...,0.8929,...,...,...,3.8000,...,21.1901,...,3.0612,...,2.0000,...,-,--
1960M04,40.0000,...,360.0000,...,4.2000,...,0.3571,...,4.9371,...,5.7143,...,65.0000,...,0.9629,...,3.0612,...,2.4618,...,0.8929,...,...,...,3.8000,...,21.1901,...,3.0612,...,2.0200,...,-,--
1960M05,40.0000,...,360.0000,...,4.2000,...,0.3571,...,4.9371,...,5.7143,...,65.0000,...,0.9781,...,3.0612,...,2.4618,...,0.8929,...,...,...,3.8000,...,21.1901,...,3.0612,...,2.0200,...,-,--
1960M06,40.0000,...,360.0000,...,4.2000,...,0.3571,...,4.9371,...,5.7143,...,65.0000,...,0.9824,...,3.0612,...,2.4618,...,0.8929,...,...,...,3.8000,...,21.1901,...,3.0612,...,2.0200,...,-,--
1960M07,40.0000,...,360.0000,...,4.2000,...,0.3571,...,4.9371,...,5.7143,...,65.0000,...,0.9784,...,3.0612,...,2.4618,...,0.8929,...,...,...,3.8000,...,21.1901,...,3.0612,...,2.0200,...,-,--
1960M08,40.0000,...,360.0000,...,4.2000,...,0.3571,...,4.9371,...,5.7143,...,65.0000,...,0.9698,...,3.0612,...,2.4618,...,0.8929,...,...,...,3.8000,...,21.1901,...,3.0612,...,2.0200,...,-,--
1960M09,40.0000,...,360.0000,...,4.2000,...,0.3571,...,4.9371,...,5.7143,...,65.0000,...,0.9725,...,3.0612,...,2.4618,...,0.8929,...,...,...,3.8000,...,21.1901,...,3.0612,...,2.0200,...,-,--
1960M10,40.0000,...,360.0000,...,4.2000,...,0.3571,...,4.9371,...,5.7143,...,65.0000,...,0.9785,...,3.0612,...,2.4618,...,0.8929,...,...,...,3.8000,...,21.1901,...,3.0612,...,2.0200,...,-,--
