期間,總計_原始值,總計_年增率(%),男_原始值,男_年增率(%),女_原始值,女_年增率(%),專門性技術性工作_原始值,專門性技術性工作_年增率(%),華僑或外國人投資設立事業之主管工作_原始值,華僑或外國人投資設立事業之主管工作_年增率(%),學校教師工作_原始值,學校教師工作_年增率(%),補習班語文教師工作_原始值,補習班語文教師工作_年增率(%),運動教練及運動員工作_原始值,運動教練及運動員工作_年增率(%),宗教、藝術及演藝工作_原始值,宗教、藝術及演藝工作_年增率(%),履約_原始值,履約_年增率(%)
2004M05,"7,925",...,"6,210",...,"1,715",...,"3,943",...,338,...,404,...,"2,220",...,51,...,969,...,...,...
2004M06,"10,137",...,"7,878",...,"2,259",...,"5,039",...,392,...,924,...,"2,687",...,43,...,"1,052",...,...,...
2004M07,"12,746",...,"9,877",...,"2,869",...,"6,347",...,458,...,"1,167",...,"3,232",...,54,...,"1,488",...,...,...
2004M08,"14,102",...,"11,030",...,"3,072",...,"7,143",...,503,...,"1,300",...,"3,759",...,50,...,"1,347",...,...,...
2004M09,"16,146",...,"12,665",...,"3,481",...,"8,243",...,527,...,"1,478",...,"4,450",...,52,...,"1,396",...,...,...
2004M10,"17,543",...,"13,851",...,"3,692",...,"9,169",...,556,...,"1,550",...,"5,081",...,54,...,"1,133",...,...,...
2004M11,"19,586",...,"15,578",...,"4,008",...,"10,524",...,595,...,"1,581",...,"5,615",...,44,...,"1,227",...,...,...
2004M12,"20,751",...,"16,474",...,"4,277",...,"11,228",...,633,...,"1,604",...,"5,934",...,41,...,"1,311",...,...,...
2005M01,"21,393",...,"16,896",...,"4,497",...,"11,339",...,651,...,"1,682",...,"6,347",...,28,...,"1,346",...,...,...
2005M02,"21,013",...,"16,553",...,"4,460",...,"11,006",...,661,...,"1,628",...,"6,364",...,37,...,"1,317",...,...,...
2005M03,"22,602",...,"17,831",...,"4,771",...,"11,808",...,714,...,"1,687",...,"6,482",...,54,...,"1,857",...,...,...
2005M04,"22,972",...,"18,185",...,"4,787",...,"12,179",...,738,...,"1,789",...,"6,496",...,59,...,"1,711",...,...,...
2005M05,"23,616",197.99,"18,635",200.08,"4,981",190.44,"12,513",217.35,779,130.47,"2,033",403.22,"6,644",199.28,57,11.76,"1,590",64.09,...,...
2005M06,"25,090",147.51,"19,636",149.25,"5,454",141.43,"12,919",156.38,830,111.73,"2,502",170.78,"6,664",148.01,58,34.88,"2,117",101.24,...,...
2005M07,"25,665",101.36,"20,151",104.02,"5,514",92.19,"11,211",76.63,869,89.74,"2,412",106.68,"6,614",104.64,55,1.85,"2,511",68.75,"1,993",...
2005M08,"24,764",75.61,"19,761",79.16,"5,003",62.86,"11,476",60.66,909,80.72,"1,877",44.38,"6,568",74.73,56,12.00,"1,922",42.69,"1,956",...
2005M09,"25,223",56.22,"20,183",59.36,"5,040",44.79,"11,935",44.79,953,80.83,"1,936",30.99,"6,391",43.62,54,3.85,"2,134",52.87,"1,820",...
2005M10,"25,851",47.36,"20,768",49.94,"5,083",37.68,"12,248",33.58,974,75.18,"2,016",30.06,"6,564",29.19,47,-12.96,"2,081",83.67,"1,921",...
2005M11,"25,745",31.45,"20,668",32.67,"5,077",26.67,"12,612",19.84,998,67.73,"2,044",29.29,"6,564",16.90,39,-11.36,"1,823",48.57,"1,665",...
2005M12,"25,933",24.97,"20,930",27.05,"5,003",16.97,"13,118",16.83,"1,044",64.93,"2,061",28.49,"6,630",11.73,27,-34.15,"1,516",15.64,"1,537",...
2006M01,"26,075",21.89,"21,103",24.90,"4,972",10.56,"13,416",18.32,"1,077",65.44,"2,118",25.92,"6,675",5.17,28,0.00,"1,395",3.64,"1,366",...
