期間,結婚-對數(對)_原始值,結婚-對數(對)_年增率(%),結婚-粗結婚率(0/00)_原始值,結婚-粗結婚率(0/00)_年增率(%),離婚-對數(對)_原始值,離婚-對數(對)_年增率(%),離婚-粗離婚率(0/00)_原始值,離婚-粗離婚率(0/00)_年增率(%),本國人與外國人結婚登記人數-計(人)_原始值,本國人與外國人結婚登記人數-計(人)_年增率(%),本國人與外國人結婚登記人數-男(人)_原始值,本國人與外國人結婚登記人數-男(人)_年增率(%),本國人與外國人結婚登記人數-女(人)_原始值,本國人與外國人結婚登記人數-女(人)_年增率(%),本國人與外國人離婚登記人數-計(人)_原始值,本國人與外國人離婚登記人數-計(人)_年增率(%),本國人與外國人離婚登記人數-男(人)_原始值,本國人與外國人離婚登記人數-男(人)_年增率(%),本國人與外國人離婚登記人數-女(人)_原始值,本國人與外國人離婚登記人數-女(人)_年增率(%)
2000M01,"20,575",...,0.93,-,"3,924",...,0.18,-,"2,390",...,"2,215",...,175,...,105,...,76,...,29,...
2000M02,"14,656",...,0.66,-,"3,590",...,0.16,-,"1,092",...,946,...,146,...,104,...,62,...,42,...
2000M03,"14,489",...,0.65,-,"4,509",...,0.20,-,"1,650",...,"1,436",...,214,...,142,...,108,...,34,...
2000M04,"15,993",...,0.72,-,"4,155",...,0.19,-,"1,436",...,"1,258",...,178,...,109,...,70,...,39,...
2000M05,"15,858",...,0.72,-,"4,856",...,0.22,-,"1,716",...,"1,537",...,179,...,149,...,111,...,38,...
2000M06,"15,474",...,0.70,-,"4,421",...,0.20,-,"1,844",...,"1,644",...,200,...,130,...,96,...,34,...
2000M07,"13,321",...,0.60,-,"4,581",...,0.21,-,"1,997",...,"1,812",...,185,...,116,...,79,...,37,...
2000M08,"8,271",...,0.37,-,"4,741",...,0.21,-,"1,732",...,"1,547",...,185,...,140,...,107,...,33,...
2000M09,"12,149",...,0.55,-,"4,530",...,0.20,-,"1,853",...,"1,640",...,213,...,124,...,85,...,39,...
2000M10,"14,088",...,0.63,-,"4,622",...,0.21,-,"1,826",...,"1,627",...,199,...,155,...,120,...,35,...
2000M11,"18,348",...,0.82,-,"4,420",...,0.20,-,"1,772",...,"1,579",...,193,...,159,...,118,...,41,...
2000M12,"18,420",...,0.83,-,"4,321",...,0.19,-,"2,030",...,"1,821",...,209,...,167,...,124,...,43,...
2001M01,"19,320",-6.10,0.87,-,"3,585",-8.64,0.16,-,"1,680",-29.71,"1,518",-31.47,162,-7.43,158,50.48,119,56.58,39,34.48
2001M02,"13,623",-7.05,0.61,-,"4,466",24.40,0.20,-,"1,435",31.41,"1,220",28.96,215,47.26,197,89.42,153,146.77,44,4.76
2001M03,"15,441",6.57,0.69,-,"4,721",4.70,0.21,-,"1,774",7.52,"1,575",9.68,199,-7.01,196,38.03,134,24.07,62,82.35
2001M04,"14,110",-11.77,0.63,-,"4,542",9.31,0.20,-,"1,401",-2.44,"1,204",-4.29,197,10.67,199,82.57,147,110.00,52,33.33
2001M05,"14,075",-11.24,0.63,-,"4,857",0.02,0.22,-,"1,687",-1.69,"1,469",-4.42,218,21.79,219,46.98,168,51.35,51,34.21
2001M06,"11,762",-23.99,0.53,-,"4,702",6.36,0.21,-,"1,628",-11.71,"1,417",-13.81,211,5.50,218,67.69,156,62.50,62,82.35
2001M07,"14,018",5.23,0.63,-,"4,965",8.38,0.22,-,"1,870",-6.36,"1,658",-8.50,212,14.59,219,88.79,172,117.72,47,27.03
2001M08,"11,310",36.74,0.51,-,"5,571",17.51,0.25,-,"1,752",1.15,"1,539",-0.52,213,15.14,234,67.14,183,71.03,51,54.55
2001M09,"6,363",-47.63,0.28,-,"4,039",-10.84,0.18,-,"1,300",-29.84,"1,137",-30.67,163,-23.47,219,76.61,177,108.24,42,7.69
2001M10,"14,588",3.55,0.65,-,"5,246",13.50,0.23,-,"1,758",-3.72,"1,549",-4.79,209,5.03,213,37.42,173,44.17,40,14.29
