期間,總指數_原始值,總指數_年增率(%),總指數(不含土石採取業)_原始值,總指數(不含土石採取業)_年增率(%),總指數(不含建築工程業)_原始值,總指數(不含建築工程業)_年增率(%),總指數(不含土石採取及建築工程業)_原始值,總指數(不含土石採取及建築工程業)_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),製造業_原始值,製造業_年增率(%),金屬機械工業_原始值,金屬機械工業_年增率(%),資訊電子工業_原始值,資訊電子工業_年增率(%),化學工業_原始值,化學工業_年增率(%),民生工業_原始值,民生工業_年增率(%),電力及燃氣供應業_原始值,電力及燃氣供應業_年增率(%),用水供應業_原始值,用水供應業_年增率(%),建築工程業_原始值,建築工程業_年增率(%)
1971,...,...,7.15,...,...,...,...,...,...,...,6.47,...,5.05,...,0.43,...,8.60,...,39.78,...,7.65,...,13.25,...,23.40,...
1972,...,...,8.67,21.26,...,...,...,...,...,...,7.94,22.72,6.10,20.79,0.68,58.14,10.33,20.12,44.89,12.85,8.85,15.69,15.05,13.58,30.72,31.28
1973,...,...,10.07,16.15,...,...,13.88,...,...,...,9.38,18.14,7.42,21.64,1.03,51.47,12.48,20.81,50.25,11.94,10.06,13.67,16.28,8.17,35.35,15.07
1974,...,...,9.62,-4.47,...,...,13.46,-3.03,...,...,8.78,-6.40,8.12,9.43,1.09,5.83,11.27,-9.70,48.30,-3.88,10.42,3.58,17.38,6.76,39.41,11.49
1975,...,...,10.53,9.46,...,...,14.63,8.69,...,...,9.48,7.97,8.02,-1.23,1.01,-7.34,12.80,13.58,54.60,13.04,11.58,11.13,18.41,5.93,46.83,18.83
1976,...,...,12.99,23.36,...,...,16.47,12.58,...,...,11.91,25.63,10.27,28.05,1.41,39.60,17.21,34.45,66.33,21.48,13.63,17.70,20.44,11.03,56.61,20.88
1977,...,...,14.72,13.32,...,...,17.33,5.22,...,...,13.51,13.43,12.94,26.00,1.81,28.37,17.71,2.91,71.74,8.16,15.07,10.56,23.43,14.63,74.30,31.25
1978,...,...,18.04,22.55,...,...,19.85,14.54,...,...,16.75,23.98,17.05,31.76,2.61,44.20,21.70,22.53,84.40,17.65,17.52,16.26,26.35,12.46,86.62,16.58
1979,...,...,19.19,6.37,...,...,20.28,2.17,...,...,17.70,5.67,20.20,18.48,2.73,4.60,23.72,9.31,88.17,4.47,19.18,9.47,28.73,9.03,110.01,27.00
1980,...,...,20.50,6.83,...,...,20.71,2.12,...,...,18.81,6.27,23.24,15.05,3.19,16.85,25.44,7.25,92.84,5.30,20.66,7.72,30.68,6.79,133.95,21.76
1981,...,...,21.22,3.51,...,...,19.89,-3.96,...,...,19.49,3.62,23.91,2.88,3.55,11.29,25.43,-0.04,97.92,5.47,20.29,-1.79,32.86,7.11,148.15,10.60
1982,...,...,21.04,-0.85,...,...,20.04,0.75,...,...,19.66,0.87,23.38,-2.22,3.57,0.56,26.20,3.03,98.61,0.70,20.63,1.68,35.38,7.67,102.96,-30.50
1983,...,...,23.70,12.64,...,...,22.71,13.32,...,...,22.37,13.78,26.91,15.10,4.64,29.97,30.09,14.85,105.91,7.40,22.98,11.39,38.57,9.02,98.03,-4.79
1984,...,...,26.51,11.86,...,...,25.39,11.80,...,...,25.15,12.43,29.30,8.88,5.96,28.45,34.09,13.29,114.31,7.93,24.80,7.92,40.49,4.98,109.57,11.77
1985,...,...,27.22,2.68,...,...,26.09,2.76,...,...,25.80,2.58,29.75,1.54,5.70,-4.36,36.15,6.04,117.36,2.67,26.41,6.49,43.68,7.88,109.96,0.36
