期間,美元即期匯率--銀行與顧客間交易匯率--買進(新台幣元)_原始值,美元即期匯率--銀行與顧客間交易匯率--買進(新台幣元)_年增率(%),美元即期匯率--銀行與顧客間交易匯率--賣出(新台幣元)_原始值,美元即期匯率--銀行與顧客間交易匯率--賣出(新台幣元)_年增率(%),美元即期匯率--銀行間收盤匯率(新台幣元)_原始值,美元即期匯率--銀行間收盤匯率(新台幣元)_年增率(%),美元即期匯率--銀行間收盤匯率--日平均(新台幣元)_原始值,美元即期匯率--銀行間收盤匯率--日平均(新台幣元)_年增率(%),遠期信用狀美金利率(年息)(年息百分比率)_原始值,遠期信用狀美金利率(年息)(年息百分比率)_年增率(%)
1997M01,27.39,0.18,27.49,0.18,27.435,0.204,-,-,8.40,...
1997M02,27.46,-0.25,27.56,-0.25,27.525,-0.327,-,-,8.40,...
1997M03,27.50,-0.15,27.60,-0.14,27.538,-0.047,-,-,8.65,...
1997M04,27.61,-0.40,27.71,-0.40,27.662,-0.448,-,-,8.65,...
1997M05,27.81,-0.72,27.91,-0.72,27.842,-0.647,-,-,8.65,...
1997M06,27.76,0.18,27.86,0.18,27.812,0.108,-,-,8.65,...
1997M07,28.56,-2.80,28.66,-2.79,28.700,-3.094,-,-,8.65,...
1997M08,28.60,-0.14,28.70,-0.14,28.630,0.244,-,-,8.65,...
1997M09,28.55,0.18,28.65,0.17,28.597,0.115,-,-,8.65,...
1997M10,30.90,-7.61,31.00,-7.58,30.944,-7.585,-,-,8.65,...
1997M11,32.01,-3.47,32.11,-3.46,32.052,-3.457,-,-,8.80,...
1997M12,32.52,-1.57,32.62,-1.56,32.638,-1.795,-,-,9.00,...
1998M01,33.87,-3.99,33.97,-3.97,33.996,-3.995,-,-,9.00,...
1998M02,31.85,6.34,31.95,6.32,32.100,5.907,-,-,8.75,...
1998M03,32.82,-2.96,32.92,-2.95,32.860,-2.313,-,-,8.75,...
1998M04,32.91,-0.27,33.01,-0.27,32.970,-0.334,-,-,8.75,...
1998M05,33.91,-2.95,34.01,-2.94,33.989,-2.998,-,-,8.75,...
1998M06,34.34,-1.25,34.44,-1.25,34.351,-1.054,34.448,-100.000,8.75,...
1998M07,34.31,0.09,34.41,0.09,34.369,-0.052,34.364,0.244,8.75,...
1998M08,34.79,-1.38,34.89,-1.38,34.843,-1.360,34.688,-0.934,8.75,...
1998M09,34.37,1.22,34.47,1.22,34.372,1.370,34.569,0.344,8.50,...
1998M10,32.35,6.24,32.45,6.22,32.450,5.923,33.022,4.685,8.25,...
1998M11,32.38,-0.09,32.48,-0.09,32.429,0.065,32.518,1.550,8.25,...
1998M12,32.16,0.68,32.26,0.68,32.216,0.661,32.292,0.700,8.25,...
1999M01,32.25,-0.28,32.35,-0.28,32.298,-0.254,32.248,0.136,8.25,...
1999M02,33.01,-2.30,33.11,-2.30,33.055,-2.290,32.555,-0.943,8.25,...
1999M03,33.10,-0.27,33.20,-0.27,33.143,-0.266,33.113,-1.685,8.25,...
1999M04,32.64,1.41,32.74,1.41,32.688,1.392,32.893,0.669,8.25,...
1999M05,32.68,-0.12,32.78,-0.12,32.729,-0.125,32.756,0.418,8.25,...
1999M06,32.24,1.36,32.34,1.36,32.304,1.316,32.483,0.840,8.25,...
1999M07,32.10,0.44,32.20,0.43,32.145,0.495,32.273,0.651,8.50,...
1999M08,31.79,0.98,31.89,0.97,31.843,0.948,32.000,0.853,8.75,...
1999M09,31.73,0.19,31.83,0.19,31.787,0.176,31.801,0.626,8.75,...
1999M10,31.68,0.16,31.78,0.16,31.736,0.161,31.767,0.107,8.75,...
1999M11,31.62,0.19,31.72,0.19,31.672,0.202,31.735,0.101,9.00,...
1999M12,31.34,0.89,31.44,0.89,31.395,0.882,31.612,0.389,9.00,...
2000M01,30.64,2.28,30.74,2.28,30.699,2.267,30.801,2.633,9.00,...
2000M02,30.70,-0.20,30.80,-0.19,30.754,-0.179,30.722,0.257,9.25,...
2000M03,30.45,0.82,30.55,0.82,30.490,0.866,30.699,0.075,9.50,...
2000M04,30.59,-0.46,30.69,-0.46,30.637,-0.480,30.490,0.685,9.50,...
