期間,當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),當期價格_原始值,當期價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),按2006年價格_原始值,按2006年價格_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%),平減指數(2006年=100)_原始值,平減指數(2006年=100)_年增率(%)
1951,"12,648",...,-7,--,"12,641",...,367,...,-,--,"12,274",...,-,-,"1,198",--,"11,076",...,"12,274",...,738,--,"13,012",...,"11,448",...,"1,564",...,"1,931",...,15.28,--,"202,415",...,-187,--,"202,228",...,"1,591",...,-,--,"200,637",...,"5,753",-,"15,184",--,"191,206",...,"206,390",...,"19,733",--,"226,123",...,"196,949",...,"29,174",...,"30,765",...,15.21,--,6.25,...,--,--,6.25,...,23.07,...,--,--,6.12,...,-,-,7.89,--,5.79,...,5.95,...,--,--,5.75,...,5.81,...,5.36,...,6.28,...,--,--
1952,"17,623",39.33,-4,--,"17,619",39.38,502,36.78,-,--,"17,117",39.46,-,-,"1,827",--,"15,290",38.05,"17,117",39.46,"1,053",--,"18,170",39.64,"16,031",40.03,"2,139",36.76,"2,641",36.77,14.99,--,"226,384",11.84,-105,--,"226,279",11.89,"2,264",42.30,-,--,"224,015",11.65,"7,577",-,"18,548",--,"213,044",11.42,"231,592",12.21,"27,784",--,"259,376",14.71,"223,539",13.50,"35,837",22.84,"38,101",23.85,16.84,--,7.78,24.48,--,--,7.79,24.64,22.17,-3.90,--,--,7.64,24.84,-,-,9.85,--,7.18,24.01,7.39,24.20,--,--,7.01,21.91,7.17,23.41,5.97,11.38,6.93,10.35,--,--
1953,"23,422",32.91,-4,--,"23,418",32.91,710,41.43,-,--,"22,708",32.66,-,-,"2,454",--,"20,254",32.47,"22,708",32.66,"1,282",--,"23,990",32.03,"21,378",33.35,"2,612",22.11,"3,322",25.79,14.19,--,"248,690",9.85,-77,--,"248,613",9.87,"3,100",36.93,-,--,"245,513",9.60,"9,127",-,"22,029",--,"232,611",9.18,"254,640",9.95,"24,797",--,"279,437",7.73,"241,652",8.10,"37,785",5.44,"40,885",7.31,16.45,--,9.42,21.08,--,--,9.42,20.92,22.90,3.29,--,--,9.25,21.07,-,-,11.14,--,8.71,21.31,8.92,20.70,--,--,8.59,22.54,8.85,23.43,6.91,15.75,8.13,17.32,--,--
1954,"25,746",9.92,-4,--,"25,742",9.92,999,40.70,-,--,"24,743",8.96,-,-,"3,289",--,"21,454",5.92,"24,743",8.96,"1,441",--,"26,184",9.15,"23,804",11.35,"2,380",-8.88,"3,379",1.72,13.13,--,"273,465",9.96,-73,--,"273,392",9.97,"4,005",29.19,-,--,"269,387",9.72,"6,252",-,"27,897",--,"247,742",6.50,"275,639",8.25,"26,344",--,"301,983",8.07,"267,772",10.81,"34,211",-9.46,"38,216",-6.53,13.98,--,9.41,-0.11,--,--,9.42,0.00,24.94,8.91,--,--,9.18,-0.76,-,-,11.79,--,8.66,-0.57,8.98,0.67,--,--,8.67,0.93,8.89,0.45,6.96,0.72,8.84,8.73,--,--
1955,"30,685",19.18,-3,--,"30,682",19.19,"1,382",38.34,-,--,"29,300",18.42,-,-,"3,999",--,"25,301",17.93,"29,300",18.42,"1,664",--,"30,964",18.26,"27,973",17.51,"2,991",25.67,"4,373",29.42,14.25,--,"294,894",7.84,-50,--,"294,844",7.85,"4,795",19.73,-,--,"290,049",7.67,"8,059",-,"31,267",--,"266,841",7.71,"298,108",8.15,"27,459",--,"325,567",7.81,"286,453",6.98,"39,114",14.33,"43,909",14.90,14.89,--,10.41,10.63,--,--,10.41,10.51,28.82,15.56,--,--,10.10,10.02,-,-,12.79,--,9.48,9.47,9.83,9.47,--,--,9.51,9.69,9.77,9.90,7.65,9.91,9.96,12.67,--,--
1956,"35,194",14.69,-7,--,"35,187",14.68,"1,683",21.78,-,--,"33,504",14.35,-,-,"4,745",--,"28,759",13.67,"33,504",14.35,"1,425",--,"34,929",12.81,"32,015",14.45,"2,914",-2.57,"4,597",5.12,13.06,--,"310,537",5.30,-92,--,"310,445",5.29,"5,578",16.33,-,--,"304,867",5.11,"6,890",-,"34,235",--,"277,522",4.00,"311,757",4.58,"18,824",--,"330,581",1.54,"303,221",5.85,"27,360",-30.05,"32,938",-24.99,10.61,--,11.33,8.84,--,--,11.33,8.84,30.17,4.68,--,--,10.99,8.81,-,-,13.86,--,10.36,9.28,10.75,9.36,--,--,10.57,11.15,10.56,8.09,10.65,39.22,13.96,40.16,--,--
1957,"41,096",16.77,-55,--,"41,041",16.64,"2,134",26.80,-,--,"38,907",16.13,-,-,"5,665",--,"33,242",15.59,"38,907",16.13,"1,280",--,"40,187",15.05,"36,778",14.88,"3,409",16.99,"5,543",20.58,13.51,--,"333,361",7.35,-735,--,"332,626",7.14,"6,411",14.93,-,--,"326,215",7.00,"7,666",-,"37,591",--,"296,290",6.76,"333,881",7.10,"17,112",--,"350,993",6.17,"323,974",6.84,"27,019",-1.25,"33,430",1.49,10.05,--,12.33,8.83,--,--,12.34,8.91,33.29,10.34,--,--,11.93,8.55,-,-,15.07,--,11.22,8.30,11.65,8.37,--,--,11.45,8.33,11.35,7.48,12.62,18.50,16.58,18.77,--,--
1958,"45,990",11.91,-181,--,"45,809",11.62,"2,496",16.96,-,--,"43,313",11.32,-,-,"6,371",--,"36,942",11.13,"43,313",11.32,"2,419",--,"45,732",13.80,"41,356",12.45,"4,376",28.37,"6,872",23.98,15.00,--,"356,232",6.86,"-1,889",--,"354,343",6.53,"7,319",14.16,-,--,"347,024",6.38,"8,806",-,"39,794",--,"316,036",6.66,"355,830",6.57,"25,251",--,"381,081",8.57,"347,594",7.29,"33,487",23.94,"40,806",22.06,11.52,--,12.91,4.70,--,--,12.93,4.78,34.10,2.43,--,--,12.48,4.61,-,-,16.01,--,11.69,4.19,12.17,4.46,--,--,12.00,4.80,11.90,4.85,13.07,3.57,16.84,1.57,--,--
1959,"52,980",15.20,-156,--,"52,824",15.31,"2,971",19.03,-,--,"49,853",15.10,-,-,"7,088",--,"42,765",15.76,"49,853",15.10,"2,774",--,"52,627",15.08,"47,463",14.77,"5,164",18.01,"8,135",18.38,15.40,--,"384,581",7.96,"-1,258",--,"383,323",8.18,"8,460",15.59,-,--,"374,863",8.02,"9,279",-,"42,725",--,"341,417",8.03,"384,142",7.96,"22,335",--,"406,477",6.66,"369,872",6.41,"36,605",9.31,"45,065",10.44,11.76,--,13.78,6.74,--,--,13.78,6.57,35.12,2.99,--,--,13.30,6.57,-,-,16.59,--,12.53,7.19,12.98,6.66,--,--,12.95,7.92,12.83,7.82,14.11,7.96,18.05,7.19,--,--
1960,"63,765",20.36,-27,--,"63,738",20.66,"3,438",15.72,-,--,"60,300",20.96,-,-,"7,977",--,"52,323",22.35,"60,300",20.96,"3,211",--,"63,511",20.68,"55,775",17.51,"7,736",49.81,"11,174",37.36,17.53,--,"411,014",6.87,-184,--,"410,830",7.18,"9,829",16.18,-,--,"401,001",6.97,"9,007",-,"43,026",--,"366,982",7.49,"410,008",6.73,"21,814",--,"431,822",6.24,"385,489",4.22,"46,333",26.58,"56,162",24.62,13.67,--,15.51,12.55,--,--,15.51,12.55,34.98,-0.40,--,--,15.04,13.08,-,-,18.54,--,14.26,13.81,14.71,13.33,--,--,14.71,13.59,14.47,12.78,16.70,18.36,19.90,10.25,--,--
