期間,定期存款--合計_原始值,定期存款--合計_年增率(%),定期存款--合計_原始值,定期存款--合計_年增率(%),定期存款--民營企業_原始值,定期存款--民營企業_年增率(%),定期存款--民營企業_原始值,定期存款--民營企業_年增率(%),定期存款--個人~未滿6個月_原始值,定期存款--個人~未滿6個月_年增率(%),定期存款--個人~未滿6個月_原始值,定期存款--個人~未滿6個月_年增率(%),定期存款--其他_原始值,定期存款--其他_年增率(%),定期存款--其他_原始值,定期存款--其他_年增率(%),定期儲蓄存款--合計_原始值,定期儲蓄存款--合計_年增率(%),定期儲蓄存款--合計_原始值,定期儲蓄存款--合計_年增率(%),定期儲存存款--國軍同袍儲蓄會(一戶)_原始值,定期儲存存款--國軍同袍儲蓄會(一戶)_年增率(%),定期儲存存款--國軍同袍儲蓄會(一戶)_原始值,定期儲存存款--國軍同袍儲蓄會(一戶)_年增率(%),定期儲蓄存款--退休及退役人員存款_原始值,定期儲蓄存款--退休及退役人員存款_年增率(%),定期儲蓄存款--退休及退役人員存款_原始值,定期儲蓄存款--退休及退役人員存款_年增率(%),定期儲蓄存款--個人_原始值,定期儲蓄存款--個人_年增率(%),定期儲蓄存款--個人_原始值,定期儲蓄存款--個人_年增率(%),定期儲蓄存款--其他_原始值,定期儲蓄存款--其他_年增率(%),定期儲蓄存款--其他_原始值,定期儲蓄存款--其他_年增率(%)
1997M01,"1,025,760",-19.17,"2,349,221",-5.65,"171,832",-4.28,"766,768",4.73,"799,154",-22.75,"623,671",-23.01,"54,774",-0.58,"958,782",1.16,"4,933,985",1.91,"3,664,898",2.95,-,-,"18,258",-3.01,"295,578",4.39,"218,916",10.34,"4,513,489",1.40,"2,173,667",2.91,"124,916",16.41,"1,254,058",1.91
1997M02,"1,040,411",-19.33,"2,363,736",-4.92,"171,296",-4.15,"761,724",4.34,"812,734",-23.05,"631,797",-21.47,"56,381",2.76,"970,216",1.97,"4,990,044",0.90,"3,698,092",2.85,-,-,"18,398",-1.79,"298,448",4.55,"224,133",10.91,"4,563,903",0.31,"2,192,862",2.23,"127,691",15.61,"1,262,699",2.67
1997M03,"1,035,270",-19.08,"2,366,380",-3.64,"171,688",-3.67,"764,124",6.52,"805,847",-22.91,"621,293",-20.51,"57,735",3.62,"980,963",2.53,"4,986,929",0.19,"3,708,991",2.67,-,-,"18,478",-1.37,"299,445",4.60,"225,426",11.22,"4,558,229",-0.41,"2,200,614",2.37,"129,253",13.27,"1,264,474",1.85
1997M04,"1,025,766",-19.43,"2,345,038",-5.11,"171,892",-3.89,"752,496",3.73,"796,040",-23.37,"611,462",-21.42,"57,834",4.25,"981,079",1.38,"4,977,127",-1.16,"3,713,654",1.61,-,-,"18,478",-1.37,"300,317",4.67,"226,132",11.26,"4,545,015",-1.86,"2,201,051",0.90,"131,793",12.16,"1,267,993",1.32
1997M05,"1,015,129",-20.98,"2,372,418",-7.13,"170,958",-6.62,"765,814",-2.05,"787,108",-24.74,"620,626",-21.23,"57,063",2.39,"985,978",0.11,"4,924,346",-3.50,"3,731,109",0.62,-,-,"18,478",-0.30,"300,588",4.53,"226,629",11.24,"4,492,255",-4.30,"2,208,022",-0.53,"131,501",8.80,"1,277,980",0.93
1997M06,"1,005,170",-24.94,"2,335,692",-10.64,"171,377",-13.43,"745,704",-9.30,"777,813",-28.31,"616,767",-24.39,"55,980",-0.57,"973,222",-0.28,"4,921,500",-8.85,"3,739,048",-2.61,-,-,"18,478",0.08,"300,444",4.48,"226,940",11.25,"4,488,158",-9.99,"2,218,980",-5.18,"132,896",6.21,"1,274,650",-0.16
1997M07,"1,009,276",-25.39,"2,344,795",-12.19,"173,376",-13.52,"745,088",-11.91,"778,431",-28.91,"623,929",-24.92,"57,469",0.35,"975,778",-1.77,"4,945,605",-9.33,"3,739,939",-3.80,-,-,"18,478",0.07,"301,361",4.29,"229,120",11.10,"4,511,141",-10.48,"2,214,023",-6.66,"133,101",5.37,"1,278,317",-0.97
1997M08,"1,007,610",-26.28,"2,381,647",-11.99,"173,548",-17.62,"753,914",-12.41,"774,867",-29.41,"644,443",-20.91,"59,195",1.20,"983,290",-4.59,"4,922,216",-10.68,"3,736,272",-4.77,-,-,"18,426",-0.48,"303,353",4.01,"235,281",10.77,"4,483,914",-11.91,"2,207,727",-8.03,"134,947",4.53,"1,274,838",-1.33
1997M09,"1,112,037",-18.48,"2,507,240",-8.49,"181,570",-11.01,"769,909",-10.59,"869,085",-20.98,"707,488",-14.64,"61,382",1.68,"1,029,843",-1.92,"5,132,374",-7.59,"3,836,794",-2.64,-,-,"18,425",-0.32,"303,426",4.06,"236,717",11.02,"4,689,469",-8.60,"2,280,936",-5.85,"139,477",6.13,"1,300,716",1.13
1997M10,"1,216,350",-12.07,"2,623,714",-5.28,"177,584",-14.66,"801,835",-9.60,"975,961",-11.51,"797,319",-3.14,"62,805",-13.07,"1,024,560",-3.34,"5,123,586",-9.47,"3,807,825",-4.72,-,-,"18,425",2.13,"303,219",-13.59,"237,384",0.62,"4,683,846",-9.48,"2,266,502",-7.33,"136,519",1.82,"1,285,514",-0.87
