期間,消費者貸款--小計_原始值,消費者貸款--小計_年增率(%),消費者貸款--購置住宅貸款_原始值,消費者貸款--購置住宅貸款_年增率(%),消費者貸款--房屋修繕貸款_原始值,消費者貸款--房屋修繕貸款_年增率(%),消費者貸款--汽車貸款_原始值,消費者貸款--汽車貸款_年增率(%),消費者貸款--機關團體職工福利貸款_原始值,消費者貸款--機關團體職工福利貸款_年增率(%),消費者貸款--其他個人消費性貸款_原始值,消費者貸款--其他個人消費性貸款_年增率(%),消費者貸款--信用卡循環信用餘額_原始值,消費者貸款--信用卡循環信用餘額_年增率(%),建築貸款_原始值,建築貸款_年增率(%)
2010M04,"6,607,645",3.40,"4,895,576",7.35,"723,278",-7.50,"54,119",-5.51,"75,276",-17.13,"678,884",-0.65,"180,512",-16.72,"1,052,894",2.84
2010M05,"6,637,911",3.50,"4,929,467",7.50,"717,162",-8.04,"54,015",-4.57,"74,232",-17.38,"684,695",-0.26,"178,340",-17.00,"1,057,548",4.97
2010M06,"6,653,412",3.36,"4,955,960",7.39,"709,596",-8.61,"54,451",-1.79,"73,423",-17.09,"683,581",-0.12,"176,401",-18.70,"1,079,696",8.44
2010M07,"6,667,407",3.24,"4,984,684",7.07,"698,417",-9.54,"55,470",1.42,"72,439",-17.20,"682,198",0.96,"174,199",-18.02,"1,099,781",12.12
2010M08,"6,662,105",2.55,"4,996,342",6.16,"686,172",-10.73,"55,738",3.54,"71,483",-16.75,"681,253",1.11,"171,117",-17.66,"1,120,454",15.76
2010M09,"6,662,828",2.16,"5,010,390",5.82,"674,791",-12.08,"56,872",6.65,"70,697",-16.96,"680,456",1.34,"169,622",-18.94,"1,154,549",19.12
2010M10,"6,673,244",2.20,"5,033,042",5.86,"664,098",-13.17,"58,101",9.44,"70,148",-15.98,"680,353",1.88,"167,502",-18.63,"1,164,747",20.06
2010M11,"6,695,687",2.23,"5,060,684",5.87,"653,141",-14.04,"59,252",11.38,"69,581",-16.38,"688,255",2.44,"164,774",-18.18,"1,181,953",20.61
2010M12,"6,717,051",1.90,"5,109,256",6.07,"613,299",-18.84,"58,876",8.54,"69,997",-14.48,"703,467",2.82,"162,156",-18.51,"1,237,779",22.98
2011M01,"6,727,180",2.02,"5,138,597",6.23,"600,054",-19.82,"61,670",13.04,"69,160",-13.60,"698,871",2.88,"158,828",-18.21,"1,259,098",25.45
2011M02,"6,703,930",1.79,"5,133,940",6.00,"589,183",-20.57,"61,368",13.01,"67,856",-13.61,"693,707",2.89,"157,876",-18.36,"1,270,638",25.19
2011M03,"6,713,689",1.89,"5,167,940",6.18,"574,930",-21.76,"62,478",15.53,"67,202",-12.26,"687,354",2.28,"153,785",-16.64,"1,286,753",23.80
2011M04,"6,733,291",1.90,"5,189,654",6.01,"565,949",-21.75,"63,767",17.83,"67,008",-10.98,"695,046",2.38,"151,867",-15.87,"1,288,663",22.39
2011M05,"6,734,811",1.46,"5,204,803",5.59,"554,229",-22.72,"64,678",19.74,"66,768",-10.05,"697,997",1.94,"146,336",-17.95,"1,298,854",22.82
2011M06,"6,738,745",1.28,"5,215,561",5.24,"542,069",-23.61,"65,978",21.17,"66,849",-8.95,"703,543",2.92,"144,745",-17.95,"1,305,607",20.92
2011M07,"6,746,197",1.18,"5,228,874",4.90,"532,224",-23.80,"67,394",21.50,"67,574",-6.72,"706,382",3.55,"143,749",-17.48,"1,304,212",18.59
2011M08,"6,747,201",1.28,"5,232,813",4.73,"522,534",-23.85,"68,758",23.36,"67,652",-5.36,"711,198",4.40,"144,246",-15.70,"1,322,651",18.05
2011M09,"6,750,830",1.32,"5,245,363",4.69,"512,186",-24.10,"69,791",22.72,"67,658",-4.30,"714,231",4.96,"141,601",-16.52,"1,335,876",15.71
2011M10,"6,752,299",1.18,"5,250,368",4.32,"502,428",-24.34,"70,635",21.57,"67,483",-3.80,"720,772",5.94,"140,613",-16.05,"1,336,006",14.70
2011M11,"6,760,153",0.96,"5,253,308",3.81,"493,221",-24.48,"70,948",19.74,"67,148",-3.50,"735,530",6.87,"139,998",-15.04,"1,343,561",13.67
2011M12,"6,780,695",0.95,"5,274,015",3.22,"482,918",-21.26,"73,037",24.05,"67,036",-4.23,"743,266",5.66,"140,423",-13.40,"1,367,488",10.48
2012M01,"6,744,378",0.26,"5,257,667",2.32,"471,787",-21.38,"74,090",20.14,"65,852",-4.78,"735,418",5.23,"139,564",-12.13,"1,388,397",10.27
2012M02,"6,716,310",0.18,"5,244,341",2.15,"463,334",-21.36,"73,971",20.54,"64,733",-4.60,"733,676",5.76,"136,255",-13.69,"1,399,744",10.16
2012M03,"6,713,634",0.00,"5,250,654",1.60,"453,937",-21.04,"75,396",20.68,"64,110",-4.60,"734,715",6.89,"134,822",-12.33,"1,404,131",9.12
2012M04,"6,728,257",-0.07,"5,267,510",1.50,"444,366",-21.48,"76,026",19.22,"63,708",-4.92,"742,525",6.83,"134,122",-11.68,"1,404,979",9.03
2012M05,"6,751,687",0.25,"5,290,918",1.65,"434,386",-21.62,"76,633",18.48,"63,622",-4.71,"752,854",7.86,"133,274",-8.93,"1,419,785",9.31
2012M06,"6,777,043",0.57,"5,319,714",2.00,"426,022",-21.41,"77,506",17.47,"63,521",-4.98,"756,529",7.53,"133,751",-7.60,"1,455,630",11.49
2012M07,"6,798,621",0.78,"5,350,711",2.33,"417,040",-21.64,"78,999",17.22,"63,179",-6.50,"756,204",7.05,"132,488",-7.83,"1,459,706",11.92
2012M08,"6,805,642",0.87,"5,365,315",2.53,"408,799",-21.77,"80,507",17.09,"62,902",-7.02,"755,704",6.26,"132,415",-8.20,"1,462,423",10.57
2012M09,"6,810,416",0.88,"5,373,751",2.45,"401,852",-21.54,"82,085",17.62,"64,362",-4.87,"756,109",5.86,"132,257",-6.60,"1,462,538",9.48
2012M10,"6,812,762",0.90,"5,385,210",2.57,"394,216",-21.54,"82,808",17.23,"63,587",-5.77,"755,646",4.84,"131,295",-6.63,"1,459,746",9.26
2012M11,"6,831,520",1.06,"5,403,458",2.86,"386,954",-21.55,"83,480",17.66,"63,040",-6.12,"763,873",3.85,"130,715",-6.63,"1,463,083",8.90
2012M12,"6,844,124",0.94,"5,420,331",2.77,"380,459",-21.22,"84,787",16.09,"62,936",-6.12,"764,824",2.90,"130,787",-6.86,"1,467,735",7.33
2013M01,"6,846,267",1.51,"5,442,934",3.52,"370,849",-21.39,"88,608",19.60,"62,167",-5.60,"752,610",2.34,"129,099",-7.50,"1,451,950",4.58
2013M02,"6,818,992",1.53,"5,429,274",3.53,"364,928",-21.24,"88,718",19.94,"61,065",-5.67,"748,789",2.06,"126,218",-7.37,"1,451,675",3.71
2013M03,"6,811,191",1.45,"5,430,781",3.43,"357,430",-21.26,"89,729",19.01,"60,280",-5.97,"748,781",1.91,"124,190",-7.89,"1,452,136",3.42
2013M04,"6,817,257",1.32,"5,443,739",3.35,"350,608",-21.10,"90,902",19.57,"59,672",-6.34,"750,098",1.02,"122,238",-8.86,"1,455,140",3.57
2013M05,"6,838,268",1.28,"5,464,223",3.28,"342,673",-21.11,"92,750",21.03,"59,329",-6.75,"758,351",0.73,"120,942",-9.25,"1,462,149",2.98
2013M06,"6,859,178",1.21,"5,484,047",3.09,"336,317",-21.06,"94,585",22.04,"58,931",-7.23,"763,629",0.94,"121,669",-9.03,"1,473,257",1.21
2013M07,"6,873,779",1.11,"5,506,914",2.92,"328,841",-21.15,"96,691",22.40,"58,583",-7.27,"763,324",0.94,"119,426",-9.86,"1,481,464",1.49
2013M08,"6,879,574",1.09,"5,519,431",2.87,"321,621",-21.33,"97,742",21.41,"58,255",-7.39,"763,333",1.01,"119,192",-9.99,"1,477,922",1.06
2013M09,"6,903,073",1.36,"5,545,912",3.20,"315,952",-21.38,"98,980",20.58,"57,607",-10.50,"764,905",1.16,"119,717",-9.48,"1,484,497",1.50
2013M10,"6,920,731",1.58,"5,565,525",3.35,"309,908",-21.39,"100,487",21.35,"57,131",-10.15,"768,271",1.67,"119,409",-9.05,"1,496,147",2.49
2013M11,"6,954,671",1.80,"5,599,203",3.62,"304,304",-21.36,"102,417",22.68,"56,461",-10.44,"773,971",1.32,"118,315",-9.49,"1,497,936",2.38
2013M12,"7,005,972",2.36,"5,646,766",4.18,"298,032",-21.67,"104,367",23.09,"56,253",-10.62,"782,830",2.35,"117,724",-9.99,"1,494,623",1.83
2014M01,"7,021,776",2.56,"5,668,653",4.15,"291,864",-21.30,"107,338",21.14,"55,783",-10.27,"780,596",3.72,"117,542",-8.95,"1,508,727",3.91
2014M02,"7,006,831",2.75,"5,664,985",4.34,"287,036",-21.34,"106,932",20.53,"54,813",-10.24,"776,562",3.71,"116,503",-7.70,"1,520,188",4.72
2014M03,"7,012,970",2.96,"5,678,845",4.57,"281,173",-21.33,"107,617",19.94,"54,112",-10.23,"777,113",3.78,"114,110",-8.12,"1,538,785",5.97
2014M04,"7,038,370",3.24,"5,700,961",4.73,"275,873",-21.32,"108,882",19.78,"53,574",-10.22,"785,942",4.78,"113,138",-7.44,"1,543,845",6.10
2014M05,"7,066,499",3.34,"5,725,398",4.78,"270,771",-20.98,"110,945",19.62,"53,106",-10.49,"793,997",4.70,"112,282",-7.16,"1,553,815",6.27
2014M06,"7,088,734",3.35,"5,750,655",4.86,"265,891",-20.94,"112,675",19.13,"52,495",-10.92,"792,846",3.83,"114,172",-6.16,"1,567,362",6.39
2014M07,"7,111,786",3.46,"5,778,242",4.93,"260,768",-20.70,"113,671",17.56,"51,964",-11.30,"794,231",4.05,"112,910",-5.46,"1,570,189",5.99
