期間,合計_原始值,合計_年增率(%),銀行對顧客市場--小計_原始值,銀行對顧客市場--小計_年增率(%),銀行對顧客市場--即期_原始值,銀行對顧客市場--即期_年增率(%),銀行對顧客市場--遠期_原始值,銀行對顧客市場--遠期_年增率(%),銀行對顧客市場--換匯_原始值,銀行對顧客市場--換匯_年增率(%),銀行對顧客市場--保證金交易_原始值,銀行對顧客市場--保證金交易_年增率(%),銀行對顧客市場--選擇權_原始值,銀行對顧客市場--選擇權_年增率(%),銀行對顧客市場--換匯換利_原始值,銀行對顧客市場--換匯換利_年增率(%),銀行間市場--小計_原始值,銀行間市場--小計_年增率(%),銀行間市場--即期_原始值,銀行間市場--即期_年增率(%),銀行間市場--遠期_原始值,銀行間市場--遠期_年增率(%),銀行間市場--換匯_原始值,銀行間市場--換匯_年增率(%),銀行間市場--選擇權_原始值,銀行間市場--選擇權_年增率(%),銀行間市場--換匯換利_原始值,銀行間市場--換匯換利_年增率(%),全體外匯銀行外匯交易淨部位(期底數)_原始值,全體外匯銀行外匯交易淨部位(期底數)_年增率(%),外匯存底(期底數)_原始值,外匯存底(期底數)_年增率(%)
2010M01,"20,293",46.60,"4,779",21.63,"2,637",21.63,548,-5.84,"1,053",26.11,74,-26.00,400,95.12,67,71.79,"15,514",56.50,"6,288",34.10,804,36.97,"6,995",76.11,"1,405",132.62,22,-63.93,278,--,"350,711",19.83
2010M02,"19,850",45.76,"4,733",25.51,"2,523",27.55,497,11.69,"1,074",10.61,66,-20.48,509,89.22,64,156.00,"15,117",53.52,"5,594",29.01,583,-2.67,"7,517",81.13,"1,389",104.87,34,-59.52,157,--,"352,729",19.90
2010M03,"19,274",30.57,"4,671",28.50,"2,561",20.23,494,18.47,"1,110",56.78,65,-35.00,378,44.83,63,231.58,"14,603",31.25,"5,765",9.35,581,-17.47,"6,981",60.04,"1,205",67.13,71,5.97,110,--,"355,035",18.30
2010M04,"20,785",40.16,"5,200",39.52,"2,899",40.46,671,41.26,"1,057",28.43,81,-13.83,450,85.95,42,44.83,"15,585",40.38,"6,326",25.04,782,15.68,"7,048",51.90,"1,397",106.96,32,-38.46,-28,--,"357,557",17.36
2010M05,"22,529",28.03,"5,246",5.87,"2,969",3.41,664,13.70,935,-4.98,108,16.13,468,32.58,102,45.71,"17,283",36.71,"7,335",39.13,638,-17.57,"7,959",41.72,"1,265",47.44,86,-29.51,284,--,"360,123",15.19
2010M06,"19,148",19.99,"4,875",14.60,"2,755",14.60,508,14.41,"1,160",21.98,84,3.70,328,0.61,40,-16.67,"14,273",21.95,"5,321",1.78,562,-0.71,"7,357",46.12,"1,015",23.78,18,-67.27,319,--,"362,378",14.11
2010M07,"19,529",28.15,"4,785",20.77,"2,536",10.84,532,24.88,"1,273",59.52,69,-1.43,327,2.83,48,-22.58,"14,744",30.74,"5,689",27.93,472,-29.13,"7,490",46.32,"1,065",13.06,28,-72.82,93,--,"370,108",15.26
2010M08,"20,152",20.61,"4,652",11.08,"2,478",19.31,482,-8.19,"1,290",18.46,65,-14.47,312,-10.60,25,-65.28,"15,500",23.79,"6,052",28.60,598,-4.78,"7,435",24.08,"1,400",19.76,15,-42.31,344,--,"372,063",14.33
2010M09,"21,126",18.94,"5,056",18.80,"2,743",14.87,545,2.44,"1,346",58.54,72,4.35,320,-12.57,30,-42.31,"16,070",18.98,"6,081",15.70,674,3.22,"7,687",22.04,"1,601",29.11,27,-53.45,22,--,"380,505",14.53
2010M10,"21,072",10.49,"5,285",14.39,"3,057",15.53,520,0.00,"1,245",29.42,59,-24.36,298,-21.37,106,202.86,"15,787",9.24,"6,208",11.27,608,-0.82,"7,452",6.35,"1,476",22.08,43,-2.27,190,--,"383,835",12.49
2010M11,"20,030",6.52,"5,177",12.74,"2,993",20.30,445,-9.92,"1,285",19.09,59,-25.32,301,-22.22,94,44.62,"14,853",4.51,"5,834",10.68,577,-7.97,"6,923",-2.00,"1,487",23.30,32,-27.27,483,--,"379,257",9.24
2010M12,"18,993",15.28,"4,969",10.82,"2,656",-0.08,486,-7.78,"1,548",74.92,68,-4.23,195,-35.43,16,-60.98,"14,024",16.94,"4,757",16.79,517,18.85,"7,536",13.29,"1,186",45.70,28,55.56,118,--,"382,005",9.71
2011M01,"23,023",13.45,"5,470",14.46,"2,797",6.07,546,-0.36,"1,622",54.04,90,21.62,370,-7.50,45,-32.84,"17,553",13.14,"7,185",14.27,596,-25.87,"8,163",16.70,"1,549",10.25,60,172.73,180,--,"387,111",10.38
2011M02,"24,055",21.18,"6,088",28.63,"3,257",29.09,678,36.42,"1,678",56.24,90,36.36,330,-35.17,55,-14.06,"17,967",18.85,"7,663",36.99,642,10.12,"8,098",7.73,"1,516",9.14,48,41.18,364,--,"390,690",10.76
2011M03,"22,486",16.66,"5,770",23.53,"3,018",17.84,508,2.83,"1,726",55.50,82,26.15,342,-9.52,94,49.21,"16,716",14.47,"6,994",21.32,623,7.23,"7,486",7.23,"1,561",29.54,52,-26.76,70,--,"392,626",10.59
2011M04,"24,163",16.25,"6,278",20.73,"3,302",13.90,756,12.67,"1,703",61.12,74,-8.64,388,-13.78,55,30.95,"17,885",14.76,"7,337",15.98,917,17.26,"7,924",12.43,"1,670",19.54,37,15.63,112,--,"399,541",11.74
2011M05,"24,401",8.31,"6,269",19.50,"3,440",15.86,618,-6.93,"1,691",80.86,63,-41.67,417,-10.90,40,-60.78,"18,132",4.91,"8,075",10.09,666,4.39,"7,392",-7.12,"1,957",54.70,42,-51.16,298,--,"398,683",10.71
2011M06,"25,832",34.91,"6,882",41.17,"3,931",42.69,584,14.96,"1,855",59.91,71,-15.48,380,15.85,61,52.50,"18,950",32.77,"7,743",45.52,655,16.55,"8,552",16.24,"1,935",90.64,65,261.11,248,--,"400,326",10.47
2011M07,"24,477",25.34,"6,564",37.18,"3,673",44.83,572,7.52,"1,772",39.20,65,-5.80,426,30.28,56,16.67,"17,913",21.49,"7,369",29.53,"1,111",135.38,"7,320",-2.27,"2,073",94.65,40,42.86,443,--,"400,766",8.28
2011M08,"27,548",36.70,"7,529",61.84,"4,664",88.22,695,44.19,"1,558",20.78,66,1.54,476,52.56,70,180.00,"20,019",29.15,"7,787",28.67,"1,404",134.78,"8,685",16.81,"2,070",47.86,73,386.67,257,--,"400,294",7.59
2011M09,"26,728",26.52,"6,391",26.40,"3,017",9.99,720,32.11,"2,109",56.69,77,6.94,441,37.81,27,-10.00,"20,337",26.55,"7,594",24.88,"1,864",176.56,"8,970",16.69,"1,863",16.36,46,70.37,551,--,"389,174",2.28
2011M10,"25,996",23.37,"5,972",13.00,"2,633",-13.87,624,20.00,"2,165",73.90,93,57.63,418,40.27,39,-63.21,"20,024",26.84,"7,161",15.35,"2,007",230.10,"9,097",22.07,"1,739",17.82,20,-53.49,399,--,"393,327",2.47
2011M11,"22,518",12.42,"5,893",13.83,"2,863",-4.34,497,11.69,"2,056",60.00,79,33.90,345,14.62,53,-43.62,"16,625",11.93,"5,935",1.73,"1,368",137.09,"7,631",10.23,"1,660",11.63,31,-3.13,488,--,"387,968",2.30
2011M12,"18,803",-1.00,"5,523",11.15,"2,833",6.66,429,-11.73,"1,836",18.60,73,7.35,337,72.82,15,-6.25,"13,280",-5.31,"3,850",-19.07,907,75.44,"7,297",-3.17,"1,178",-0.67,48,71.43,269,--,"385,547",0.93
2012M01,"23,883",3.74,"6,255",14.35,"3,174",13.48,641,17.40,"1,786",10.11,103,14.44,517,39.73,34,-24.44,"17,628",0.43,"5,771",-19.68,"1,285",115.60,"8,495",4.07,"1,991",28.53,86,43.33,257,--,"390,304",0.82
2012M02,"24,644",2.45,"6,637",9.02,"3,413",4.79,585,-13.72,"2,048",22.05,107,18.89,427,29.39,57,3.64,"18,007",0.22,"6,500",-15.18,"1,192",85.67,"8,486",4.79,"1,735",14.45,94,95.83,396,--,"394,426",0.96
2012M03,"23,113",2.79,"5,918",2.56,"3,020",0.07,503,-0.98,"1,808",4.75,87,6.10,427,24.85,73,-22.34,"17,195",2.87,"6,208",-11.24,"1,202",92.94,"7,542",0.75,"2,080",33.25,163,213.46,405,--,"393,871",0.32
2012M04,"23,622",-2.24,"5,771",-8.08,"2,690",-18.53,604,-20.11,"1,833",7.63,89,20.27,452,16.49,103,87.27,"17,851",-0.19,"5,705",-22.24,"1,377",50.16,"8,478",6.99,"2,209",32.28,82,121.62,112,--,"395,072",-1.12
2012M05,"26,139",7.12,"6,476",3.30,"3,348",-2.67,548,-11.33,"1,919",13.48,67,6.35,552,32.37,42,5.00,"19,663",8.44,"6,657",-17.56,"1,391",108.86,"9,053",22.47,"2,505",28.00,57,35.71,509,--,"389,275",-2.36
2012M06,"24,167",-6.45,"6,461",-6.12,"3,290",-16.31,521,-10.79,"2,025",9.16,83,16.90,498,31.05,44,-27.87,"17,706",-6.56,"6,371",-17.72,"1,190",81.68,"8,112",-5.14,"1,967",1.65,66,1.54,403,--,"391,235",-2.27
2012M07,"23,027",-5.92,"5,871",-10.56,"2,886",-21.43,501,-12.41,"1,921",8.41,74,13.85,438,2.82,51,-8.93,"17,156",-4.23,"5,690",-22.78,"1,475",32.76,"7,922",8.22,"2,010",-3.04,59,47.50,435,--,"391,108",-2.41
2012M08,"22,391",-18.72,"6,303",-16.28,"3,013",-35.40,569,-18.13,"2,174",39.54,80,21.21,439,-7.77,28,-60.00,"16,088",-19.64,"5,244",-32.66,817,-41.81,"7,943",-8.54,"2,043",-1.30,41,-43.84,448,--,"394,226",-1.52
2012M09,"24,529",-8.23,"7,099",11.08,"3,573",18.43,647,-10.14,"2,222",5.36,64,-16.88,563,27.66,30,11.11,"17,430",-14.29,"5,945",-21.71,846,-54.61,"8,452",-5.77,"2,121",13.85,66,43.48,398,--,"397,954",2.26
2012M10,"22,718",-12.61,"6,087",1.93,"2,959",12.38,524,-16.03,"1,933",-10.72,66,-29.03,580,38.76,25,-35.90,"16,631",-16.94,"5,228",-26.99,723,-63.98,"8,427",-7.37,"2,171",24.84,82,310.00,182,--,"399,216",1.50
2012M11,"22,086",-1.92,"6,193",5.09,"3,110",8.63,540,8.65,"2,007",-2.38,57,-27.85,457,32.46,22,-58.49,"15,893",-4.40,"5,213",-12.17,663,-51.54,"8,009",4.95,"1,934",16.51,74,138.71,371,--,"400,956",3.35
2012M12,"20,581",9.46,"6,473",17.20,"3,539",24.92,504,17.48,"1,994",8.61,55,-24.66,359,6.53,22,46.67,"14,108",6.23,"4,665",21.17,611,-32.64,"7,358",0.84,"1,399",18.76,75,56.25,146,--,"403,169",4.57
2013M01,"29,349",22.89,"7,342",17.38,"3,778",19.03,624,-2.65,"2,155",20.66,92,-10.68,663,28.24,30,-11.76,"22,007",24.84,"7,795",35.07,880,-31.52,"9,299",9.46,"3,945",98.14,88,2.33,583,--,"406,557",4.16
2013M02,"32,752",32.90,"7,762",16.95,"4,043",18.46,671,14.70,"2,165",5.71,103,-3.74,740,73.30,40,-29.82,"24,990",38.78,"9,118",40.28,876,-26.51,"10,860",27.98,"4,052",133.54,84,-10.64,521,...,"404,080",2.45
2013M03,"28,253",22.24,"7,105",20.06,"3,574",18.34,649,29.03,"2,064",14.16,82,-5.75,708,65.81,28,-61.64,"21,148",22.99,"7,093",14.26,730,-39.27,"9,817",30.16,"3,413",64.09,95,-41.72,450,...,"401,890",2.04
2013M04,"29,144",23.38,"7,191",24.61,"3,250",20.82,754,24.83,"2,240",22.20,100,12.36,822,81.86,25,-75.73,"21,953",22.98,"7,621",33.58,845,-38.63,"9,645",13.77,"3,617",63.74,225,174.39,221,...,"405,194",2.56
2013M05,"33,585",28.49,"7,747",19.63,"3,906",16.67,797,45.44,"2,102",9.54,94,40.30,826,49.64,22,-47.62,"25,838",31.40,"8,676",30.33,"1,069",-23.15,"10,970",21.18,"5,067",102.28,56,-1.75,743,...,"406,616",4.45
2013M06,"31,529",30.46,"7,755",20.03,"3,936",19.64,783,50.29,"2,247",10.96,122,46.99,637,27.91,30,-31.82,"23,774",34.27,"8,617",35.25,998,-16.13,"10,653",31.32,"3,416",73.67,90,36.36,560,...,"406,606",3.93
2013M07,"27,884",21.09,"6,846",16.61,"3,547",22.90,574,14.57,"1,905",-0.83,94,27.03,623,42.24,103,101.96,"21,038",22.63,"6,894",21.16,715,-51.53,"10,114",27.67,"3,244",61.39,71,20.34,551,...,"409,118",4.60
2013M08,"28,352",26.62,"6,576",4.33,"2,998",-0.50,641,12.65,"2,119",-2.53,99,23.75,669,52.39,50,78.57,"21,776",35.36,"6,662",27.04,822,0.61,"10,330",30.05,"3,892",90.50,70,70.73,341,...,"409,388",3.85
2013M09,"28,083",14.49,"7,146",0.66,"3,411",-4.53,668,3.25,"2,117",-4.73,81,26.56,847,50.44,22,-26.67,"20,937",20.12,"6,591",10.87,895,5.79,"8,951",5.90,"4,433",109.01,67,1.52,405,...,"412,611",3.68
2013M10,"27,558",21.30,"6,682",9.77,"3,256",10.04,608,16.03,"2,111",9.21,75,13.64,598,3.10,34,36.00,"20,876",25.52,"6,606",26.36,776,7.33,"9,601",13.93,"3,808",75.40,85,3.66,314,...,"415,601",4.10
2013M11,"27,378",23.96,"6,996",12.97,"3,237",4.08,690,27.78,"2,430",21.08,69,21.05,530,15.97,40,81.82,"20,382",28.25,"6,842",31.25,859,29.56,"9,374",17.04,"3,197",65.31,110,48.65,356,...,"415,559",3.64
2013M12,"24,716",20.09,"7,200",11.23,"3,783",6.89,598,18.65,"2,355",18.10,50,-9.09,354,-1.39,60,172.73,"17,516",24.16,"5,370",15.11,597,-2.29,"9,469",28.69,"2,011",43.75,69,-8.00,355,...,"416,811",3.38
2014M01,"38,940",32.68,"9,090",23.81,"3,876",2.59,874,40.06,"2,576",19.54,70,-23.91,"1,652",149.17,42,40.00,"29,850",35.64,"8,240",5.71,840,-4.55,"10,449",12.37,"10,267",160.25,54,-38.64,545,...,"416,935",2.55
2014M02,"36,798",12.35,"8,640",11.31,"3,669",-9.25,896,33.53,"2,833",30.85,57,-44.66,"1,122",51.62,63,57.50,"28,158",12.68,"7,987",-12.40,"1,047",19.52,"11,980",10.31,"7,037",73.67,107,27.38,429,...,"417,978",3.44
2014M03,"31,962",13.13,"8,206",15.50,"3,912",9.46,854,31.59,"2,537",22.92,100,21.95,732,3.39,71,153.57,"23,756",12.33,"7,261",2.37,849,16.30,"12,035",22.59,"3,515",2.99,96,1.05,440,...,"419,199",4.31
2014M04,"30,200",3.62,"7,462",3.77,"3,455",6.31,819,8.62,"2,410",7.59,78,-22.00,637,-22.51,63,152.00,"22,738",3.58,"6,574",-13.74,887,4.97,"12,446",29.04,"2,780",-23.14,51,-77.33,453,...,"421,495",4.02
2014M05,"26,550",-20.95,"6,900",-10.93,"3,300",-15.51,641,-19.57,"2,400",14.18,96,2.13,385,-53.39,78,254.55,"19,650",-23.95,"6,141",-29.22,771,-27.88,"11,028",0.53,"1,626",-67.91,84,50.00,362,...,"421,651",3.70
2014M06,"27,819",-11.77,"7,253",-6.47,"3,621",-8.00,636,-18.77,"2,458",9.39,65,-46.72,405,-36.42,68,126.67,"20,566",-13.49,"6,590",-23.52,736,-26.25,"10,998",3.24,"2,124",-37.82,118,31.11,218,...,"423,454",4.14
