期間,合計_原始值,合計_年增率(%),貼現_原始值,貼現_年增率(%),進口押匯_原始值,進口押匯_年增率(%),短期放款與透支-計_原始值,短期放款與透支-計_年增率(%),短期放款與透支-無擔保_原始值,短期放款與透支-無擔保_年增率(%),短期放款與透支-擔保_原始值,短期放款與透支-擔保_年增率(%),中長期放款-計_原始值,中長期放款-計_年增率(%),中長期放款-無擔保_原始值,中長期放款-無擔保_年增率(%),中長期放款-擔保_原始值,中長期放款-擔保_年增率(%)
1997M01,"9,560,611",29.36,"2,992",-31.49,"2,961",204.63,"3,192,003",32.33,"1,594,588",40.09,"1,597,415",25.40,"6,362,655",27.94,"1,580,013",17.75,"4,782,642",31.71
1997M02,"9,616,801",28.71,"2,604",-10.70,"1,994",80.78,"3,238,343",31.67,"1,582,041",35.33,"1,656,302",28.36,"6,373,860",27.27,"1,587,601",18.15,"4,786,259",30.62
1997M03,"9,646,178",28.39,"2,741",-38.64,"2,570",139.52,"3,233,492",31.42,"1,587,000",35.06,"1,646,492",28.09,"6,407,375",26.95,"1,601,178",19.05,"4,806,197",29.83
1997M04,"9,725,605",29.29,"4,699",18.84,"2,874",168.60,"3,268,310",33.72,"1,591,279",35.75,"1,677,031",31.85,"6,449,722",27.13,"1,614,380",20.23,"4,835,342",29.62
1997M05,"9,780,015",30.04,"2,501",-11.78,"2,167",48.63,"3,281,637",36.03,"1,631,324",41.76,"1,650,313",30.81,"6,493,710",27.22,"1,632,494",20.21,"4,861,216",29.77
1997M06,"10,097,095",31.81,"2,696",33.73,"2,657",189.75,"3,542,040",43.55,"1,701,521",42.50,"1,840,519",44.54,"6,549,702",26.20,"1,650,826",20.12,"4,898,876",28.39
1997M07,"10,164,306",33.68,"2,601",41.28,"2,729",135.66,"3,509,990",44.67,"1,695,101",43.35,"1,814,889",45.91,"6,648,986",28.50,"1,709,302",24.59,"4,939,684",29.91
1997M08,"10,345,190",35.12,"2,461",36.49,"2,184",174.72,"3,637,064",48.00,"1,751,384",45.90,"1,885,680",50.00,"6,703,481",29.01,"1,727,789",24.92,"4,975,692",30.49
1997M09,"10,596,434",37.70,"2,483",20.89,"2,554",150.39,"3,710,190",50.75,"1,776,742",49.07,"1,933,448",52.33,"6,881,207",31.55,"1,769,961",28.11,"5,111,246",32.78
1997M10,"10,597,399",37.96,"2,238",33.93,"2,746",194.95,"3,654,190",49.51,"1,759,887",48.03,"1,894,303",50.91,"6,938,225",32.54,"1,778,489",29.03,"5,159,736",33.79
1997M11,"10,793,820",39.27,"2,142",11.33,"2,332",184.04,"3,784,294",51.68,"1,850,815",50.83,"1,933,479",52.50,"7,005,052",33.36,"1,841,474",34.07,"5,163,578",33.10
1997M12,"11,003,565",39.96,"2,115",-6.50,"2,542",178.12,"3,881,247",51.01,"1,881,176",48.71,"2,000,071",53.24,"7,117,661",34.59,"1,867,838",36.18,"5,249,823",34.04
1998M01,"11,320,515",18.41,"1,901",-36.46,"3,120",5.37,"4,086,650",28.03,"2,031,359",27.39,"2,055,291",28.66,"7,228,844",13.61,"1,919,329",21.48,"5,309,515",11.02
1998M02,"11,161,480",16.06,"1,506",-42.17,"2,992",50.05,"3,946,509",21.87,"1,946,390",23.03,"2,000,119",20.76,"7,210,473",13.13,"1,910,562",20.34,"5,299,911",10.73
1998M03,"11,190,251",16.01,"1,551",-43.41,"3,199",24.47,"3,937,612",21.78,"1,941,385",22.33,"1,996,227",21.24,"7,247,889",13.12,"1,913,714",19.52,"5,334,175",10.99
1998M04,"11,139,875",14.54,"1,572",-66.55,"2,937",2.19,"3,862,011",18.17,"1,866,822",17.32,"1,995,189",18.97,"7,273,355",12.77,"1,918,909",18.86,"5,354,446",10.74
1998M05,"11,202,507",14.54,"1,483",-40.70,"3,296",52.10,"3,854,285",17.45,"1,865,098",14.33,"1,989,187",20.53,"7,343,443",13.09,"1,963,578",20.28,"5,379,865",10.67
1998M06,"11,397,214",12.88,"1,394",-48.29,"2,783",4.74,"3,965,092",11.94,"1,832,404",7.69,"2,132,688",15.87,"7,427,945",13.41,"1,983,067",20.13,"5,444,878",11.15
1998M07,"11,347,881",11.64,"1,468",-43.56,"2,857",4.69,"3,902,028",11.17,"1,882,400",11.05,"2,019,628",11.28,"7,441,528",11.92,"1,984,907",16.12,"5,456,621",10.46
1998M08,"11,396,391",10.16,"1,420",-42.30,"3,048",39.56,"3,907,160",7.43,"1,880,445",7.37,"2,026,715",7.48,"7,484,763",11.65,"2,006,815",16.15,"5,477,948",10.09
1998M09,"11,522,502",8.74,"1,490",-39.99,"2,766",8.30,"3,938,793",6.16,"1,905,839",7.27,"2,032,954",5.15,"7,579,453",10.15,"2,070,846",17.00,"5,508,607",7.77
1998M10,"11,483,241",8.36,"1,461",-34.72,"6,126",123.09,"3,865,944",5.79,"1,870,400",6.28,"1,995,544",5.34,"7,609,710",9.68,"2,087,225",17.36,"5,522,485",7.03
1998M11,"11,739,603",8.76,"3,351",56.44,"5,795",148.50,"4,014,083",6.07,"1,988,605",7.44,"2,025,478",4.76,"7,716,374",10.15,"2,112,138",14.70,"5,604,236",8.53
1998M12,"11,795,818",7.20,908,-57.07,"4,809",89.18,"4,021,296",3.61,"1,966,675",4.54,"2,054,621",2.73,"7,768,805",9.15,"2,136,600",14.39,"5,632,205",7.28
1999M01,"11,874,471",4.89,"1,568",-17.52,"2,170",-30.45,"3,958,538",-3.13,"1,947,998",-4.10,"2,010,540",-2.18,"7,912,195",9.45,"2,195,833",14.41,"5,716,362",7.66
1999M02,"11,930,902",6.89,"2,950",95.88,"2,329",-22.16,"3,996,487",1.27,"1,998,848",2.70,"1,997,639",-0.12,"7,929,136",9.97,"2,200,102",15.15,"5,729,034",8.10
1999M03,"11,936,100",6.67,"3,172",104.51,"2,239",-30.01,"3,973,957",0.92,"1,981,757",2.08,"1,992,200",-0.20,"7,956,732",9.78,"2,214,293",15.71,"5,742,439",7.65
1999M04,"11,982,558",7.56,"3,002",90.97,"2,584",-12.02,"3,979,981",3.05,"1,991,769",6.69,"1,988,212",-0.35,"7,996,991",9.95,"2,241,917",16.83,"5,755,074",7.48
1999M05,"12,023,596",7.33,"3,154",112.68,"2,819",-14.47,"3,996,539",3.69,"2,016,656",8.13,"1,979,883",-0.47,"8,021,084",9.23,"2,259,635",15.08,"5,761,449",7.09
1999M06,"12,270,650",7.66,"1,956",40.32,"2,779",-0.14,"4,129,000",4.13,"2,085,978",13.84,"2,043,022",-4.20,"8,136,915",9.54,"2,326,017",17.29,"5,810,898",6.72
1999M07,"12,188,569",7.41,"2,170",47.82,"2,519",-11.83,"4,059,046",4.02,"2,062,920",9.59,"1,996,126",-1.16,"8,124,834",9.18,"2,324,096",17.09,"5,800,738",6.31
1999M08,"12,139,604",6.52,"2,134",50.28,"2,493",-18.21,"4,005,824",2.53,"2,038,147",8.39,"1,967,677",-2.91,"8,129,153",8.61,"2,303,119",14.76,"5,826,034",6.35
1999M09,"12,247,407",6.29,"1,738",16.64,"2,302",-16.78,"4,099,063",4.07,"2,102,832",10.34,"1,996,231",-1.81,"8,144,304",7.45,"2,306,233",11.37,"5,838,071",5.98
1999M10,"12,195,975",6.21,"1,750",19.78,"2,670",-56.42,"4,049,615",4.75,"2,082,478",11.34,"1,967,137",-1.42,"8,141,940",6.99,"2,312,729",10.80,"5,829,211",5.55
1999M11,"12,345,489",5.16,"1,670",-50.16,"2,959",-48.94,"4,167,884",3.83,"2,187,892",10.02,"1,979,992",-2.25,"8,172,976",5.92,"2,339,605",10.77,"5,833,371",4.09
1999M12,"12,537,233",6.29,"1,708",88.11,"2,383",-50.45,"4,229,387",5.17,"2,214,375",12.59,"2,015,012",-1.93,"8,303,755",6.89,"2,395,696",12.13,"5,908,059",4.90
2000M01,"12,585,364",5.99,"2,040",30.10,"2,091",-3.64,"4,231,785",6.90,"2,247,066",15.35,"1,984,719",-1.28,"8,349,448",5.53,"2,446,568",11.42,"5,902,880",3.26
2000M02,"12,589,621",5.52,"1,677",-43.15,"2,571",10.39,"4,217,189",5.52,"2,229,460",11.54,"1,987,729",-0.50,"8,368,184",5.54,"2,482,809",12.85,"5,885,375",2.73
2000M03,"12,677,528",6.21,"1,751",-44.80,"2,412",7.73,"4,260,677",7.21,"2,257,421",13.91,"2,003,256",0.55,"8,412,688",5.73,"2,517,904",13.71,"5,894,784",2.65
