期間,遷入-合計_原始值,遷入-合計_年增率(%),遷入-自外國_原始值,遷入-自外國_年增率(%),遷入-新北市_原始值,遷入-新北市_年增率(%),遷入-臺北市_原始值,遷入-臺北市_年增率(%),遷入-臺中市_原始值,遷入-臺中市_年增率(%),遷入-臺南市_原始值,遷入-臺南市_年增率(%),遷入-高雄市_原始值,遷入-高雄市_年增率(%),遷入-臺灣省_原始值,遷入-臺灣省_年增率(%),遷入-福建省_原始值,遷入-福建省_年增率(%),遷入-其他省市_原始值,遷入-其他省市_年增率(%),遷入-自本省他縣市_原始值,遷入-自本省他縣市_年增率(%),遷入-自本縣市他鄉鎮市區_原始值,遷入-自本縣市他鄉鎮市區_年增率(%),遷入-初設戶籍_原始值,遷入-初設戶籍_年增率(%),遷入-其他_原始值,遷入-其他_年增率(%),遷出-合計_原始值,遷出-合計_年增率(%),遷出-往外國_原始值,遷出-往外國_年增率(%),遷出-新北市_原始值,遷出-新北市_年增率(%),遷出-臺北市_原始值,遷出-臺北市_年增率(%),遷出-臺中市_原始值,遷出-臺中市_年增率(%),遷出-臺南市_原始值,遷出-臺南市_年增率(%),遷出-高雄市_原始值,遷出-高雄市_年增率(%),遷出-臺灣省_原始值,遷出-臺灣省_年增率(%),遷出-福建省_原始值,遷出-福建省_年增率(%),遷出-其他省市_原始值,遷出-其他省市_年增率(%),遷出-自本省他縣市_原始值,遷出-自本省他縣市_年增率(%),遷出-自本縣市他鄉鎮市區_原始值,遷出-自本縣市他鄉鎮市區_年增率(%),遷出-廢止戶籍_原始值,遷出-廢止戶籍_年增率(%),遷出-其他_原始值,遷出-其他_年增率(%),鄉鎮區內住址變更人數 -遷入_原始值,鄉鎮區內住址變更人數 -遷入_年增率(%),鄉鎮區內住址變更人數 -遷出_原始值,鄉鎮區內住址變更人數 -遷出_年增率(%),淨遷入_原始值,淨遷入_年增率(%)
2000M01,"101,658",...,"2,061",...,-,--,"7,081",...,-,--,-,--,"3,828",...,"10,917",...,134,...,3,...,"32,365",...,"44,182",...,"1,073",...,14,...,"100,369",...,"1,875",...,-,--,"7,169",...,-,--,-,--,"4,053",...,"10,567",...,165,...,0,...,"32,330",...,"44,183",...,10,...,17,...,"50,669",...,"50,669",...,"1,289",-
2000M02,"107,621",...,"2,159",...,-,--,"7,280",...,-,--,-,--,"4,319",...,"11,846",...,229,...,0,...,"37,807",...,"42,940",...,"1,006",...,35,...,"105,545",...,"1,122",...,-,--,"7,416",...,-,--,-,--,"4,856",...,"11,154",...,247,...,0,...,"37,779",...,"42,947",...,9,...,15,...,"46,509",...,"46,509",...,"2,076",-
2000M03,"118,796",...,"3,096",...,-,--,"8,663",...,-,--,-,--,"4,576",...,"12,087",...,171,...,1,...,"37,314",...,"51,467",...,"1,403",...,18,...,"117,700",...,"3,279",...,-,--,"7,693",...,-,--,-,--,"4,770",...,"12,874",...,197,...,0,...,"37,337",...,"51,486",...,18,...,46,...,"63,435",...,"63,435",...,"1,096",-
2000M04,"111,002",...,"2,016",...,-,--,"8,472",...,-,--,-,--,"4,287",...,"11,884",...,143,...,0,...,"35,648",...,"47,317",...,"1,218",...,17,...,"111,209",...,"3,004",...,-,--,"7,729",...,-,--,-,--,"4,631",...,"12,342",...,200,...,0,...,"35,711",...,"47,372",...,15,...,205,...,"54,441",...,"54,441",...,-207,-
2000M05,"126,095",...,"2,004",...,-,--,"10,190",...,-,--,-,--,"4,749",...,"14,164",...,163,...,1,...,"38,684",...,"54,755",...,"1,377",...,8,...,"127,135",...,"4,241",...,-,--,"9,096",...,-,--,-,--,"5,434",...,"14,507",...,224,...,0,...,"38,679",...,"54,761",...,21,...,172,...,"63,928",...,"63,928",...,"-1,040",-
2000M06,"137,778",...,"2,220",...,-,--,"10,960",...,-,--,-,--,"4,824",...,"14,390",...,174,...,0,...,"43,284",...,"60,553",...,"1,352",...,21,...,"137,804",...,"3,494",...,-,--,"9,393",...,-,--,-,--,"5,430",...,"15,291",...,221,...,0,...,"43,279",...,"60,621",...,14,...,61,...,"68,269",...,"68,269",...,-26,-
2000M07,"114,222",...,"2,648",...,-,--,"9,437",...,-,--,-,--,"4,436",...,"12,450",...,174,...,4,...,"35,560",...,"47,877",...,"1,618",...,18,...,"112,980",...,"3,017",...,-,--,"8,275",...,-,--,-,--,"4,700",...,"13,345",...,211,...,0,...,"35,508",...,"47,877",...,12,...,35,...,"53,721",...,"53,721",...,"1,242",-
2000M08,"128,499",...,"2,370",...,-,--,"10,566",...,-,--,-,--,"5,106",...,"13,522",...,207,...,3,...,"43,186",...,"51,727",...,"1,803",...,9,...,"129,683",...,"5,321",...,-,--,"8,186",...,-,--,-,--,"5,707",...,"15,099",...,370,...,0,...,"43,124",...,"51,722",...,11,...,143,...,"55,697",...,"55,697",...,"-1,184",-
2000M09,"117,010",...,"1,938",...,-,--,"9,486",...,-,--,-,--,"4,524",...,"11,823",...,138,...,3,...,"35,340",...,"51,876",...,"1,772",...,110,...,"118,304",...,"4,998",...,-,--,"7,427",...,-,--,-,--,"4,663",...,"13,674",...,226,...,0,...,"35,349",...,"51,841",...,19,...,107,...,"63,436",...,"63,436",...,"-1,294",-
2000M10,"102,726",...,"1,737",...,-,--,"8,232",...,-,--,-,--,"4,160",...,"10,782",...,143,...,2,...,"31,211",...,"44,824",...,"1,615",...,20,...,"102,535",...,"3,145",...,-,--,"6,562",...,-,--,-,--,"4,302",...,"12,050",...,395,...,2,...,"31,200",...,"44,836",...,24,...,19,...,"53,882",...,"53,882",...,191,-
2000M11,"102,936",...,"2,024",...,-,--,"7,647",...,-,--,-,--,"4,104",...,"10,529",...,124,...,0,...,"30,895",...,"46,259",...,"1,339",...,15,...,"102,363",...,"2,832",...,-,--,"6,127",...,-,--,-,--,"4,351",...,"11,439",...,478,...,0,...,"30,864",...,"46,245",...,13,...,14,...,"53,134",...,"53,134",...,573,-
2000M12,"113,500",...,"3,088",...,-,--,"9,456",...,-,--,-,--,"4,557",...,"11,583",...,110,...,0,...,"33,155",...,"50,179",...,"1,365",...,7,...,"111,285",...,"2,346",...,-,--,"6,935",...,-,--,-,--,"4,495",...,"13,538",...,637,...,0,...,"33,143",...,"50,152",...,23,...,16,...,"58,383",...,"58,383",...,"2,215",-
2001M01,"95,958",-5.61,"2,325",12.81,-,--,"6,902",-2.53,-,--,-,--,"3,931",2.69,"10,445",-4.32,85,-36.57,0,-100.00,"30,011",-7.27,"41,233",-6.67,"1,019",-5.03,7,-50.00,"95,357",-4.99,"2,758",47.09,-,--,"6,013",-16.12,-,--,-,--,"4,241",4.64,"10,362",-1.94,730,342.42,0,--,"29,997",-7.22,"41,214",-6.72,20,100.00,22,29.41,"44,553",-12.07,"44,553",-12.07,601,-
2001M02,"121,645",13.03,"1,799",-16.67,-,--,"8,715",19.71,-,--,-,--,"4,964",14.93,"12,942",9.25,145,-36.68,0,--,"41,171",8.90,"50,798",18.30,"1,105",9.84,6,-82.86,"123,330",16.85,"4,546",305.17,-,--,"7,468",0.70,-,--,-,--,"5,483",12.91,"13,263",18.91,583,136.03,0,--,"41,147",8.92,"50,809",18.31,19,111.11,12,-20.00,"54,201",16.54,"54,201",16.54,"-1,685",-
2001M03,"117,490",-1.10,"1,974",-36.24,-,--,"9,568",10.45,-,--,-,--,"4,588",0.26,"12,216",1.07,155,-9.36,3,200.00,"35,746",-4.20,"51,847",0.74,"1,379",-1.71,14,-22.22,"118,567",0.74,"4,449",35.68,-,--,"7,671",-0.29,-,--,-,--,"4,538",-4.86,"13,791",7.12,490,148.73,0,--,"35,730",-4.30,"51,840",0.69,36,100.00,22,-52.17,"58,935",-7.09,"58,935",-7.09,"-1,077",-
2001M04,"107,842",-2.85,"2,150",6.65,-,--,"8,609",1.62,-,--,-,--,"4,445",3.69,"11,184",-5.89,128,-10.49,2,--,"33,723",-5.40,"46,392",-1.95,"1,202",-1.31,7,-58.82,"108,300",-2.62,"3,726",24.03,-,--,"6,761",-12.52,-,--,-,--,"4,259",-8.03,"12,656",2.54,688,244.00,0,--,"33,747",-5.50,"46,420",-2.01,23,53.33,20,-90.24,"50,829",-6.63,"50,829",-6.63,-458,-
2001M05,"123,489",-2.07,"2,164",7.98,-,--,"10,083",-1.05,-,--,-,--,"5,075",6.86,"12,616",-10.93,164,0.61,2,100.00,"38,718",0.09,"53,398",-2.48,"1,261",-8.42,8,0.00,"123,654",-2.74,"3,547",-16.36,-,--,"7,559",-16.90,-,--,-,--,"4,759",-12.42,"14,737",1.59,877,291.52,0,--,"38,707",0.07,"53,414",-2.46,36,71.43,18,-89.53,"57,833",-9.53,"57,833",-9.53,-165,-
2001M06,"128,328",-6.86,"2,244",1.08,-,--,"10,050",-8.30,-,--,-,--,"5,300",9.87,"12,858",-10.65,170,-2.30,1,--,"40,325",-6.84,"56,162",-7.25,"1,210",-10.50,8,-61.90,"127,771",-7.28,"2,915",-16.57,-,--,"8,155",-13.18,-,--,-,--,"4,704",-13.37,"14,988",-1.98,524,137.10,0,--,"40,316",-6.85,"56,118",-7.43,34,142.86,17,-72.13,"60,830",-10.90,"60,830",-10.90,557,-
2001M07,"117,860",3.19,"2,637",-0.42,-,--,"9,745",3.26,-,--,-,--,"5,090",14.74,"12,172",-2.23,197,13.22,7,75.00,"37,121",4.39,"49,433",3.25,"1,388",-14.22,70,288.89,"117,487",3.99,"3,675",21.81,-,--,"7,374",-10.89,-,--,-,--,"4,665",-0.74,"14,337",7.43,814,285.78,0,--,"37,106",4.50,"49,422",3.23,20,66.67,74,111.43,"49,942",-7.03,"49,942",-7.03,373,-
2001M08,"173,225",34.81,"2,467",4.09,-,--,"12,084",14.37,-,--,-,--,"6,252",22.44,"13,850",2.43,243,17.39,2,-33.33,"45,961",6.43,"60,487",16.94,"1,522",-15.59,"30,357","337,200.00","173,972",34.15,"4,700",-11.67,-,--,"8,668",5.89,-,--,-,--,"5,332",-6.57,"17,817",18.00,622,68.11,0,--,"45,959",6.57,"60,469",16.91,29,163.64,"30,376","21,141.96","61,402",10.24,"61,402",10.24,-747,-
2001M09,"87,032",-25.62,"1,343",-30.70,-,--,"6,212",-34.51,-,--,-,--,"4,205",-7.05,"7,682",-35.02,136,-1.45,1,-66.67,"25,820",-26.94,"40,597",-21.74,"1,032",-41.76,4,-96.36,"89,518",-24.33,"4,846",-3.04,-,--,"4,461",-39.94,-,--,-,--,"2,927",-37.23,"10,197",-25.43,640,183.19,0,--,"25,808",-26.99,"40,607",-21.67,18,-5.26,14,-86.92,"44,058",-30.55,"44,058",-30.55,"-2,486",-
2001M10,"88,072",-14.27,"1,768",1.78,-,--,"6,622",-19.56,-,--,-,--,"3,593",-13.63,"8,616",-20.09,187,30.77,0,-100.00,"26,512",-15.06,"39,457",-11.97,"1,306",-19.13,11,-45.00,"88,278",-13.90,"3,233",2.80,-,--,"5,378",-18.04,-,--,-,--,"3,418",-20.55,"9,960",-17.34,258,-34.68,0,-100.00,"26,498",-15.07,"39,470",-11.97,40,66.67,23,21.05,"49,703",-7.76,"49,703",-7.76,-206,-
2001M11,"78,981",-23.27,"1,979",-2.22,-,--,"5,492",-28.18,-,--,-,--,"2,989",-27.17,"7,612",-27.70,168,35.48,2,--,"24,356",-21.17,"35,048",-24.24,"1,316",-1.72,19,26.67,"78,777",-23.04,"3,085",8.93,-,--,"4,626",-24.50,-,--,-,--,"3,128",-28.11,"8,299",-27.45,209,-56.28,0,--,"24,360",-21.07,"35,018",-24.28,31,138.46,21,50.00,"42,848",-19.36,"42,848",-19.36,204,-
2001M12,"133,441",17.57,"2,672",-13.47,-,--,"10,401",9.99,-,--,-,--,"6,213",36.34,"13,944",20.38,295,168.18,1,--,"40,415",21.90,"58,268",16.12,"1,217",-10.84,15,114.29,"132,163",18.76,"2,606",11.08,-,--,"8,166",17.75,-,--,-,--,"6,036",34.28,"16,270",20.18,373,-41.44,0,--,"40,397",21.89,"58,273",16.19,29,26.09,13,-18.75,"70,150",20.15,"70,150",20.15,"1,278",-
2002M01,"136,431",42.18,"2,297",-1.20,-,--,"9,698",40.51,-,--,-,--,"6,495",65.23,"14,901",42.66,275,223.53,4,--,"39,911",32.99,"61,589",49.37,"1,242",21.88,19,171.43,"136,631",43.28,"3,752",36.04,-,--,"7,687",27.84,-,--,-,--,"7,136",68.26,"15,803",52.51,742,1.64,0,--,"39,902",33.02,"61,580",49.42,17,-15.00,12,-45.45,"70,713",58.72,"70,713",58.72,-200,-
2002M02,"144,180",18.53,"1,970",9.51,-,--,"8,248",-5.36,-,--,-,--,"5,843",17.71,"14,081",8.80,286,97.24,8,--,"44,724",8.63,"67,853",33.57,"1,158",4.80,9,50.00,"143,721",16.53,"2,691",-40.81,-,--,"7,010",-6.13,-,--,-,--,"6,676",21.76,"13,838",4.34,929,59.35,0,--,"44,654",8.52,"67,899",33.64,8,-57.89,16,33.33,"74,955",38.29,"74,955",38.29,459,-
2002M03,"120,175",2.29,"2,061",4.41,-,--,"8,304",-13.21,-,--,-,--,"4,232",-7.76,"13,832",13.23,364,134.84,2,-33.33,"37,156",3.94,"52,723",1.69,"1,494",8.34,7,-50.00,"120,768",1.86,"4,117",-7.46,-,--,"8,457",10.25,-,--,-,--,"5,592",23.23,"12,376",-10.26,310,-36.73,0,--,"37,153",3.98,"52,729",1.71,16,-55.56,18,-18.18,"61,167",3.79,"61,167",3.79,-593,-
