期間,合計_原始值,合計_年增率(%),業務_原始值,業務_年增率(%),觀光_原始值,觀光_年增率(%),探親_原始值,探親_年增率(%),會議_原始值,會議_年增率(%),求學_原始值,求學_年增率(%),展覽_原始值,展覽_年增率(%),醫療_原始值,醫療_年增率(%),其他_原始值,其他_年增率(%),未列明_原始值,未列明_年增率(%)
2001M01,"212,103",...,"62,882",...,"70,319",...,"31,908",...,"1,836",...,"1,577",...,-,--,-,--,"8,444",...,"35,137",...
2001M02,"246,509",...,"74,996",...,"91,445",...,"22,303",...,"1,929",...,"6,408",...,-,--,-,--,"8,817",...,"40,611",...
2001M03,"266,176",...,"82,429",...,"101,571",...,"27,819",...,"3,407",...,"1,355",...,-,--,-,--,"8,058",...,"41,537",...
2001M04,"247,999",...,"79,383",...,"86,966",...,"29,049",...,"3,564",...,"1,617",...,-,--,-,--,"9,437",...,"37,983",...
2001M05,"240,696",...,"77,596",...,"82,235",...,"27,140",...,"3,318",...,"1,386",...,-,--,-,--,"10,602",...,"38,419",...
2001M06,"253,597",...,"78,314",...,"88,335",...,"32,106",...,"5,836",...,"1,548",...,-,--,-,--,"8,797",...,"38,661",...
2001M07,"232,608",...,"69,968",...,"83,208",...,"30,583",...,"2,950",...,"2,381",...,-,--,-,--,"8,221",...,"35,297",...
2001M08,"240,704",...,"64,891",...,"93,811",...,"28,529",...,"2,981",...,"2,889",...,-,--,-,--,"9,447",...,"38,156",...
2001M09,"216,500",...,"59,131",...,"83,039",...,"21,610",...,"2,924",...,"4,302",...,-,--,-,--,"8,637",...,"36,857",...
2001M10,"213,603",...,"72,135",...,"71,351",...,"21,910",...,"3,512",...,"1,109",...,-,--,-,--,"7,973",...,"35,613",...
2001M11,"217,828",...,"68,454",...,"74,336",...,"25,056",...,"4,086",...,"1,291",...,-,--,-,--,"6,975",...,"37,630",...
2001M12,"242,712",...,"58,553",...,"94,956",...,"34,821",...,"3,047",...,"1,108",...,-,--,-,--,"7,410",...,"42,817",...
2002M01,"217,600",2.59,"70,343",11.87,"71,567",1.77,"24,585",-22.95,"2,102",14.49,"1,172",-25.68,-,--,-,--,"7,782",-7.84,"40,049",13.98
2002M02,"233,896",-5.12,"56,140",-25.14,"82,286",-10.02,"32,679",46.52,"1,519",-21.25,"5,986",-6.59,-,--,-,--,"8,765",-0.59,"46,521",14.55
2002M03,"281,522",5.77,"75,671",-8.20,"110,494",8.78,"30,817",10.78,"3,336",-2.08,"1,693",24.94,-,--,-,--,"8,514",5.66,"50,997",22.77
2002M04,"245,759",-0.90,"78,783",-0.76,"77,393",-11.01,"27,581",-5.05,"2,874",-19.36,"1,547",-4.33,-,--,-,--,"9,983",5.79,"47,598",25.31
