期間,景氣對策信號(分數)(分)_原始值,景氣對策信號(分數)(分)_年增率(%),貨幣總計數 M1B(十億元)_原始值,貨幣總計數 M1B(十億元)_年增率(%),股價指數(Index 1966=100)_原始值,股價指數(Index 1966=100)_年增率(%),工業生產指數(Index 2011=100)_原始值,工業生產指數(Index 2011=100)_年增率(%),製造業銷售量指數(Index 2011=100)_原始值,製造業銷售量指數(Index 2011=100)_年增率(%),非農業部門就業人數(千人)_原始值,非農業部門就業人數(千人)_年增率(%),海關出口值(十億元)_原始值,海關出口值(十億元)_年增率(%),機械及電機設備進口值(十億元)_原始值,機械及電機設備進口值(十億元)_年增率(%),商業營業額(十億元)_原始值,商業營業額(十億元)_年增率(%)
1960M01,...,-,...,...,...,...,1.32,...,...,...,...,...,0.5,...,...,...,...,...
1960M02,...,-,...,...,...,...,1.31,...,...,...,...,...,0.4,...,...,...,...,...
1960M03,...,-,...,...,...,...,1.33,...,...,...,...,...,0.6,...,...,...,...,...
1960M04,...,-,...,...,...,...,1.17,...,...,...,...,...,0.5,...,...,...,...,...
1960M05,...,-,...,...,...,...,1.19,...,...,...,...,...,0.6,...,...,...,...,...
1960M06,...,-,...,...,...,...,1.13,...,...,...,...,...,0.6,...,...,...,...,...
1960M07,...,-,...,...,...,...,1.23,...,...,...,...,...,0.4,...,...,...,...,...
1960M08,...,-,...,...,...,...,1.19,...,...,...,...,...,0.4,...,...,...,...,...
1960M09,...,-,...,...,...,...,1.14,...,...,...,...,...,0.3,...,...,...,...,...
1960M10,...,-,...,...,...,...,1.24,...,...,...,...,...,0.5,...,...,...,...,...
1960M11,...,-,...,...,...,...,1.38,...,...,...,...,...,0.4,...,...,...,...,...
1960M12,...,-,...,...,...,...,1.59,...,...,...,...,...,0.9,...,...,...,...,...
1961M01,...,-,...,...,...,...,1.70,28.79,...,...,...,...,0.6,17.65,...,...,...,...
1961M02,...,-,...,...,...,...,1.38,5.34,...,...,...,...,0.7,80.49,...,...,...,...
1961M03,...,-,...,...,...,...,1.61,21.05,...,...,...,...,0.6,5.45,...,...,...,...
1961M04,...,-,...,...,...,...,1.50,28.21,...,...,...,...,0.6,25.49,...,...,...,...
1961M05,...,-,...,...,...,...,1.39,16.81,...,...,...,...,0.6,0.00,...,...,...,...
1961M06,...,-,...,...,...,...,1.31,15.93,...,...,...,...,0.8,25.00,...,...,...,...
1961M07,...,-,...,...,...,...,1.34,8.94,...,...,...,...,0.8,113.89,...,...,...,...
1961M08,...,-,...,...,...,...,1.35,13.45,...,...,...,...,0.7,73.17,...,...,...,...
1961M09,...,-,...,...,...,...,1.28,12.28,...,...,...,...,0.6,78.13,...,...,...,...
1961M10,...,-,...,...,...,...,1.44,16.13,...,...,...,...,0.6,35.56,...,...,...,...
1961M11,...,-,...,...,...,...,1.46,5.80,...,...,...,...,0.6,68.42,...,...,...,...
1961M12,...,-,...,...,...,...,1.80,13.21,...,...,...,...,0.7,-23.33,...,...,...,...
1962M01,...,-,...,...,...,...,1.92,12.94,...,...,...,...,0.7,23.33,...,...,...,...
1962M02,...,-,...,...,...,...,1.51,9.42,...,...,...,...,0.5,-31.08,...,...,...,...
1962M03,...,-,...,...,...,...,1.64,1.86,...,...,...,...,0.7,12.07,...,...,...,...
1962M04,...,-,...,...,...,...,1.44,-4.00,...,...,...,...,0.9,46.88,...,...,...,...
1962M05,...,-,...,...,...,...,1.52,9.35,...,...,...,...,0.8,46.43,...,...,...,...
1962M06,...,-,...,...,...,...,1.43,9.16,...,...,...,...,0.7,-9.33,...,...,...,...
1962M07,...,-,...,...,...,...,1.48,10.45,...,...,...,...,0.8,6.49,...,...,...,...
1962M08,...,-,...,...,...,...,1.53,13.33,...,...,...,...,0.8,5.63,...,...,...,...
1962M09,...,-,...,...,...,...,1.37,7.03,...,...,...,...,0.7,21.05,...,...,...,...
1962M10,...,-,...,...,...,...,1.59,10.42,...,...,...,...,0.6,-4.92,...,...,...,...
1962M11,...,-,...,...,...,...,1.59,8.90,...,...,...,...,0.6,-3.13,...,...,...,...
1962M12,...,-,...,...,...,...,1.98,10.00,...,...,...,...,1.0,37.68,...,...,...,...
1963M01,...,-,...,...,...,...,1.83,-4.69,...,...,...,...,0.5,-31.08,...,...,...,...
1963M02,...,-,...,...,...,...,1.82,20.53,...,...,...,...,1.1,105.88,...,...,...,...
1963M03,...,-,...,...,...,...,1.93,17.68,...,...,...,...,0.8,27.69,...,...,...,...
1963M04,...,-,...,...,...,...,1.68,16.67,...,...,...,...,0.8,-14.89,...,...,...,...
1963M05,...,-,...,...,...,...,1.56,2.63,...,...,...,...,1.0,25.61,...,...,...,...
1963M06,...,-,...,...,...,...,1.47,2.80,...,...,...,...,0.6,-14.71,...,...,...,...
1963M07,...,-,...,...,...,...,1.66,12.16,...,...,...,...,2.2,163.41,...,...,...,...
1963M08,...,-,...,...,...,...,1.66,8.50,...,...,...,...,2.0,168.00,...,...,...,...
1963M09,...,-,...,...,...,...,1.53,11.68,...,...,...,...,0.9,24.64,...,...,...,...
1963M10,...,-,...,...,...,...,1.66,4.40,...,...,...,...,1.0,79.31,...,...,...,...
1963M11,...,-,...,...,...,...,1.76,10.69,...,...,...,...,0.8,32.26,...,...,...,...
1963M12,...,-,...,...,...,...,2.14,8.08,...,...,...,...,1.6,68.42,...,...,...,...
1964M01,...,-,...,...,...,...,2.08,13.66,...,...,...,...,1.6,203.92,...,...,...,...
1964M02,...,-,...,...,...,...,1.88,3.30,...,...,...,...,1.1,3.81,...,...,...,...
1964M03,...,-,...,...,...,...,2.18,12.95,...,...,...,...,1.7,106.02,...,...,...,...
1964M04,...,-,...,...,...,...,1.99,18.45,...,...,...,...,1.9,136.25,...,...,...,...
1964M05,...,-,...,...,...,...,1.95,25.00,...,...,...,...,1.5,42.72,...,...,...,...
1964M06,...,-,...,...,...,...,1.89,28.57,...,...,...,...,1.8,210.34,...,...,...,...
1964M07,...,-,...,...,...,...,2.04,22.89,...,...,...,...,1.5,-31.02,...,...,...,...
1964M08,...,-,...,...,...,...,2.10,26.51,...,...,...,...,1.4,-30.35,...,...,...,...
1964M09,...,-,...,...,...,...,2.04,33.33,...,...,...,...,1.1,30.23,...,...,...,...
1964M10,...,-,...,...,...,...,2.16,30.12,...,...,...,...,1.1,4.81,...,...,...,...
1964M11,...,-,...,...,...,...,2.22,26.14,...,...,...,...,1.1,30.49,...,...,...,...
1964M12,...,-,...,...,...,...,2.60,21.50,...,...,...,...,1.7,5.63,...,...,...,...
1965M01,...,-,...,...,...,...,2.51,20.67,...,...,...,...,1.5,-3.23,...,...,...,...
1965M02,...,-,...,...,...,...,2.13,13.30,...,...,...,...,1.3,18.35,...,...,...,...
1965M03,...,-,...,...,...,...,2.66,22.02,...,...,...,...,1.6,-9.36,...,...,...,...
1965M04,...,-,...,...,...,...,2.35,18.09,...,...,...,...,1.7,-12.17,...,...,...,...
1965M05,...,-,...,...,...,...,2.36,21.03,...,...,...,...,1.5,0.00,...,...,...,...
1965M06,...,-,...,...,...,...,2.19,15.87,...,...,...,...,1.7,-6.11,...,...,...,...
1965M07,...,-,...,...,...,...,2.28,11.76,...,...,...,...,1.7,11.41,...,...,...,...
1965M08,...,-,...,...,...,...,2.38,13.33,...,...,...,...,1.6,14.29,...,...,...,...
1965M09,...,-,...,...,...,...,2.37,16.18,...,...,...,...,1.4,28.57,...,...,...,...
1965M10,...,-,...,...,...,...,2.50,15.74,...,...,...,...,1.4,25.69,...,...,...,...
1965M11,...,-,...,...,...,...,2.49,12.16,...,...,...,...,1.3,19.63,...,...,...,...
1965M12,...,-,...,...,...,...,2.99,15.00,...,...,...,...,1.5,-12.43,...,...,...,...
1966M01,...,-,...,...,...,...,2.66,5.98,...,...,...,...,1.2,-19.33,...,...,...,...
1966M02,...,-,...,...,...,...,2.45,15.02,...,...,...,...,1.4,10.85,...,...,...,...
1966M03,...,-,...,...,...,...,2.82,6.02,...,...,...,...,1.7,8.39,...,...,...,...
1966M04,...,-,...,...,...,...,2.87,22.13,...,...,...,...,2.0,19.88,...,...,...,...
1966M05,...,-,...,...,...,...,2.75,16.53,...,...,...,...,1.6,8.16,...,...,...,...
