期間,想工作而未找工作_原始值,想工作而未找工作_年增率(%),想工作而未找工作_原始值,想工作而未找工作_年增率(%),想工作而未找工作_原始值,想工作而未找工作_年增率(%),求學及準備升學_原始值,求學及準備升學_年增率(%),求學及準備升學_原始值,求學及準備升學_年增率(%),求學及準備升學_原始值,求學及準備升學_年增率(%),料理家務_原始值,料理家務_年增率(%),料理家務_原始值,料理家務_年增率(%),料理家務_原始值,料理家務_年增率(%),衰老殘障_原始值,衰老殘障_年增率(%),衰老殘障_原始值,衰老殘障_年增率(%),衰老殘障_原始值,衰老殘障_年增率(%),其它未參與勞動力原因_原始值,其它未參與勞動力原因_年增率(%),其它未參與勞動力原因_原始值,其它未參與勞動力原因_年增率(%),其它未參與勞動力原因_原始值,其它未參與勞動力原因_年增率(%)
1978M01,74,...,41,...,33,...,"1,152",...,652,...,500,...,"2,346",...,22,...,"2,324",...,594,...,305,...,290,...,254,...,193,...,61,...
1978M02,75,...,35,...,40,...,"1,162",...,653,...,509,...,"2,387",...,19,...,"2,368",...,584,...,297,...,287,...,259,...,201,...,59,...
1978M03,79,...,42,...,37,...,"1,216",...,688,...,529,...,"2,364",...,27,...,"2,337",...,583,...,293,...,290,...,288,...,230,...,58,...
1978M04,70,...,40,...,30,...,"1,252",...,708,...,544,...,"2,375",...,22,...,"2,353",...,588,...,294,...,294,...,203,...,151,...,52,...
1978M05,61,...,31,...,30,...,"1,240",...,703,...,537,...,"2,364",...,17,...,"2,347",...,650,...,336,...,314,...,170,...,129,...,42,...
1978M06,53,...,29,...,24,...,"1,213",...,675,...,538,...,"2,324",...,19,...,"2,306",...,655,...,341,...,314,...,186,...,144,...,43,...
1978M07,72,...,36,...,36,...,"1,063",...,604,...,459,...,"2,233",...,9,...,"2,224",...,629,...,321,...,308,...,213,...,162,...,50,...
1978M08,73,...,39,...,33,...,"1,004",...,569,...,435,...,"2,287",...,12,...,"2,274",...,661,...,341,...,320,...,225,...,166,...,59,...
1978M09,62,...,33,...,29,...,"1,078",...,611,...,467,...,"2,381",...,12,...,"2,369",...,685,...,356,...,329,...,226,...,176,...,50,...
1978M10,62,...,34,...,28,...,"1,104",...,619,...,485,...,"2,437",...,11,...,"2,426",...,677,...,359,...,318,...,216,...,174,...,42,...
1978M11,59,...,33,...,26,...,"1,142",...,635,...,507,...,"2,455",...,17,...,"2,437",...,675,...,353,...,323,...,219,...,177,...,41,...
1978M12,60,...,34,...,26,...,"1,172",...,658,...,514,...,"2,507",...,18,...,"2,488",...,662,...,344,...,317,...,210,...,171,...,39,...
1979M01,70,-5.80,35,-14.71,35,5.02,"1,181",2.54,654,0.36,527,5.38,"2,378",1.36,12,-47.22,"2,366",1.82,643,8.20,337,10.52,307,5.76,216,-14.81,173,-10.25,43,-29.31
1979M02,61,-18.91,34,-3.42,27,-32.71,"1,214",4.45,672,2.97,542,6.36,"2,341",-1.94,11,-43.16,"2,330",-1.61,650,11.33,340,14.18,311,8.38,214,-17.47,171,-15.12,44,-25.53
1979M03,53,-33.49,27,-35.70,26,-31.03,"1,295",6.46,724,5.27,571,8.01,"2,416",2.18,12,-55.53,"2,404",2.86,651,11.61,338,15.23,313,7.96,206,-28.60,166,-27.99,40,-31.01
1979M04,54,-22.04,27,-33.20,28,-6.84,"1,309",4.50,717,1.24,592,8.75,"2,422",1.96,11,-49.31,"2,410",2.45,633,7.53,329,11.75,304,3.30,204,0.47,166,10.26,37,-28.01
1979M05,53,-12.90,27,-12.79,26,-13.01,"1,308",5.47,723,2.86,585,8.90,"2,431",2.82,9,-46.28,"2,421",3.18,665,2.32,349,4.04,316,0.47,202,18.56,165,28.26,37,-11.42
1979M06,48,-11.08,24,-16.51,23,-4.63,"1,331",9.72,750,11.08,581,8.01,"2,342",0.74,5,-73.34,"2,337",1.35,675,3.16,349,2.47,326,3.90,218,17.03,175,21.72,43,1.14
1979M07,67,-7.23,36,-0.98,31,-13.45,"1,135",6.80,648,7.42,486,5.97,"2,325",4.11,10,7.51,"2,315",4.09,661,5.20,341,6.31,320,4.05,196,-7.67,159,-1.98,37,-25.98
1979M08,75,2.78,44,11.33,31,-7.36,"1,081",7.72,595,4.72,486,11.65,"2,451",7.20,11,-12.65,"2,440",7.31,668,1.14,344,0.99,324,1.31,198,-12.02,161,-2.64,37,-38.17
1979M09,80,29.77,51,57.19,29,-0.95,"1,118",3.65,614,0.49,503,7.77,"2,498",4.88,10,-22.25,"2,488",5.02,683,-0.26,356,0.17,327,-0.72,200,-11.51,165,-6.32,35,-29.65
1979M10,74,19.19,50,45.99,24,-13.39,"1,146",3.82,633,2.38,513,5.66,"2,528",3.73,10,-8.29,"2,518",3.79,692,2.10,372,3.55,320,0.46,215,-0.68,174,0.28,40,-4.62
1979M11,65,10.62,43,30.94,22,-15.21,"1,165",2.02,635,0.04,530,4.51,"2,554",4.04,9,-47.23,"2,545",4.40,694,2.84,367,4.18,327,1.37,223,1.91,191,7.85,32,-23.52
1979M12,44,-26.70,23,-31.54,21,-20.37,"1,203",2.69,659,0.13,545,5.96,"2,496",-0.41,10,-44.67,"2,486",-0.08,699,5.61,357,3.73,342,7.65,208,-0.69,172,0.73,36,-6.96
1980M01,46,-33.98,27,-21.22,19,-46.58,"1,279",8.27,703,7.45,576,9.28,"2,393",0.65,9,-20.86,"2,384",0.76,703,9.30,359,6.65,344,12.21,216,-0.02,181,4.58,35,-18.58
1980M02,58,-4.00,35,3.85,23,-14.04,"1,265",4.25,694,3.30,571,5.44,"2,448",4.57,8,-25.65,"2,440",4.71,699,7.43,371,9.24,328,5.45,211,-1.56,183,7.58,27,-37.31
1980M03,53,0.51,30,12.75,23,-12.17,"1,343",3.70,735,1.55,608,6.43,"2,511",3.93,9,-25.24,"2,502",4.08,682,4.83,357,5.69,325,3.91,248,20.81,212,27.63,37,-7.52
1980M04,46,-14.66,25,-8.31,22,-20.87,"1,356",3.64,735,2.51,621,5.01,"2,513",3.78,10,-13.28,"2,504",3.87,701,10.80,368,11.70,333,9.83,229,12.45,192,15.63,37,-1.68
1980M05,41,-22.36,24,-11.33,17,-33.68,"1,382",5.67,747,3.42,634,8.46,"2,412",-0.76,8,-17.41,"2,405",-0.69,711,6.90,372,6.61,339,7.21,234,16.03,196,19.07,38,2.42
1980M06,61,28.05,37,54.36,23,0.64,"1,368",2.78,753,0.45,614,5.80,"2,346",0.17,8,63.93,"2,338",0.03,700,3.63,360,2.87,340,4.44,270,23.76,226,29.26,44,1.32
1980M07,73,8.50,39,9.15,34,7.75,"1,164",2.57,637,-1.74,527,8.33,"2,373",2.04,12,26.01,"2,360",1.94,695,5.11,361,5.85,334,4.32,250,27.24,199,24.86,51,37.36
1980M08,67,-10.50,36,-17.29,31,-0.83,"1,142",5.66,626,5.13,516,6.31,"2,453",0.06,10,-4.38,"2,442",0.08,717,7.24,369,7.26,348,7.21,233,17.79,189,17.13,44,20.68
1980M09,63,-20.80,41,-19.90,22,-22.40,"1,205",7.84,665,8.26,540,7.33,"2,564",2.64,12,27.23,"2,551",2.55,726,6.31,380,6.57,346,6.02,247,23.31,209,26.98,38,6.24
1980M10,50,-32.06,30,-39.83,20,-16.16,"1,220",6.48,673,6.35,547,6.64,"2,610",3.23,11,5.29,"2,599",3.22,713,3.16,372,0.16,341,6.64,256,19.18,220,26.09,36,-10.52
1980M11,57,-13.43,35,-18.76,21,-2.95,"1,252",7.44,668,5.17,583,10.16,"2,577",0.89,12,27.47,"2,565",0.79,719,3.55,378,2.91,341,4.26,259,16.11,218,14.01,41,28.85
