期間,累計買賣超金額 (新臺幣億元)_投信,累計買賣超金額 (新臺幣億元)_自營商,累計買賣超金額 (新臺幣億元)_外資,交易金額比重(%)_投信,交易金額比重(%)_自營商,交易金額比重(%)_外資
2000M04,-38,-193,-481,3.3,1.8,3.5
2000M05,100,-6,95,3.5,1.8,4.1
2000M06,-106,-116,306,4.2,2.2,4.8
2000M07,196,-63,-142,4.4,2.0,5.2
2000M08,-30,-91,195,4.8,2.0,5.4
2000M09,121,-112,-403,5.4,2.1,6.2
2000M10,-91,-62,168,4.9,1.3,6.7
2000M11,-76,-45,212,5.1,1.3,6.7
2000M12,48,-32,164,5.7,1.2,5.9
2001M01,93,101,714,4.6,2.2,5.4
2001M02,-160,-17,134,4.2,1.8,5.4
2001M03,58,54,134,4.0,1.7,5.0
2001M04,-35,-23,121,4.7,1.6,6.7
2001M05,24,-3,549,4.3,1.4,9.6
2001M06,31,-14,230,3.8,1.5,10.1
2001M07,42,-10,231,4.6,1.5,10.4
2001M08,2,-11,0,4.4,1.4,9.4
2001M09,-18,-19,-165,5.3,1.4,10.1
2001M10,-2,5,395,4.4,1.4,9.7
2001M11,-46,25,656,3.6,1.8,7.9
2001M12,-73,11,67,3.0,1.7,5.1
2002M01,16,71,136,2.8,1.6,5.3
2002M02,-35,-33,-7,3.2,1.9,7.3
2002M03,24,93,577,3.4,2.3,6.4
2002M04,-136,4,226,3.4,1.9,7.2
2002M05,25,-56,-60,4.3,1.9,9.5
2002M06,8,-55,-144,4.7,1.9,11.8
2002M07,116,-3,-276,5.1,1.9,9.7
2002M08,82,43,-196,5.4,1.9,9.4
2002M09,-37,-87,-385,5.6,1.8,9.5
2002M10,25,32,100,4.7,1.7,7.4
2002M11,3,40,416,4.3,1.7,6.9
2002M12,-21,-19,-108,4.8,2.1,6.7
2003M01,73,97,233,4.4,2.2,6.7
2003M02,-28,-60,-124,5.0,2.4,10.1
2003M03,-8,-38,253,5.8,2.1,12.0
2003M04,-48,-11,315,5.2,1.8,11.0
2003M05,100,18,738,5.3,1.5,13.8
2003M06,-75,54,726,4.1,2.3,8.8
2003M07,-19,83,748,3.5,2.8,7.5
2003M08,24,52,842,3.4,2.9,10.3
2003M09,-72,31,549,3.8,3.2,12.6
2003M10,45,58,"1,165",3.5,3.3,13.1
2003M11,-61,-13,-150,4.2,3.1,13.3
2003M12,15,29,195,3.4,3.6,13.8
2004M01,-59,100,958,3.0,3.6,13.2
2004M02,-97,76,302,2.6,3.2,9.3
2004M03,-111,-100,-184,2.3,3.7,11.3
2004M04,-45,-128,-162,2.5,3.3,9.3
2004M05,-37,-29,-721,3.1,3.8,13.0
2004M06,32,-159,55,3.7,3.7,13.8
2004M07,-36,-67,-101,3.9,2.9,16.0
2004M08,145,11,575,4.0,2.3,14.8
2004M09,85,1,328,3.8,3.2,11.4
2004M10,-63,-4,470,3.6,3.1,13.0
2004M11,14,23,"1,145",3.4,3.2,19.0
2004M12,32,122,174,3.3,4.6,16.0
2005M01,-10,-5,-18,3.5,4.6,19.3
2005M02,-98,38,"1,145",3.7,2.5,18.3
2005M03,-94,2,-297,3.7,4.2,16.2
2005M04,-6,-14,-247,4.4,4.1,18.8
2005M05,-107,-30,"1,266",4.1,3.8,20.1
2005M06,-126,164,"1,315",3.2,3.8,18.9
2005M07,-92,-20,349,3.3,4.4,14.9
2005M08,-135,-56,-87,3.2,4.2,17.3
2005M09,139,-58,-106,3.2,4.3,19.7
2005M10,-23,-63,-308,3.5,3.7,20.1
2005M11,-90,62,"1,797",3.2,3.6,17.6
2005M12,-220,150,"2,387",2.7,4.2,16.2
2006M01,-158,-45,379,2.8,3.8,17.0
2006M02,-132,-44,660,3.1,3.6,22.1
2006M03,-107,-5,-71,3.0,3.6,19.0
2006M04,-118,118,"1,701",2.6,3.4,16.3
2006M05,-2,-164,-301,2.3,3.2,17.7
2006M06,37,-86,-463,2.6,3.4,20.8
2006M07,-6,31,-289,2.9,3.5,19.3
2006M08,16,77,736,3.0,4.0,18.8
2006M09,-58,61,788,2.7,3.9,20.5
2006M10,-27,-6,581,2.8,3.3,20.3
2006M11,0,103,"1,134",2.7,2.9,17.4
2006M12,13,30,726,2.4,3.0,14.9
2007M01,-1,-12,190,2.4,2.9,17.4
2007M02,74,20,381,2.7,2.7,25.9
