期間,合計_原始值,合計_年增率(%),一年以下_原始值,一年以下_年增率(%),超過一年至三年_原始值,超過一年至三年_年增率(%),超過三年至五年_原始值,超過三年至五年_年增率(%),超過五年至七年_原始值,超過五年至七年_年增率(%),超過七年_原始值,超過七年_年增率(%)
1997M01,"9,560,611",29.36,"3,220,561",32.46,"1,130,193",51.79,"508,443",23.49,"928,919",9.49,"3,772,495",27.69
1997M02,"9,616,801",28.71,"3,265,848",31.79,"1,025,455",38.91,"508,141",22.86,"1,036,992",20.71,"3,780,365",26.75
1997M03,"9,646,178",28.39,"3,266,903",31.72,"1,020,012",38.54,"512,810",23.96,"1,046,203",20.62,"3,800,250",26.02
1997M04,"9,725,605",29.29,"3,296,837",33.98,"1,036,956",41.89,"509,290",23.01,"1,051,882",20.53,"3,830,640",25.84
1997M05,"9,780,015",30.04,"3,308,668",36.31,"1,047,603",44.56,"509,718",24.37,"1,058,488",19.65,"3,855,538",25.41
1997M06,"10,097,095",31.81,"3,552,373",43.19,"1,060,266",47.74,"516,626",26.19,"1,063,957",17.27,"3,903,873",24.12
1997M07,"10,164,306",33.68,"3,521,250",44.29,"1,063,474",52.01,"523,390",27.16,"1,067,863",16.86,"3,988,329",27.09
1997M08,"10,345,190",35.12,"3,655,667",47.98,"1,066,761",52.82,"532,613",31.87,"1,073,904",16.84,"4,016,245",26.90
1997M09,"10,596,434",37.70,"3,720,497",50.46,"1,110,018",60.37,"565,896",41.79,"1,110,295",18.37,"4,089,728",28.07
1997M10,"10,597,399",37.96,"3,665,693",49.30,"1,120,053",64.54,"563,674",40.78,"1,120,946",19.00,"4,127,033",28.84
1997M11,"10,793,820",39.27,"3,794,010",51.38,"1,137,141",66.47,"566,806",40.71,"1,120,266",18.57,"4,175,597",29.93
1997M12,"11,003,565",39.96,"3,905,670",51.23,"1,161,450",49.40,"573,687",41.71,"1,140,410",32.90,"4,222,348",30.37
1998M01,"11,320,515",18.41,"4,112,880",27.71,"1,186,300",4.96,"584,323",14.92,"1,152,495",24.07,"4,284,517",13.57
1998M02,"11,161,480",16.06,"3,974,311",21.69,"1,171,697",14.26,"582,294",14.59,"1,147,228",10.63,"4,285,950",13.37
1998M03,"11,190,251",16.01,"3,966,404",21.41,"1,172,129",14.91,"584,164",13.91,"1,147,512",9.68,"4,320,042",13.68
1998M04,"11,139,875",14.54,"3,894,241",18.12,"1,186,213",14.39,"591,028",16.05,"1,154,612",9.77,"4,313,781",12.61
1998M05,"11,202,507",14.54,"3,889,550",17.56,"1,194,464",14.02,"598,835",17.48,"1,152,772",8.91,"4,366,886",13.26
1998M06,"11,397,214",12.88,"4,002,628",12.67,"1,221,358",15.19,"600,930",16.32,"1,160,394",9.06,"4,411,904",13.01
1998M07,"11,347,881",11.64,"3,941,932",11.95,"1,219,696",14.69,"600,527",14.74,"1,164,867",9.08,"4,420,859",10.84
1998M08,"11,396,391",10.16,"3,945,365",7.92,"1,228,250",15.14,"606,497",13.87,"1,174,997",9.41,"4,441,282",10.58
1998M09,"11,522,502",8.74,"3,960,011",6.44,"1,247,814",12.41,"616,630",8.97,"1,193,474",7.49,"4,504,573",10.14
1998M10,"11,483,241",8.36,"3,876,283",5.74,"1,266,070",13.04,"616,963",9.45,"1,196,924",6.78,"4,527,001",9.69
1998M11,"11,739,603",8.76,"4,029,911",6.22,"1,315,167",15.66,"624,334",10.15,"1,206,895",7.73,"4,563,296",9.28
1998M12,"11,795,818",7.20,"4,035,219",3.32,"1,312,075",12.97,"632,407",10.24,"1,205,366",5.70,"4,610,751",9.20
1999M01,"11,874,471",4.89,"3,977,017",-3.30,"1,325,635",11.75,"648,454",10.98,"1,238,928",7.50,"4,684,437",9.33
1999M02,"11,930,902",6.89,"4,017,002",1.07,"1,314,139",12.16,"648,707",11.41,"1,236,279",7.76,"4,714,775",10.01
1999M03,"11,936,100",6.67,"3,993,515",0.68,"1,306,071",11.43,"678,173",16.09,"1,201,243",4.68,"4,757,098",10.12
1999M04,"11,982,558",7.56,"3,999,049",2.69,"1,288,632",8.63,"649,469",9.89,"1,246,600",7.97,"4,798,808",11.24
1999M05,"12,023,596",7.33,"4,012,452",3.16,"1,278,302",7.02,"653,097",9.06,"1,246,797",8.16,"4,832,948",10.67
