期間,函件_原始值,函件_年增率(%),函件_原始值,函件_年增率(%),函件_原始值,函件_年增率(%),包裹_原始值,包裹_年增率(%),包裹_原始值,包裹_年增率(%),包裹_原始值,包裹_年增率(%),快捷郵件_原始值,快捷郵件_年增率(%),快捷郵件_原始值,快捷郵件_年增率(%),快捷郵件_原始值,快捷郵件_年增率(%)
2001M01,"1,604,633",...,"540,766",...,"1,063,867",...,-,--,-,--,-,--,-,--,-,--,-,--
2001M02,"903,057",...,"373,004",...,"530,053",...,-,--,-,--,-,--,-,--,-,--,-,--
2001M03,"966,641",...,"397,035",...,"569,606",...,-,--,-,--,-,--,-,--,-,--,-,--
2001M04,"1,001,226",...,"381,038",...,"620,188",...,-,--,-,--,-,--,-,--,-,--,-,--
2001M05,"1,004,175",...,"420,529",...,"583,646",...,-,--,-,--,-,--,-,--,-,--,-,--
2001M06,"880,346",...,"391,914",...,"488,432",...,-,--,-,--,-,--,-,--,-,--,-,--
2001M07,"930,455",...,"342,428",...,"588,027",...,-,--,-,--,-,--,-,--,-,--,-,--
2001M08,"976,537",...,"404,200",...,"572,337",...,-,--,-,--,-,--,-,--,-,--,-,--
2001M09,"768,888",...,"304,994",...,"463,894",...,-,--,-,--,-,--,-,--,-,--,-,--
2001M10,"931,365",...,"363,552",...,"567,813",...,-,--,-,--,-,--,-,--,-,--,-,--
2001M11,"994,721",...,"377,547",...,"617,174",...,-,--,-,--,-,--,-,--,-,--,-,--
2001M12,"1,668,616",...,"707,276",...,"961,340",...,-,--,-,--,-,--,-,--,-,--,-,--
2002M01,"1,935,897",20.64,"1,079,234",99.58,"856,663",-19.48,-,--,-,--,-,--,-,--,-,--,-,--
2002M02,"1,120,784",24.11,"506,916",35.90,"613,868",15.81,-,--,-,--,-,--,-,--,-,--,-,--
2002M03,"1,252,187",29.54,"678,772",70.96,"573,415",0.67,-,--,-,--,-,--,-,--,-,--,-,--
2002M04,"1,272,997",27.14,"732,407",92.21,"540,590",-12.83,-,--,-,--,-,--,-,--,-,--,-,--
2002M05,"1,180,183",17.53,"661,908",57.40,"518,275",-11.20,-,--,-,--,-,--,-,--,-,--,-,--
2002M06,"935,951",6.32,"487,868",24.48,"448,083",-8.26,-,--,-,--,-,--,-,--,-,--,-,--
2002M07,"1,124,827",20.89,"587,970",71.71,"536,857",-8.70,-,--,-,--,-,--,-,--,-,--,-,--
2002M08,"1,174,156",20.24,"615,898",52.37,"558,258",-2.46,-,--,-,--,-,--,-,--,-,--,-,--
2002M09,"1,181,522",53.67,"661,807",116.99,"519,715",12.03,-,--,-,--,-,--,-,--,-,--,-,--
2002M10,"1,398,743",50.18,"898,521",147.15,"500,222",-11.90,-,--,-,--,-,--,-,--,-,--,-,--
2002M11,"1,382,712",39.01,"916,676",142.80,"466,036",-24.49,-,--,-,--,-,--,-,--,-,--,-,--
2002M12,"2,310,499",38.47,"1,396,511",97.45,"913,988",-4.93,-,--,-,--,-,--,-,--,-,--,-,--
2003M01,"2,165,737",11.87,"1,254,217",16.21,"911,520",6.40,-,--,-,--,-,--,-,--,-,--,-,--
2003M02,"1,001,862",-10.61,"636,510",25.57,"365,352",-40.48,-,--,-,--,-,--,-,--,-,--,-,--
2003M03,"1,433,122",14.45,"900,733",32.70,"532,389",-7.15,-,--,-,--,-,--,-,--,-,--,-,--
2003M04,"1,363,709",7.13,"918,255",25.37,"445,454",-17.60,-,--,-,--,-,--,-,--,-,--,-,--
2003M05,"1,388,853",17.68,"964,826",45.76,"424,027",-18.18,-,--,-,--,-,--,-,--,-,--,-,--
2003M06,"1,385,635",48.05,"946,048",93.91,"439,587",-1.90,-,--,-,--,-,--,-,--,-,--,-,--
2003M07,"1,165,408",3.61,"744,176",26.57,"421,232",-21.54,-,--,-,--,-,--,-,--,-,--,-,--
2003M08,"1,176,740",0.22,"753,714",22.38,"423,026",-24.22,-,--,-,--,-,--,-,--,-,--,-,--
2003M09,"1,211,084",2.50,"662,546",0.11,"548,538",5.55,-,--,-,--,-,--,-,--,-,--,-,--
2003M10,"1,255,751",-10.22,"707,849",-21.22,"547,902",9.53,-,--,-,--,-,--,-,--,-,--,-,--
2003M11,"1,109,066",-19.79,"649,194",-29.18,"459,872",-1.32,-,--,-,--,-,--,-,--,-,--,-,--
2003M12,"2,179,179",-5.68,"1,130,257",-19.07,"1,048,922",14.76,-,--,-,--,-,--,-,--,-,--,-,--
2004M01,"1,419,080",-34.48,"785,945",-37.34,"633,135",-30.54,-,--,-,--,-,--,-,--,-,--,-,--
2004M02,"1,149,633",14.75,"646,508",1.57,"503,125",37.71,-,--,-,--,-,--,-,--,-,--,-,--
2004M03,"1,303,900",-9.02,"768,319",-14.70,"535,581",0.60,-,--,-,--,-,--,-,--,-,--,-,--
2004M04,"1,408,032",3.25,"730,454",-20.45,"677,578",52.11,-,--,-,--,-,--,-,--,-,--,-,--
2004M05,"1,245,798",-10.30,"730,185",-24.32,"515,613",21.60,-,--,-,--,-,--,-,--,-,--,-,--
2004M06,"1,352,632",-2.38,"815,477",-13.80,"537,155",22.20,-,--,-,--,-,--,-,--,-,--,-,--
2004M07,"1,185,531",1.73,"669,839",-9.99,"515,692",22.42,-,--,-,--,-,--,-,--,-,--,-,--
2004M08,"1,180,811",0.35,"664,716",-11.81,"516,095",22.00,-,--,-,--,-,--,-,--,-,--,-,--
2004M09,"1,368,602",13.01,"812,926",22.70,"555,676",1.30,-,--,-,--,-,--,-,--,-,--,-,--
2004M10,"1,123,936",-10.50,"659,058",-6.89,"464,878",-15.15,-,--,-,--,-,--,-,--,-,--,-,--
2004M11,"1,363,990",22.99,"771,213",18.80,"592,777",28.90,-,--,-,--,-,--,-,--,-,--,-,--
2004M12,"2,085,085",-4.32,"1,225,377",8.42,"859,708",-18.04,-,--,-,--,-,--,-,--,-,--,-,--
2005M01,"2,223,099",56.66,"1,502,258",91.14,"720,841",13.85,-,--,-,--,-,--,-,--,-,--,-,--
