期間,資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),資產--國外資產_原始值,資產--國外資產_年增率(%),資產--放款-計_原始值,資產--放款-計_年增率(%),資產--放款-政府機關_原始值,資產--放款-政府機關_年增率(%),資產--放款-公營事業_原始值,資產--放款-公營事業_年增率(%),資產--放款-民間部門_原始值,資產--放款-民間部門_年增率(%),資產--對非金融機構證券投資-計_原始值,資產--對非金融機構證券投資-計_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-人壽保險公司等_原始值,資產--對金融機構債權-人壽保險公司等_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),負債與淨值--國外負債_原始值,負債與淨值--國外負債_年增率(%),負債與淨值--企業及個人存款-計_原始值,負債與淨值--企業及個人存款-計_年增率(%),負債與淨值--企業及個人存款-支票存款_原始值,負債與淨值--企業及個人存款-支票存款_年增率(%),負債與淨值--企業及個人存款-活期存款_原始值,負債與淨值--企業及個人存款-活期存款_年增率(%),負債與淨值--企業及個人存款-活期儲蓄存款_原始值,負債與淨值--企業及個人存款-活期儲蓄存款_年增率(%),負債與淨值--企業及個人存款-定期存款_原始值,負債與淨值--企業及個人存款-定期存款_年增率(%),負債與淨值--企業及個人存款-可轉讓定期存單_原始值,負債與淨值--企業及個人存款-可轉讓定期存單_年增率(%),負債與淨值--企業及個人存款-定期儲蓄存款_原始值,負債與淨值--企業及個人存款-定期儲蓄存款_年增率(%),負債與淨值--企業及個人存款-外匯存款_原始值,負債與淨值--企業及個人存款-外匯存款_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--對金融機構負債-中央銀行_原始值,負債與淨值--對金融機構負債-中央銀行_年增率(%),負債與淨值--對金融機構負債-其他貨幣機構_原始值,負債與淨值--對金融機構負債-其他貨幣機構_年增率(%),負債與淨值--對金融機構負債-其他金融機構-中華郵政公司_原始值,負債與淨值--對金融機構負債-其他金融機構-中華郵政公司_年增率(%),負債與淨值--對金融機構負債-人壽保險公司等_原始值,負債與淨值--對金融機構負債-人壽保險公司等_年增率(%),負債與淨值--金融債券_原始值,負債與淨值--金融債券_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
1997M01,"14,032,258",21.82,"377,828",12.74,"9,196,327",24.43,"1,218,734",28.31,"373,680",0.75,"7,603,913",25.27,"1,411,088",19.14,"349,531",16.13,"60,151",27.13,"1,001,406",58.47,"148,474",-27.27,"46,185",302.24,"890,794",4.59,"154,487",16.19,"17,407",6.98,"221,112",150.02,"1,568,556",4.00,"243,738",-18.61,"8,113,019",36.34,"274,558",16.13,"581,597",45.36,"1,449,504",52.62,"1,608,901",31.38,"211,336",-14.67,"3,749,446",36.81,"237,677",57.05,"582,555",-6.92,"268,367",28.59,"2,088,608",83.42,"890,499",33.64,"304,187",-65.76,"92,810",-5.87,"1,397,786",-12.70,"941,188",32.96
1997M02,"13,990,119",21.46,"373,647",16.04,"9,251,632",23.83,"1,250,793",30.20,"371,783",0.16,"7,629,056",24.26,"1,382,306",28.25,"355,335",23.56,"58,680",40.96,"968,291",60.48,"137,693",-5.18,"46,185",302.24,"1,010,674",27.15,"170,540",20.78,"16,857",1.28,"130,157",14.97,"1,470,428",-6.34,"239,053",-17.09,"8,168,093",36.79,"251,888",22.30,"563,626",50.24,"1,488,574",50.28,"1,620,722",33.38,"214,591",-12.35,"3,785,409",36.12,"243,283",53.03,"562,868",2.77,"277,028",33.65,"2,128,378",87.55,"905,781",29.09,"304,299",-67.16,"83,516",-14.45,"1,278,500",-21.61,"948,384",32.84
1997M03,"14,111,453",20.41,"383,279",7.13,"9,282,529",23.55,"1,261,573",28.23,"376,046",3.74,"7,644,910",23.97,"1,592,343",51.26,"453,814",74.91,"49,789",8.00,"1,088,740",80.00,"130,726",-8.12,"46,184",302.23,"993,556",25.43,"139,364",4.59,"14,176",-18.88,"129,452",36.01,"1,399,844",-19.86,"249,525",-14.42,"8,227,651",37.87,"254,989",17.22,"590,563",61.99,"1,503,399",51.90,"1,632,345",34.58,"206,100",-12.40,"3,796,753",36.07,"243,502",54.96,"572,655",0.94,"261,209",13.27,"2,092,261",81.31,"866,409",23.45,"328,897",-64.48,"71,572",-29.62,"1,350,016",-23.33,"957,667",33.02
1997M04,"14,179,740",20.31,"370,207",10.73,"9,362,119",24.46,"1,267,788",25.63,"376,234",7.50,"7,718,097",25.23,"1,526,336",28.32,"456,746",56.27,"52,935",3.04,"1,016,655",45.37,"110,978",-24.23,"46,184",302.23,"1,025,111",27.87,"143,014",-13.11,"13,599",-16.48,"122,337",28.36,"1,459,855",-11.55,"277,351",-1.54,"8,201,129",36.23,"249,707",21.64,"577,423",47.89,"1,513,848",52.73,"1,614,878",33.67,"200,423",-15.82,"3,805,386",34.55,"239,464",50.79,"577,655",0.01,"266,111",19.04,"2,122,955",77.90,"894,951",23.48,"311,993",-67.47,"58,965",-45.25,"1,396,268",-17.74,"967,313",33.37
1997M05,"14,301,511",20.38,"378,174",12.08,"9,416,464",25.21,"1,262,957",23.07,"379,522",10.88,"7,773,985",26.36,"1,553,714",18.04,"448,597",58.66,"52,176",-11.48,"1,052,941",28.38,"113,768",-26.31,"46,167",302.08,"1,034,969",26.54,"142,904",7.10,"15,147",2.25,"118,488",28.37,"1,481,716",-9.45,"292,760",7.32,"8,242,519",34.31,"240,188",19.13,"594,154",50.65,"1,493,647",51.86,"1,642,457",28.76,"198,143",-14.91,"3,821,650",32.78,"252,280",47.71,"609,948",-0.54,"268,157",22.27,"2,135,069",84.23,"899,852",24.89,"314,327",-67.33,"62,554",-42.71,"1,410,429",-16.45,"965,748",34.13
1997M06,"14,487,231",17.31,"365,538",3.58,"9,735,838",27.09,"1,342,575",23.53,"384,285",12.78,"8,008,978",28.50,"1,330,009",-5.60,"439,071",50.95,"56,146",-12.69,"834,792",-0.20,"103,269",-52.48,"46,185",-1.20,"1,069,355",32.32,"217,234",98.72,"16,924",-16.42,"124,676",37.75,"1,478,203",-20.19,"299,308",17.76,"8,409,552",31.86,"290,281",4.91,"647,403",47.15,"1,563,124",47.74,"1,609,361",23.65,"216,033",4.27,"3,829,726",31.66,"253,624",36.82,"635,308",1.89,"287,832",26.66,"2,161,855",84.57,"933,104",26.75,"311,178",-68.87,"64,968",-40.21,"1,334,436",-25.98,"982,794",25.28
1997M07,"14,590,236",18.20,"346,178",-3.97,"9,792,785",28.79,"1,366,448",24.35,"375,723",13.38,"8,050,614",30.41,"1,393,801",-4.60,"451,132",47.27,"43,116",-23.66,"899,553",2.73,"100,333",-54.92,"46,185",-1.20,"1,061,188",29.79,"179,104",87.42,"16,956",4.86,"124,967",34.14,"1,528,739",-17.36,"308,915",23.59,"8,418,910",31.50,"260,287",8.02,"656,736",55.88,"1,590,600",54.70,"1,602,797",18.04,"215,496",1.35,"3,831,830",29.74,"261,164",39.02,"621,553",3.77,"288,914",27.70,"2,179,734",88.29,"943,170",25.32,"318,704",-68.10,"65,407",-39.55,"1,391,981",-23.09,"996,118",25.78
1997M08,"14,621,940",19.17,"333,487",-10.75,"9,966,165",30.17,"1,353,690",22.84,"372,111",12.77,"8,240,364",32.39,"1,163,844",-14.48,"377,881",25.79,"46,040",-20.65,"739,923",-8.65,"102,685",-46.66,"46,186",-1.20,"1,023,141",23.30,"200,073",62.11,"19,761",16.86,"119,881",27.75,"1,646,717",-6.88,"291,956",18.19,"8,513,472",32.44,"287,654",44.45,"677,181",62.22,"1,561,311",53.45,"1,609,808",14.76,"246,687",18.10,"3,838,235",28.60,"292,596",47.88,"608,042",6.74,"298,739",28.16,"2,123,988",82.85,"951,868",26.30,"317,213",-68.17,"65,356",-35.87,"1,389,230",-19.74,"1,013,944",26.61
1997M09,"14,885,326",20.09,"322,251",-10.12,"10,216,351",32.76,"1,368,763",22.64,"393,417",16.79,"8,454,171",35.43,"1,266,122",-13.98,"437,203",28.26,"42,352",-30.17,"786,567",-9.41,"109,102",-46.03,"46,159",-1.25,"931,475",18.43,"220,618",76.28,"24,537",22.12,"130,857",34.50,"1,617,854",-9.79,"265,769",10.69,"8,690,566",33.62,"292,705",28.39,"630,673",47.82,"1,547,960",52.06,"1,697,925",20.25,"268,177",26.23,"3,941,664",31.09,"311,462",55.72,"623,054",7.57,"313,697",34.24,"2,140,421",82.52,"984,650",31.77,"312,279",-68.70,"67,159",-34.40,"1,427,088",-18.83,"1,045,293",29.53
1997M10,"14,953,845",20.75,"367,545",1.01,"10,202,025",32.81,"1,362,700",21.83,"373,973",13.02,"8,465,352",35.83,"1,405,501",-1.59,"431,391",32.88,"40,302",-32.59,"933,808",11.32,"103,861",-49.32,"46,159",-1.16,"834,199",2.11,"171,749",51.33,"21,154",2.51,"121,235",30.10,"1,680,417",-7.64,"255,072",9.77,"8,857,196",35.08,"273,616",17.43,"596,179",47.69,"1,568,284",51.13,"1,817,619",25.40,"317,292",57.01,"3,913,227",29.15,"370,979",84.35,"577,999",3.42,"314,440",35.81,"2,088,757",78.42,"995,302",35.32,"302,866",-69.18,"62,267",-38.95,"1,436,467",-17.51,"1,058,781",31.08
