期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%)
2003M12,"22,305,497",15.82,"2,947,015",0.52,"13,047,776",25.92,"1,860,323",6.59,"3,593,506",5.15,"517,735",44.87,"339,142",-23.74,0,--,"15,561,570",13.84,"2,312,525",2.84,"9,141,810",21.87,"390,897",26.28,"2,978,388",-0.52,"406,263",129.56,"331,687",-24.50,0,--,"6,743,927",20.66,"634,490",-7.11,"3,905,966",36.53,"1,469,426",2.34,"615,118",45.26,"111,472",-38.21,"7,455",38.06,0,--
2004M01,"19,889,177",-9.10,"2,571,348",-15.77,"10,953,111",-5.29,"1,601,227",-11.64,"3,610,355",-18.99,"362,166",-35.97,"225,728",-47.36,"565,242",--,"13,758,364",-16.38,"2,015,223",-18.73,"7,559,007",-13.74,"200,879",-49.74,"3,033,980",-24.03,"164,435",-58.61,"219,598",-47.76,"565,242",--,"6,130,813",12.95,"556,125",-3.00,"3,394,104",21.14,"1,400,348",-0.86,"576,375",24.38,"197,731",17.49,"6,130",-27.26,0,--
2004M02,"23,935,318",45.78,"2,706,156",38.35,"13,970,773",45.94,"1,505,344",17.31,"4,676,323",70.10,"401,921",-21.91,"222,103",-35.08,"452,698",--,"18,030,922",53.78,"2,056,675",47.95,"10,592,038",49.81,"267,193",3.22,"4,219,322",80.24,"229,156",-30.48,"213,840",-36.17,"452,698",--,"5,904,396",25.80,"649,481",14.78,"3,378,735",34.99,"1,238,151",20.87,"457,001",11.95,"172,765",-6.66,"8,263",16.35,0,--
2004M03,"24,062,759",8.72,"3,272,118",1.90,"13,202,126",9.24,"1,762,360",-2.91,"4,244,313",4.63,"678,758",56.75,"312,432",-41.20,"590,652",--,"17,376,406",5.90,"2,582,953",3.50,"9,409,419",4.57,"279,980",-46.04,"3,767,932",5.17,"439,147",52.68,"306,593",-41.64,"590,382",--,"6,686,353",16.83,"689,165",-3.65,"3,792,707",22.88,"1,482,380",14.36,"476,381",0.54,"239,611",64.81,"5,839",-2.78,270,--
2004M04,"22,205,842",6.25,"3,146,467",9.23,"12,108,719",6.65,"1,829,702",53.20,"3,993,160",-12.71,"307,789",-23.57,"304,135",-38.33,"515,870",--,"15,609,731",-2.45,"2,483,133",7.52,"8,434,274",-0.59,"268,657",9.48,"3,474,505",-17.23,"136,660",-51.13,"297,466",-38.85,"515,036",--,"6,596,111",34.72,"663,334",16.15,"3,674,445",28.06,"1,561,045",64.51,"518,655",37.58,"171,129",39.03,"6,669",-0.40,834,--
2004M05,"24,688,570",19.67,"3,792,714",46.37,"13,066,766",5.09,"1,847,038",29.91,"4,490,029",31.14,"484,342",63.39,"382,073",-17.72,"625,608",--,"17,703,104",17.65,"3,074,019",55.14,"9,180,983",-1.34,"233,373",89.55,"3,904,731",29.81,"308,386",81.48,"376,652",-18.05,"624,960",--,"6,985,466",25.10,"718,695",17.85,"3,885,783",24.22,"1,613,665",24.26,"585,298",40.74,"175,956",39.09,"5,421",14.58,648,--
2004M06,"24,351,532",23.00,"3,211,721",6.86,"14,197,330",36.01,"1,571,887",4.58,"3,965,059",-1.85,"419,485",-5.15,"402,727",9.34,"583,323",--,"17,808,087",24.89,"2,528,948",9.62,"10,366,195",39.31,"133,014",-54.24,"3,469,474",-3.38,"332,782",24.65,"395,053",9.07,"582,621",--,"6,543,445",18.14,"682,773",-2.25,"3,831,135",27.81,"1,438,873",18.68,"495,585",10.34,"86,703",-50.54,"7,674",25.62,702,--
2004M07,"23,262,837",9.82,"3,108,713",5.21,"11,558,380",-2.10,"2,080,780",31.83,"5,051,130",31.44,"404,891",-40.31,"412,011",27.77,"646,932",--,"16,529,704",9.39,"2,466,876",5.52,"7,679,781",-8.83,"422,684",92.47,"4,554,163",35.77,"354,376",-23.28,"405,702",29.78,"646,122",--,"6,733,133",10.87,"641,837",4.01,"3,878,599",14.68,"1,658,096",22.02,"496,967",1.70,"50,515",-76.66,"6,309",-36.05,810,--
2004M08,"23,685,992",22.81,"3,018,676",3.17,"12,902,924",25.58,"1,737,008",13.91,"4,368,797",14.74,"526,128",26.40,"450,592",33.15,"681,867",--,"17,230,415",27.50,"2,357,071",5.82,"9,327,280",30.62,"233,885",-10.34,"3,873,863",16.32,"312,236",40.49,"445,172",33.86,"680,908",--,"6,455,577",11.82,"661,605",-5.28,"3,575,644",14.10,"1,503,123",18.91,"494,934",3.72,"213,892",10.26,"5,420",-7.10,959,--
2004M09,"22,965,250",9.67,"3,017,944",6.38,"12,724,865",0.92,"1,671,470",18.28,"4,067,979",20.40,"511,177",10.64,"377,553",56.50,"594,262",--,"16,494,150",9.27,"2,354,170",8.41,"9,022,278",-3.91,"259,682",197.84,"3,607,625",23.32,"286,948",1.01,"370,297",56.53,"593,150",--,"6,471,100",10.68,"663,774",-0.22,"3,702,587",15.00,"1,411,788",6.48,"460,354",1.56,"224,229",26.01,"7,256",55.18,"1,112",--
2004M10,"23,796,173",17.12,"3,051,180",1.22,"13,531,464",20.68,"1,723,841",8.28,"4,098,709",8.95,"383,844",-7.64,"395,666",23.44,"611,469",--,"17,238,916",20.61,"2,416,528",4.59,"9,765,329",23.02,"177,562",-29.71,"3,600,824",11.13,"278,184",16.79,"389,695",24.34,"610,794",--,"6,557,257",8.85,"634,652",-9.82,"3,766,135",15.01,"1,546,279",15.44,"497,885",-4.58,"105,660",-40.45,"5,971",-16.37,675,--
2004M11,"22,344,003",3.53,"3,149,332",1.45,"12,053,515",-3.06,"1,932,748",25.47,"3,581,295",-9.50,"551,721",134.20,"393,330",26.51,"682,062",--,"15,626,990",1.46,"2,519,765",3.68,"8,414,849",-4.59,"291,864",9.53,"3,003,949",-12.28,"325,914",103.90,"389,775",29.18,"680,874",--,"6,717,013",8.69,"629,567",-6.60,"3,638,666",0.68,"1,640,884",28.81,"577,346",8.32,"225,807",198.16,"3,555",-61.25,"1,188",--
2004M12,"23,449,983",5.13,"3,172,568",7.65,"12,197,971",-6.51,"1,998,697",7.44,"4,645,762",29.28,"436,229",-15.74,"305,507",-9.92,"693,249",--,"17,016,622",9.35,"2,602,910",12.56,"8,703,236",-4.80,"206,718",-47.12,"4,212,745",41.44,"300,814",-25.96,"298,522",-10.00,"691,677",--,"6,433,361",-4.61,"569,658",-10.22,"3,494,735",-10.53,"1,791,979",21.95,"433,017",-29.60,"135,415",21.48,"6,985",-6.30,"1,572",--
2005M01,"25,895,078",30.20,"3,156,774",22.77,"14,028,995",28.08,"2,174,154",35.78,"4,697,221",30.10,"628,987",73.67,"459,112",103.39,"749,835",32.66,"18,883,259",37.25,"2,503,748",24.24,"10,165,139",34.48,"389,993",94.14,"4,187,925",38.03,"436,106",165.21,"451,566",105.63,"748,782",32.47,"7,011,819",14.37,"653,026",17.42,"3,863,856",13.84,"1,784,161",27.41,"509,296",-11.64,"192,881",-2.45,"7,546",23.10,"1,053",--
2005M02,"18,258,372",-23.72,"2,146,986",-20.66,"9,582,836",-31.41,"1,433,496",-4.77,"3,717,957",-20.49,"544,765",35.54,"260,784",17.42,"571,548",26.25,"12,919,709",-28.35,"1,725,637",-16.10,"6,515,483",-38.49,"191,683",-28.26,"3,367,094",-20.20,"291,894",27.38,"256,972",20.17,"570,946",26.12,"5,338,663",-9.58,"421,349",-35.13,"3,067,353",-9.22,"1,241,813",0.30,"350,863",-23.22,"252,871",46.37,"3,812",-53.87,602,--
2005M03,"23,481,416",-2.42,"3,165,302",-3.26,"13,218,971",0.13,"1,703,273",-3.35,"4,222,626",-0.51,"233,635",-65.58,"423,107",35.42,"514,502",-12.89,"16,757,340",-3.56,"2,508,119",-2.90,"9,399,171",-0.11,"166,090",-40.68,"3,715,744",-1.39,"40,685",-90.74,"414,190",35.09,"513,341",-13.05,"6,724,076",0.56,"657,183",-4.64,"3,819,800",0.71,"1,537,183",3.70,"506,882",6.40,"192,950",-19.47,"8,917",52.71,"1,161",330.00
2005M04,"22,747,901",2.44,"3,164,008",0.56,"11,931,546",-1.46,"1,897,165",3.69,"3,730,216",-6.58,"907,812",194.95,"447,446",47.12,"669,708",29.82,"16,437,067",5.30,"2,515,765",1.31,"8,507,027",0.86,"313,777",16.79,"3,328,575",-4.20,"663,434",385.46,"441,547",48.44,"666,942",29.49,"6,310,834",-4.32,"648,243",-2.28,"3,424,519",-6.80,"1,583,388",1.43,"401,641",-22.56,"244,378",42.80,"5,899",-11.55,"2,766",231.65
2005M05,"23,922,944",-3.10,"3,105,697",-18.11,"12,759,499",-2.35,"1,976,563",7.01,"4,422,758",-1.50,"378,184",-21.92,"489,903",28.22,"790,340",26.33,"17,022,135",-3.85,"2,391,319",-22.21,"9,000,078",-1.97,"210,446",-9.82,"3,955,102",1.29,"191,400",-37.93,"485,101",28.79,"788,689",26.20,"6,900,809",-1.21,"714,378",-0.60,"3,759,421",-3.25,"1,766,117",9.45,"467,656",-20.10,"186,784",6.15,"4,802",-11.42,"1,651",154.78
2005M06,"23,315,890",-4.25,"3,540,493",10.24,"12,248,572",-13.73,"1,868,128",18.85,"4,287,561",8.13,"249,364",-40.55,"402,306",-0.10,"719,466",23.34,"16,410,246",-7.85,"2,854,538",12.87,"8,308,483",-19.85,"307,919",131.49,"3,790,526",9.25,"34,541",-89.62,"395,840",0.20,"718,399",23.30,"6,905,644",5.54,"685,955",0.47,"3,940,089",2.84,"1,560,209",8.43,"497,035",0.29,"214,823",147.77,"6,466",-15.74,"1,067",51.99
