期間,遠期利率協議_原始值,遠期利率協議_年增率(%),遠期利率協議_原始值,遠期利率協議_年增率(%),換利_原始值,換利_年增率(%),換利_原始值,換利_年增率(%),買入選擇權_原始值,買入選擇權_年增率(%),買入選擇權_原始值,買入選擇權_年增率(%),賣出選擇權_原始值,賣出選擇權_年增率(%),賣出選擇權_原始值,賣出選擇權_年增率(%),契約合計_原始值,契約合計_年增率(%),契約合計_原始值,契約合計_年增率(%)
1998M01,0,...,510,...,150,...,"8,116",...,0,...,0,...,0,...,0,...,150,...,"8,626",...
1998M02,0,...,321,...,"4,300",...,"7,485",...,0,...,0,...,0,...,212,...,"4,300",...,"8,018",...
1998M03,0,...,0,...,"1,847",...,"2,564",...,0,...,0,...,0,...,107,...,"1,847",...,"2,671",...
1998M04,0,...,0,...,"5,700",...,"7,725",...,0,...,0,...,0,...,110,...,"5,700",...,"7,835",...
1998M05,0,...,0,...,"9,740",...,"8,103",...,0,...,0,...,0,...,136,...,"9,740",...,"8,239",...
1998M06,0,...,0,...,"5,175",...,"13,384",...,0,...,276,...,0,...,621,...,"5,175",...,"14,281",...
1998M07,0,...,"7,804",...,"4,242",...,"3,626",...,0,...,"2,819",...,0,...,"2,819",...,"4,242",...,"17,068",...
1998M08,0,...,627,...,"5,900",...,"7,913",...,0,...,801,...,0,...,"1,045",...,"5,900",...,"10,386",...
1998M09,0,...,0,...,"6,789",...,"46,863",...,0,...,"1,103",...,0,...,"1,172",...,"6,789",...,"49,138",...
1998M10,0,...,"3,734",...,"3,700",...,"9,411",...,0,...,"2,075",...,0,...,"2,140",...,"3,700",...,"17,360",...
1998M11,0,...,0,...,"2,175",...,"2,781",...,0,...,0,...,0,...,0,...,"2,175",...,"2,781",...
1998M12,71,...,"3,221",...,"1,900",...,"3,465",...,0,...,709,...,0,...,0,...,"1,971",...,"7,395",...
1999M01,0,--,"2,584",406.67,"3,975","2,550.00","3,076",-62.10,0,--,80,--,0,--,145,--,"3,975","2,550.00","5,885",-31.78
1999M02,0,--,248,-22.74,"3,900",-9.30,539,-92.80,0,--,165,--,0,--,99,-53.30,"3,900",-9.30,"1,051",-86.89
1999M03,0,--,"4,505",--,"7,400",300.65,"6,689",160.88,0,--,416,--,0,--,734,585.98,"7,400",300.65,"12,344",362.15
1999M04,0,--,0,--,"13,590",138.42,"3,326",-56.94,0,--,"1,015",--,0,--,"1,605","1,359.09","13,590",138.42,"5,946",-24.11
1999M05,0,--,"4,094",--,"5,150",-47.13,"5,922",-26.92,0,--,35,--,0,--,68,-50.00,"5,150",-47.13,"10,119",22.82
1999M06,0,--,"9,686",--,"14,763",185.28,"7,921",-40.82,0,--,"2,008",627.54,0,--,"2,008",223.35,"14,763",185.28,"21,623",51.41
1999M07,300,--,"3,860",-50.54,"6,760",59.36,"2,991",-17.51,0,--,0,-100.00,0,--,0,-100.00,"7,060",66.43,"6,851",-59.86
