期間,民意代表企業主管及經理人員_原始值,民意代表企業主管及經理人員_年增率(%),民意代表企業主管及經理人員_原始值,民意代表企業主管及經理人員_年增率(%),民意代表企業主管及經理人員_原始值,民意代表企業主管及經理人員_年增率(%),專業人員_原始值,專業人員_年增率(%),專業人員_原始值,專業人員_年增率(%),專業人員_原始值,專業人員_年增率(%),技術員及助理專業人員_原始值,技術員及助理專業人員_年增率(%),技術員及助理專業人員_原始值,技術員及助理專業人員_年增率(%),技術員及助理專業人員_原始值,技術員及助理專業人員_年增率(%),事務工作人員_原始值,事務工作人員_年增率(%),事務工作人員_原始值,事務工作人員_年增率(%),事務工作人員_原始值,事務工作人員_年增率(%),服務工作人員及售貨員_原始值,服務工作人員及售貨員_年增率(%),服務工作人員及售貨員_原始值,服務工作人員及售貨員_年增率(%),服務工作人員及售貨員_原始值,服務工作人員及售貨員_年增率(%),農林漁牧工作人員_原始值,農林漁牧工作人員_年增率(%),農林漁牧工作人員_原始值,農林漁牧工作人員_年增率(%),農林漁牧工作人員_原始值,農林漁牧工作人員_年增率(%),生產及有關工人、機械設備操作工及體力工_原始值,生產及有關工人、機械設備操作工及體力工_年增率(%),生產及有關工人、機械設備操作工及體力工_原始值,生產及有關工人、機械設備操作工及體力工_年增率(%),生產及有關工人、機械設備操作工及體力工_原始值,生產及有關工人、機械設備操作工及體力工_年增率(%)
1978M01,175,...,151,...,24,...,226,...,136,...,90,...,400,...,276,...,124,...,387,...,194,...,193,...,879,...,547,...,333,...,"1,506",...,"1,071",...,434,...,"2,544",...,"1,753",...,792,...
1978M02,177,...,156,...,21,...,235,...,129,...,106,...,416,...,282,...,134,...,375,...,178,...,197,...,842,...,520,...,322,...,"1,537",...,"1,099",...,438,...,"2,499",...,"1,758",...,742,...
1978M03,187,...,161,...,26,...,235,...,131,...,104,...,418,...,281,...,137,...,362,...,165,...,197,...,803,...,512,...,290,...,"1,552",...,"1,089",...,464,...,"2,509",...,"1,737",...,772,...
1978M04,196,...,169,...,27,...,231,...,136,...,95,...,434,...,292,...,142,...,389,...,179,...,210,...,808,...,519,...,289,...,"1,543",...,"1,091",...,451,...,"2,530",...,"1,756",...,775,...
1978M05,194,...,169,...,25,...,224,...,133,...,91,...,429,...,291,...,139,...,404,...,184,...,220,...,842,...,536,...,306,...,"1,494",...,"1,055",...,438,...,"2,568",...,"1,778",...,790,...
1978M06,176,...,155,...,21,...,236,...,143,...,93,...,423,...,288,...,135,...,374,...,164,...,209,...,863,...,557,...,306,...,"1,564",...,"1,071",...,493,...,"2,587",...,"1,775",...,812,...
1978M07,175,...,153,...,21,...,245,...,150,...,94,...,410,...,276,...,133,...,375,...,177,...,198,...,895,...,566,...,329,...,"1,732",...,"1,144",...,588,...,"2,621",...,"1,776",...,845,...
1978M08,184,...,161,...,23,...,225,...,130,...,95,...,400,...,261,...,139,...,397,...,181,...,216,...,911,...,574,...,337,...,"1,570",...,"1,099",...,471,...,"2,756",...,"1,856",...,901,...
1978M09,211,...,190,...,21,...,219,...,121,...,98,...,407,...,276,...,131,...,363,...,157,...,206,...,911,...,577,...,334,...,"1,479",...,"1,048",...,432,...,"2,700",...,"1,842",...,858,...
1978M10,215,...,194,...,21,...,243,...,140,...,104,...,409,...,282,...,127,...,340,...,152,...,189,...,907,...,575,...,332,...,"1,483",...,"1,046",...,436,...,"2,684",...,"1,846",...,837,...
1978M11,213,...,192,...,21,...,232,...,139,...,94,...,409,...,280,...,129,...,342,...,150,...,193,...,894,...,570,...,324,...,"1,510",...,"1,056",...,454,...,"2,684",...,"1,859",...,825,...
1978M12,211,...,188,...,23,...,225,...,141,...,84,...,406,...,274,...,132,...,347,...,154,...,194,...,904,...,571,...,334,...,"1,408",...,"1,008",...,400,...,"2,753",...,"1,903",...,850,...
1979M01,206,17.87,182,20.61,24,0.75,219,-3.29,134,-0.91,84,-6.86,422,5.47,281,2.02,140,13.13,376,-2.73,166,-14.44,211,9.01,961,9.32,582,6.42,380,14.09,"1,364",-9.37,958,-10.61,407,-6.32,"2,856",12.27,"1,975",12.69,882,11.35
1979M02,198,11.46,174,11.69,23,9.77,217,-7.43,126,-2.67,92,-13.24,432,3.75,287,1.75,145,7.95,380,1.37,155,-12.61,224,14.00,953,13.08,572,9.98,381,18.08,"1,398",-9.00,976,-11.12,422,-3.67,"2,843",13.75,"1,973",12.24,870,17.32
1979M03,212,13.38,189,17.37,23,-11.70,234,-0.45,137,5.07,96,-7.38,452,7.99,308,9.54,144,4.81,377,4.30,160,-2.69,217,10.14,906,12.90,558,9.02,348,19.74,"1,364",-12.14,954,-12.39,410,-11.54,"2,770",10.40,"1,933",11.29,837,8.38
1979M04,226,15.55,201,18.95,26,-5.60,249,7.58,146,7.39,102,7.85,460,6.05,315,7.95,145,2.15,381,-2.05,164,-7.92,216,2.93,904,11.92,574,10.59,330,14.32,"1,325",-14.11,929,-14.88,396,-12.24,"2,789",10.22,"1,930",9.92,859,10.90
1979M05,221,13.83,200,18.41,20,-17.49,244,8.77,143,7.93,100,10.00,473,10.11,324,11.27,149,7.67,395,-2.27,162,-11.90,233,5.78,914,8.58,591,10.34,323,5.50,"1,301",-12.87,931,-11.78,370,-15.52,"2,763",7.60,"1,891",6.36,872,10.39
1979M06,224,27.80,202,30.96,22,4.64,241,2.17,144,1.08,97,3.84,470,11.18,328,13.90,142,5.38,397,6.13,173,4.93,224,7.06,939,8.83,590,5.92,349,14.12,"1,345",-14.03,932,-12.96,412,-16.34,"2,767",6.94,"1,857",4.59,910,12.10
1979M07,230,31.40,207,34.95,23,5.95,235,-3.94,136,-9.58,99,5.07,482,17.59,336,21.51,146,9.48,395,5.38,182,3.07,213,7.45,942,5.28,586,3.55,356,8.26,"1,511",-12.74,994,-13.13,517,-11.98,"2,819",7.55,"1,907",7.41,911,7.83
1979M08,221,19.92,203,25.66,18,-21.05,227,0.84,134,3.07,93,-2.20,465,16.44,320,22.58,146,4.93,399,0.36,178,-1.67,220,2.06,912,0.16,568,-1.12,345,2.35,"1,399",-10.89,967,-12.01,432,-8.27,"2,928",6.23,"2,017",8.72,910,1.09
1979M09,211,0.04,193,1.50,18,-13.26,222,1.30,132,9.03,90,-8.27,450,10.50,309,12.12,140,7.11,385,6.20,162,2.92,223,8.72,935,2.71,593,2.79,343,2.56,"1,313",-11.25,924,-11.86,389,-9.76,"2,955",9.46,"2,040",10.77,915,6.67
1979M10,211,-1.95,190,-2.10,20,-0.53,236,-2.76,138,-1.10,98,-5.00,458,11.84,314,11.08,144,13.51,376,10.57,162,6.87,214,13.54,926,2.11,584,1.57,342,3.04,"1,275",-14.02,892,-14.80,383,-12.13,"2,961",10.36,"2,060",11.59,901,7.64
1979M11,203,-4.26,184,-4.29,20,-3.98,240,3.44,144,3.62,97,3.19,437,6.82,298,6.17,140,8.25,354,3.50,156,4.11,198,3.03,932,4.32,579,1.57,353,9.17,"1,339",-11.35,945,-10.52,394,-13.27,"2,918",8.71,"2,040",9.72,878,6.44
1979M12,218,3.05,194,3.40,23,0.18,234,3.91,143,0.89,92,8.98,447,10.11,300,9.36,147,11.66,372,7.14,162,5.66,210,8.31,980,8.33,610,6.96,369,10.66,"1,370",-2.68,973,-3.48,397,-0.66,"2,887",4.87,"2,004",5.33,883,3.84
1980M01,243,17.68,215,18.34,27,12.74,247,13.01,146,8.73,101,19.83,467,10.82,308,9.59,159,13.28,416,10.45,168,1.62,247,17.40,"1,023",6.41,640,10.06,383,0.82,"1,238",-9.28,850,-11.25,388,-4.66,"2,936",2.79,"2,018",2.19,918,4.15
1980M02,241,21.85,214,22.76,27,15.06,247,13.87,146,16.15,101,10.73,469,8.66,309,7.70,160,10.58,417,9.69,169,8.56,248,10.48,991,4.06,611,6.81,380,-0.08,"1,282",-8.31,887,-9.20,396,-6.26,"2,881",1.34,"2,002",1.49,879,1.00
1980M03,247,16.40,222,17.09,25,10.66,278,19.13,167,21.45,112,15.84,498,10.25,334,8.44,164,14.12,412,9.29,182,13.41,231,6.24,972,7.26,605,8.31,367,5.58,"1,261",-7.54,868,-9.02,394,-4.08,"2,739",-1.13,"1,924",-0.46,814,-2.70
1980M04,255,12.92,229,14.32,26,1.99,270,8.69,155,6.09,115,12.40,501,8.82,342,8.62,159,9.24,402,5.49,179,8.95,223,2.85,962,6.40,616,7.29,346,4.85,"1,239",-6.52,869,-6.46,370,-6.66,"2,795",0.20,"1,938",0.44,856,-0.34
1980M05,237,7.26,214,6.74,23,12.40,245,0.45,144,0.23,101,0.76,502,6.19,342,5.61,160,7.45,426,7.81,177,9.50,248,6.63,968,5.87,607,2.69,360,11.69,"1,244",-4.43,850,-8.75,394,6.43,"2,867",3.76,"1,973",4.34,894,2.49
1980M06,241,7.19,220,8.62,21,-5.87,241,-0.17,139,-3.36,101,4.58,504,7.31,345,5.13,160,12.35,438,10.52,186,7.77,253,12.63,967,3.00,600,1.74,367,5.14,"1,264",-5.99,826,-11.42,438,6.30,"2,872",3.81,"1,946",4.81,926,1.77
1980M07,252,9.61,229,10.43,23,2.08,233,-0.76,135,-0.95,98,-0.49,509,5.60,345,2.70,164,12.24,426,7.87,177,-3.05,249,17.22,979,3.85,601,2.57,378,5.95,"1,393",-7.85,906,-8.85,487,-5.93,"2,927",3.82,"2,011",5.45,915,0.43
1980M08,250,13.35,228,12.36,22,24.61,229,1.29,140,4.71,89,-3.65,500,7.38,340,6.23,160,9.89,419,5.07,169,-4.92,249,13.15,992,8.69,604,6.33,388,12.59,"1,260",-9.94,854,-11.65,406,-6.11,"3,022",3.21,"2,092",3.69,930,2.15
1980M09,242,14.93,219,13.46,24,30.55,255,15.29,157,18.90,99,9.98,489,8.81,332,7.24,158,12.27,416,7.81,177,9.02,239,6.93,942,0.76,587,-0.97,356,3.76,"1,188",-9.55,840,-9.08,348,-10.65,"2,995",1.35,"2,064",1.20,931,1.70
1980M10,240,14.12,219,15.12,22,4.87,268,13.54,155,12.30,113,15.29,512,11.77,341,8.60,171,18.65,426,13.10,178,9.84,248,15.57,902,-2.64,576,-1.49,326,-4.62,"1,199",-5.95,852,-4.43,347,-9.47,"2,971",0.33,"2,071",0.53,900,-0.11
1980M11,243,19.25,224,21.71,19,-3.58,260,7.97,146,1.67,113,17.31,501,14.60,337,13.22,164,17.53,393,10.85,164,5.13,229,15.33,924,-0.87,572,-1.20,352,-0.32,"1,245",-7.00,877,-7.20,368,-6.52,"2,973",1.87,"2,081",2.00,892,1.58
1980M12,249,14.30,226,16.22,23,-1.78,261,11.26,148,3.93,112,22.68,521,16.49,348,16.14,173,17.21,399,7.22,165,1.47,234,11.68,990,1.05,600,-1.75,390,5.68,"1,259",-8.13,870,-10.59,389,-2.12,"2,974",3.01,"2,046",2.09,928,5.12
1981M01,261,7.76,236,9.62,26,-6.85,252,2.02,143,-2.04,109,7.91,526,12.56,346,12.41,179,12.85,423,1.83,168,-0.29,255,3.27,"1,029",0.62,631,-1.49,399,4.15,"1,251",1.06,869,2.24,382,-1.53,"2,960",0.82,"2,036",0.86,925,0.74
1981M02,255,5.91,224,4.83,31,14.50,234,-5.29,136,-6.81,98,-3.11,507,8.01,333,7.91,173,8.20,418,0.42,172,1.80,247,-0.53,984,-0.70,608,-0.41,376,-1.16,"1,313",2.42,942,6.27,371,-6.22,"2,878",-0.11,"1,982",-1.01,896,1.94
1981M03,257,4.19,227,2.51,30,19.06,255,-8.38,144,-13.94,112,-0.07,527,5.68,351,5.01,175,7.04,414,0.31,175,-3.95,239,3.67,979,0.75,609,0.62,371,0.97,"1,260",-0.09,916,5.53,344,-12.47,"2,857",4.31,"1,977",2.75,880,8.00
1981M04,270,5.66,244,6.17,26,1.10,261,-3.48,145,-6.77,116,0.98,521,4.06,356,4.07,165,4.05,408,1.68,175,-2.45,234,5.00,997,3.63,625,1.52,372,7.40,"1,185",-4.30,863,-0.70,322,-12.76,"2,860",2.35,"1,984",2.38,876,2.28
1981M05,261,10.24,235,10.11,26,11.42,246,0.40,136,-5.03,109,8.11,526,4.77,355,3.79,171,6.87,428,0.62,180,1.28,249,0.14,995,2.86,633,4.20,363,0.61,"1,195",-3.89,845,-0.59,351,-11.00,"2,912",1.56,"2,025",2.61,887,-0.76
1981M06,248,2.87,223,1.50,24,17.38,251,4.18,139,-0.06,112,10.02,529,4.87,352,2.20,177,10.63,435,-0.76,182,-2.08,253,0.21,"1,015",4.96,634,5.61,381,3.89,"1,291",2.14,870,5.38,421,-3.96,"2,933",2.13,"2,020",3.78,914,-1.34
