期間,總計_原始值,總計_年增率(%),初次尋職_原始值,初次尋職_年增率(%),非初次尋職_原始值,非初次尋職_年增率(%),非初次尋職-工作場所歇業或業務緊縮_原始值,非初次尋職-工作場所歇業或業務緊縮_年增率(%),非初次尋職-對原有工作不滿意_原始值,非初次尋職-對原有工作不滿意_年增率(%),非初次尋職-健康不良_原始值,非初次尋職-健康不良_年增率(%),非初次尋職-季節性或臨時性工作結束_原始值,非初次尋職-季節性或臨時性工作結束_年增率(%),非初次尋職-女性結婚或生育_原始值,非初次尋職-女性結婚或生育_年增率(%),非初次尋職-退休_原始值,非初次尋職-退休_年增率(%),非初次尋職-家務太忙_原始值,非初次尋職-家務太忙_年增率(%),非初次尋職-其他_原始值,非初次尋職-其他_年增率(%)
1978M01,125,...,82,...,44,...,8,...,17,...,4,...,2,...,0,...,2,...,1,...,9,...
1978M02,114,...,66,...,48,...,7,...,25,...,2,...,5,...,0,...,2,...,1,...,5,...
1978M03,108,...,55,...,54,...,7,...,27,...,3,...,5,...,0,...,3,...,1,...,8,...
1978M04,98,...,50,...,48,...,7,...,26,...,3,...,4,...,0,...,2,...,0,...,6,...
1978M05,106,...,47,...,59,...,9,...,21,...,5,...,6,...,1,...,3,...,0,...,14,...
1978M06,104,...,47,...,57,...,10,...,27,...,3,...,3,...,1,...,3,...,0,...,11,...
1978M07,121,...,78,...,43,...,7,...,25,...,2,...,2,...,0,...,2,...,1,...,5,...
1978M08,123,...,78,...,45,...,5,...,25,...,5,...,4,...,0,...,1,...,0,...,5,...
1978M09,121,...,68,...,53,...,9,...,28,...,4,...,4,...,0,...,2,...,1,...,6,...
1978M10,97,...,52,...,45,...,10,...,22,...,2,...,4,...,0,...,2,...,0,...,4,...
1978M11,71,...,41,...,30,...,6,...,16,...,1,...,1,...,0,...,2,...,0,...,4,...
1978M12,76,...,41,...,35,...,8,...,16,...,1,...,3,...,0,...,1,...,0,...,5,...
1979M01,83,-33.42,44,-46.72,40,-8.42,6,-25.00,17,-4.10,2,-44.18,5,212.99,1,420.92,1,-35.05,0,-62.52,7,-18.96
1979M02,85,-25.75,41,-37.48,44,-9.80,5,-27.59,21,-16.09,2,-37.90,4,-19.12,0,--,2,-33.44,0,-50.74,9,70.32
1979M03,76,-30.10,38,-30.99,38,-29.19,6,-10.80,23,-15.47,2,-55.81,2,-48.30,0,--,1,-69.86,0,-100.00,4,-46.63
1979M04,70,-29.04,31,-38.17,39,-19.59,6,-20.30,22,-13.74,2,-49.70,2,-39.26,0,--,0,-78.05,1,"1,034.25",5,-11.83
1979M05,75,-29.08,26,-45.14,50,-16.33,6,-38.18,28,30.05,4,-18.24,3,-49.73,0,-100.00,2,-25.66,0,197.52,7,-53.34
1979M06,73,-29.91,33,-29.16,40,-30.52,6,-34.41,18,-32.74,2,-14.06,2,-31.53,0,-100.00,3,9.77,0,146.09,8,-30.64
1979M07,104,-14.33,68,-11.95,35,-18.60,5,-29.86,19,-23.19,4,105.64,2,9.87,0,14.05,2,5.18,0,-73.04,3,-46.18
1979M08,103,-16.88,66,-15.35,36,-19.54,4,-30.17,21,-14.39,3,-46.55,2,-38.80,0,-100.00,2,67.41,0,-24.95,5,-12.05
1979M09,93,-23.25,53,-22.28,40,-24.48,7,-20.31,22,-22.07,2,-59.71,3,-23.66,0,-29.82,3,49.90,0,-16.51,3,-43.61
1979M10,76,-21.71,46,-11.90,31,-32.93,6,-44.76,14,-36.36,2,-13.96,5,12.96,0,10.24,0,-100.00,0,--,3,-17.02
1979M11,78,10.06,46,11.19,32,8.48,5,-9.26,16,-0.89,1,39.02,3,223.57,0,15.00,0,-84.62,0,--,6,45.73
1979M12,81,6.76,43,4.59,38,9.33,6,-22.12,21,37.62,2,39.74,3,4.40,1,6.11,1,-38.98,0,-100.00,4,-17.58
1980M01,63,-24.17,32,-27.22,32,-20.84,7,18.39,17,-0.81,1,-70.98,3,-35.43,0,-71.14,0,-89.40,0,-100.00,4,-49.13
1980M02,73,-14.17,35,-15.42,38,-13.00,6,11.31,20,-4.82,2,51.39,4,3.86,0,-100.00,1,-49.21,0,-100.00,5,-50.00
1980M03,68,-9.90,34,-8.83,34,-10.97,4,-25.13,17,-25.40,3,81.00,3,10.31,0,--,0,-57.53,0,--,6,57.03
1980M04,60,-13.62,28,-8.95,32,-17.33,5,-22.28,17,-22.90,1,-63.23,2,-32.92,0,15.81,0,-69.67,0,-100.00,8,48.54
1980M05,78,3.85,28,7.99,50,1.70,8,43.52,25,-9.50,4,-6.33,4,43.37,1,--,0,-89.47,0,-100.00,8,18.56
