期間,總計_原始值,總計_年增率(%),空氣污染(不含異味污染物)_原始值,空氣污染(不含異味污染物)_年增率(%),異味污染物_原始值,異味污染物_年增率(%),噪音_原始值,噪音_年增率(%),水污染_原始值,水污染_年增率(%),環境衛生_原始值,環境衛生_年增率(%),廢棄物_原始值,廢棄物_年增率(%),振動_原始值,振動_年增率(%),其他_原始值,其他_年增率(%)
2001M01,"6,427",...,560,...,"1,598",...,"1,746",...,519,...,992,...,960,...,16,...,36,...
2001M02,"7,078",...,511,...,"1,575",...,"1,962",...,605,...,"1,301",...,"1,067",...,10,...,47,...
2001M03,"7,770",...,823,...,"1,753",...,"2,016",...,634,...,"1,347",...,"1,173",...,4,...,20,...
2001M04,"7,237",...,697,...,"1,434",...,"2,113",...,572,...,"1,124",...,"1,235",...,46,...,16,...
2001M05,"8,083",...,693,...,"1,756",...,"2,059",...,585,...,"1,705",...,"1,263",...,1,...,21,...
2001M06,"7,768",...,791,...,"1,823",...,"1,635",...,606,...,"1,777",...,"1,112",...,0,...,24,...
2001M07,"8,276",...,872,...,"2,074",...,"1,719",...,607,...,"1,763",...,"1,213",...,3,...,25,...
2001M08,"7,601",...,857,...,"1,673",...,"1,490",...,613,...,"1,738",...,"1,201",...,1,...,28,...
2001M09,"5,935",...,476,...,"1,465",...,"1,230",...,464,...,"1,360",...,915,...,2,...,23,...
2001M10,"8,350",...,787,...,"1,924",...,"2,310",...,566,...,"1,571",...,"1,169",...,4,...,19,...
2001M11,"8,027",...,870,...,"1,914",...,"2,221",...,618,...,"1,375",...,937,...,51,...,41,...
2001M12,"7,480",...,690,...,"1,648",...,"2,275",...,659,...,"1,294",...,870,...,2,...,42,...
2002M01,"7,785",21.13,681,21.61,"1,789",11.95,"2,161",23.77,765,47.40,"1,335",34.58,"1,006",4.79,2,-87.50,46,27.78
2002M02,"5,781",-18.32,441,-13.70,"1,334",-15.30,"1,718",-12.44,498,-17.69,997,-23.37,758,-28.96,4,-60.00,31,-34.04
2002M03,"9,130",17.50,769,-6.56,"2,041",16.43,"2,576",27.78,718,13.25,"1,779",32.07,"1,192",1.62,2,-50.00,53,165.00
2002M04,"9,438",30.41,800,14.78,"2,090",45.75,"2,503",18.46,825,44.23,"1,967",75.00,"1,203",-2.59,3,-93.48,47,193.75
2002M05,"9,991",23.61,793,14.43,"2,232",27.11,"2,480",20.45,879,50.26,"2,159",26.63,"1,373",8.71,6,500.00,69,228.57
2002M06,"9,265",19.27,796,0.63,"2,142",17.50,"2,117",29.48,739,21.95,"2,118",19.19,"1,275",14.66,5,--,73,204.17
