期間,新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%)
2007M01,301,...,18,...,6,...,...,...,6,...,2,...,1,...,2,...,3,...,8,...,...,...,2,...,14,...,...,...,3,...,32,...,11,...,5,...,64,...,18,...,17,...,10,...,52,...,9,...,4,...,2,...,12,...,327,...,15,...,1,...,...,...,25,...,1,...,1,...,18,...,7,...,7,...,1,...,3,...,10,...,...,...,3,...,40,...,9,...,12,...,25,...,18,...,30,...,14,...,64,...,10,...,1,...,4,...,8,...
2007M02,236,...,4,...,...,...,...,...,7,...,2,...,2,...,2,...,...,...,8,...,1,...,5,...,9,...,1,...,3,...,15,...,8,...,7,...,68,...,17,...,13,...,9,...,32,...,6,...,5,...,4,...,8,...,163,...,8,...,...,...,...,...,13,...,...,...,1,...,2,...,1,...,3,...,...,...,1,...,3,...,1,...,1,...,14,...,3,...,3,...,31,...,14,...,16,...,5,...,31,...,4,...,...,...,2,...,6,...
2007M03,327,...,11,...,6,...,...,...,7,...,2,...,...,...,2,...,7,...,9,...,...,...,1,...,14,...,...,...,3,...,32,...,7,...,7,...,69,...,35,...,17,...,9,...,65,...,8,...,1,...,3,...,12,...,222,...,5,...,...,...,...,...,12,...,...,...,2,...,8,...,3,...,15,...,...,...,...,...,8,...,...,...,4,...,21,...,4,...,9,...,34,...,17,...,23,...,7,...,41,...,1,...,...,...,2,...,6,...
2007M04,325,...,13,...,2,...,...,...,12,...,5,...,...,...,2,...,3,...,15,...,...,...,6,...,10,...,...,...,5,...,25,...,7,...,4,...,89,...,22,...,21,...,12,...,45,...,13,...,5,...,4,...,5,...,213,...,12,...,1,...,...,...,17,...,1,...,2,...,...,...,3,...,15,...,...,...,3,...,2,...,2,...,1,...,20,...,2,...,4,...,20,...,14,...,17,...,10,...,44,...,6,...,1,...,3,...,13,...
2007M05,323,...,18,...,3,...,...,...,11,...,4,...,1,...,2,...,2,...,7,...,...,...,5,...,14,...,...,...,3,...,21,...,7,...,2,...,73,...,38,...,19,...,9,...,63,...,7,...,5,...,2,...,7,...,213,...,6,...,2,...,...,...,21,...,1,...,2,...,...,...,2,...,8,...,...,...,2,...,7,...,1,...,2,...,16,...,1,...,3,...,30,...,17,...,19,...,8,...,47,...,6,...,...,...,3,...,9,...
2007M06,306,...,22,...,2,...,...,...,8,...,4,...,...,...,3,...,6,...,6,...,...,...,4,...,9,...,...,...,1,...,20,...,5,...,2,...,69,...,27,...,11,...,24,...,61,...,7,...,3,...,6,...,6,...,252,...,15,...,1,...,...,...,18,...,1,...,4,...,2,...,1,...,11,...,...,...,4,...,3,...,1,...,4,...,13,...,7,...,8,...,35,...,27,...,20,...,12,...,42,...,7,...,2,...,3,...,11,...
2007M07,394,...,19,...,6,...,...,...,13,...,9,...,...,...,...,...,5,...,18,...,...,...,4,...,18,...,...,...,7,...,25,...,9,...,3,...,105,...,38,...,20,...,13,...,55,...,7,...,...,...,3,...,17,...,255,...,8,...,...,...,...,...,26,...,2,...,3,...,4,...,3,...,12,...,...,...,4,...,2,...,...,...,3,...,31,...,2,...,6,...,34,...,18,...,23,...,4,...,48,...,8,...,1,...,3,...,10,...
2007M08,376,...,27,...,3,...,...,...,10,...,2,...,2,...,3,...,8,...,15,...,...,...,8,...,13,...,...,...,6,...,25,...,10,...,9,...,91,...,37,...,27,...,11,...,45,...,10,...,2,...,2,...,10,...,288,...,10,...,2,...,...,...,15,...,...,...,1,...,1,...,6,...,18,...,...,...,3,...,11,...,...,...,2,...,28,...,3,...,6,...,45,...,33,...,32,...,11,...,45,...,8,...,...,...,2,...,6,...
2007M09,285,...,16,...,4,...,...,...,5,...,3,...,1,...,3,...,3,...,5,...,...,...,4,...,6,...,1,...,...,...,18,...,9,...,5,...,63,...,29,...,16,...,18,...,50,...,8,...,5,...,4,...,9,...,210,...,7,...,2,...,...,...,15,...,...,...,3,...,4,...,6,...,6,...,...,...,3,...,7,...,2,...,3,...,21,...,4,...,4,...,33,...,18,...,19,...,6,...,36,...,4,...,1,...,1,...,5,...
2007M10,324,...,27,...,1,...,...,...,5,...,6,...,1,...,2,...,4,...,4,...,...,...,6,...,11,...,1,...,5,...,26,...,3,...,8,...,74,...,27,...,30,...,16,...,42,...,10,...,2,...,2,...,11,...,276,...,14,...,1,...,...,...,16,...,2,...,6,...,4,...,6,...,10,...,...,...,1,...,3,...,1,...,4,...,15,...,8,...,9,...,47,...,27,...,22,...,11,...,45,...,8,...,1,...,2,...,13,...
2007M11,352,...,13,...,3,...,...,...,7,...,5,...,1,...,5,...,4,...,9,...,2,...,3,...,14,...,2,...,4,...,40,...,10,...,5,...,92,...,29,...,19,...,8,...,45,...,12,...,8,...,1,...,11,...,251,...,8,...,5,...,...,...,17,...,2,...,1,...,...,...,6,...,11,...,...,...,2,...,8,...,1,...,5,...,21,...,7,...,4,...,41,...,23,...,20,...,8,...,47,...,5,...,1,...,2,...,6,...
2007M12,337,...,22,...,8,...,...,...,9,...,2,...,2,...,8,...,5,...,3,...,2,...,5,...,17,...,2,...,5,...,26,...,12,...,7,...,66,...,34,...,19,...,10,...,48,...,5,...,4,...,6,...,10,...,235,...,9,...,2,...,...,...,11,...,2,...,1,...,5,...,5,...,10,...,1,...,1,...,5,...,...,...,6,...,21,...,2,...,3,...,29,...,18,...,20,...,15,...,47,...,6,...,2,...,2,...,12,...
2008M01,374,24.25,23,27.78,4,-33.33,-,-,5,-16.67,8,300.00,2,100.00,3,50.00,5,66.67,7,-12.50,-,-,7,250.00,8,-42.86,-,-,4,33.33,20,-37.50,13,18.18,9,80.00,96,50.00,30,66.67,16,-5.88,10,0.00,72,38.46,8,-11.11,2,-50.00,8,300.00,14,16.67,298,-8.87,7,-53.33,5,400.00,-,-,19,-24.00,6,500.00,5,400.00,7,-61.11,2,-71.43,10,42.86,2,100.00,2,-33.33,4,-60.00,1,...,2,-33.33,27,-32.50,11,22.22,9,-25.00,42,68.00,20,11.11,31,3.33,6,-57.14,56,-12.50,4,-60.00,3,200.00,5,25.00,12,50.00
2008M02,135,-42.80,7,75.00,-,-,-,-,1,-85.71,2,0.00,2,0.00,2,0.00,-,-,3,-62.50,-,-,6,20.00,6,-33.33,-,-,1,-66.67,14,-6.67,4,-50.00,1,-85.71,29,-57.35,9,-47.06,6,-53.85,2,-77.78,27,-15.63,2,-66.67,4,-20.00,2,-50.00,5,-37.50,129,-20.86,5,-37.50,1,...,-,-,4,-69.23,2,...,4,300.00,3,50.00,2,100.00,2,-33.33,-,-,3,200.00,2,-33.33,-,-,1,0.00,16,14.29,7,133.33,-,-,20,-35.48,12,-14.29,7,-56.25,4,-20.00,29,-6.45,2,-50.00,-,-,1,-50.00,2,-66.67
