期間,總計_原始值,總計_年增率(%),一般政務支出_原始值,一般政務支出_年增率(%),國防支出_原始值,國防支出_年增率(%),教育科學文化支出-合計_原始值,教育科學文化支出-合計_年增率(%),教育支出_原始值,教育支出_年增率(%),科學支出_原始值,科學支出_年增率(%),文化支出_原始值,文化支出_年增率(%),經濟發展支出-合計_原始值,經濟發展支出-合計_年增率(%),農業支出_原始值,農業支出_年增率(%),工業支出_原始值,工業支出_年增率(%),交通支出_原始值,交通支出_年增率(%),其他經濟服務支出_原始值,其他經濟服務支出_年增率(%),社會福利支出-合計_原始值,社會福利支出-合計_年增率(%),社會保險支出_原始值,社會保險支出_年增率(%),社會救助支出_原始值,社會救助支出_年增率(%),福利服務支出_原始值,福利服務支出_年增率(%),國民就業支出_原始值,國民就業支出_年增率(%),醫療保健支出_原始值,醫療保健支出_年增率(%),社區發展及環境保護支出-合計_原始值,社區發展及環境保護支出-合計_年增率(%),社區發展支出_原始值,社區發展支出_年增率(%),環境保護支出_原始值,環境保護支出_年增率(%),退休撫恤支出_原始值,退休撫恤支出_年增率(%),債務支出_原始值,債務支出_年增率(%),雜項支出_原始值,雜項支出_年增率(%)
1967,"29,705,846",...,"4,185,822",...,"11,481,715",...,"4,069,667",...,...,...,...,...,...,...,"6,779,561",...,...,...,...,...,...,...,...,...,"2,197,845",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"519,265",...,"471,971",...
1968,"32,186,172",8.35,"4,645,701",10.99,"13,292,388",15.77,"4,864,917",19.54,...,...,...,...,...,...,"5,441,885",-19.73,...,...,...,...,...,...,...,...,"2,581,325",17.45,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"772,224",48.71,"587,732",24.53
1969,"39,720,528",23.41,"5,080,487",9.36,"15,312,281",15.20,"6,818,177",40.15,...,...,...,...,...,...,"7,196,680",32.25,...,...,...,...,...,...,...,...,"3,724,577",44.29,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"859,848",11.35,"728,478",23.95
1970,"47,225,568",18.89,"6,349,108",24.97,"17,628,088",15.12,"7,992,153",17.22,...,...,...,...,...,...,"8,794,571",22.20,...,...,...,...,...,...,...,...,"4,712,030",26.51,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"755,653",-12.12,"993,965",36.44
1971,"51,943,051",9.99,"6,913,685",8.89,"19,258,875",9.25,"9,635,757",20.57,...,...,...,...,...,...,"8,512,334",-3.21,...,...,...,...,...,...,...,...,"5,682,995",20.61,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"945,592",25.14,"993,813",-0.02
1972,"60,930,010",17.30,"8,264,332",19.54,"19,304,913",0.24,"11,046,001",14.64,...,...,...,...,...,...,"11,658,981",36.97,...,...,...,...,...,...,...,...,"8,101,869",42.56,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"989,690",4.66,"1,564,224",57.40
1973,"76,872,129",26.16,"8,279,443",0.18,"24,794,556",28.44,"13,512,272",22.33,...,...,...,...,...,...,"18,206,766",56.16,...,...,...,...,...,...,...,...,"8,663,209",6.93,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,061,725",7.28,"2,354,158",50.50
1974,"87,043,394",13.23,"12,248,260",47.94,"24,616,602",-0.72,"14,994,243",10.97,...,...,...,...,...,...,"22,698,195",24.67,...,...,...,...,...,...,...,...,"9,719,382",12.19,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"996,437",-6.15,"1,770,275",-24.80
1975,"123,557,742",41.95,"19,377,472",58.21,"30,230,548",22.81,"20,740,990",38.33,...,...,...,...,...,...,"37,485,837",65.15,...,...,...,...,...,...,...,...,"12,657,419",30.23,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"957,488",-3.91,"2,107,988",19.08
1976,"146,593,824",18.64,"17,859,489",-7.83,"37,013,270",22.44,"23,782,565",14.66,...,...,...,...,...,...,"47,603,118",26.99,...,...,...,...,...,...,...,...,"16,940,309",33.84,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"762,775",-20.34,"2,632,298",24.87
