期間,信用違約交換_原始值,信用違約交換_年增率(%),信用違約交換_原始值,信用違約交換_年增率(%),買入信用違約選擇權_原始值,買入信用違約選擇權_年增率(%),買入信用違約選擇權_原始值,買入信用違約選擇權_年增率(%),賣出信用違約選擇權_原始值,賣出信用違約選擇權_年增率(%),賣出信用違約選擇權_原始值,賣出信用違約選擇權_年增率(%),其他_原始值,其他_年增率(%),其他_原始值,其他_年增率(%),契約合計_原始值,契約合計_年增率(%),契約合計_原始值,契約合計_年增率(%)
2011M03,0,--,"12,760",-32.60,0,--,0,--,0,--,0,--,0,--,0,--,0,--,"12,760",-32.60
2011M04,0,-100.00,"4,509",-87.89,0,--,0,--,0,--,0,--,0,--,0,--,0,-100.00,"4,509",-87.89
2011M05,0,-100.00,"9,777",-81.84,0,--,0,--,0,--,0,--,0,--,0,--,0,-100.00,"9,777",-81.84
2011M06,0,-100.00,"15,628",-23.34,0,--,0,--,0,--,0,--,0,--,0,--,0,-100.00,"15,628",-23.34
2011M07,0,--,"25,873",86.00,0,--,0,--,0,--,0,--,0,--,0,--,0,--,"25,873",86.00
2011M08,0,-100.00,"12,553",-39.48,0,--,0,--,0,--,0,--,0,--,0,--,0,-100.00,"12,553",-39.48
2011M09,0,--,"18,170",-23.13,0,--,0,--,0,--,0,--,0,--,0,--,0,--,"18,170",-23.13
2011M10,0,-100.00,"10,468",-46.08,0,--,0,--,0,--,0,--,0,--,0,--,0,-100.00,"10,468",-46.08
2011M11,0,--,"16,669",21.20,0,--,0,--,0,--,0,--,0,--,0,--,0,--,"16,669",21.20
2011M12,0,--,"2,992",0.10,0,--,0,--,0,--,0,--,0,--,0,--,0,--,"2,992",0.10
2012M01,0,--,"6,299",-65.33,0,--,0,--,0,--,0,--,0,--,0,--,0,--,"6,299",-65.33
2012M02,0,--,"11,395",102.72,0,--,0,--,0,--,0,--,0,--,0,--,0,--,"11,395",102.72
2012M03,0,--,"8,555",-32.95,0,--,0,--,0,--,0,--,0,--,0,--,0,--,"8,555",-32.95
2012M04,"3,000",--,"4,308",-4.46,0,--,0,--,0,--,0,--,0,--,0,--,"3,000",--,"4,308",-4.46
2012M05,"3,000",--,"10,403",6.40,0,--,0,--,0,--,0,--,0,--,0,--,"3,000",--,"10,403",6.40
2012M06,0,--,"4,869",-68.84,0,--,0,--,0,--,0,--,0,--,0,--,0,--,"4,869",-68.84
2012M07,0,--,"1,318",-94.91,0,--,0,--,0,--,0,--,0,--,0,--,0,--,"1,318",-94.91
2012M08,0,--,"1,988",-84.16,0,--,0,--,0,--,0,--,0,--,0,--,0,--,"1,988",-84.16
2012M09,0,--,"1,867",-89.72,0,--,0,--,0,--,0,--,0,--,0,--,0,--,"1,867",-89.72
2012M10,0,--,"4,990",-52.33,0,--,0,--,0,--,0,--,0,--,0,--,0,--,"4,990",-52.33
2012M11,0,--,"6,307",-62.16,0,--,0,--,0,--,0,--,0,--,0,--,0,--,"6,307",-62.16
2012M12,0,--,"3,864",29.14,0,--,0,--,0,--,0,--,0,--,0,--,0,--,"3,864",29.14
2013M01,0,--,"11,522",82.92,0,--,0,--,0,--,0,--,0,--,0,--,0,--,"11,522",82.92
2013M02,0,--,"1,404",-87.68,0,--,0,--,0,--,0,--,0,--,0,--,0,--,"1,404",-87.68
2013M03,0,--,"3,946",-53.87,0,--,0,--,0,--,0,--,0,--,0,--,0,--,"3,946",-53.87
2013M04,0,-100.00,"2,642",-38.67,0,--,0,--,0,--,0,--,0,--,0,--,0,-100.00,"2,642",-38.67
2013M05,0,-100.00,"4,515",-56.60,0,--,0,--,0,--,0,--,0,--,0,--,0,-100.00,"4,515",-56.60
2013M06,0,--,"10,694",119.63,0,--,0,--,0,--,0,--,0,--,0,--,0,--,"10,694",119.63
2013M07,0,--,"2,873",117.98,0,--,0,--,0,--,0,--,0,--,0,--,0,--,"2,873",117.98
2013M08,0,--,"1,681",-15.44,0,--,0,--,0,--,0,--,0,--,0,--,0,--,"1,681",-15.44
2013M09,0,--,"1,902",1.87,0,--,0,--,0,--,0,--,0,--,0,--,0,--,"1,902",1.87
2013M10,0,--,349,-93.01,0,--,0,--,0,--,0,--,0,--,0,--,0,--,349,-93.01
2013M11,0,--,903,-85.68,0,--,0,--,0,--,0,--,0,--,0,--,0,--,903,-85.68
2013M12,0,--,"2,829",-26.79,0,--,0,--,0,--,0,--,0,--,0,--,0,--,"2,829",-26.79
2014M01,0,--,"5,671",-50.78,0,--,0,--,0,--,0,--,0,--,0,--,0,--,"5,671",-50.78
2014M02,0,--,"1,503",7.05,0,--,0,--,0,--,0,--,0,--,0,--,0,--,"1,503",7.05
2014M03,0,--,"2,930",-25.75,0,--,0,--,0,--,0,--,0,--,0,--,0,--,"2,930",-25.75
2014M04,0,--,"2,094",-20.74,0,--,0,--,0,--,0,--,0,--,"1,928",--,0,--,"4,022",52.23
2014M05,0,--,"2,580",-42.86,0,--,0,--,0,--,0,--,0,--,0,--,0,--,"2,580",-42.86
2014M06,0,--,"1,529",-85.70,0,--,0,--,0,--,0,--,0,--,0,--,0,--,"1,529",-85.70
2014M07,0,--,"3,012",4.84,0,--,0,--,0,--,0,--,0,--,0,--,0,--,"3,012",4.84
