期間,定期存款--合計_原始值,定期存款--合計_年增率(%),定期存款--合計_原始值,定期存款--合計_年增率(%),"定期存款--100,000元以下_原始值","定期存款--100,000元以下_年增率(%)","定期存款--100,000元以下_原始值","定期存款--100,000元以下_年增率(%)","定期存款--100,001~500,000元_原始值","定期存款--100,001~500,000元_年增率(%)","定期存款--100,001~500,000元_原始值","定期存款--100,001~500,000元_年增率(%)","定期存款--500,001~1,000,000元_原始值","定期存款--500,001~1,000,000元_年增率(%)","定期存款--500,001~1,000,000元_原始值","定期存款--500,001~1,000,000元_年增率(%)","定期存款--1,000,000元以上_原始值","定期存款--1,000,000元以上_年增率(%)","定期存款--1,000,000元以上_原始值","定期存款--1,000,000元以上_年增率(%)",定期儲蓄存款--合計_原始值,定期儲蓄存款--合計_年增率(%),定期儲蓄存款--合計_原始值,定期儲蓄存款--合計_年增率(%),"定期儲蓄存款--100,000元以下_原始值","定期儲蓄存款--100,000元以下_年增率(%)","定期儲蓄存款--100,000元以下_原始值","定期儲蓄存款--100,000元以下_年增率(%)","定期儲蓄存款--100,001~500,000元_原始值","定期儲蓄存款--100,001~500,000元_年增率(%)","定期儲蓄存款--100,001~500,000元_原始值","定期儲蓄存款--100,001~500,000元_年增率(%)","定期儲蓄存款--500,001~1,000,000元_原始值","定期儲蓄存款--500,001~1,000,000元_年增率(%)","定期儲蓄存款--500,001~1,000,000元_原始值","定期儲蓄存款--500,001~1,000,000元_年增率(%)","定期儲蓄存款--1,000,001元以上_原始值","定期儲蓄存款--1,000,001元以上_年增率(%)","定期儲蓄存款--1,000,001元以上_原始值","定期儲蓄存款--1,000,001元以上_年增率(%)",定期儲存存款--國軍同袍儲蓄會(一戶)_原始值,定期儲存存款--國軍同袍儲蓄會(一戶)_年增率(%),定期儲存存款--國軍同袍儲蓄會(一戶)_原始值,定期儲存存款--國軍同袍儲蓄會(一戶)_年增率(%)
1997M01,"1,025,760",-19.17,"2,349,221",-5.65,"200,416",-18.13,"14,906",-11.55,"432,498",-24.35,"139,132",-25.85,"226,466",-17.56,"194,686",-16.33,"166,380",-6.45,"2,000,497",-2.55,"4,933,985",1.91,"3,664,898",2.95,"1,130,662",3.39,"67,862",0.57,"2,422,388",-2.06,"773,278",-3.17,"967,678",9.68,"765,080",11.16,"413,255",5.34,"2,040,420",2.70,-,-,"18,258",-3.01
1997M02,"1,040,411",-19.33,"2,363,736",-4.92,"207,999",-19.36,"15,353",-13.41,"440,032",-24.21,"141,578",-25.39,"227,183",-17.18,"196,252",-15.50,"165,197",-6.63,"2,010,553",-1.75,"4,990,044",0.90,"3,698,092",2.85,"1,153,483",1.79,"68,868",-0.97,"2,450,842",-2.61,"783,756",-3.37,"972,319",8.04,"773,826",10.02,"413,398",4.41,"2,053,244",3.02,-,-,"18,398",-1.79
1997M03,"1,035,270",-19.08,"2,366,380",-3.64,"206,073",-20.42,"15,211",-14.31,"434,902",-24.60,"139,651",-25.71,"227,570",-15.69,"195,606",-14.55,"166,725",-3.97,"2,015,912",-0.26,"4,986,929",0.19,"3,708,991",2.67,"1,148,202",0.17,"68,441",-2.36,"2,434,303",-3.72,"777,115",-4.57,"983,453",8.29,"779,074",9.60,"420,969",6.64,"2,065,883",3.37,-,-,"18,478",-1.37
1997M04,"1,025,766",-19.43,"2,345,038",-5.11,"203,707",-20.55,"15,019",-14.47,"429,962",-24.95,"138,323",-26.14,"226,856",-16.27,"195,065",-14.99,"165,241",-4.43,"1,996,631",-1.98,"4,977,127",-1.16,"3,713,654",1.61,"1,142,725",-1.28,"68,057",-3.78,"2,423,816",-5.07,"774,461",-5.84,"988,141",6.67,"783,586",7.85,"422,443",6.03,"2,069,072",2.61,-,-,"18,478",-1.37
1997M05,"1,015,129",-20.98,"2,372,418",-7.13,"198,485",-21.62,"14,939",-13.74,"425,259",-26.24,"138,640",-26.70,"227,112",-18.09,"197,616",-15.91,"164,273",-7.52,"2,021,223",-4.35,"4,924,346",-3.50,"3,731,109",0.62,"1,124,503",-3.75,"67,763",-5.08,"2,391,906",-7.39,"772,572",-7.25,"985,336",3.75,"789,969",5.78,"422,599",5.13,"2,082,327",2.15,-,-,"18,478",-0.30
1997M06,"1,005,170",-24.94,"2,335,692",-10.64,"194,938",-24.82,"14,712",-33.99,"420,469",-30.69,"137,465",-31.37,"227,603",-21.78,"198,250",-19.65,"162,160",-11.02,"1,985,265",-7.42,"4,921,500",-8.85,"3,739,048",-2.61,"1,118,566",-8.99,"67,396",-12.03,"2,386,274",-13.66,"771,859",-13.94,"993,239",-0.56,"797,996",1.67,"423,419",3.93,"2,083,319",1.01,-,-,"18,478",0.08
1997M07,"1,009,276",-25.39,"2,344,795",-12.19,"194,031",-25.10,"15,871",-11.97,"423,030",-30.80,"137,573",-32.04,"229,474",-22.53,"199,228",-20.86,"162,741",-12.57,"1,992,123",-9.37,"4,945,605",-9.33,"3,739,939",-3.80,"1,120,930",-9.20,"66,767",-12.90,"2,406,405",-13.70,"773,760",-14.39,"997,522",-2.11,"799,601",-0.20,"420,746",2.07,"2,081,333",-0.29,-,-,"18,478",0.07
1997M08,"1,007,610",-26.28,"2,381,647",-11.99,"191,691",-25.03,"14,307",-20.25,"420,942",-31.32,"137,224",-32.49,"230,539",-23.60,"200,257",-22.05,"164,438",-16.30,"2,029,859",-8.90,"4,922,216",-10.68,"3,736,272",-4.77,"1,112,029",-10.82,"66,085",-13.99,"2,389,961",-14.90,"769,064",-15.58,"997,711",-3.73,"800,414",-2.14,"422,513",0.82,"2,082,283",-0.80,-,-,"18,426",-0.48
1997M09,"1,112,037",-18.48,"2,507,240",-8.49,"211,637",-16.90,"15,779",-16.42,"475,629",-22.41,"157,056",-22.90,"251,921",-17.49,"215,743",-17.18,"172,850",-9.60,"2,118,662",-6.12,"5,132,374",-7.59,"3,836,794",-2.64,"1,153,077",-8.28,"68,905",-11.00,"2,502,733",-11.38,"810,012",-11.57,"1,042,759",-0.68,"832,514",0.31,"433,803",2.66,"2,106,938",0.39,-,-,"18,425",-0.32
1997M10,"1,216,350",-12.07,"2,623,714",-5.28,"233,889",-9.72,"17,350",-4.43,"523,617",-15.55,"172,634",-16.07,"271,503",-12.21,"234,095",-11.34,"187,341",-3.88,"2,199,635",-3.62,"5,123,586",-9.47,"3,807,825",-4.72,"1,155,475",-10.05,"68,936",-12.82,"2,497,123",-13.10,"808,061",-13.26,"1,040,031",-3.11,"828,944",-2.34,"430,955",0.74,"2,083,459",-1.68,-,-,"18,425",2.13
