期間,證券投資--小計_原始值,證券投資--小計_年增率(%),證券投資--政府債券_原始值,證券投資--政府債券_年增率(%),證券投資--金融機構債券_原始值,證券投資--金融機構債券_年增率(%),證券投資--公司債_原始值,證券投資--公司債_年增率(%),證券投資--可轉讓定期存單_原始值,證券投資--可轉讓定期存單_年增率(%),證券投資--商業本票_原始值,證券投資--商業本票_年增率(%),證券投資--承兌匯票_原始值,證券投資--承兌匯票_年增率(%),存放銀行_原始值,存放銀行_年增率(%),庫存現金_原始值,庫存現金_年增率(%),資產合計(淨額)=負債合計(淨額)_原始值,資產合計(淨額)=負債合計(淨額)_年增率(%),借入款_原始值,借入款_年增率(%),淨值_原始值,淨值_年增率(%),其他項目(淨額)_原始值,其他項目(淨額)_年增率(%),保證_原始值,保證_年增率(%),附買回交易_原始值,附買回交易_年增率(%)
1997M01,"94,796",72.60,"8,620",-16.20,"1,866",31.22,"11,511",459.60,"7,996",13.63,"56,785",75.54,"8,018",352.99,"54,296",100.88,-,-,"149,096",81.93,"81,580",164.60,-,-,"67,516",32.07,-,-,-,-
1997M02,"69,951",32.33,"10,416",1.83,"1,686",19.41,"11,726",432.03,"5,040",-59.44,"35,044",56.22,"6,039",45.17,"56,454",87.50,-,-,"126,409",52.35,"58,191",75.84,-,-,"68,218",36.76,-,-,-,-
1997M03,"412,359",556.13,"95,189","2,112.15","1,586",12.32,"11,949",418.62,"72,894",541.39,"213,167",438.82,"17,574",350.50,"52,927",74.23,-,-,"465,290",399.09,"53,895",31.97,-,-,"411,395",685.28,-,-,-,-
1997M04,"317,594",433.67,"79,427",836.86,"1,586",-1.61,"12,569",432.81,"50,951",222.74,"159,134",493.47,"13,927",212.19,"53,313",65.40,-,-,"370,911",304.28,"32,747",-14.91,"77,835",-,"260,329",388.78,"595,238",-,"541,672",-
1997M05,"509,103","1,341.20","181,296","5,019.91","1,636",9.07,"13,438",928.94,"61,862",694.73,"232,299","1,304.72","18,572",298.80,"48,408",30.88,-,-,"557,515",670.96,"52,219",49.83,"79,476",-,"425,820","1,036.70","619,684",-,"571,222",-
1997M06,"564,985",989.95,"186,103","1,528.06","1,808",12.16,"14,396",233.86,"58,281",578.24,"288,524","1,145.89","15,873",481.43,"47,624",14.55,-,-,"612,612",555.80,"43,372",5.21,"81,286",-,"487,954",834.99,"588,771",-,"621,473",-
1997M07,"534,615",809.63,"188,493","2,880.13","1,653",-8.77,"13,343",104.21,"56,793",264.67,"260,910","1,024.66","13,423",151.89,"46,332",17.34,-,-,"580,951",491.24,"37,126",-16.54,"82,421",-,"461,404",758.03,"590,657",-,"583,052",-
1997M08,"547,831",655.13,"176,254","1,571.13","3,062",60.15,"14,127",122.61,"63,042",549.92,"276,029",637.71,"15,317",131.17,"45,094",11.51,-,-,"592,929",424.76,"38,472",-36.27,"82,816",-,"471,641",796.25,"553,187",-,"578,021",-
1997M09,"561,285",716.12,"186,912","1,991.91","1,895",-12.59,"14,408",59.40,"59,674",355.39,"281,031",838.15,"17,365",211.59,"47,458",1.04,-,-,"608,747",425.93,"38,416",-34.08,"90,576",-,"479,755",734.79,"576,929",-,"582,928",-
1997M10,"541,680",808.68,"198,922","2,151.27","1,868",-11.72,"14,448",44.51,"54,819",645.33,"256,461",863.16,"15,162",223.97,"53,588",14.82,-,-,"595,272",460.07,"25,391",-43.88,"95,219",-,"474,662",677.64,"600,419",-,"567,796",-
1997M11,"456,120",595.17,"209,412","2,499.13","1,758",-17.93,"14,423",37.76,"43,515",407.05,"177,875",454.70,"9,137",112.74,"42,962",-10.52,-,-,"499,086",339.22,"25,415",-51.64,"95,760",-,"377,911",518.76,"576,677",-,"524,286",-
1997M12,"625,999",907.55,"237,684","2,397.47","1,708",-3.28,"14,590",43.26,"59,251",846.96,"297,510",852.43,"15,256",381.26,"48,842",-5.44,-,-,"674,843",493.08,"41,247",-20.76,"96,243",35.48,"537,353",--,"612,384",5.48,"578,051",15.16
1998M01,"646,060",581.53,"244,992","2,742.13","1,669",-10.56,"14,516",26.11,"41,577",419.97,"324,714",471.83,"18,592",131.88,"45,457",-16.28,-,-,"691,521",363.81,"44,107",-45.93,"97,787",-,"549,627",714.07,"563,451",-,"606,422",-
1998M02,"660,165",843.75,"284,977","2,635.95","1,669",-1.01,"14,516",23.79,"36,053",615.34,"306,525",774.69,"16,425",171.98,"41,555",-26.39,-,-,"701,724",455.12,"36,867",-36.64,"98,499",-,"566,358",730.22,"624,360",-,"608,859",-
1998M03,"746,209",80.96,"304,861",220.27,"1,866",17.65,"14,406",20.56,"32,327",-55.65,"372,191",74.60,"20,558",16.98,"48,400",-8.55,-,-,"794,613",70.78,"45,097",-16.32,"103,377",-,"646,139",57.06,"658,557",-,"688,418",-
1998M04,"806,342",153.89,"312,878",293.92,"1,662",4.79,"14,436",14.85,"29,506",-42.09,"426,894",168.26,"20,966",50.54,"51,011",-4.32,-,-,"857,357",131.15,"53,371",62.98,"104,066",33.70,"699,920",168.86,"670,352",12.62,"739,679",36.55
1998M05,"755,404",48.38,"263,158",45.15,"2,152",31.54,"15,411",14.68,"26,135",-57.75,"427,814",84.17,"20,734",11.64,"51,472",6.33,-,-,"806,880",44.73,"56,897",8.96,"104,422",31.39,"645,561",51.60,"697,050",12.48,"694,760",21.63
1998M06,"757,641",34.10,"262,099",40.84,"2,152",19.03,"16,221",12.68,"31,714",-45.58,"426,905",47.96,"18,550",16.87,"50,343",5.71,-,-,"807,987",31.89,"64,692",49.16,"105,476",29.76,"637,819",30.71,"710,919",20.75,"676,333",8.83
1998M07,"775,487",45.06,"280,672",48.90,"2,052",24.14,"16,298",22.15,"29,846",-47.45,"427,862",63.99,"18,757",39.74,"49,976",7.86,-,-,"825,467",42.09,"62,017",67.04,"106,200",28.85,"657,250",42.45,"747,591",26.57,"697,324",19.60
1998M08,"844,171",54.09,"282,958",60.54,"2,032",-33.64,"16,620",17.65,"25,525",-59.51,"496,777",79.97,"20,259",32.26,"59,814",32.64,-,-,"903,989",52.46,"75,619",96.56,"109,798",32.58,"718,572",52.36,"761,504",37.66,"751,242",29.97
1998M09,"849,572",51.36,"275,270",47.27,"2,043",7.81,"17,178",19.23,"35,412",-40.66,"506,097",80.09,"13,572",-21.84,"54,810",15.49,-,-,"904,386",48.57,"103,565",169.59,"111,597",23.21,"689,224",43.66,"786,353",36.30,"749,054",28.50
1998M10,"849,402",56.81,"262,523",31.97,"1,993",6.69,"17,423",20.59,"46,579",-15.03,"512,616",99.88,"8,268",-45.47,"63,997",19.42,-,-,"913,403",53.44,"84,897",234.36,"112,546",18.20,"715,960",50.84,"783,840",30.55,"753,983",32.79
1998M11,"726,902",59.37,"243,850",16.45,"1,993",13.37,"17,869",23.89,"45,062",3.56,"413,468",132.45,"4,660",-49.00,"59,249",37.91,-,-,"786,155",57.52,"65,399",157.32,"113,495",18.52,"607,261",60.69,"713,877",23.79,"646,975",23.40
1998M12,"766,085",22.38,"249,579",5.00,"1,993",16.69,"18,049",23.71,"41,356",-30.20,"451,308",51.70,"3,800",-75.09,"61,242",25.39,-,-,"827,330",22.60,"68,850",66.92,"106,279",10.43,"652,201",21.37,"681,019",11.21,"680,373",17.70
1999M01,"810,744",25.49,"265,852",8.51,"1,993",19.41,"18,483",27.33,"40,024",-3.74,"479,364",47.63,"5,028",-72.96,"56,963",25.31,-,-,"867,711",25.48,"85,056",92.84,"106,972",9.39,"675,683",22.93,"647,299",14.88,"707,040",16.59
1999M02,"793,673",20.22,"258,274",-9.37,"2,023",21.21,"18,495",27.41,"43,990",22.01,"467,230",52.43,"3,661",-77.71,"49,135",18.24,-,-,"842,812",20.11,"82,963",125.03,"107,537",9.18,"652,312",15.18,"644,113",3.16,"697,879",14.62
